Date,Open,High,Low,Close,Volume,Change
2015-01-02,19459,19459,18943,19176,92910,-0.027438251255262003
2015-01-05,18840,18865,18427,18686,88968,-0.025552774301209835
2015-01-06,18505,18840,18505,18609,30875,-0.004120732098897517
2015-01-07,18660,19407,18608,19201,42776,0.03181256381320874
2015-01-08,19072,19484,18814,19279,31507,0.004062288422477911
2015-01-09,19716,19716,18969,18970,29135,-0.016027802271902036
2015-01-12,19510,19510,18299,18403,64388,-0.02988929889298897
2015-01-13,18505,19175,18428,18995,29143,0.032168668151931756
2015-01-14,19201,19252,18634,18995,28179,0.0
2015-01-15,18994,19304,18994,19201,23339,0.01084495919978945
2015-01-16,19330,19484,18917,19356,36205,0.008072496224154957
2015-01-19,19562,19639,19253,19356,67884,0.0
2015-01-20,19356,19484,18891,19150,29572,-0.010642694771647032
2015-01-21,19150,19330,19150,19330,22105,0.009399477806788514
2015-01-22,19330,19330,19072,19330,11335,0.0
2015-01-23,19124,19587,19124,19330,14478,0.0
2015-01-26,19330,19922,19097,19691,27070,0.0186756337299534
2015-01-27,19716,20051,19587,19794,28586,0.005230816108882319
2015-01-28,19639,20412,19613,20232,37592,0.022127917550772924
2015-01-29,20567,20567,19871,20387,23426,0.007661130881771561
2015-01-30,20592,20824,20361,20799,23060,0.020208956688085644
2015-02-02,20798,21649,20566,21392,44519,0.028510986105101166
2015-02-03,21520,22294,21392,21908,146317,0.024121166791323922
2015-02-04,21933,22551,21752,22217,86640,0.014104436735439041
2015-02-05,22680,22680,21597,21650,73747,-0.025520997434397064
2015-02-06,22010,23324,21520,22346,62081,0.03214780600461897
2015-02-09,22758,23144,22422,22423,13025,0.003445806855813194
2015-02-10,22551,22681,21830,22011,26188,-0.018373990991392808
2015-02-11,22010,22706,22010,22681,32672,0.03043932579164954
2015-02-12,22680,23067,22603,22681,37487,0.0
2015-02-13,22938,22964,21649,22191,43031,-0.02160398571491562
2015-02-16,22190,22268,21572,21573,18722,-0.027849128024874936
2015-02-17,21881,22139,21727,21805,49765,0.010754183470078393
2015-02-23,22294,22422,21520,21702,61450,-0.004723687227700113
2015-02-24,22242,22268,21546,22165,42702,0.02133443922219147
2015-02-25,22165,22371,21881,22372,24618,0.009339048048725429
2015-02-26,22706,23685,22396,23351,54982,0.04376005721437504
2015-02-27,23582,23685,22938,23145,22402,-0.008821891996060094
2015-03-02,23196,23324,22629,22629,34781,-0.02229423201555414
2015-03-03,23015,23196,21907,22887,28648,0.01140129921781785
2015-03-04,23196,23325,22526,22939,38254,0.002272032157993653
2015-03-05,22938,23324,22886,23274,64607,0.014603949605475286
2015-03-06,23685,24381,23350,23892,27928,0.026553235369940698
2015-03-09,23891,26030,23866,24099,43198,0.008663987945755958
2015-03-10,24407,24819,23917,24820,47071,0.029918253869455125
2015-03-11,24820,24974,23608,23841,44941,-0.03944399677679289
2015-03-12,23943,24252,23763,23995,35335,0.006459460593095878
2015-03-13,24433,24484,24149,24227,34006,0.009668680975203126
2015-03-16,24588,24639,24227,24640,34175,0.017047096214966695
2015-03-17,24742,24922,24098,24305,33277,-0.013595779220779258
2015-03-18,24304,25129,24304,24537,48523,0.009545361036823685
2015-03-19,25026,25361,24613,25361,69037,0.033581937482169755
2015-03-20,26160,26289,25387,25387,59439,0.001025196167343534
2015-03-23,25618,25747,24536,24769,32926,-0.02434316776302836
2015-03-24,24768,25773,24716,25696,22308,0.03742581452622229
2015-03-25,25695,26030,25489,25696,24806,0.0
2015-03-26,25747,26160,25490,26160,29424,0.018057285180572924
2015-03-27,26160,27320,26160,27063,44161,0.03451834862385317
