Date,Open,High,Low,Close,Volume,Change
2015-01-02,13743,14127,13743,13840,343452,-0.006888633754305373
2015-01-05,13791,13983,13407,13647,535414,-0.013945086705202336
2015-01-06,13359,13551,13359,13503,506336,-0.010551769619696616
2015-01-07,13407,13455,12878,12975,876406,-0.03910242168407019
2015-01-08,12974,13599,12926,13359,1007607,0.029595375722543338
2015-01-09,13503,14224,13503,13647,819084,0.021558499887716076
2015-01-12,13551,13887,13310,13407,828907,-0.01758628269949436
2015-01-13,13503,13647,13310,13455,605743,0.00358021928843133
2015-01-14,13503,13935,13503,13647,523555,0.014269788182831755
2015-01-15,13599,13743,13359,13743,574894,0.007034513079797744
2015-01-16,13695,13791,13262,13455,451149,-0.02095612311722328
2015-01-19,13551,13791,13455,13695,345258,0.01783723522853964
2015-01-20,13647,13743,13455,13551,292477,-0.010514786418400868
2015-01-21,13551,13551,13214,13455,626080,-0.007084348018596365
2015-01-22,13407,13503,13262,13407,642797,-0.0035674470457078833
2015-01-23,13599,14079,13551,13888,637670,0.035876780786156415
2015-01-26,13983,14127,13455,13551,683133,-0.02426555299539168
2015-01-27,13647,13839,13503,13743,441356,0.01416869603719273
2015-01-28,13599,13695,13262,13359,844595,-0.02794149748963104
2015-01-29,13310,13743,13214,13551,628832,0.014372333258477532
2015-01-30,13647,13695,13262,13311,893109,-0.01771087004649108
2015-02-02,13407,13503,13310,13407,370699,0.0072120802343926815
2015-02-03,13455,13983,13407,13888,862034,0.035876780786156415
2015-02-04,13935,14272,13839,13984,615734,0.00691244239631339
2015-02-05,13935,13935,13070,13311,1489361,-0.048126430205949644
2015-02-06,13359,13503,13214,13359,616975,0.0036060401171962297
2015-02-09,13359,13407,13166,13215,340433,-0.010779249943858038
2015-02-10,13214,13455,13118,13311,473788,0.007264472190692484
2015-02-11,13310,14175,13262,14128,1213537,0.061377807828112196
2015-02-12,13887,14127,13503,13888,1073836,-0.016987542468856143
2015-02-13,13887,14368,13887,14320,685954,0.031105990783410142
2015-02-16,14224,14272,14079,14128,369038,-0.013407821229050265
2015-02-17,14031,14704,13983,14705,926101,0.04084088335220848
2015-02-23,14752,14752,14512,14608,575833,-0.006596395783747044
2015-02-24,14512,14800,14464,14656,586296,0.0032858707557503752
2015-02-25,14848,14848,14416,14416,359112,-0.01637554585152834
2015-02-26,14464,14512,14175,14416,510934,0.0
2015-02-27,14272,14464,14175,14320,487998,-0.006659267480577102
2015-03-02,14320,14368,13983,14032,626001,-0.020111731843575398
2015-03-03,14031,14368,14031,14176,449017,0.010262257696693311
2015-03-04,14127,14320,14127,14176,276591,0.0
2015-03-05,14079,14127,13983,14080,307762,-0.006772009029345383
2015-03-06,14031,14175,13791,13792,438692,-0.020454545454545503
2015-03-09,13743,14224,13743,14080,413338,0.02088167053364276
