Date,Open,High,Low,Close,Volume,Change
2015-01-02,54200,58800,54000,58200,162373,0.07777777777777772
2015-01-05,59200,61400,58200,61000,221601,0.04810996563573888
2015-01-06,60100,61100,59000,59100,143451,-0.031147540983606503
2015-01-07,59000,60200,58800,59800,46505,0.011844331641285955
2015-01-08,59800,59800,58500,58800,61749,-0.01672240802675584
2015-01-09,58600,63300,58400,62600,227499,0.06462585034013602
2015-01-12,62600,62600,61000,62400,61310,-0.0031948881789137795
2015-01-13,62300,64000,60300,60500,93019,-0.03044871794871795
2015-01-14,60800,62500,59000,60500,157304,0.0
2015-01-15,60100,60400,57000,58700,274041,-0.02975206611570247
2015-01-16,58800,59600,57600,59300,117653,0.010221465076660996
2015-01-19,59800,59900,58300,59300,97423,0.0
2015-01-20,59400,60700,58500,59100,102805,-0.003372681281618939
2015-01-21,59900,60900,58200,59700,150710,0.010152284263959421
2015-01-22,59700,60000,58500,59600,95963,-0.0016750418760469454
2015-01-23,59600,59600,56100,57400,263408,-0.03691275167785235
2015-01-26,57500,58000,56000,57800,118393,0.006968641114982521
2015-01-27,58000,58000,55700,56000,166105,-0.03114186851211076
2015-01-28,55300,59700,55300,59300,197340,0.05892857142857144
2015-01-29,59400,61300,59300,61000,157933,0.02866779089376048
2015-01-30,60700,61800,59800,61000,130472,0.0
2015-02-02,60300,61400,59500,59600,54103,-0.022950819672131195
2015-02-03,59000,61400,59000,60200,105755,0.010067114093959662
2015-02-04,60200,62100,60200,61700,134359,0.024916943521594792
2015-02-05,61500,63600,61500,62900,156731,0.01944894651539708
2015-02-06,62000,65100,61800,64700,180292,0.02861685214626397
2015-02-09,66000,66300,62800,63100,146080,-0.02472952086553326
2015-02-10,63400,65000,62900,64500,128432,0.022187004754358197
2015-02-11,64700,66400,64000,65100,117256,0.009302325581395321
2015-02-12,64800,65800,64000,64700,40956,-0.006144393241167445
2015-02-13,64800,65400,63400,63500,87955,-0.018547140649149974
2015-02-16,63400,64500,62200,63000,70688,-0.007874015748031482
2015-02-17,62700,64200,62400,62700,54807,-0.004761904761904745
2015-02-23,62900,63600,61900,62000,68288,-0.011164274322169043
2015-02-24,62200,63100,62200,62400,54386,0.006451612903225712
2015-02-25,63100,64900,62200,64900,98782,0.040064102564102644
2015-02-26,64500,65600,62600,63000,76176,-0.02927580893682591
2015-02-27,63100,64400,62600,64300,52046,0.02063492063492056
2015-03-02,64300,64300,60800,61600,139845,-0.0419906687402799
2015-03-03,61600,62200,59800,61100,176902,-0.008116883116883078
2015-03-04,61100,61500,59700,59900,104301,-0.019639934533551506
2015-03-05,59900,60700,58300,59300,177315,-0.01001669449081799
2015-03-06,59600,60500,58800,60200,91599,0.015177065767284947
2015-03-09,60300,60300,58900,59400,60067,-0.013289036544850474
2015-03-10,59200,59800,56300,58400,186684,-0.01683501683501687
2015-03-11,58000,60000,57300,59900,122492,0.02568493150684925
2015-03-12,59400,60500,58600,60100,86454,0.0033388981636059967
2015-03-13,59700,61800,59700,61100,128611,0.016638935108153063
2015-03-16,61400,61400,60100,60300,58025,-0.013093289689034338
2015-03-17,60100,60500,59200,59400,83809,-0.014925373134328401
2015-03-18,59100,59600,58700,59300,90010,-0.0016835016835017313
2015-03-19,59900,59900,58500,59900,64408,0.010118043844856706
2015-03-20,59900,60800,59200,60600,71380,0.011686143572620988
2015-03-23,60600,60600,59600,60400,60793,-0.0033003300330033403
2015-03-24,60300,60600,59500,60400,50134,0.0
2015-03-25,60700,64300,60200,64000,244763,0.0596026490066226
2015-03-26,63400,63700,62700,63200,69068,-0.012499999999999956
2015-03-27,63200,63700,62300,63000,65171,-0.0031645569620253333
