Date,Open,High,Low,Close,Volume,Change
2015-01-02,145216,148988,142859,148517,66124,0.009612312461336536
2015-01-05,146631,150874,144745,150403,70738,0.01269888295615984
2015-01-06,148988,151817,148045,149460,59146,-0.006269821745576887
2015-01-07,149931,150874,146159,149460,55016,0.0
2015-01-08,149460,156060,148988,154646,91037,0.0346982470226147
2015-01-09,156060,161247,155589,157004,86673,0.015247727066978856
2015-01-12,155589,160775,155589,157947,55722,0.006006216402129949
2015-01-13,159361,159361,152288,152289,77163,-0.03582214287070984
2015-01-14,152288,156060,151817,152760,46994,0.0030928038138013925
2015-01-15,151817,158418,151817,157475,53229,0.030865409793139564
2015-01-16,155117,158418,153703,155118,36514,-0.014967455151611353
2015-01-19,155589,161247,155117,155118,50152,0.0
2015-01-20,156532,160775,155117,159833,53372,0.03039621449477181
2015-01-21,160304,161718,157003,161719,43472,0.011799816058010615
2015-01-22,162661,162661,157475,158890,58133,-0.017493306290541022
2015-01-23,159832,161247,157475,160304,34693,0.008899238466863801
2015-01-26,159832,164547,158889,163605,49978,0.020592124962571123
2015-01-27,165019,165961,161718,165962,65433,0.01440665016350362
2015-01-28,165961,166904,163604,165962,47595,0.0
2015-01-29,166904,166904,160775,160776,76819,-0.03124811703884023
2015-01-30,161718,163133,159361,162662,48422,0.011730606558192802
2015-02-02,160304,162661,158418,159361,43453,-0.020293614980757657
2015-02-03,159832,166433,159832,163133,63349,0.02366953018618112
2015-02-04,162661,167376,162190,167376,56455,0.026009452409996747
2015-02-05,165961,166433,163604,165491,58387,-0.011262068635885636
2015-02-06,165490,170205,165490,169262,56756,0.022786737647364497
2015-02-09,168319,174448,167847,171620,88021,0.013931065448830715
2015-02-10,170676,173034,168319,172091,57907,0.0027444353804917387
2015-02-11,171148,173505,168319,168319,72625,-0.02191863607045108
2015-02-12,168319,170676,166433,167376,51315,-0.005602457238933267
2015-02-13,167847,169262,166433,169262,36059,0.01126804320810626
2015-02-16,168319,170676,166904,168319,36736,-0.0055712445794093846
2015-02-17,169262,170205,167376,169262,24943,0.005602457238933267
