Date,Open,High,Low,Close,Volume,Change
2015-01-02,22950,23200,22250,22400,930559,-0.03655913978494618
2015-01-05,22350,22400,21150,21400,1179868,-0.044642857142857095
2015-01-06,20750,21150,20300,20400,1082306,-0.04672897196261683
2015-01-07,20150,20750,19850,19900,1481356,-0.02450980392156865
2015-01-08,20050,20500,20050,20200,922458,0.015075376884422065
2015-01-09,20400,20800,20200,20700,840734,0.024752475247524774
2015-01-12,20750,21500,20600,21200,977130,0.024154589371980784
2015-01-13,21250,21550,20650,20700,880776,-0.02358490566037741
2015-01-14,20700,21150,20700,20800,431770,0.004830917874396157
2015-01-15,21000,21200,19950,20000,1278303,-0.038461538461538436
2015-01-16,20800,21150,19950,20100,1927553,0.004999999999999893
2015-01-19,20500,22850,20400,22050,2312179,0.09701492537313428
2015-01-20,22200,22500,21600,21750,1419903,-0.013605442176870763
2015-01-21,21750,21800,20850,21150,1131101,-0.02758620689655178
2015-01-22,21350,22250,21300,21650,1359804,0.023640661938534313
2015-01-23,22050,22200,21000,21200,1334755,-0.020785219399538146
2015-01-26,21450,21500,20750,21050,760379,-0.007075471698113178
2015-01-27,21300,22850,21200,22750,1807152,0.08076009501187653
2015-01-28,23550,25450,23400,25450,3629545,0.1186813186813187
2015-01-29,24850,25850,24500,25100,2190525,-0.013752455795677854
2015-01-30,25500,25650,24650,25050,1133562,-0.0019920318725099584
2015-02-02,25300,26500,25300,26100,1513505,0.041916167664670656
2015-02-03,26450,26450,25350,25600,1052503,-0.019157088122605415
2015-02-04,26100,26450,25500,25650,945804,0.001953125
2015-02-05,25200,26300,24650,26100,1289820,0.01754385964912286
2015-02-06,26400,26600,25750,26300,1026393,0.00766283524904221
2015-02-09,26100,27000,25900,26700,1016038,0.015209125475285079
2015-02-10,26500,26800,25800,26050,1015957,-0.02434456928838946
2015-02-11,26250,26800,26050,26750,783109,0.026871401151631558
2015-02-12,26550,26750,25600,25800,1025122,-0.03551401869158877
2015-02-13,25850,26500,24850,26350,1354121,0.02131782945736438
2015-02-16,26800,27600,26550,27500,1174610,0.0436432637571158
2015-02-17,27700,28400,26200,26700,2134621,-0.029090909090909056
2015-02-23,27400,27750,27050,27600,850123,0.03370786516853941
