Date,Open,High,Low,Close,Volume,Change
2015-01-02,25650,25650,24300,24650,476818,-0.03898635477582846
2015-01-05,24300,25000,24200,24750,229653,0.0040567951318457585
2015-01-06,24750,24800,24150,24750,219924,0.0
2015-01-07,24400,25000,24250,24750,213918,0.0
2015-01-08,24500,25250,24450,25250,193960,0.02020202020202011
2015-01-09,25250,25250,24750,24750,145479,-0.01980198019801982
2015-01-12,24600,25100,24550,25000,144832,0.010101010101010166
2015-01-13,25100,25550,24750,25400,258536,0.016000000000000014
2015-01-14,25600,25800,25050,25700,231044,0.011811023622047223
2015-01-15,25350,25750,25300,25750,113392,0.0019455252918287869
2015-01-16,25550,25750,25050,25400,113995,-0.013592233009708687
2015-01-19,25200,25500,25100,25300,80746,-0.003937007874015741
2015-01-20,25500,25750,25050,25300,172273,0.0
2015-01-21,25050,25500,25050,25150,84642,-0.005928853754940677
2015-01-22,25400,25700,25150,25650,80432,0.01988071570576544
2015-01-23,25500,26400,25500,26200,105176,0.021442495126705596
2015-01-26,26200,26650,25900,26450,110597,0.009541984732824416
2015-01-27,26700,26700,25900,26000,109544,-0.017013232514177745
2015-01-28,26300,26700,25550,26600,158360,0.023076923076922995
2015-01-29,26300,26600,25900,26250,109032,-0.013157894736842146
2015-01-30,25900,26200,25800,26100,172349,-0.005714285714285672
2015-02-02,25650,26150,25100,25700,126977,-0.01532567049808431
2015-02-03,25700,27950,25400,27800,310512,0.08171206225680927
2015-02-04,27550,28250,27300,27750,297251,-0.0017985611510791255
2015-02-05,27750,28150,27150,27250,110815,-0.018018018018018056
2015-02-06,27150,29450,27100,28700,315758,0.053211009174311874
2015-02-09,28750,29100,28250,28800,162069,0.0034843205574912606
2015-02-10,28650,29450,28050,28450,382189,-0.01215277777777779
2015-02-11,28750,29550,28750,29350,250842,0.03163444639718804
2015-02-12,29800,30150,29300,29800,206720,0.015332197614991383
2015-02-13,29500,30100,29500,29650,261319,-0.005033557046979831
2015-02-16,29250,29800,29000,29650,118380,0.0
2015-02-17,29150,29800,25250,25250,4041485,-0.14839797639123098
2015-02-23,25400,25650,24700,25500,1736657,0.00990099009900991
2015-02-24,25850,27400,25650,26950,2009362,0.056862745098039236
