Date,Open,High,Low,Close,Volume,Change
2015-01-02,28774,29369,27919,29035,217283,0.00903562119895751
2015-01-05,29072,29220,27956,28254,260156,-0.02689857069054591
2015-01-06,28254,29072,27956,28923,213169,0.02367806328307487
2015-01-07,28997,30856,28514,29593,451253,0.02316495522594475
2015-01-08,29220,30299,29035,30150,393898,0.018822018720643374
2015-01-09,30931,32641,30410,32046,734901,0.06288557213930357
2015-01-12,32120,34202,31005,31266,527119,-0.024340011233851322
2015-01-13,31302,31414,30522,30782,407516,-0.015480074202008587
2015-01-14,30819,31860,30261,31712,407001,0.030212461828341253
2015-01-15,31228,31451,30261,30671,271056,-0.032826690211907206
2015-01-16,30336,30633,29481,29779,401719,-0.029082846989012423
2015-01-19,30187,31451,29852,31080,323143,0.04368850532254265
2015-01-20,31377,31488,30484,30596,217183,-0.015572715572715556
2015-01-21,30410,31377,30187,30931,205795,0.010949143678912199
2015-01-22,30968,31711,30484,30894,204175,-0.0011962109210824634
2015-01-23,31005,31860,30670,31191,156017,0.009613517187803566
2015-01-26,31154,31823,30931,31749,133750,0.017889775896893445
2015-01-27,31971,32269,31414,32084,257996,0.01055151343349392
2015-01-28,31339,32566,31191,31377,282272,-0.022035905747412987
2015-01-29,31377,32678,31191,32307,290836,0.02963954488956877
2015-01-30,32678,33161,32046,32084,300059,-0.006902528863713786
2015-02-02,32083,32418,31154,31377,296777,-0.022035905747412987
2015-02-03,31228,31674,29667,31414,442892,0.0011792076999075363
2015-02-04,32455,32789,31934,32344,541580,0.029604634876169822
2015-02-05,32120,32529,31934,32121,190802,-0.006894632698491221
2015-02-06,31786,32418,31525,32121,169755,0.0
2015-02-09,32195,32306,31563,31712,163129,-0.012733102954453512
2015-02-10,32009,32009,29815,30113,537297,-0.0504225529767911
2015-02-11,30261,31005,30038,30485,313299,0.012353468601600692
2015-02-12,30299,31154,29778,31154,297829,0.02194521896014434
2015-02-13,30893,31600,30893,31600,204252,0.01431597868652501
2015-02-16,31265,32009,31079,32009,213289,0.012943037974683547
2015-02-17,31971,32418,31600,32084,231358,0.0023430910056545518
2015-02-23,33012,33830,32715,33310,363599,0.03821219299339229
2015-02-24,33087,35949,32975,35652,385986,0.070309216451516
2015-02-25,35540,36433,35169,35987,395820,0.009396387299450248
2015-02-26,35578,38886,35392,37400,694394,0.039264178731208466
2015-02-27,37251,37697,36396,37177,459510,-0.005962566844919803
2015-03-02,37399,38961,36879,38143,401524,0.025983807192619057
2015-03-03,37845,39407,37548,38664,456988,0.013659124872191564
2015-03-04,38292,38886,36916,37102,455385,-0.04039933788537142
2015-03-05,36767,37845,36470,36582,424267,-0.014015416958654492
2015-03-06,36916,37697,36804,37325,266041,0.02031053523590831
2015-03-09,37325,38217,36544,36842,454578,-0.012940388479571352
2015-03-10,36916,37548,35429,35950,475525,-0.02421149774713638
2015-03-11,35429,35912,34946,35169,633000,-0.021724617524339407
2015-03-12,35355,37399,35132,36396,649961,0.03488868037191839
2015-03-13,36507,37176,35429,35615,406225,-0.021458402022200285
2015-03-16,35689,35987,34797,35318,299904,-0.0083391829285413
2015-03-17,35466,37325,35392,37177,502459,0.05263604960643309
2015-03-18,37176,38292,36693,37697,455526,0.013987142588159251
2015-03-19,38515,38738,37920,38143,410991,0.011831180200015945
2015-03-20,37251,37845,36804,37177,378258,-0.025325747843641055
2015-03-23,37697,38961,37622,37846,406817,0.01799499690668971
2015-03-24,37994,38663,37474,37846,214886,0.0
2015-03-25,37920,39704,37548,39556,303904,0.04518311050044921
2015-03-26,39556,41637,39184,41043,678098,0.037592274244109714
2015-03-27,41117,41712,40448,41712,328366,0.0162999780717783
2015-03-30,42009,42084,40299,41712,289021,0.0
2015-03-31,41860,42455,40894,42381,202417,0.016038550057537293
2015-04-01,43050,43050,40968,41415,186866,-0.02279323281659229
2015-04-02,41266,41935,40596,41117,178023,-0.007195460581914781
2015-04-03,41637,42678,41340,42605,190541,0.0361894107060341
2015-04-06,42827,42827,41414,42010,291898,-0.013965497007393468
2015-04-07,42084,43868,41414,43720,320645,0.04070459414425143
2015-04-08,43571,44165,42901,43497,187395,-0.005100640439158255
2015-04-09,43050,43794,42084,42307,269079,-0.027358208612088153
2015-04-10,42307,44463,42158,44092,285466,0.042191599498900834
2015-04-13,48181,50634,46322,47586,1306876,0.0792434001632949
2015-04-14,48552,48552,45206,45802,808347,-0.037490018072542375
2015-04-15,46099,47363,44909,45802,416056,0.0
2015-04-16,46099,46619,45355,46025,252513,0.00486878302257554
2015-04-17,45950,46619,45355,46248,269466,0.0048451928299837466
2015-04-20,45355,45727,44463,44612,293442,-0.03537450268119702
2015-04-21,44240,45950,44240,44835,351525,0.004998655070384661
2015-04-22,45355,47511,44612,46173,518164,0.02984275677484116
2015-04-23,46024,46173,44240,44538,359976,-0.035410304723539676
2015-04-24,44909,45355,42827,42902,390082,-0.036732677713413264
2015-04-27,43273,44909,42976,44909,340423,0.0467810358491445
2015-04-28,44017,44612,42530,43274,440014,-0.03640695628938517
2015-04-29,42753,43645,39927,43274,1196105,0.0
2015-04-30,41637,43125,41266,42605,571755,-0.015459629338632874
2015-05-04,42678,42901,41414,41935,347854,-0.015725853773031373
2015-05-06,41266,42530,40150,42530,480630,0.014188625253368281
2015-05-07,41414,42901,41340,42381,302836,-0.003503409358100118
2015-05-08,42530,44314,42084,43051,290263,0.01580897100115619
2015-05-11,44017,45355,43496,44686,443221,0.0379782118882257
2015-05-12,45281,46396,44983,46397,549973,0.03828939712661694
2015-05-13,46470,46545,45578,45727,308865,-0.014440588831174384
2015-05-14,45429,46842,45058,46843,228366,0.02440571216130505
2015-05-15,46842,47065,44686,45430,348626,-0.030164592361718978
2015-05-18,45504,46173,44686,45950,147432,0.01144618093770644
2015-05-19,45429,46322,44389,44389,199853,-0.03397170837867247
2015-05-20,44240,45801,44091,44538,227507,0.00335668746761586
2015-05-21,44612,46470,44537,46471,277532,0.0434011405990391
2015-05-22,46545,48255,46396,48255,335972,0.03838953325730032
2015-05-26,49370,49742,46322,46991,441784,-0.026194176769246735
2015-05-27,45504,46917,44909,45579,233847,-0.030048307122640505
2015-05-28,45058,46991,44983,46025,232724,0.009785208100221654
2015-05-29,45206,46322,44983,44984,218483,-0.022618142313959755
2015-06-01,45504,46247,44686,46173,152585,0.026431620131602385
2015-06-02,46173,47511,45578,47289,246519,0.024169969462672913
2015-06-03,47809,47809,45355,46322,244012,-0.020448730148660332
2015-06-04,45578,46470,45058,45802,334869,-0.011225767453909574
2015-06-05,45801,46024,44017,44835,314500,-0.021112615169643245
2015-06-08,44091,46099,43273,45727,202739,0.019895171183227367
2015-06-09,46173,47883,45950,46991,268577,0.027642311981979972
2015-06-10,47214,47363,45653,45653,197506,-0.028473537485901534
2015-06-11,46024,46619,43719,43943,422313,-0.0374564650734891
2015-06-12,44017,45801,44017,45207,326797,0.028764535876021124
2015-06-15,45653,46173,45132,45802,254319,0.013161678501117047
2015-06-16,45727,45801,43719,44240,344518,-0.03410331426575264
2015-06-17,44389,44760,43496,44315,304748,0.0016952983725135873
2015-06-18,44537,45058,43199,43571,250203,-0.01678889766444769
2015-06-19,43571,43868,42827,43348,269581,-0.005118083128686557
2015-06-22,45058,48329,45058,47586,842415,0.09776690966134538
2015-06-23,48701,48775,46619,47958,429695,0.007817425293153546
2015-06-24,47586,50932,47214,50486,857876,0.052712790358230066
2015-06-25,49816,51824,49147,51601,451257,0.02208533058669726
2015-06-26,51601,52790,51303,52047,320416,0.008643243347997043
2015-06-29,51898,51898,49147,49222,356248,-0.054277864238092444
2015-06-30,49221,50337,48181,49222,481520,0.0
2015-07-01,49519,51601,49370,50337,433166,0.022652472471659024
2015-07-02,51155,51973,50411,50709,386162,0.007390190118600648
2015-07-03,51155,53831,51006,53237,454061,0.04985308327910243
2015-07-06,51303,52196,49221,49891,574940,-0.06285102466329806
2015-07-07,51155,51526,50039,50040,490627,0.0029865105930928504
2015-07-08,50411,54203,50114,53311,769068,0.06536770583533169
2015-07-09,52047,53088,49668,51824,797366,-0.027892930164506335
2015-07-10,53757,59110,49296,52196,1736487,0.007178141401667171
2015-07-13,57177,58664,50039,50114,2010491,-0.03988811403172654
2015-07-14,51601,55318,50709,53088,1372820,0.059344694097457795
2015-07-15,54278,56508,53608,55839,660161,0.05181962025316467
2015-07-16,56508,57772,54798,55468,533055,-0.006644101792653845
2015-07-17,55988,58590,55765,58442,577516,0.053616499603375
2015-07-20,58441,58441,55690,56211,432071,-0.03817460045857435
2015-07-21,56434,58070,55913,56732,340639,0.009268648485171838
2015-07-22,56657,56657,54724,55170,299037,-0.0275329619967567
2015-07-23,53906,54501,50114,51006,953244,-0.07547580206634041
2015-07-24,50709,51303,48924,50560,732585,-0.008744069325177461
2015-07-27,50634,51601,49965,50486,415121,-0.001463607594936689
2015-07-28,50783,51601,49816,50560,461157,0.0014657528819870258
2015-07-29,50783,53162,50783,51081,708267,0.010304588607594978
2015-07-30,51898,53014,50485,51155,427234,0.0014486795481685188
2015-07-31,51155,52047,49073,52047,397510,0.0174372006646466
2015-08-03,52270,53237,51378,52494,173739,0.008588391261744155
2015-08-04,53014,53014,49742,50486,369689,-0.038251990703699446
2015-08-05,50411,51898,49816,51155,186537,0.01325119835201849
2015-08-06,51229,51824,49891,49891,192971,-0.024709217085328916
2015-08-07,50411,50560,49593,49891,200082,0.0
2015-08-10,49296,51080,48924,49148,274700,-0.014892465574953384
2015-08-11,49742,49742,46545,46843,269578,-0.04689916171563446
2015-08-12,46842,48181,44314,45802,614709,-0.02222317101808169
2015-08-13,45058,47883,44612,47214,473099,0.03082834810706947
2015-08-17,47214,48404,46024,47363,281501,0.0031558436057101957
2015-08-18,47363,47586,40894,43869,623320,-0.07377066486497896
2015-08-19,43719,43942,40522,41787,675928,-0.047459481638514656
2015-08-20,41414,41414,39481,39705,728030,-0.04982410797616488
2015-08-21,39035,42158,38663,41415,732496,0.04306762372497164
2015-08-24,40968,41191,37176,38292,688014,-0.07540746106483154
2015-08-25,38440,42604,37251,41266,582883,0.07766635328528149
2015-08-26,40596,43125,39556,42381,407031,0.027019822614258615
2015-08-27,42530,43125,41489,42158,349019,-0.005261791840683316
2015-08-28,43719,45281,43050,44612,490198,0.05820959248541202
2015-08-31,44091,44909,43348,44538,379703,-0.0016587465255984979
2015-09-01,44017,44091,41340,41489,382221,-0.06845839507836005
2015-09-02,39853,42976,39853,42084,404093,0.014341150666441704
2015-09-03,42530,42901,40968,42158,216555,0.0017583879859328633
2015-09-04,41563,42307,38366,38961,460515,-0.07583376820532284
2015-09-07,38738,39109,37251,38143,539027,-0.02099535432868771
2015-09-08,38589,40745,38440,40746,425335,0.06824319010041169
2015-09-09,41786,41860,40820,41341,452541,0.014602660383841393
2015-09-10,41414,44612,40894,44612,497880,0.0791224208412955
2015-09-11,43199,47511,43125,44909,446232,0.006657401595983048
2015-09-14,45355,45950,43050,43125,350475,-0.039724776770803216
2015-09-15,43125,44463,42976,43497,174418,0.008626086956521783
2015-09-16,43868,45429,43496,45058,315595,0.03588753247350396
2015-09-17,45876,45876,43645,44092,395074,-0.02143903413378312
2015-09-18,44165,46322,43496,45653,280743,0.03540324775469483
2015-09-21,44240,45578,44240,45058,129754,-0.01303309749633097
2015-09-22,46322,46322,44909,45356,128205,0.006613697900483828
2015-09-23,45058,45355,43199,43348,244312,-0.0442719816562307
2015-09-24,43496,44017,41860,42158,385258,-0.0274522469318077
2015-09-25,42307,42604,40968,41638,352540,-0.01233455097490388
2015-09-30,40820,41489,40225,40523,574668,-0.02677842355540616
2015-10-01,40745,42827,40745,42233,376353,0.042198257779532566
2015-10-02,42307,42753,41340,41638,195154,-0.014088508985864112
2015-10-05,42381,44240,41712,44092,436551,0.05893654834526152
2015-10-06,44612,44909,42381,44166,348061,0.001678308990292976
2015-10-07,44017,45206,43422,43794,262163,-0.00842276864556446
2015-10-08,44612,45206,43348,44240,330387,0.010184043476275217
2015-10-12,44909,46024,44240,44686,372491,0.01008137432188061
2015-10-13,45355,46619,44909,46620,427925,0.04327977442599473
2015-10-14,45876,46173,44240,44240,349293,-0.05105105105105101
2015-10-15,44612,46768,44537,46322,318069,0.04706148282097655
2015-10-16,46470,46619,45058,45653,171184,-0.014442381589741426
2015-10-19,46024,46247,44983,45653,131943,0.0
2015-10-20,45578,46024,44463,45504,164122,-0.003263750465467785
2015-10-21,45578,46619,43645,44315,376834,-0.026129571026722975
2015-10-22,43496,43868,41637,42530,478238,-0.040279814961074134
2015-10-23,42604,43125,41266,42307,463841,-0.005243357629908352
2015-10-26,42455,42753,39035,39779,834528,-0.05975370506062827
2015-10-27,36061,36916,33905,36099,3106996,-0.09251112395987837
2015-10-28,36321,36358,34908,35132,1024292,-0.026787445635613194
2015-10-29,35466,35578,34500,34946,842360,-0.005294318569964651
2015-10-30,34202,34760,34053,34240,632224,-0.020202598294511542
2015-11-02,34239,34871,33979,34351,483902,0.003241822429906449
2015-11-03,34760,36396,34760,36322,799621,0.05737824226368948
2015-11-04,36507,36619,34983,35355,654732,-0.026622983315896742
2015-11-05,35132,35132,32864,33645,1073578,-0.04836656767076797
2015-11-06,33273,33644,32120,32195,1048444,-0.04309704265121117
2015-11-09,32120,32195,30596,30894,711240,-0.0404100015530362
2015-11-10,30559,31414,30038,30262,682608,-0.020457046675729895
2015-11-11,30336,30522,29481,30262,688411,0.0
2015-11-12,30484,30670,29741,30039,467158,-0.007368977595664572
2015-11-13,29964,30633,29667,30596,448781,0.018542561336928554
2015-11-16,30150,30261,29481,29741,518020,-0.027944829389462633
2015-11-17,30484,31377,30113,31117,528582,0.046266097306748355
2015-11-18,31302,31302,29964,30113,384224,-0.032265321207057274
2015-11-19,30447,32157,30447,32121,596459,0.06668216384950032
2015-11-20,32269,32418,31637,32269,445990,0.004607577597210533
2015-11-23,32418,33273,32380,32678,478891,0.012674703275589616
2015-11-24,32752,33124,32529,32827,384108,0.004559642572984801
2015-11-25,32715,32827,31860,32604,388106,-0.00679318853382882
2015-11-26,32380,32418,30484,31117,891763,-0.045607900871058815
2015-11-27,31005,31748,30299,31377,321372,0.008355561268759804
2015-11-30,31005,31228,30447,30485,532416,-0.028428466711285294
2015-12-01,30559,30893,30336,30745,388226,0.008528784648187626
2015-12-02,30633,30633,29741,29853,540491,-0.029012847617498783
2015-12-03,29741,30038,29518,29704,446292,-0.004991123170200673
2015-12-04,29369,29927,29295,29779,270533,0.0025249124697011016
2015-12-07,30038,30150,29183,29258,338508,-0.017495550555760797
