Date,Open,High,Low,Close,Volume,Change
2018-06-12,75600,77900,68100,75600,3485779,
2018-06-14,71900,73400,67100,70500,1164317,-0.06746031746031744
2018-06-15,69800,71000,66000,66300,573753,-0.05957446808510636
2018-06-18,65900,66500,59900,61000,854098,-0.07993966817496234
2018-06-19,60800,61400,55000,55000,968919,-0.09836065573770492
2018-06-20,56300,59200,55000,56900,904708,0.034545454545454435
2018-06-21,56400,59000,55100,56000,709747,-0.01581722319859402
2018-06-22,56000,56300,53000,55500,585577,-0.008928571428571397
2018-06-25,55700,56800,54500,56500,401089,0.018018018018018056
2018-06-26,55400,56300,54000,54000,372448,-0.04424778761061943
2018-06-27,54300,54400,51500,52500,500629,-0.02777777777777779
2018-06-28,52700,53200,50100,50100,379801,-0.04571428571428571
2018-06-29,51000,54900,50000,53900,464182,0.07584830339321358
2018-07-02,54500,55800,53200,53700,550635,-0.0037105751391465214
2018-07-03,55100,58700,54000,56700,634945,0.05586592178770955
2018-07-04,57000,58400,56100,58200,289788,0.02645502645502651
2018-07-05,56400,57900,55800,56700,217799,-0.02577319587628868
2018-07-06,57000,59900,55400,58400,311064,0.029982363315696592
2018-07-09,57500,58800,56700,57000,257111,-0.023972602739726012
2018-07-10,57200,58200,55400,56700,260445,-0.0052631578947368585
2018-07-11,55700,58500,55600,57400,277048,0.012345679012345734
2018-07-12,57100,58700,56700,57400,213903,0.0
2018-07-13,57300,58400,56600,56600,211126,-0.013937282229965153
2018-07-16,57000,57000,54000,54000,247299,-0.04593639575971731
2018-07-17,54600,54600,52800,54000,155864,0.0
2018-07-18,53800,54000,51400,51900,233410,-0.03888888888888886
2018-07-19,51700,51900,49800,49800,245698,-0.040462427745664775
2018-07-20,50100,54400,49800,53100,315253,0.06626506024096379
2018-07-23,53100,53800,52400,52900,196041,-0.0037664783427495685
2018-07-24,53800,58000,53300,56500,525366,0.06805293005671076
2018-07-25,57900,60300,56100,60300,519777,0.06725663716814156
2018-07-26,60800,60800,58200,59200,343782,-0.018242122719734688
2018-07-27,59800,59800,57400,58900,223666,-0.0050675675675675436
2018-07-30,59800,62300,59300,60700,347156,0.03056027164685915
2018-07-31,60600,61100,57500,57500,286973,-0.05271828665568368
2018-08-01,57800,58600,56400,57300,376357,-0.003478260869565264
2018-08-02,57400,58300,56000,56300,305644,-0.017452006980802848
2018-08-03,56500,58200,56300,57900,134179,0.02841918294849033
2018-08-06,58000,59000,57600,58100,114020,0.003454231433505983
2018-08-07,58800,58800,56900,57200,150846,-0.015490533562822706
2018-08-08,57000,57200,56200,56600,203771,-0.010489510489510523
2018-08-09,56600,56900,56300,56700,113756,0.0017667844522968323
2018-08-10,57300,57700,56300,56400,148793,-0.005291005291005346
2018-08-13,56400,56800,56000,56100,177914,-0.005319148936170248
2018-08-14,56100,56400,55400,55700,256296,-0.007130124777183555
2018-08-16,55800,56800,55500,55800,259634,0.0017953321364452268
2018-08-17,55900,56200,55600,55700,147760,-0.0017921146953404632
2018-08-20,56300,57100,56000,56600,116909,0.016157989228007263
2018-08-21,56700,57100,56200,56300,178910,-0.005300353356890497
2018-08-22,56600,57500,56300,57200,162257,0.015985790408525657
2018-08-23,57200,57300,56300,56900,137235,-0.005244755244755206
2018-08-24,56500,58300,56400,58000,213129,0.019332161687170446
2018-08-27,57500,57500,56000,56100,304524,-0.03275862068965518
2018-08-28,56700,59800,56500,57400,495770,0.02317290552584672
2018-08-29,58000,58000,56100,57500,260643,0.0017421602787457413
2018-08-30,57500,57600,56400,56700,218024,-0.013913043478260834
2018-08-31,56700,57300,55900,55900,214458,-0.014109347442680775
2018-09-03,56200,57500,56200,56700,110883,0.014311270125223707
2018-09-04,56900,58300,56900,57900,205957,0.021164021164021163
2018-09-05,58100,58400,56600,56600,169049,-0.022452504317789335
2018-09-06,57000,57800,56500,56500,188624,-0.0017667844522968323
2018-09-07,57100,57800,55900,56400,261816,-0.001769911504424737
2018-09-10,56500,63400,56500,63200,858884,0.12056737588652489
2018-09-11,63700,64200,61000,61400,558211,-0.02848101265822789
2018-09-12,62000,62500,59400,60900,400354,-0.008143322475570036
2018-09-13,61000,61000,58900,60200,405655,-0.011494252873563204
2018-09-14,60700,62400,60200,62300,422793,0.03488372093023262
2018-09-17,63100,63200,61000,62100,252740,-0.0032102728731941976
2018-09-18,62200,62200,59400,59600,366042,-0.040257648953301084
2018-09-19,59900,60000,57100,57100,432356,-0.04194630872483218
2018-09-20,57400,58100,53200,54800,686079,-0.04028021015761818
2018-09-21,55200,56700,54100,55500,311941,0.012773722627737127
2018-09-27,55700,55700,52000,52700,509693,-0.05045045045045049
2018-09-28,52900,52900,50800,50900,740307,-0.034155597722960174
2018-10-01,51600,53400,51000,53200,316865,0.04518664047151266
2018-10-02,52700,53400,51600,51700,201213,-0.02819548872180455
2018-10-04,52400,52600,49900,50400,314027,-0.025145067698259194
2018-10-05,50500,51500,49150,50800,190164,0.007936507936507908
2018-10-08,50700,50700,48500,49000,307010,-0.03543307086614178
2018-10-10,48450,48850,44300,44900,726638,-0.0836734693877551
2018-10-11,42100,44600,42100,42200,352729,-0.060133630289532336
2018-10-12,42200,43500,42150,42650,296515,0.010663507109004655
2018-10-15,42350,43000,41100,41600,185745,-0.024618991793669442
2018-10-16,41700,42250,40650,41000,229591,-0.014423076923076872
2018-10-17,41700,43800,41500,42600,267761,0.039024390243902474
2018-10-18,42950,44250,42650,42900,209542,0.007042253521126751
2018-10-19,42700,43400,41750,43350,177077,0.010489510489510412
2018-10-22,43250,43250,41500,42350,178151,-0.023068050749711633
2018-10-23,42100,43250,42000,42250,265072,-0.0023612750885477762
2018-10-24,42700,43850,42650,43400,351274,0.02721893491124261
2018-10-25,42300,46300,40650,45050,498158,0.03801843317972353
2018-10-26,45500,45500,41600,41750,233121,-0.07325194228634846
2018-10-29,41750,43700,41450,41450,192608,-0.007185628742514938
2018-10-30,40600,43700,40600,43200,151800,0.04221954161640529
2018-10-31,42700,44650,42150,44000,133192,0.0185185185185186
2018-11-01,44300,45950,43200,43500,140247,-0.011363636363636354
2018-11-02,44800,45300,44000,44950,198974,0.03333333333333344
2018-11-05,44500,44500,42300,42800,229241,-0.04783092324805338
2018-11-06,43300,43450,41650,42400,172021,-0.009345794392523366
2018-11-07,42300,43250,41150,41900,281605,-0.011792452830188704
2018-11-08,42450,42900,41900,41900,246481,0.0
2018-11-09,42000,42350,41150,41600,161093,-0.007159904534606243
2018-11-12,41650,42200,41050,41450,120661,-0.0036057692307692735
