Date,Open,High,Low,Close,Volume,Change
2015-01-02,13036,13215,12766,12768,16633,-0.013901760889712733
2015-01-05,12855,12901,12632,12723,11109,-0.003524436090225569
2015-01-06,12632,12901,12586,12859,54458,0.01068930283738112
2015-01-07,12721,12901,12721,12859,10816,0.0
2015-01-08,12855,12901,12766,12859,10515,0.0
2015-01-09,12855,12855,12721,12768,77450,-0.007076755579749627
2015-01-12,12766,12901,12721,12813,28834,0.003524436090225569
2015-01-13,12766,12855,12721,12768,15209,-0.003512058066026724
2015-01-14,12855,13215,12766,13082,63866,0.024592731829574
2015-01-15,13081,13171,12947,13082,19395,0.0
2015-01-16,13126,13171,12901,12948,24128,-0.010243082097538547
2015-01-19,12855,13036,12811,12813,76696,-0.01042632066728455
2015-01-20,12766,12855,12677,12768,24348,-0.003512058066026724
2015-01-21,12766,12811,12541,12543,41984,-0.017622180451127845
2015-01-22,12541,12721,12182,12273,48311,-0.021525950729490595
2015-01-23,12272,12541,12272,12499,23210,0.01841440560580132
2015-01-26,12361,12586,12361,12409,14411,-0.0072005760460837065
2015-01-27,12406,12586,12316,12409,25774,0.0
2015-01-28,12496,12496,12272,12409,19227,0.0
2015-01-29,12406,12496,12316,12499,41726,0.007252800386815972
2015-01-30,12451,13036,12451,12633,208875,0.010720857668613526
2015-02-02,12811,12855,12496,12499,66447,-0.010607140030079898
2015-02-03,12586,12721,12541,12723,36427,0.01792143371469712
2015-02-04,12811,12811,12586,12678,48226,-0.0035369016741334525
2015-02-05,12677,12811,12541,12633,82240,-0.0035494557501183355
2015-02-06,12632,13036,12632,12903,68981,0.021372595582996867
2015-02-09,13036,13261,12855,13218,102198,0.024412927226226566
2015-02-10,13350,13396,13126,13173,53784,-0.0034044484793464003
2015-02-11,13215,13350,13036,13263,51651,0.006832156684126733
2015-02-12,13261,13350,13081,13263,59315,0.0
2015-02-13,13261,13530,13261,13442,46469,0.013496192414989006
2015-02-16,13485,14115,13485,13937,93008,0.03682487725040917
2015-02-17,13890,13980,13530,13622,55040,-0.022601707684580585
2015-02-23,13711,13845,13485,13622,39640,0.0
2015-02-24,13755,14025,13666,13847,58097,0.016517398326237
2015-02-25,13845,14025,13755,13801,36815,-0.0033220192099371326
2015-02-26,13755,13890,13306,13488,71161,-0.02267951597710316
2015-02-27,13441,13530,13215,13488,48254,0.0
2015-03-02,13935,14070,13755,13847,42753,0.026616251482799447
2015-03-03,13845,13935,13666,13757,46206,-0.006499602802050974
2015-03-04,13980,14205,13306,13352,209207,-0.029439558043177994
2015-03-05,13350,13666,13350,13398,84383,0.0034451767525465193
2015-03-06,13306,13620,13306,13622,47418,0.016718913270637348
2015-03-09,13575,13575,13306,13307,48111,-0.02312435765673171
2015-03-10,13396,13441,13171,13218,43990,-0.006688209213196017
2015-03-11,13126,13306,13081,13128,38027,-0.0068088969586926895
2015-03-12,13171,13396,13126,13173,35734,0.0034277879341864104
2015-03-13,13215,13396,13171,13398,61774,0.01708039171031661
2015-03-16,13396,13485,13261,13398,48800,0.0
2015-03-17,13396,13441,13306,13442,45372,0.003284072249589487
2015-03-18,13441,13575,13215,13352,56802,-0.006695432227347142
2015-03-19,13396,13666,13350,13622,104454,0.020221689634511764
2015-03-20,13666,14385,13575,14387,332098,0.056159154309205706
2015-03-23,14385,14475,14160,14341,121118,-0.0031973309237506298
2015-03-24,14340,14430,14115,14252,94239,-0.006205982846384517
2015-03-25,14294,14654,14205,14521,172142,0.018874543923659948
2015-03-26,14340,14475,14205,14341,94173,-0.012395840506852163
2015-03-27,14385,15194,14249,14791,185481,0.03137856495362956
2015-03-30,14789,14835,14475,14566,72462,-0.01521195321479274
2015-03-31,14564,14880,14340,14701,100968,0.009268158725799891
2015-04-01,14700,14835,14249,14701,70728,0.0
2015-04-02,14745,15374,14430,15016,173273,0.021427113801782083
2015-04-03,15013,15059,14519,14746,62731,-0.01798082045817795
2015-04-06,14700,14789,14519,14701,58984,-0.0030516750305167317
2015-04-07,14789,15149,14609,15016,87477,0.021427113801782083
2015-04-08,15013,15194,14835,14971,70010,-0.0029968034096963247
2015-04-09,15059,15464,14924,15465,224179,0.032997127780375335
2015-04-10,15553,16228,15419,15869,253724,0.026123504688005283
2015-04-13,16183,16587,16003,16590,196224,0.04543449492721652
2015-04-14,16498,17172,15688,15825,322328,-0.04611211573236895
2015-04-15,15913,17531,15779,17534,326000,0.1079936808846762
2015-04-16,18702,20140,17891,18297,1115044,0.043515455686095494
2015-04-17,18071,20230,17937,20230,440382,0.10564573427337809
2015-04-20,20724,23241,20724,23244,839946,0.14898665348492335
2015-04-21,25265,26702,23961,26705,1018429,0.14889864050937884
2015-04-22,27872,29895,24905,28458,1253320,0.06564313798914068
2015-04-23,27872,28141,25039,26390,545816,-0.07266849392086583
2015-04-24,25534,25759,23241,24097,547465,-0.08688897309586963
2015-04-27,24545,25579,23826,25086,342114,0.04104245341743784
2015-04-28,25174,25174,23511,24008,220510,-0.042972175715538574
2015-04-29,24275,24725,23467,24412,168849,0.01682772409196942
2015-04-30,24005,25624,23916,24997,202215,0.02396362444699318
2015-05-04,25265,26883,25039,26166,286155,0.04676561187342476
2015-05-06,26299,26523,24275,24727,179722,-0.05499503172055342
2015-05-07,24320,25400,23062,25312,171297,0.023658349172968718
2015-05-08,25400,28277,24725,27516,262006,0.08707332490518338
