Date,Open,High,Low,Close,Volume,Change
2015-01-02,517000,535000,515000,535000,32444,0.028846153846153744
2015-01-05,544000,544000,523000,527000,51722,-0.01495327102803734
2015-01-06,520000,527000,510000,510000,35243,-0.032258064516129004
2015-01-07,515000,524000,506000,519000,29348,0.01764705882352935
2015-01-08,519000,525000,506000,506000,48595,-0.025048169556840083
2015-01-09,509000,509000,487500,499000,100806,-0.013833992094861691
2015-01-12,502000,524000,501000,522000,86532,0.04609218436873741
2015-01-13,525000,532000,520000,529000,67178,0.013409961685823646
2015-01-14,529000,533000,518000,526000,31862,-0.005671077504725952
2015-01-15,523000,539000,523000,536000,32085,0.019011406844106515
2015-01-16,532000,536000,522000,525000,18694,-0.020522388059701524
2015-01-19,531000,532000,522000,525000,15947,0.0
2015-01-20,523000,543000,523000,541000,41933,0.030476190476190546
2015-01-21,543000,543000,532000,540000,24185,-0.001848428835489857
2015-01-22,544000,544000,523000,530000,33369,-0.01851851851851849
2015-01-23,537000,539000,528000,538000,23931,0.015094339622641506
2015-01-26,535000,537000,525000,529000,26605,-0.016728624535315983
2015-01-27,531000,537000,529000,533000,35650,0.007561436672967936
2015-01-28,533000,549000,524000,548000,62796,0.02814258911819878
2015-01-29,545000,554000,535000,549000,41934,0.0018248175182482562
2015-01-30,553000,556000,543000,551000,41197,0.0036429872495447047
2015-02-02,551000,560000,547000,556000,33590,0.00907441016333932
2015-02-03,559000,560000,546000,551000,21334,-0.008992805755395739
2015-02-04,552000,559000,543000,548000,35747,-0.005444646098003658
2015-02-05,546000,555000,534000,552000,43045,0.007299270072992803
2015-02-06,548000,551000,523000,529000,73728,-0.04166666666666663
2015-02-09,527000,529000,513000,520000,45152,-0.017013232514177745
2015-02-10,520000,532000,515000,528000,23219,0.01538461538461533
2015-02-11,530000,535000,525000,529000,20836,0.0018939393939394478
2015-02-12,527000,532000,520000,527000,20688,-0.003780718336483968
2015-02-13,528000,532000,522000,529000,17418,0.00379506641366234
2015-02-16,526000,530000,519000,521000,23481,-0.015122873345935761
2015-02-17,520000,529000,519000,521000,17393,0.0
2015-02-23,522000,530000,521000,528000,14434,0.013435700575815668
2015-02-24,526000,548000,526000,543000,43518,0.02840909090909083
2015-02-25,547000,570000,545000,570000,95559,0.04972375690607733
2015-02-26,580000,592000,570000,587000,82155,0.029824561403508865
2015-02-27,581000,591000,579000,591000,55781,0.006814310051107331
2015-03-02,588000,602000,588000,591000,47908,0.0
2015-03-03,593000,597000,574000,583000,44159,-0.013536379018612488
2015-03-04,576000,585000,573000,575000,20477,-0.013722126929674117
2015-03-05,572000,580000,566000,575000,28681,0.0
