Symbol,Name,Sector,Industry
051500,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식"
037370,EG,기타 전문 도매업,"산화철, 대기수처리방지시설, 무역"
130500,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼"
083450,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller"
024120,KB오토시스,자동차 신품 부품 제조업,브레이크패드
083470,KJ프리텍,플라스틱제품 제조업,"소형 BLU, 정밀 플라스틱 제품"
060250,NHN한국사이버결제,기타 정보 서비스업,전자결제서비스업
032540,TJ미디어,영상 및 음향기기 제조업,영상음향반주기
038340,UCI,일반 교습 학원,캐패시터
051390,YW,상품 종합 도매업,"이동통신중계시스템, 데이터네트웍장비, 광전송 장비"
094480,갤럭시아컴즈,소프트웨어 개발 및 공급업,전자결제
063080,게임빌,기타 금융업,모바일게임
038530,골드퍼시픽,생활용품 도매업,"주문형반도체, IMT-2000 Modem Chip 등"
307280,교보8호스팩,금융 지원 서비스업,기업인수합병
036190,금화피에스시,전기 및 통신 공사업,"설비,철물,전기,강구조물"
089600,나스미디어,광고업,광고매체 판매
085910,네오티스,자동차 신품 부품 제조업,"마이크로비트,샤프트"
031390,녹십자셀,기초 의약물질 및 생물학적 제제 제조업,항암세포치료제
142280,녹십자엠에스,의료용품 및 기타 의약 관련제품 제조업,"혈액백, 진단시약, 혈액투석액"
012340,뉴인텍,전자부품 제조업,콘덴서
085670,뉴프렉스,전자부품 제조업,연성인쇄회로기판
007720,대명코퍼레이션,상품 종합 도매업,기업소모성자재 구매대행업
078140,대봉엘에스,의약품 제조업,"원료의약품,화장품원료"
071460,대유위니아,가정용 기기 제조업,"김치냉장고(스탠드형, 뚜껑형), 에어컨, 프리미엄 냉장고 등"
010170,대한광통신,절연선 및 케이블 제조업,광섬유
023910,대한약품,의약품 제조업,수액제
213420,덕산네오룩스,전자부품 제조업,"HTL(정공수송층), HIL(정공주입층), RED HOST"
099410,동방선기,선박 및 보트 건조업,선박용 배관 등
066900,디에이피,전자부품 제조업,Build-Up PCB(인쇄회로기판)
092070,디엔에프,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체)
039840,디오,의료용 기기 제조업,자동포장기계
033130,디지틀조선,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",위성서비스
263020,디케이앤디,플라스틱제품 제조업,합성피혁 및 부직포
290550,디케이티,전자부품 제조업,스마트폰용 FPCA
038390,레드캡투어,여행사 및 기타 여행보조 서비스업,"S/W개발 및 공급, DB개발"
016100,리더스코스메틱,기타 화학제품 제조업,화장품
038290,마크로젠,"그외 기타 전문, 과학 및 기술 서비스업","DNA Sequencing, Microarray, Genetically Engineered Mouse"
127160,매직마이크로,전자부품 제조업,"LED 리드프레임, LED PKG"
257370,명성티엔에스,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비"
250060,모비스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업인수합병
049950,미래컴퍼니,특수 목적용 기계 제조업,EdgeGrinder
213090,미래테크놀로지,소프트웨어 개발 및 공급업,OTP
206640,바디텍메드,의료용품 및 기타 의약 관련제품 제조업,기업인수합병
084990,바이로메드,자연과학 및 공학 연구개발업,"기술이전수입,연구용시료"
086820,바이오솔루션,기초 의약물질 및 생물학적 제제 제조업,"세포치료제, 인체조직모델 등"
008470,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업","관류보일러,진공온수보일러,무압온수보일러,난방기 제조,판매"
138580,비즈니스온,소프트웨어 개발 및 공급업,전자세금계산서 발행서비스(스마트빌)
054220,비츠로시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","원방감시제어시스템, 분산제어시스템"
122350,삼기오토모티브,자동차 신품 부품 제조업,자동차부품
018310,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업","유로폼,갱폼,알루미늄폼,특수폼,유리온실사업"
023600,삼보판지,"펄프, 종이 및 판지 제조업","골판지,골판지상자"
009300,삼아제약,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘"
011560,세보엠이씨,건물설비 설치 공사업,"건설관련설비, ACESS FLOOR , 소음기 , CHAMMBER , PFP UNIT, BY-PASS UNIT , DUCT , 철구조물 ."
258830,세종메디칼,의료용 기기 제조업,복강경수술용 투관침 등
091990,셀트리온헬스케어,기타 전문 도매업,바이오의약품 마케팅 및 판매
066910,손오공,"인형,장난감 및 오락용품 제조업","완구,게임,캐릭터수입수수료"
033790,스카이문스테크놀로지,통신 및 방송 장비 제조업,무선통신시스템용 중계기
049830,승일,기타 금속 가공제품 제조업,"에어졸캔,에어졸발브"
217330,싸이토젠,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼
208640,썸에이지,소프트웨어 개발 및 공급업,기업인수합병
136510,쎄미시스코,특수 목적용 기계 제조업,"EGIS(유리기판 검사장비), Smart-EPD 및 Smart-HMS(플라즈마 검사장비)"
036170,씨티젠,반도체 제조업,LED패키지
040910,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입"
031310,아이즈비전,전기 통신업,"홈쇼핑(아이즈홈쇼핑), 국제전화(아이즈텔), 가정용유무선 전화기판매(TopPhone)"
119830,아이텍반도체,"그외 기타 전문, 과학 및 기술 서비스업",비메모리 반도체 테스트
096610,알에프세미,반도체 제조업,"ECM, DIODE, LED Light"
196170,알테오젠,자연과학 및 공학 연구개발업,바이오시밀러 및 바이오베터
085810,알티캐스트,소프트웨어 개발 및 공급업,"디지털 방송용 소프트웨어(셋톱박스용 미들웨어 등), CAS(수신제한시스템)"
205500,액션스퀘어,소프트웨어 개발 및 공급업,모바일게임
131400,액트,전자부품 제조업,연성회로기판
121890,에스디시스템,전자부품 제조업,"요금징수시스템, 지능형교통시스템,하이패스단말기"
112240,에스에프씨,플라스틱제품 제조업,"태양광 모듈용 백시트, 라미네이팅 필름"
160600,에스엔텍,특수 목적용 기계 제조업,"진공합착기, NPS"
263920,에스엔피월드,그외 기타 제품 제조업,"화장용 스펀지, 퍼프"
096630,에스코넥,통신 및 방송 장비 제조업,WaferProber
039440,에스티아이,특수 목적용 기계 제조업,"Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템"
