Date,Close,Open,High,Low,Volume,Change
2015-01-02,244.79,243.96,245.32,243.25,54150.0,0.003
2015-01-05,244.26,243.83,244.56,241.76,62850.0,-0.0022
2015-01-06,239.93,241.36,242.06,239.32,66250.0,-0.0177
2015-01-07,240.53,239.41,240.91,239.09,54600.0,0.0025
2015-01-08,243.94,242.28,244.13,241.68,64019.99999999999,0.014199999999999999
2015-01-09,246.05,245.97,247.11,245.4,65129.99999999999,0.0086
2015-01-12,245.7,245.16,246.27,245.05,64519.99999999999,-0.0014000000000000002
2015-01-13,246.29,244.98,246.64,244.47,59910.0,0.0024
2015-01-14,245.99,246.48,247.46,245.78,70780.0,-0.0012
2015-01-15,245.76,245.96,246.63,244.9,59450.0,-0.0009
2015-01-16,242.22,244.7,244.7,241.77,73310.0,-0.0144
2015-01-19,244.78,244.06,245.82,243.69,63220.0,0.0106
2015-01-20,247.24,245.52,247.39,245.5,55120.0,0.01
2015-01-21,248.59,247.01,248.59,246.63,64989.99999999999,0.0055000000000000005
2015-01-22,248.47,249.22,249.98,248.01,76610.0,-0.0005
2015-01-23,250.32,251.76,251.8,249.55,78370.0,0.0074
2015-01-26,250.14,248.92,250.21,248.42,62740.0,-0.0007000000000000001
2015-01-27,252.2,250.76,252.2,250.56,85050.0,0.008199999999999999
2015-01-28,252.21,250.82,252.5,250.12,85190.0,0.0
2015-01-29,250.46,250.45,251.84,249.78,83370.0,-0.0069
2015-01-30,249.88,251.82,251.84,249.88,93070.0,-0.0023
2015-02-02,250.61,249.83,251.2,249.49,76490.0,0.0029
2015-02-03,250.38,251.63,251.66,249.22,79090.0,-0.0009
2015-02-04,251.6,251.98,253.07,251.6,78230.0,0.0049
2015-02-05,249.78,251.33,251.42,248.9,69970.0,-0.0072
2015-02-06,250.16,249.89,250.16,248.68,76080.0,0.0015
2015-02-09,249.26,249.05,249.94,248.58,64830.0,-0.0036
2015-02-10,247.66,249.62,250.42,247.66,62810.0,-0.0064
2015-02-11,248.4,248.49,249.01,247.77,64780.0,0.003
2015-02-12,247.71,248.48,248.5,246.32,66380.0,-0.0028000000000000004
2015-02-13,249.76,248.65,249.76,248.26,63130.0,0.0083
2015-02-16,249.81,250.17,250.55,249.54,52100.0,0.0002
2015-02-17,250.37,249.36,250.67,248.92,55680.0,0.0022
2015-02-23,250.8,252.13,252.51,250.56,58970.0,0.0017000000000000001
2015-02-24,251.28,251.83,252.11,251.09,61660.0,0.0019
2015-02-25,252.96,252.72,253.22,252.01,79620.0,0.0067
2015-02-26,252.93,253.03,253.13,251.89,79380.0,-0.0001
2015-02-27,251.46,252.73,252.83,251.2,80290.0,-0.0058
2015-03-02,253.65,253.13,253.74,252.39,92830.0,0.0087
2015-03-03,254.5,254.55,254.97,253.89,87500.0,0.0034000000000000002
2015-03-04,254.31,254.56,254.72,253.89,72310.0,-0.0007000000000000001
2015-03-05,254.16,254.02,254.86,253.64,58420.0,-0.0006
2015-03-06,255.96,254.74,256.15,254.73,83130.0,0.0070999999999999995
2015-03-09,252.77,254.81,254.94,252.69,65400.00000000001,-0.0125
2015-03-10,251.75,253.76,254.16,251.75,76300.0,-0.004
2015-03-11,252.16,250.09,252.66,250.09,79670.0,0.0016
2015-03-12,250.28,251.67,253.23,250.28,98650.0,-0.0075
2015-03-13,252.18,252.56,253.31,251.98,66610.0,0.0076
2015-03-16,252.44,252.13,253.2,251.56,72870.0,0.001
2015-03-17,258.18,253.77,258.19,253.7,85120.0,0.0227
2015-03-18,258.22,258.45,259.19,257.87,85370.0,0.0002
2015-03-19,258.99,260.68,260.68,258.37,120600.0,0.003
2015-03-20,258.7,258.92,259.32,257.42,81300.0,-0.0011
2015-03-23,258.95,259.48,259.88,258.16,84490.0,0.001
2015-03-24,259.16,258.58,259.34,257.56,71440.0,0.0008
2015-03-25,258.94,259.35,259.84,258.38,84760.0,-0.0008
2015-03-26,255.99,256.69,258.08,255.81,78160.0,-0.011399999999999999
2015-03-27,255.54,256.41,256.73,255.1,72670.0,-0.0018
2015-03-30,256.1,256.45,256.57,254.91,68980.0,0.0022
2015-03-31,257.28,257.66,258.43,256.16,83460.0,0.0046
2015-04-01,254.97,256.44,256.75,254.74,83090.0,-0.009000000000000001
2015-04-02,254.99,256.07,256.37,254.7,76750.0,0.0001
2015-04-03,256.75,255.77,256.92,255.05,67530.0,0.0069
2015-04-06,256.93,257.2,258.43,256.34,79390.0,0.0007000000000000001
2015-04-07,256.88,258.65,258.68,256.61,74990.0,-0.0002
2015-04-08,258.51,257.09,258.81,256.83,99680.0,0.0063
2015-04-09,258.33,258.44,259.21,257.61,85940.0,-0.0007000000000000001
2015-04-10,261.95,259.35,262.2,259.2,104470.0,0.013999999999999999
2015-04-13,263.48,262.62,263.75,262.11,123220.0,0.0058
2015-04-14,265.57,263.81,265.6,263.2,151050.0,0.0079
2015-04-15,265.77,265.76,266.41,264.93,111940.0,0.0008
2015-04-16,268.45,267.67,268.45,266.42,113930.0,0.0101
2015-04-17,268.28,268.73,268.81,267.42,90560.0,-0.0006
2015-04-20,268.55,266.14,268.59,266.14,100120.0,0.001
2015-04-21,268.17,269.03,269.13,267.56,102400.0,-0.0014000000000000002
2015-04-22,268.64,268.2,270.65,267.22,136290.0,0.0018
2015-04-23,272.59,270.27,272.78,268.85,134660.0,0.0147
2015-04-24,271.05,273.81,275.11,270.33,144050.0,-0.005600000000000001
2015-04-27,270.05,272.16,272.29,269.29,92880.0,-0.0037
2015-04-28,268.55,270.63,270.93,268.1,100580.0,-0.005600000000000001
2015-04-29,268.03,269.54,269.76,265.92,117330.0,-0.0019
2015-04-30,266.42,267.04,267.57,265.85,106980.0,-0.006
2015-05-04,267.33,267.57,268.56,266.99,81080.0,0.0034000000000000002
2015-05-06,264.03,265.96,266.18,263.09,103580.0,-0.0123
2015-05-07,262.47,263.11,263.49,260.1,97360.0,-0.0059
2015-05-08,260.81,262.11,262.72,260.81,69310.0,-0.0063
2015-05-11,261.49,263.45,263.88,261.49,71250.0,0.0026
2015-05-12,261.42,262.12,262.35,260.52,78810.0,-0.0003
2015-05-13,263.25,261.82,263.65,261.73,73270.0,0.006999999999999999
2015-05-14,263.69,263.18,263.88,262.63,74920.0,0.0017000000000000001
2015-05-15,261.33,265.24,265.51,261.09,82260.0,-0.0089
2015-05-18,261.97,261.28,261.97,260.45,81470.0,0.0024
2015-05-19,262.92,261.84,263.97,261.04,87590.0,0.0036
2015-05-20,265.36,263.79,265.54,263.43,92550.0,0.009300000000000001
2015-05-21,262.66,265.2,265.38,262.41,84420.0,-0.0102
2015-05-22,266.03,263.66,266.03,263.28,99740.0,0.0128
2015-05-26,265.41,265.96,266.16,263.82,100610.0,-0.0023
2015-05-27,260.16,263.9,264.22,259.72,103090.0,-0.019799999999999998
2015-05-28,260.06,261.13,261.93,260.06,93500.0,-0.0004
2015-05-29,260.39,259.88,261.91,259.47,106340.0,0.0013
2015-06-01,258.74,259.84,260.0,257.13,80710.0,-0.0063
2015-06-02,256.29,258.8,259.49,255.91,114420.0,-0.0095
2015-06-03,254.11,256.54,257.44,253.51,104070.0,-0.0085
2015-06-04,255.47,255.4,257.04,254.34,101270.0,0.0054
2015-06-05,254.94,254.09,256.12,254.0,94580.0,-0.0021
2015-06-08,254.21,254.87,254.87,253.34,84660.0,-0.0029
2015-06-09,253.51,253.78,255.06,252.68,79050.0,-0.0028000000000000004
2015-06-10,252.11,255.5,255.68,251.95,85550.0,-0.0055000000000000005
2015-06-11,252.32,253.77,253.83,251.74,129130.0,0.0008
2015-06-12,251.66,253.94,254.77,250.84,89310.0,-0.0026
2015-06-15,250.74,250.14,251.37,249.38,67760.0,-0.0037
2015-06-16,248.49,250.94,251.0,246.42,93160.0,-0.009000000000000001
2015-06-17,249.08,249.27,249.53,247.52,71020.0,0.0024
2015-06-18,249.67,250.42,251.26,248.92,73000.0,0.0024
2015-06-19,249.84,251.37,251.41,249.79,88050.0,0.0007000000000000001
2015-06-22,250.99,251.6,252.69,250.45,64170.0,0.0046
2015-06-23,254.52,253.25,255.42,252.52,83600.0,0.0141
2015-06-24,254.94,255.01,255.24,253.79,72510.0,0.0017000000000000001
2015-06-25,253.8,253.84,254.66,253.42,80940.0,-0.0045000000000000005
2015-06-26,254.48,253.29,255.35,252.89,83210.0,0.0027
2015-06-29,251.26,250.61,251.96,250.36,89000.0,-0.0127
2015-06-30,252.27,250.52,252.39,250.2,74410.0,0.004
2015-07-01,255.07,252.49,255.52,251.65,85790.0,0.0111
2015-07-02,255.5,255.84,256.12,254.75,90090.0,0.0017000000000000001
2015-07-03,254.66,255.34,255.62,253.56,98710.0,-0.0033
2015-07-06,248.3,251.25,252.54,248.03,166950.0,-0.025
2015-07-07,248.05,249.57,249.86,246.56,149360.0,-0.001
2015-07-08,244.94,248.65,248.66,244.94,118840.0,-0.0125
2015-07-09,246.77,243.17,246.77,241.49,107120.0,0.0075
2015-07-10,246.83,247.8,247.8,246.08,101710.0,0.0002
2015-07-13,249.84,247.0,250.12,246.64,118990.0,0.012199999999999999
2015-07-14,248.64,250.7,250.79,247.98,107050.0,-0.0048
2015-07-15,249.65,249.63,250.94,248.38,188370.0,0.0040999999999999995
2015-07-16,251.47,249.51,251.59,249.3,150450.0,0.0073
2015-07-17,250.23,253.05,253.15,249.02,133780.0,-0.0049
2015-07-20,248.91,250.02,250.52,248.43,95330.0,-0.0053
2015-07-21,250.35,249.93,251.15,248.57,108290.0,0.0058
2015-07-22,247.88,248.69,249.42,247.04,96060.0,-0.009899999999999999
2015-07-23,247.31,248.3,248.39,246.46,96300.0,-0.0023
2015-07-24,244.91,246.66,246.67,244.38,95760.0,-0.0097
2015-07-27,244.98,243.58,246.16,243.54,98470.0,0.0003
2015-07-28,245.21,243.82,246.1,242.86,97430.0,0.0009
2015-07-29,245.97,246.75,247.36,245.73,85210.0,0.0031
2015-07-30,243.61,246.01,246.5,243.61,106340.0,-0.0096
2015-07-31,244.3,244.62,244.9,241.87,95350.0,0.0028000000000000004
2015-08-03,241.48,243.71,243.71,241.06,79210.0,-0.0115
2015-08-04,243.55,241.46,243.56,241.42,71970.0,0.0086
2015-08-05,243.12,243.5,244.05,242.33,75480.0,-0.0018
2015-08-06,240.04,243.85,243.86,239.98,84490.0,-0.0127
2015-08-07,239.79,239.71,240.15,238.66,61300.0,-0.001
2015-08-10,239.18,239.54,239.58,238.07,64390.0,-0.0025
2015-08-11,237.91,241.23,241.92,237.85,96680.0,-0.0053
2015-08-12,237.24,237.06,238.65,234.75,103290.0,-0.0028000000000000004
2015-08-13,237.32,237.02,238.38,235.79,80880.0,0.0003
2015-08-17,235.37,238.22,238.28,235.35,61980.0,-0.008199999999999999
