Date,Open,High,Low,Close,Volume,Change
2015-01-02,29400,29700,28550,29300,83903,-0.02006688963210701
2015-01-05,28850,29450,28100,28450,142226,-0.029010238907849817
2015-01-06,28200,28800,28100,28500,66644,0.0017574692442883233
2015-01-07,28500,28950,28250,28400,84885,-0.0035087719298245723
2015-01-08,28400,29600,28150,28700,123769,0.010563380281690238
2015-01-09,29100,29500,28300,28700,111552,0.0
2015-01-12,28500,29200,28500,29050,32842,0.012195121951219523
2015-01-13,29200,29200,28350,28600,71204,-0.015490533562822706
2015-01-14,28450,29050,28400,29000,47688,0.013986013986013957
2015-01-15,29400,29550,28700,29550,92232,0.018965517241379404
2015-01-16,29550,30150,29450,30150,122190,0.020304568527918843
2015-01-19,29900,30650,29750,30150,80148,0.0
2015-01-20,30150,30600,29350,30000,68768,-0.00497512437810943
2015-01-21,29750,30450,29750,30250,62758,0.008333333333333304
2015-01-22,30600,30600,29650,30050,96775,-0.006611570247933907
2015-01-23,30250,30350,29700,29900,76832,-0.004991680532445919
2015-01-26,29650,30500,29650,30450,86074,0.018394648829431537
2015-01-27,30600,30600,29800,30300,98434,-0.0049261083743842304
2015-01-28,30600,30750,28750,30500,81113,0.0066006600660066805
2015-01-29,30150,30800,30150,30650,48247,0.004918032786885185
2015-01-30,30350,31500,30350,31500,46518,0.027732463295269127
2015-02-02,31000,31600,30900,31450,45439,-0.0015873015873015817
2015-02-03,31450,31450,30600,30800,59471,-0.020667726550079535
2015-02-04,30800,31350,30600,30900,92877,0.0032467532467532756
2015-02-05,30700,31600,30700,31600,91458,0.02265372168284796
2015-02-06,31600,31650,31050,31500,162016,-0.0031645569620253333
2015-02-09,31500,31800,30750,30850,46175,-0.020634920634920673
2015-02-10,30850,31450,30600,31000,42491,0.004862236628849326
2015-02-11,31250,31600,30750,31250,43776,0.008064516129032251
2015-02-12,31500,31750,30950,31600,43053,0.011200000000000099
2015-02-13,31800,31850,31300,31700,39626,0.0031645569620253333
2015-02-16,31400,31800,31250,31300,22932,-0.012618296529968487
2015-02-17,31600,32300,31400,32300,47589,0.03194888178913735
2015-02-23,32400,32500,31650,31800,47282,-0.015479876160990669
2015-02-24,31500,32300,31350,31450,57756,-0.011006289308176154
2015-02-25,31950,31950,31250,31250,66090,-0.006359300476947549
2015-02-26,31150,31800,31100,31400,67202,0.0047999999999999154
2015-02-27,31200,31900,31200,31500,70686,0.0031847133757962887
2015-03-02,31400,31850,30800,30800,66932,-0.022222222222222254
2015-03-03,30750,31150,30700,30700,86564,-0.0032467532467532756
2015-03-04,30600,30950,29800,30150,213306,-0.01791530944625408
2015-03-05,29900,30500,29900,30300,72816,0.004975124378109541
2015-03-06,30450,31000,29950,30850,74740,0.018151815181518094
2015-03-09,30400,31150,30400,30800,98766,-0.0016207455429497752
2015-03-10,30500,31050,30350,30800,102880,0.0
2015-03-11,30850,30850,30250,30550,63092,-0.008116883116883078
2015-03-12,30350,30700,29900,30350,209189,-0.006546644844517169
2015-03-13,30400,31250,30400,30700,72435,0.011532125205930832
2015-03-16,30700,31500,30700,31200,89889,0.016286644951140072
2015-03-17,31350,31650,30950,31100,51506,-0.0032051282051281937
2015-03-18,31600,31700,30650,30650,78381,-0.014469453376205754
2015-03-19,30750,31150,30300,30600,87644,-0.0016313213703099683
2015-03-20,30550,31050,30400,30400,58182,-0.006535947712418277
2015-03-23,30550,31100,30450,30650,93623,0.008223684210526327
2015-03-24,30700,30950,30300,30750,55395,0.0032626427406199365
2015-03-25,30550,30950,30500,30900,43304,0.004878048780487809
2015-03-26,30950,31300,30750,31000,62342,0.003236245954692629
2015-03-27,31200,31200,30750,31000,49413,0.0
2015-03-30,31000,31400,30900,31100,36438,0.003225806451612856
2015-03-31,31200,32200,31200,31700,93826,0.019292604501607746
2015-04-01,31700,31700,31050,31050,55306,-0.02050473186119872
2015-04-02,31050,33900,31050,33600,146199,0.08212560386473422
2015-04-03,33600,33850,32600,33050,53098,-0.016369047619047672
2015-04-06,33050,33550,32600,32850,76109,-0.006051437216338829
2015-04-07,32800,33200,31700,32250,105494,-0.0182648401826484
2015-04-08,32050,32400,31700,31950,60139,-0.009302325581395321
2015-04-09,32250,32700,32100,32200,99467,0.00782472613458518
2015-04-10,32050,32600,31750,32050,75950,-0.004658385093167738
2015-04-13,32300,32450,31700,32050,64669,0.0
2015-04-14,32200,33250,32100,32500,114059,0.014040561622464809
2015-04-15,32350,33150,32350,33100,94091,0.01846153846153853
2015-04-16,33100,33400,32650,33100,77857,0.0
2015-04-17,33100,35750,33000,35350,253153,0.0679758308157099
2015-04-20,34850,35850,34400,34700,95523,-0.018387553041018356
2015-04-21,35050,35100,34200,34300,90530,-0.011527377521613813
2015-04-22,34400,35200,33650,34300,121546,0.0
2015-04-23,34550,34800,33600,34700,75798,0.011661807580174877
2015-04-24,34350,35300,34350,35200,82348,0.014409221902017322
2015-04-27,35300,35850,34750,35200,72353,0.0
2015-04-28,35300,37050,35050,36900,195249,0.048295454545454586
2015-04-29,36500,36950,35750,36150,103264,-0.020325203252032575
2015-04-30,35900,36850,35050,35300,115173,-0.023513139695712337
2015-05-04,35600,36200,35000,36050,75767,0.021246458923512845
2015-05-06,35650,36500,34200,34200,90230,-0.05131761442441052
2015-05-07,34200,34200,33050,33650,90110,-0.016081871345029253
2015-05-08,33500,35250,33250,35000,77185,0.04011887072808329
2015-05-11,35000,36350,34050,36250,71001,0.03571428571428581
2015-05-12,35900,36150,35200,35450,63936,-0.022068965517241357
