Date,Open,High,Low,Close,Volume,Change
2015-01-02,60400,62200,60000,61900,183722,0.011437908496731986
2015-01-05,60600,62600,60400,62400,234217,0.008077544426494443
2015-01-06,62000,62200,61000,61500,233509,-0.014423076923076872
2015-01-07,61600,61800,60400,60400,139023,-0.01788617886178867
2015-01-08,60400,62300,60200,60700,253587,0.004966887417218624
2015-01-09,61500,63200,61100,62200,306848,0.02471169686985175
2015-01-12,61500,63700,61500,62500,158461,0.004823151125401992
2015-01-13,63100,64300,62200,63400,301229,0.014399999999999968
2015-01-14,63200,64000,62600,62600,149474,-0.012618296529968487
2015-01-15,62600,63200,61500,61800,147275,-0.012779552715655007
2015-01-16,61300,62400,60800,61900,184773,0.0016181229773462036
2015-01-19,62200,62800,60900,61200,132583,-0.011308562197092087
2015-01-20,61000,62000,61000,61400,83669,0.0032679738562091387
2015-01-21,61200,62100,61100,62000,129879,0.009771986970684043
2015-01-22,62100,62800,61700,62500,108806,0.008064516129032251
2015-01-23,63100,63700,62300,63200,146379,0.011200000000000099
2015-01-26,63300,63300,60300,60400,434090,-0.044303797468354444
2015-01-27,60700,61900,60000,61900,328392,0.024834437086092676
2015-01-28,61300,63200,61000,62800,390418,0.01453957996768973
2015-01-29,62800,63400,62100,62800,227927,0.0
2015-01-30,62900,63400,61400,61900,372675,-0.014331210191082855
2015-02-02,61200,63300,61200,62800,256018,0.01453957996768973
2015-02-03,62500,62700,61100,61600,369854,-0.019108280254777066
2015-02-04,61700,64200,61500,63800,301185,0.03571428571428581
2015-02-05,63800,64500,62700,63200,213249,-0.009404388714733591
2015-02-06,62600,63700,62600,63200,239580,0.0
2015-02-09,62800,64100,62800,63300,173376,0.0015822784810126667
2015-02-10,63800,63800,62400,63100,170747,-0.003159557661927326
2015-02-11,63200,63500,62100,62500,168368,-0.009508716323296307
2015-02-12,62400,63200,61800,62500,189186,0.0
2015-02-13,62500,63200,62400,62800,146645,0.0047999999999999154
2015-02-16,62400,63800,62400,63200,109523,0.006369426751592355
2015-02-17,63000,64700,62700,64600,137795,0.02215189873417711
2015-02-23,64400,65000,63000,63100,478342,-0.023219814241486114
2015-02-24,63000,64500,62900,64100,433947,0.015847860538827252
2015-02-25,64000,65000,63700,64700,364833,0.009360374414976613
2015-02-26,64600,64900,63600,64100,139205,-0.009273570324574987
2015-02-27,63700,64200,63100,63600,196077,-0.007800312012480548
2015-03-02,63900,64100,63100,63300,198055,-0.004716981132075526
2015-03-03,63100,63800,61700,62500,368888,-0.012638230647709303
2015-03-04,62200,62600,61900,62100,232261,-0.006399999999999961
2015-03-05,61600,62500,61100,62400,236023,0.004830917874396157
2015-03-06,62200,62400,61000,61000,290070,-0.022435897435897467
2015-03-09,60900,61100,59800,60000,256124,-0.016393442622950838
2015-03-10,60200,60600,60100,60200,284636,0.0033333333333334103
2015-03-11,59800,60000,58800,59100,340465,-0.01827242524916939
2015-03-12,58800,60700,58600,59300,395137,0.0033840947546530664
2015-03-13,60100,60200,59300,59600,162117,0.005059021922428242
2015-03-16,59500,59900,59000,59700,165166,0.001677852348993314
2015-03-17,59700,60600,59700,60600,177860,0.015075376884422065
2015-03-18,61100,61400,60200,61400,344186,0.013201320132013139
