Date,Open,High,Low,Close,Volume,Change
2015-01-02,33400,33450,32250,32250,1015634,-0.04160475482912329
2015-01-05,32300,32500,31200,32400,1574513,0.0046511627906977715
2015-01-06,32600,34300,32300,33550,2052344,0.035493827160493874
2015-01-07,33700,34750,33700,34400,1270634,0.0253353204172877
2015-01-08,34700,35450,34100,35300,1612725,0.026162790697674465
2015-01-09,35650,36150,35050,35150,1521225,-0.004249291784702569
2015-01-12,35050,36100,35000,35100,822098,-0.0014224751066855834
2015-01-13,35250,35650,35050,35250,928202,0.004273504273504258
2015-01-14,35250,36850,34850,36250,1719254,0.028368794326241176
2015-01-15,36250,36950,35850,36350,946784,0.0027586206896552667
2015-01-16,36400,36400,35050,35900,881326,-0.012379642365887178
2015-01-19,35650,36800,35300,35900,515708,0.0
2015-01-20,35600,35850,35100,35250,700740,-0.01810584958217265
2015-01-21,35350,36300,35350,36200,946205,0.026950354609929006
2015-01-22,36100,36200,34750,34800,1217909,-0.03867403314917128
2015-01-23,35300,35400,34750,35050,895059,0.007183908045977017
2015-01-26,35050,35350,34550,35250,633832,0.005706134094151105
2015-01-27,35400,36500,35300,36500,1065672,0.03546099290780136
2015-01-28,36500,37150,35600,36050,1431365,-0.012328767123287676
2015-01-29,36900,36950,36300,36900,1122324,0.023578363384188616
2015-01-30,37050,37200,35650,36050,1643295,-0.023035230352303482
2015-02-02,35850,36000,34800,35000,1250040,-0.029126213592232997
2015-02-03,35000,35100,34200,34900,1440783,-0.0028571428571428914
2015-02-04,35200,35950,35150,35950,939625,0.03008595988538687
2015-02-05,35700,35950,34650,34800,1016858,-0.03198887343532686
2015-02-06,34750,35550,34600,35100,1292584,0.008620689655172376
2015-02-09,35350,35900,35250,35250,591880,0.004273504273504258
2015-02-10,34800,35400,34300,34650,792587,-0.017021276595744705
2015-02-11,34800,35400,34350,35250,864760,0.017316017316017396
2015-02-12,35300,36100,35300,36100,1095965,0.02411347517730489
2015-02-13,36300,36750,35700,36100,819673,0.0
2015-02-16,36000,36400,34900,35200,766869,-0.024930747922437657
2015-02-17,34950,35500,34550,34800,639800,-0.011363636363636354
2015-02-23,34850,35000,33400,34050,2136477,-0.02155172413793105
2015-02-24,34050,34850,34000,34250,1256106,0.005873715124816492
2015-02-25,34600,34850,34000,34150,1271155,-0.0029197080291970545
2015-02-26,34400,34400,34150,34350,657837,0.005856515373352744
2015-02-27,34400,34850,33850,34000,1350006,-0.010189228529839833
2015-03-02,34000,34350,33200,33500,1452499,-0.014705882352941124
2015-03-03,33550,33600,32100,32200,3617932,-0.03880597014925369
2015-03-04,32400,32750,32250,32700,1843425,0.01552795031055898
2015-03-05,32250,32500,31700,31900,2730624,-0.024464831804281384
2015-03-06,32250,32300,31700,31800,1993414,-0.0031347962382445305
2015-03-09,32000,32350,31100,31350,2157522,-0.014150943396226467
2015-03-10,31600,31700,30650,30650,2187479,-0.022328548644338087
2015-03-11,30750,31150,30700,30900,2375144,0.00815660685154973
2015-03-12,31000,31750,30950,31400,2750388,0.016181229773462702
2015-03-13,31400,31600,30750,30800,1381925,-0.019108280254777066
2015-03-16,31350,32200,31200,31850,2176361,0.03409090909090917
2015-03-17,32400,32500,32000,32500,1681168,0.020408163265306145
2015-03-18,32700,33200,32350,32800,1868983,0.009230769230769154
2015-03-19,33350,33350,32550,32800,1369029,0.0
2015-03-20,33100,33100,32350,32750,1269995,-0.0015243902439023849
2015-03-23,33050,33150,32050,32300,1671201,-0.013740458015267132
2015-03-24,32400,32850,32000,32700,967560,0.01238390092879249
2015-03-25,32900,33050,32350,32500,971124,-0.006116207951070374
2015-03-26,32250,32300,31750,31950,1071896,-0.01692307692307693
2015-03-27,31950,32450,31900,32300,941713,0.010954616588419341
2015-03-30,32000,32100,30800,31550,1890749,-0.023219814241486114
2015-03-31,32000,32000,31050,31300,1659962,-0.007923930269413626
2015-04-01,31500,32000,31150,31700,1202375,0.012779552715654896
2015-04-02,32050,32550,31850,32350,1172186,0.020504731861198833
2015-04-03,32700,32750,31550,31600,1106111,-0.023183925811437356
2015-04-06,31500,31900,31200,31800,975617,0.006329113924050667
2015-04-07,31850,32100,31100,31150,1188263,-0.020440251572327095
2015-04-08,30850,31150,30200,30600,2435110,-0.017656500802568198
2015-04-09,30850,30900,30200,30550,1382620,-0.0016339869281045694
2015-04-10,30600,31150,30550,30650,1280344,0.003273322422258529
2015-04-13,30750,31150,30750,31050,1341848,0.013050570962479524
2015-04-14,31200,31300,30750,30950,1399829,-0.0032206119162641045
2015-04-15,31200,31300,30750,30800,1689918,-0.004846526655896577
2015-04-16,31100,32000,31000,32000,2558681,0.03896103896103886
2015-04-17,32100,32450,31550,31750,1806025,-0.0078125
2015-04-20,31800,32300,31700,31950,1608949,0.006299212598425141
2015-04-21,32100,32250,30550,30650,4689181,-0.04068857589984354
2015-04-22,30850,31150,30300,30650,3493484,0.0
2015-04-23,32300,32450,31200,31450,6793389,0.02610114192495927
2015-04-24,31700,31900,30550,30750,3690933,-0.022257551669316422
2015-04-27,31000,31150,30750,30750,1925727,0.0
2015-04-28,31050,31100,30750,30900,1432619,0.004878048780487809
2015-04-29,30950,30950,30300,30450,1776853,-0.014563106796116498
2015-04-30,30250,30600,29600,29850,2293932,-0.019704433497536922
2015-05-04,30000,30200,29850,30100,793078,0.008375209380234505
2015-05-06,30050,30400,29950,30150,1188794,0.0016611295681063787
2015-05-07,30000,30450,29850,30000,955696,-0.00497512437810943
2015-05-08,30050,30200,29900,29950,726912,-0.0016666666666667052
2015-05-11,30150,30350,29850,29900,1020000,-0.0016694490818029983
2015-05-12,29850,29850,29200,29300,1778218,-0.02006688963210701
2015-05-13,29200,29600,29100,29300,1142711,0.0
2015-05-14,29550,30350,29400,30150,1540648,0.029010238907849928
2015-05-15,30350,30450,29850,30000,709580,-0.00497512437810943
2015-05-18,30200,30250,29650,29850,669066,-0.0050000000000000044
2015-05-19,30000,30250,29550,30100,1169291,0.008375209380234505
2015-05-20,30350,30950,30250,30650,1753520,0.0182724252491695
2015-05-21,30800,30900,30200,30300,1046365,-0.011419249592169667
2015-05-22,30350,30900,30100,30900,1292856,0.01980198019801982
2015-05-26,30900,30950,29950,30000,1368739,-0.029126213592232997
2015-05-27,30050,30250,29650,30000,1424270,0.0
2015-05-28,30300,30350,29800,30050,1092595,0.0016666666666667052
2015-05-29,29750,29950,29100,29250,2581944,-0.0266222961730449
2015-06-01,29350,29350,28700,29000,1393097,-0.008547008547008517
2015-06-02,29450,30000,29250,29900,2325000,0.03103448275862064
2015-06-03,29900,30100,29450,29750,1153176,-0.0050167224080267525
2015-06-04,29700,30200,29650,29900,1316008,0.005042016806722671
2015-06-05,29800,29800,28550,28800,2294492,-0.03678929765886285
2015-06-08,28750,29150,28500,28850,810335,0.0017361111111111605
2015-06-09,28800,28950,28150,28200,1867645,-0.022530329289428108
2015-06-10,27950,28400,27650,28000,1833760,-0.007092198581560294
2015-06-11,28300,28350,27500,27500,1831162,-0.017857142857142905
2015-06-12,27500,27650,26700,26750,2530218,-0.027272727272727226
2015-06-15,26800,27550,26750,27200,1569497,0.016822429906542036
2015-06-16,27100,27250,26250,26400,1393587,-0.02941176470588236
2015-06-17,26250,26650,26150,26350,1361888,-0.0018939393939394478
2015-06-18,26500,26550,26250,26450,1111205,0.00379506641366234
2015-06-19,26700,27650,26650,27050,1656731,0.022684310018903586
2015-06-22,27000,27050,26350,26500,1217356,-0.020332717190388205
2015-06-23,26700,26750,25100,25250,3972476,-0.047169811320754707
2015-06-24,25500,25850,25200,25450,2252084,0.007920792079207928
2015-06-25,25400,25550,24900,25000,1916377,-0.017681728880157177
2015-06-26,25000,25450,25000,25400,1303499,0.016000000000000014
2015-06-29,25000,25250,24600,25150,1274234,-0.009842519685039353
2015-06-30,25350,25850,25200,25850,1799764,0.027833001988071482
2015-07-01,26000,26050,25400,25450,1284345,-0.015473887814313358
2015-07-02,25500,25550,24900,25000,1477675,-0.017681728880157177
2015-07-03,25050,25100,24850,25050,890506,0.0020000000000000018
2015-07-06,25000,25250,24550,24550,964329,-0.019960079840319334
2015-07-07,24800,25700,24650,25550,1787956,0.04073319755600813
