Date,Open,High,Low,Close,Volume,Change
2015-01-02,28600,29300,28550,29250,137911,0.019163763066202044
2015-01-05,28900,29450,28250,29050,142453,-0.006837606837606813
2015-01-06,29000,29200,28400,28900,142791,-0.005163511187607606
2015-01-07,28800,28950,28550,28900,139222,0.0
2015-01-08,28750,29150,28600,28800,159007,-0.0034602076124568004
2015-01-09,29000,29100,28350,28850,159172,0.0017361111111111605
2015-01-12,28950,30150,28700,29950,313567,0.03812824956672434
2015-01-13,30000,30000,29250,29400,173077,-0.018363939899833093
2015-01-14,29700,32100,29700,30250,1176224,0.028911564625850428
2015-01-15,30300,30750,29750,30400,452441,0.0049586776859504855
2015-01-16,30350,31000,29400,30700,515814,0.009868421052631637
2015-01-19,30700,30750,30250,30500,312324,-0.006514657980456029
2015-01-20,30500,32650,30100,31400,965447,0.029508196721311553
2015-01-21,32700,33750,32450,33250,1554349,0.05891719745222934
2015-01-22,34050,34550,32950,33200,691742,-0.0015037593984962294
2015-01-23,33600,34500,32850,33750,517996,0.016566265060240948
2015-01-26,33700,34100,33250,33950,252733,0.00592592592592589
2015-01-27,34400,34400,33850,33900,249665,-0.0014727540500736325
2015-01-28,33800,34450,33700,33900,286980,0.0
2015-01-29,33850,34000,33100,33650,292925,-0.007374631268436627
2015-01-30,34250,37300,34250,36750,1046123,0.09212481426448726
2015-02-02,36750,37000,36250,36800,265147,0.0013605442176871652
2015-02-03,37000,38100,36900,37700,434442,0.024456521739130377
2015-02-04,37850,38900,37550,37700,394822,0.0
2015-02-05,37900,38550,37650,38100,264737,0.010610079575596787
2015-02-06,37850,38850,37400,38550,256424,0.011811023622047223
2015-02-09,38550,39350,38250,38800,234397,0.006485084306095956
2015-02-10,38500,39350,38150,38300,243180,-0.012886597938144284
2015-02-11,38400,39700,38400,39350,387804,0.02741514360313313
2015-02-12,39450,39450,37600,37800,362706,-0.03939008894536211
2015-02-13,37600,38400,37050,37700,287994,-0.002645502645502673
2015-02-16,37450,38300,37050,38000,162698,0.007957559681697646
2015-02-17,38300,38450,37500,38000,144499,0.0
2015-02-23,37950,38350,37600,38250,207079,0.006578947368421018
2015-02-24,38350,38450,37550,38450,233148,0.005228758169934622
2015-02-25,38300,38450,37000,37150,299477,-0.033810143042912855
2015-02-26,37100,38550,36950,38500,414865,0.03633916554508754
2015-02-27,38200,38600,36700,37100,406753,-0.036363636363636376
2015-03-02,37100,37300,35000,36250,507696,-0.022911051212938016
2015-03-03,35550,36750,35400,36600,322921,0.009655172413793212
2015-03-04,36200,36900,36100,36450,140110,-0.004098360655737654
2015-03-05,36700,37200,36350,36350,127876,-0.002743484224965731
2015-03-06,36900,37050,36150,36700,200849,0.009628610729023324
2015-03-09,36300,36550,36000,36150,139088,-0.01498637602179842
2015-03-10,36150,36850,35800,36200,216301,0.0013831258644536604
2015-03-11,36200,36250,35100,35500,233041,-0.01933701657458564
2015-03-12,35300,35950,35300,35450,174041,-0.0014084507042253502
2015-03-13,35800,37100,35700,37000,255731,0.0437235543018335
2015-03-16,36500,38100,36500,37950,277934,0.025675675675675746
2015-03-17,37950,38250,36800,37450,232925,-0.013175230566534912
2015-03-18,37700,37950,35500,35700,420248,-0.04672897196261683
2015-03-19,36000,36700,35550,35850,249181,0.004201680672268893
2015-03-20,35850,36450,35500,35900,183638,0.001394700139470073
2015-03-23,35700,37150,35550,36550,190254,0.01810584958217265
2015-03-24,36850,37050,35850,37050,169029,0.013679890560875485
2015-03-25,36900,37250,36650,37050,104245,0.0
2015-03-26,37050,37550,36850,36950,199807,-0.0026990553306343035
2015-03-27,37350,37350,36150,36350,105679,-0.016238159675236785
2015-03-30,36200,37300,36100,37250,128194,0.024759284731774356
2015-03-31,37700,37850,36950,37650,179199,0.010738255033557076
2015-04-01,37300,37650,36000,37250,265162,-0.010624169986719778
2015-04-02,37050,37150,36050,36050,236949,-0.03221476510067112
2015-04-03,36400,37100,36150,36950,134502,0.02496532593619971
2015-04-06,36900,37000,36100,36750,173412,-0.005412719891745632
2015-04-07,36700,36750,36100,36350,116552,-0.010884353741496544
2015-04-08,36250,38250,36100,38100,342858,0.04814305364511684
2015-04-09,37850,38600,37250,38400,242904,0.007874015748031482
2015-04-10,38500,39600,38500,39250,231799,0.02213541666666674
2015-04-13,39250,39250,38300,38950,222111,-0.007643312101910826
2015-04-14,38800,39600,38450,39150,159697,0.005134788189987249
2015-04-15,39150,39450,38350,38750,170007,-0.010217113665389577
2015-04-16,39100,39200,38450,38750,128796,0.0
2015-04-17,38600,39150,38300,39000,126278,0.006451612903225712
2015-04-20,39100,39650,38500,39400,167937,0.01025641025641022
