Date,Open,High,Low,Close,Volume,Change
2015-01-02,615000,620000,610000,618000,23066,-0.008025682182985605
2015-01-05,615000,622000,609000,610000,27781,-0.012944983818770184
2015-01-06,610000,618000,596000,606000,34268,-0.006557377049180357
2015-01-07,605000,610000,597000,600000,29868,-0.00990099009900991
2015-01-08,597000,620000,596000,613000,50053,0.021666666666666723
2015-01-09,609000,617000,605000,607000,65776,-0.009787928221859699
2015-01-12,606000,614000,606000,613000,20716,0.009884678747940745
2015-01-13,619000,625000,608000,621000,41740,0.013050570962479524
2015-01-14,621000,626000,608000,615000,24650,-0.009661835748792313
2015-01-15,611000,620000,605000,619000,37310,0.006504065040650486
2015-01-16,613000,620000,611000,613000,17802,-0.009693053311793265
2015-01-19,614000,621000,612000,613000,14953,0.0
2015-01-20,612000,620000,611000,615000,22437,0.0032626427406199365
2015-01-21,613000,618000,597000,599000,42676,-0.026016260162601612
2015-01-22,594000,607000,594000,605000,47628,0.01001669449081799
2015-01-23,605000,615000,597000,603000,43189,-0.0033057851239669533
2015-01-26,599000,609000,596000,598000,35213,-0.008291873963515717
2015-01-27,603000,630000,598000,626000,83963,0.04682274247491636
2015-01-28,650000,682000,643000,676000,177951,0.07987220447284349
2015-01-29,670000,689000,667000,679000,65952,0.004437869822485174
2015-01-30,685000,706000,681000,688000,57852,0.013254786450662692
2015-02-02,680000,699000,672000,687000,38431,-0.0014534883720930258
2015-02-03,687000,696000,687000,693000,35779,0.008733624454148492
2015-02-04,696000,696000,680000,680000,34604,-0.018759018759018753
2015-02-05,677000,691000,677000,687000,52798,0.010294117647058787
2015-02-06,687000,700000,685000,700000,29396,0.018922852983988436
2015-02-09,704000,704000,689000,689000,29744,-0.01571428571428568
2015-02-10,690000,695000,681000,689000,27598,0.0
2015-02-11,685000,696000,678000,680000,40550,-0.013062409288824406
2015-02-12,681000,687000,673000,683000,24255,0.004411764705882337
2015-02-13,680000,699000,679000,699000,45303,0.02342606149341142
2015-02-16,694000,699000,680000,682000,29487,-0.024320457796852657
2015-02-17,680000,685000,671000,682000,38285,0.0
2015-02-23,678000,690000,665000,682000,44241,0.0
2015-02-24,676000,700000,676000,700000,35517,0.02639296187683282
2015-02-25,703000,704000,692000,694000,30121,-0.008571428571428563
2015-02-26,699000,699000,674000,678000,42622,-0.023054755043227626
2015-02-27,675000,681000,670000,670000,32268,-0.01179941002949858
2015-03-02,669000,671000,647000,649000,56664,-0.0313432835820896
2015-03-03,650000,664000,646000,653000,39302,0.006163328197226425
2015-03-04,648000,654000,640000,645000,24877,-0.01225114854517606
2015-03-05,643000,667000,643000,649000,25133,0.006201550387596955
2015-03-06,652000,671000,650000,669000,25246,0.03081664098613257
2015-03-09,666000,677000,651000,655000,29123,-0.020926756352765308
2015-03-10,657000,671000,651000,653000,34788,-0.003053435114503844
2015-03-11,645000,662000,645000,655000,39058,0.003062787136294043
2015-03-12,651000,681000,651000,681000,78728,0.03969465648854964
2015-03-13,685000,685000,670000,675000,24797,-0.008810572687224627
2015-03-16,675000,720000,667000,719000,104538,0.06518518518518523
2015-03-17,726000,759000,725000,758000,64913,0.05424200278164126
2015-03-18,762000,764000,734000,737000,53602,-0.02770448548812665
2015-03-19,737000,756000,736000,752000,78516,0.020352781546811416
2015-03-20,742000,760000,742000,757000,42576,0.0066489361702126715
2015-03-23,749000,754000,742000,749000,33919,-0.010568031704095149
2015-03-24,745000,760000,744000,760000,47479,0.014686248331108098
2015-03-25,765000,811000,763000,800000,102059,0.05263157894736836
2015-03-26,800000,817000,766000,781000,52409,-0.02375000000000005
2015-03-27,788000,797000,769000,788000,34578,0.008962868117797784
2015-03-30,784000,812000,782000,799000,25371,0.013959390862944066
2015-03-31,808000,845000,800000,841000,47899,0.052565707133917394
2015-04-01,828000,867000,821000,840000,64446,-0.0011890606420927874
2015-04-02,847000,864000,801000,801000,81034,-0.046428571428571375
2015-04-03,803000,810000,782000,790000,36150,-0.013732833957553092
2015-04-06,793000,802000,784000,794000,23689,0.005063291139240533
2015-04-07,794000,798000,772000,772000,51078,-0.027707808564231717
2015-04-08,772000,800000,772000,800000,33878,0.03626943005181338
2015-04-09,810000,813000,782000,797000,43100,-0.003750000000000031
2015-04-10,793000,855000,777000,836000,83076,0.04893350062735258
2015-04-13,836000,859000,827000,839000,48468,0.0035885167464115852
2015-04-14,844000,850000,785000,796000,102880,-0.0512514898688915
2015-04-15,790000,835000,790000,822000,79648,0.03266331658291466
2015-04-16,825000,854000,825000,830000,73120,0.009732360097323589
2015-04-17,840000,899000,837000,880000,131042,0.06024096385542177
2015-04-20,868000,919000,868000,894000,144525,0.015909090909090873
2015-04-21,906000,951000,902000,933000,120509,0.043624161073825496
2015-04-22,920000,923000,873000,894000,155774,-0.04180064308681675
2015-04-23,898000,920000,886000,911000,79380,0.019015659955257336
2015-04-24,913000,926000,881000,897000,67720,-0.015367727771679496
2015-04-27,897000,913000,888000,888000,52353,-0.010033444816053505
2015-04-28,885000,897000,870000,871000,63433,-0.019144144144144115
2015-04-29,880000,887000,819000,847000,144055,-0.027554535017221604
2015-04-30,831000,838000,788000,788000,182972,-0.06965761511216062
2015-05-04,785000,823000,784000,823000,81434,0.04441624365482233
2015-05-06,810000,829000,801000,829000,60726,0.007290400972053357
2015-05-07,822000,827000,794000,817000,60302,-0.014475271411338975
2015-05-08,807000,827000,799000,805000,69780,-0.014687882496939975
2015-05-11,819000,840000,819000,835000,95630,0.037267080745341685
2015-05-12,838000,846000,825000,831000,64998,-0.004790419161676662
2015-05-13,825000,852000,825000,849000,54398,0.02166064981949467
2015-05-14,862000,874000,840000,840000,42767,-0.010600706713780883
2015-05-15,853000,869000,844000,860000,68448,0.023809523809523725
2015-05-18,874000,893000,862000,889000,94761,0.033720930232558066
2015-05-19,896000,898000,869000,882000,69072,-0.007874015748031482
2015-05-20,883000,891000,877000,891000,34618,0.010204081632652962
2015-05-21,891000,902000,881000,884000,46015,-0.007856341189674487
2015-05-22,885000,892000,848000,857000,60044,-0.03054298642533937
2015-05-26,856000,875000,847000,854000,53360,-0.003500583430571802
2015-05-27,847000,854000,808000,819000,126344,-0.040983606557377095
2015-05-28,812000,841000,810000,831000,67017,0.0146520146520146
2015-05-29,825000,846000,808000,808000,90765,-0.0276774969915764
2015-06-01,809000,811000,761000,811000,82521,0.003712871287128605
2015-06-02,794000,798000,756000,760000,124935,-0.06288532675709002
2015-06-03,756000,775000,730000,775000,130329,0.019736842105263053
2015-06-04,776000,806000,768000,800000,76135,0.032258064516129004
2015-06-05,790000,792000,765000,767000,63321,-0.04125000000000001
2015-06-08,764000,780000,751000,779000,95132,0.015645371577575062
2015-06-09,779000,791000,776000,791000,46340,0.015404364569961526
2015-06-10,792000,795000,750000,750000,118446,-0.05183312262958284
2015-06-11,751000,754000,726000,726000,111812,-0.03200000000000003
2015-06-12,722000,742000,718000,721000,71470,-0.00688705234159781
2015-06-15,714000,714000,671000,690000,172123,-0.04299583911234395
2015-06-16,698000,738000,697000,735000,116914,0.0652173913043479
2015-06-17,750000,751000,723000,736000,85869,0.0013605442176871652
2015-06-18,751000,777000,741000,769000,94305,0.044836956521739024
2015-06-19,777000,777000,748000,760000,63380,-0.011703511053316018
2015-06-22,766000,774000,735000,750000,48478,-0.013157894736842146
2015-06-23,751000,754000,738000,748000,54151,-0.002666666666666706
2015-06-24,749000,751000,739000,748000,40707,0.0
2015-06-25,748000,750000,731000,738000,64538,-0.013368983957219305
2015-06-26,731000,748000,723000,741000,115344,0.004065040650406582
2015-06-29,738000,765000,730000,759000,94050,0.02429149797570851
2015-06-30,759000,780000,759000,774000,82885,0.01976284584980248
2015-07-01,778000,796000,774000,796000,63673,0.028423772609819098
2015-07-02,799000,807000,777000,783000,68668,-0.01633165829145733
2015-07-03,780000,783000,763000,777000,40468,-0.007662835249042099
2015-07-06,760000,767000,737000,737000,50665,-0.051480051480051525
2015-07-07,738000,745000,680000,710000,120312,-0.03663500678426057
2015-07-08,724000,726000,695000,707000,78216,-0.004225352112676051
2015-07-09,700000,707000,681000,704000,84569,-0.004243281471004279
2015-07-10,715000,727000,704000,710000,62405,0.008522727272727293
2015-07-13,685000,736000,685000,728000,46207,0.025352112676056304
2015-07-14,734000,749000,727000,749000,49510,0.028846153846153744
2015-07-15,750000,752000,731000,731000,39636,-0.024032042723631464
2015-07-16,731000,738000,716000,729000,44137,-0.002735978112175075
2015-07-17,735000,749000,722000,729000,54634,0.0
2015-07-20,720000,740000,720000,738000,25785,0.012345679012345734
2015-07-21,750000,750000,728000,737000,41664,-0.0013550135501354532
2015-07-22,737000,740000,709000,714000,61687,-0.031207598371777445
2015-07-23,720000,752000,714000,752000,66912,0.053221288515406195
2015-07-24,752000,758000,737000,749000,46890,-0.003989361702127714
2015-07-27,846000,858000,826000,855000,278513,0.14152202937249658
2015-07-28,847000,860000,834000,855000,105497,0.0
2015-07-29,862000,862000,840000,846000,70174,-0.010526315789473717
2015-07-30,846000,856000,839000,852000,63684,0.007092198581560183
2015-07-31,858000,860000,840000,857000,63548,0.005868544600938996
2015-08-03,853000,869000,850000,861000,46997,0.004667444574095736
2015-08-04,870000,870000,851000,858000,43682,-0.0034843205574912606
2015-08-05,858000,888000,857000,867000,47771,0.010489510489510412
2015-08-06,872000,880000,843000,862000,61063,-0.005767012687427964
2015-08-07,869000,899000,861000,888000,68409,0.030162412993039345
2015-08-10,890000,896000,870000,877000,47454,-0.012387387387387427
2015-08-11,880000,883000,811000,829000,104259,-0.05473204104903073
2015-08-12,811000,827000,753000,802000,117908,-0.03256936067551264
2015-08-13,790000,833000,789000,823000,81264,0.026184538653366562
2015-08-17,831000,846000,812000,839000,63704,0.019441069258809174
2015-08-18,841000,841000,791000,802000,45618,-0.04410011918951129
2015-08-19,791000,801000,764000,794000,69244,-0.009975062344139696
2015-08-20,778000,788000,771000,780000,42873,-0.017632241813602012
2015-08-21,763000,780000,740000,770000,51735,-0.012820512820512775
2015-08-24,763000,780000,748000,762000,47527,-0.010389610389610393
2015-08-25,762000,764000,734000,756000,70680,-0.007874015748031482
2015-08-26,760000,794000,746000,788000,88812,0.042328042328042326
2015-08-27,795000,842000,795000,836000,75006,0.060913705583756306
2015-08-28,840000,841000,812000,817000,48366,-0.022727272727272707
2015-08-31,822000,824000,797000,802000,37875,-0.01835985312117505
2015-09-01,795000,811000,766000,770000,58705,-0.03990024937655856
2015-09-02,758000,790000,758000,783000,37086,0.016883116883116944
2015-09-03,784000,790000,760000,780000,40192,-0.003831417624521105
2015-09-04,770000,781000,741000,765000,43049,-0.019230769230769273
2015-09-07,763000,763000,740000,749000,46854,-0.0209150326797386
2015-09-08,747000,757000,721000,733000,39820,-0.021361815754339153
2015-09-09,742000,800000,742000,774000,87491,0.05593451568894947
2015-09-10,766000,807000,758000,803000,60393,0.03746770025839785
2015-09-11,791000,807000,786000,795000,30328,-0.00996264009962644
2015-09-14,798000,801000,780000,797000,27031,0.002515723270440251
2015-09-15,800000,818000,793000,804000,47487,0.008782936010037545
2015-09-16,813000,826000,807000,826000,35650,0.027363184079602032
2015-09-17,836000,836000,801000,821000,55130,-0.006053268765133124
2015-09-18,827000,849000,823000,840000,63806,0.023142509135200884
2015-09-21,830000,835000,806000,823000,35120,-0.020238095238095277
2015-09-22,834000,853000,827000,850000,44482,0.03280680437424066
2015-09-23,835000,848000,828000,832000,41418,-0.02117647058823524
2015-09-24,833000,856000,832000,853000,35725,0.02524038461538458
2015-09-25,853000,854000,825000,825000,41639,-0.03282532239155922
2015-09-30,823000,865000,822000,854000,89455,0.035151515151515156
2015-10-01,855000,866000,842000,856000,41219,0.0023419203747072626
2015-10-02,859000,899000,859000,891000,91327,0.04088785046728982
2015-10-05,900000,925000,894000,900000,77982,0.010101010101010166
2015-10-06,910000,920000,900000,906000,41263,0.006666666666666599
2015-10-07,891000,900000,874000,889000,38810,-0.01876379690949226
2015-10-08,898000,898000,863000,876000,44742,-0.01462317210348707
2015-10-12,883000,902000,871000,890000,49174,0.015981735159817267
2015-10-13,882000,883000,854000,872000,59825,-0.020224719101123556
2015-10-14,869000,870000,860000,870000,22339,-0.002293577981651418
2015-10-15,848000,880000,846000,880000,26392,0.011494252873563315
2015-10-16,892000,909000,885000,899000,27275,0.021590909090908994
2015-10-19,899000,903000,877000,895000,23576,-0.004449388209121219
2015-10-20,897000,910000,889000,910000,41029,0.016759776536312776
2015-10-21,910000,930000,910000,918000,36897,0.00879120879120876
2015-10-22,910000,918000,902000,913000,26888,-0.005446623093681935
2015-10-23,916000,922000,910000,920000,23496,0.00766703176341732
2015-10-26,922000,927000,899000,921000,26607,0.0010869565217390686
2015-10-27,921000,924000,910000,919000,23424,-0.0021715526601520097
2015-10-28,941000,949000,913000,921000,73786,0.0021762785636560977
2015-10-29,930000,939000,923000,934000,73293,0.014115092290988063
2015-10-30,925000,948000,925000,947000,67505,0.013918629550321304
2015-11-02,947000,948000,907000,915000,83466,-0.03379091869060191
2015-11-03,915000,926000,906000,926000,55363,0.012021857923497192
2015-11-04,930000,947000,929000,947000,31894,0.022678185745140356
2015-11-05,938000,942000,911000,914000,36131,-0.03484688489968324
2015-11-06,906000,923000,902000,917000,25789,0.003282275711159688
2015-11-09,917000,920000,903000,906000,22050,-0.01199563794983638
2015-11-10,893000,899000,874000,885000,24740,-0.023178807947019875
2015-11-11,885000,895000,878000,886000,14370,0.001129943502824915
2015-11-12,889000,894000,879000,879000,10106,-0.007900677200902928
2015-11-13,867000,903000,867000,897000,31591,0.020477815699658786
2015-11-16,885000,925000,885000,923000,48146,0.02898550724637672
2015-11-17,948000,953000,933000,950000,58257,0.02925243770314201
2015-11-18,950000,956000,938000,956000,32250,0.006315789473684275
2015-11-19,957000,990000,951000,986000,44180,0.03138075313807542
2015-11-20,986000,987000,967000,979000,34536,-0.007099391480730244
