Date,Open,High,Low,Close,Volume,Change
2015-01-02,11500,11750,11400,11600,1001563,0.008695652173912993
2015-01-05,11600,12000,11450,12000,1388034,0.034482758620689724
2015-01-06,11900,12200,11850,12050,1257069,0.004166666666666652
2015-01-07,12050,12150,11850,12000,1207374,-0.004149377593360981
2015-01-08,12000,12100,11700,11700,1281220,-0.025000000000000022
2015-01-09,11700,12250,11700,11900,1649854,0.017094017094017033
2015-01-12,12050,12450,12000,12350,2138189,0.037815126050420256
2015-01-13,12350,12450,12100,12350,1780408,0.0
2015-01-14,12350,12400,12000,12000,1598329,-0.028340080971659964
2015-01-15,11950,12250,11900,12100,717370,0.008333333333333304
2015-01-16,12050,12150,11900,12050,689436,-0.004132231404958664
2015-01-19,12200,12250,11700,11850,1236154,-0.016597510373444035
2015-01-20,11850,12150,11750,12050,1035007,0.016877637130801704
2015-01-21,12000,12400,12000,12350,1504057,0.024896265560165887
2015-01-22,12350,12400,12200,12250,1179971,-0.0080971659919028
2015-01-23,12450,12750,12350,12750,2452775,0.04081632653061229
2015-01-26,12750,12750,12300,12500,3083026,-0.019607843137254943
2015-01-27,12500,12600,12350,12400,1658635,-0.008000000000000007
2015-01-28,12300,12500,12300,12450,1266411,0.0040322580645162365
2015-01-29,12400,12450,11800,12000,3037240,-0.03614457831325302
2015-01-30,12000,12300,11900,12100,2437858,0.008333333333333304
2015-02-02,12000,12150,11650,11700,1699441,-0.03305785123966942
2015-02-03,11800,12000,11650,11900,1169559,0.017094017094017033
2015-02-04,11950,12150,11850,11900,1252315,0.0
2015-02-05,11800,12050,11750,11950,1305198,0.004201680672268893
2015-02-06,11950,12000,11350,11500,2747190,-0.03765690376569042
2015-02-09,11450,11550,11100,11500,1768465,0.0
2015-02-10,11550,11650,11400,11550,937555,0.004347826086956497
2015-02-11,11550,11750,11500,11600,839392,0.0043290043290042934
2015-02-12,11600,11900,11600,11850,1153795,0.02155172413793105
2015-02-13,11850,12000,11750,11950,802406,0.00843881856540074
2015-02-16,11900,11950,11650,11650,781009,-0.025104602510460206
2015-02-17,11600,11900,11550,11650,743066,0.0
2015-02-23,11700,11800,11550,11650,750464,0.0
2015-02-24,11650,11800,11650,11750,1055468,0.008583690987124415
2015-02-25,11850,11950,11700,11950,1263588,0.017021276595744705
2015-02-26,11900,11900,11700,11900,1664560,-0.004184100418409997
2015-02-27,11800,12050,11700,11850,2239573,-0.004201680672268893
2015-03-02,11950,12000,11750,11750,881096,-0.008438818565400852
2015-03-03,11700,11750,11250,11450,2485795,-0.025531914893617058
2015-03-04,11400,11600,11300,11600,1130389,0.013100436681222627
2015-03-05,11550,11650,11500,11600,826102,0.0
2015-03-06,11600,11800,11450,11550,2220890,-0.004310344827586188
2015-03-09,11550,11550,11150,11500,1990198,-0.0043290043290042934
2015-03-10,11550,11600,11300,11500,1307663,0.0
2015-03-11,11500,11600,11250,11300,2316523,-0.017391304347826098
2015-03-12,11300,11350,10800,10850,3202025,-0.03982300884955747
2015-03-13,10950,11100,10900,10950,1595205,0.009216589861751112
2015-03-16,10900,10950,10650,10700,1820355,-0.022831050228310557
2015-03-17,10700,10850,10650,10800,1945796,0.009345794392523255
2015-03-18,10850,11200,10800,11200,1724615,0.03703703703703698
2015-03-19,11250,11300,11100,11200,993627,0.0
2015-03-20,11100,11200,10700,10800,3097313,-0.0357142857142857
2015-03-23,10800,10900,10600,10650,1704247,-0.01388888888888884
2015-03-24,10600,10800,10550,10750,1230245,0.009389671361502261
2015-03-25,10750,10800,10650,10800,960402,0.0046511627906977715
2015-03-26,10800,11250,10800,11200,2538184,0.03703703703703698
2015-03-27,11200,11500,11150,11250,2488408,0.0044642857142858094
2015-03-30,11300,11400,11200,11250,1178392,0.0
2015-03-31,11350,11400,10950,11000,1988321,-0.022222222222222254
2015-04-01,10950,11100,10750,10750,1434969,-0.022727272727272707
2015-04-02,10800,11000,10700,11000,1046405,0.023255813953488413
2015-04-03,11000,11150,10850,10900,866522,-0.009090909090909038
2015-04-06,10850,11000,10700,10750,1115637,-0.013761467889908285
2015-04-07,10800,10850,10600,10700,1574882,-0.0046511627906976605
2015-04-08,10650,10750,10350,10350,2535221,-0.032710280373831724
2015-04-09,10350,10450,10100,10350,3050229,0.0
2015-04-10,10400,10650,10300,10650,1896434,0.02898550724637672
2015-04-13,10650,10650,10350,10400,3075291,-0.023474178403755874
2015-04-14,10400,10900,10350,10800,3679674,0.03846153846153855
2015-04-15,10900,10950,10500,10550,1801256,-0.02314814814814814
2015-04-16,10500,10550,10250,10450,3691505,-0.009478672985781977
2015-04-17,10450,10500,10300,10450,2380918,0.0
2015-04-20,10400,10500,10300,10350,1717179,-0.009569377990430672
2015-04-21,10350,10400,10150,10200,2174103,-0.01449275362318836
2015-04-22,10200,10300,10050,10150,2132718,-0.004901960784313708
2015-04-23,10200,10300,10100,10250,1532354,0.009852216748768461
2015-04-24,10300,10700,10300,10650,4502870,0.039024390243902474
2015-04-27,10700,10750,10450,10600,2527637,-0.0046948356807511304
2015-04-28,10550,10950,10500,10800,3711369,0.018867924528301883
2015-04-29,10850,11100,10450,10550,3658201,-0.02314814814814814
2015-04-30,10550,10750,10450,10750,2077049,0.018957345971563955
2015-05-04,10800,10850,10350,10350,2372406,-0.037209302325581395
2015-05-06,10350,10500,10150,10250,1704835,-0.009661835748792313
2015-05-07,10200,10250,9810,9850,4466212,-0.039024390243902474
2015-05-08,9910,9970,9650,9800,2523749,-0.005076142131979711
2015-05-11,9830,9860,9610,9610,2234817,-0.019387755102040827
2015-05-12,9580,9970,9580,9910,2765560,0.031217481789802326
2015-05-13,9960,9960,9750,9920,1222623,0.0010090817356205317
2015-05-14,9930,10050,9830,10000,1698691,0.008064516129032251
2015-05-15,10000,10050,9830,9880,1377627,-0.01200000000000001
2015-05-18,9870,10050,9800,9860,1224268,-0.002024291497975672
2015-05-19,9850,9950,9790,9840,925696,-0.0020283975659228792
2015-05-20,9820,9870,9620,9650,1746185,-0.019308943089430874
2015-05-21,9660,9880,9660,9880,1334347,0.023834196891191706
2015-05-22,9880,9900,9770,9850,1588214,-0.0030364372469635637
2015-05-26,9860,9880,9650,9700,1468578,-0.015228426395939132
2015-05-27,9670,9690,9370,9440,2380206,-0.026804123711340222
2015-05-28,9470,9600,9360,9370,1963533,-0.007415254237288171
2015-05-29,9370,9480,9150,9320,2673819,-0.005336179295624355
2015-06-01,9310,9320,8990,9100,2424437,-0.023605150214592308
2015-06-02,9040,9260,9040,9190,1961748,0.009890109890109855
2015-06-03,9180,9270,9090,9200,1172793,0.0010881392818280489
2015-06-04,9050,9170,9010,9060,2022154,-0.01521739130434785
2015-06-05,9140,9330,9050,9320,1574675,0.028697571743929284
2015-06-08,9280,9350,9190,9250,1341098,-0.007510729613733891
2015-06-09,9190,9520,9190,9470,1874258,0.023783783783783763
2015-06-10,9540,9650,9460,9570,1726535,0.010559662090813049
2015-06-11,9580,9740,9430,9430,2158182,-0.014629049111807735
2015-06-12,9530,9720,9460,9550,2034611,0.012725344644750836
2015-06-15,9560,9720,9400,9410,1169493,-0.014659685863874339
2015-06-16,9460,9570,9280,9390,1249917,-0.002125398512221044
2015-06-17,9350,9450,9280,9390,999832,0.0
2015-06-18,9440,9540,9260,9270,1145490,-0.012779552715655007
2015-06-19,9280,9340,9100,9100,1506080,-0.01833872707659112
2015-06-22,9110,9190,9100,9110,1224799,0.001098901098901095
2015-06-23,9110,9360,9110,9330,1825179,0.02414928649835346
2015-06-24,9290,9750,9290,9690,2543426,0.03858520900321549
2015-06-25,9770,9950,9730,9910,2824459,0.02270381836945301
2015-06-26,9910,9910,9690,9810,1738281,-0.010090817356205872
2015-06-29,9710,9820,9590,9770,1420867,-0.004077471967380175
2015-06-30,9850,9910,9700,9860,1544591,0.00921187308085969
2015-07-01,9870,9960,9830,9840,1177860,-0.0020283975659228792
2015-07-02,10100,10250,9980,10000,2295992,0.016260162601626105
2015-07-03,10050,10150,9970,10100,892034,0.010000000000000009
2015-07-06,10050,10350,9910,9970,1589002,-0.012871287128712883
2015-07-07,10100,10700,9980,10600,5290924,0.06318956870611836
2015-07-08,10600,10750,10350,10350,3298339,-0.02358490566037741
2015-07-09,10250,10600,10100,10600,2450726,0.024154589371980784
2015-07-10,10500,10600,10300,10400,1582439,-0.018867924528301883
2015-07-13,10400,10500,10250,10450,1319296,0.004807692307692291
2015-07-14,10450,10550,10300,10300,1124414,-0.014354066985645897
2015-07-15,10350,10550,10300,10400,1068260,0.009708737864077666
2015-07-16,10500,10550,10400,10500,748197,0.009615384615384581
2015-07-17,10550,10550,10350,10400,947439,-0.00952380952380949
2015-07-20,10450,10550,10350,10450,723513,0.004807692307692291
2015-07-21,10550,10750,10500,10750,1904843,0.028708133971291794
2015-07-22,10750,11000,10600,10650,1793547,-0.009302325581395321
2015-07-23,10750,10850,10600,10650,902719,0.0
2015-07-24,10650,10650,10350,10550,997188,-0.009389671361502372
2015-07-27,10500,10750,10400,10550,1187347,0.0
2015-07-28,10600,10900,10450,10800,1663194,0.023696682464454888
2015-07-29,10700,10900,10600,10600,1391878,-0.01851851851851849
2015-07-30,10650,11100,10600,10850,4359256,0.02358490566037741
2015-07-31,10900,11750,10900,11550,6909869,0.06451612903225801
2015-08-03,11500,12000,11450,11700,4369203,0.01298701298701288
2015-08-04,11800,11950,11500,11600,2120232,-0.008547008547008517
2015-08-05,11750,12450,11650,12250,5767272,0.056034482758620774
2015-08-06,12350,12400,11400,11400,3899063,-0.06938775510204087
2015-08-07,11450,11900,11300,11550,2471947,0.013157894736842035
2015-08-10,11600,12100,11600,12000,1539387,0.03896103896103886
2015-08-11,12250,12300,11550,11850,1753301,-0.012499999999999956
2015-08-12,11900,12300,11850,12050,2165229,0.016877637130801704
2015-08-13,12050,12300,11700,11700,1569417,-0.02904564315352698
2015-08-17,11750,11850,11500,11750,885845,0.004273504273504258
2015-08-18,11800,11850,11600,11700,1319999,-0.004255319148936176
2015-08-19,11700,12500,11700,12350,4967733,0.05555555555555558
2015-08-20,12400,12400,11700,11800,2811207,-0.04453441295546556
2015-08-21,11400,11950,11350,11750,1869549,-0.004237288135593209
2015-08-24,11800,12150,11250,11500,1985546,-0.021276595744680882
2015-08-25,11500,11600,10850,10900,3881812,-0.05217391304347829
2015-08-26,10950,11250,10900,11250,2631313,0.032110091743119185
2015-08-27,11300,11650,11250,11350,2663161,0.008888888888888946
2015-08-28,11450,11500,11050,11050,2358091,-0.026431718061673992
2015-08-31,11100,11250,10900,11000,2516166,-0.004524886877828038
2015-09-01,11000,11450,11000,11350,2812714,0.031818181818181746
2015-09-02,11300,12200,11300,12000,4371434,0.05726872246696035
2015-09-03,12150,12350,11900,12050,1965274,0.004166666666666652
2015-09-04,11850,12050,11700,11900,950216,-0.012448132780082943
2015-09-07,11800,11950,11450,11700,1432950,-0.01680672268907568
2015-09-08,11700,12250,11550,12100,1384585,0.03418803418803429
2015-09-09,12150,12250,11800,11900,1623918,-0.016528925619834656
2015-09-10,11900,12700,11800,12700,2506547,0.0672268907563025
2015-09-11,12550,12950,12450,12900,2131447,0.015748031496062964
2015-09-14,12800,12800,11950,11950,2226547,-0.0736434108527132
2015-09-15,12050,12300,12000,12250,1112821,0.025104602510460206
2015-09-16,12200,12300,11900,12100,1728705,-0.01224489795918371
2015-09-17,12150,12200,11600,11800,1819156,-0.024793388429752095
2015-09-18,11850,12150,11500,11550,2829983,-0.021186440677966156
2015-09-21,11600,11850,11550,11700,1038187,0.01298701298701288
2015-09-22,11800,12250,11650,12250,1948005,0.047008547008547064
2015-09-23,12100,12200,11850,12000,1336215,-0.020408163265306145
2015-09-24,12000,12100,11750,12100,1018258,0.008333333333333304
2015-09-25,12100,12100,11650,11650,1495944,-0.037190082644628086
2015-09-30,11550,12100,11500,12100,2228779,0.03862660944205998
2015-10-01,12000,12400,12000,12300,1434208,0.016528925619834656
2015-10-02,12300,12300,11700,11750,2961825,-0.04471544715447151
2015-10-05,11750,11800,11450,11500,1984698,-0.021276595744680882
2015-10-06,11650,11700,11450,11600,1073690,0.008695652173912993
2015-10-07,11500,11700,11450,11700,1084567,0.008620689655172376
2015-10-08,11700,11800,11150,11350,1997401,-0.02991452991452992
2015-10-12,11400,11450,11100,11350,1714900,0.0
2015-10-13,11250,11450,11150,11400,1102919,0.004405286343612369
