Date,Open,High,Low,Close,Volume,Change
2015-01-02,162000,164000,157000,159500,42686,-0.015432098765432056
2015-01-05,158000,167000,153500,166000,72885,0.040752351097178785
2015-01-06,164000,168000,163000,165000,37848,-0.0060240963855421326
2015-01-07,166500,169000,162500,165000,52356,0.0
2015-01-08,164500,167000,161500,164000,42875,-0.0060606060606061
2015-01-09,164000,182000,159000,170000,89748,0.03658536585365857
2015-01-12,168500,173500,165000,171500,60793,0.008823529411764675
2015-01-13,171500,174500,168500,169500,46824,-0.011661807580174877
2015-01-14,169500,175000,169000,173000,58454,0.020648967551622377
2015-01-15,171500,176000,170500,172500,39138,-0.0028901734104046506
2015-01-16,172000,174000,171000,171500,72115,-0.005797101449275366
2015-01-19,171500,173000,168500,169000,38528,-0.014577259475218707
2015-01-20,168500,171500,166500,169000,50303,0.0
2015-01-21,171500,175500,169500,173500,72554,0.026627218934911268
2015-01-22,177000,180500,174500,176500,102088,0.01729106628242083
2015-01-23,178000,180000,174000,176500,54445,0.0
2015-01-26,179000,182500,176500,181500,55066,0.028328611898017053
2015-01-27,184000,184000,178000,178000,47990,-0.019283746556473802
2015-01-28,177000,179500,175500,178000,50404,0.0
2015-01-29,177000,180000,176000,176000,49698,-0.011235955056179803
2015-01-30,176500,186500,173500,179500,131844,0.019886363636363535
2015-02-02,184000,185000,170000,174000,172107,-0.03064066852367686
2015-02-03,175500,177000,171500,173000,58041,-0.005747126436781658
2015-02-04,173500,173500,164500,164500,171490,-0.049132947976878616
2015-02-05,166000,169000,161000,166000,180792,0.00911854103343468
2015-02-06,166500,176500,166000,169500,99586,0.02108433734939763
2015-02-09,172000,176500,169500,173500,76833,0.02359882005899716
2015-02-10,172500,175000,169000,173000,55644,-0.0028818443804035088
2015-02-11,174000,177500,173000,177000,45854,0.023121387283236983
2015-02-12,179000,179500,172000,175000,62376,-0.011299435028248594
2015-02-13,177000,178500,174500,178500,35173,0.020000000000000018
2015-02-16,178500,181000,176500,177500,26706,-0.0056022408963585235
2015-02-17,179000,180000,176000,177500,25482,0.0
2015-02-23,179500,183500,176000,183500,49120,0.033802816901408406
2015-02-24,183500,190000,183000,187500,56418,0.021798365122615904
2015-02-25,190000,200000,189000,194500,116122,0.03733333333333344
2015-02-26,196500,198500,189000,192000,59060,-0.01285347043701801
2015-02-27,192000,195500,187500,194000,72161,0.01041666666666674
2015-03-02,194500,195500,190500,193500,51400,-0.002577319587628857
2015-03-03,193500,194500,189000,192500,69704,-0.0051679586563307955
2015-03-04,192500,194500,188000,188000,42048,-0.023376623376623384
2015-03-05,187500,194000,187000,190500,35399,0.013297872340425565
2015-03-06,191000,194500,189000,192500,29810,0.01049868766404205
2015-03-09,192000,195500,189500,191500,35726,-0.0051948051948051965
2015-03-10,191500,192500,183500,189500,62263,-0.010443864229765065
