Date,Open,High,Low,Close,Volume,Change
2015-01-02,54000,54400,53400,53900,50092,-0.007366482504604033
2015-01-05,53500,53900,52100,53200,71087,-0.012987012987012991
2015-01-06,52200,53000,51500,52200,75354,-0.018796992481203034
2015-01-07,52000,52200,51300,52000,51249,-0.003831417624521105
2015-01-08,51600,52500,51500,52500,67917,0.009615384615384581
2015-01-09,53300,53300,51800,52600,62678,0.0019047619047618536
2015-01-12,52600,52800,51900,52200,54443,-0.0076045627376425395
2015-01-13,52200,52200,51000,51600,87541,-0.011494252873563204
2015-01-14,51600,51800,51100,51200,43423,-0.007751937984496138
2015-01-15,50600,50700,49400,49750,181752,-0.0283203125
2015-01-16,49800,49950,47500,48250,153807,-0.03015075376884424
2015-01-19,48300,48700,47600,48250,124992,0.0
2015-01-20,47800,48200,47600,48000,89676,-0.005181347150259086
2015-01-21,47750,47900,46850,47250,136379,-0.015625
2015-01-22,47100,48300,47100,47700,184302,0.00952380952380949
2015-01-23,48200,48500,47600,47650,88659,-0.0010482180293500676
2015-01-26,47750,48600,47750,48250,58590,0.012591815320041944
2015-01-27,48250,48900,48200,48550,70939,0.006217616580310947
2015-01-28,48300,49100,48100,48850,84738,0.006179196704428458
2015-01-29,48600,48600,47700,47850,98381,-0.020470829068577223
2015-01-30,48150,48550,47800,48150,87723,0.006269592476489061
2015-02-02,47950,49350,47950,48600,86127,0.009345794392523255
2015-02-03,49050,49650,48700,48950,127326,0.007201646090535085
2015-02-04,49500,50400,49050,49400,126215,0.009193054136874323
2015-02-05,49550,49850,48350,48800,106326,-0.012145748987854255
2015-02-06,48700,49000,48100,48950,79786,0.0030737704918033515
2015-02-09,48900,49650,48550,48700,89412,-0.005107252298263587
2015-02-10,49200,49200,48050,48400,84323,-0.006160164271047264
2015-02-11,48200,48400,47300,47950,165117,-0.009297520661157077
2015-02-12,47700,47900,46900,47400,116963,-0.01147028154327423
2015-02-13,47700,47850,47100,47500,89667,0.0021097046413502962
2015-02-16,47250,47300,46600,46850,611187,-0.013684210526315743
2015-02-17,47100,48800,47000,48400,165390,0.033084311632870955
2015-02-23,49200,49250,48550,48950,120589,0.011363636363636465
