Date,Open,High,Low,Close,Volume,Change
2015-01-02,142802,146808,142602,146408,64225,0.026689667746595314
2015-01-05,145406,150213,144404,150013,112572,0.024622971422326723
2015-01-06,148410,151014,147208,148811,92315,-0.008012638904628222
2015-01-07,150012,150012,146207,146608,51987,-0.014804013144189665
2015-01-08,146007,149211,146007,149011,56392,0.016390647167958017
2015-01-09,152015,152015,148610,150614,73987,0.01075759507687346
2015-01-12,149411,152215,149411,150213,36733,-0.0026624350989947754
2015-01-13,150613,151214,147809,148210,48928,-0.01333439848748108
2015-01-14,147208,149211,146607,148010,63850,-0.0013494366102152489
2015-01-15,149812,155821,148410,155621,187236,0.05142220120262153
2015-01-16,156021,156221,151615,155621,116659,0.0
2015-01-19,156221,157022,154819,155420,91305,-0.0012915994627974436
2015-01-20,156221,159626,156221,158224,101343,0.018041436108608977
2015-01-21,156622,158024,153818,156222,71564,-0.012652947719688501
2015-01-22,156822,158024,152616,153217,83439,-0.019235446992101002
2015-01-23,155220,156221,152215,156222,99297,0.01961270616184896
2015-01-26,155220,156021,153818,154419,69003,-0.011541268195260579
2015-01-27,155019,155220,152416,153017,84489,-0.0090791936225465
2015-01-28,152215,156221,152215,155621,123220,0.01701771698569443
2015-01-29,152215,152616,146407,147409,278475,-0.052769227803445506
2015-01-30,145205,146207,142401,143403,300061,-0.027176088298543455
2015-02-02,143403,144805,141600,142402,112994,-0.00698032816607741
2015-02-03,142401,143603,141200,142602,121641,0.0014044746562549282
2015-02-04,143403,145606,143203,145206,131353,0.01826061345563179
2015-02-05,144605,145205,142201,142602,77889,-0.017933143258543005
2015-02-06,142402,144404,141801,143203,76000,0.004214527145481872
2015-02-09,143203,143203,136193,136393,214231,-0.04755486966055178
2015-02-10,134190,135792,127981,129784,370269,-0.04845556590147593
2015-02-11,132187,135592,130785,134791,192828,0.038579485915058775
2015-02-12,136193,136193,131386,136193,114927,0.010401287919816538
2015-02-13,135191,138596,133389,133790,99818,-0.017644078623717863
2015-02-16,133389,135392,133188,133990,55533,0.0014948800358771663
2015-02-17,133389,135191,133389,134391,35224,0.002992760653780069
2015-02-23,133789,134590,126579,127982,291781,-0.04768920537833632
2015-02-24,127580,129583,127180,127581,142951,-0.0031332531137191477
2015-02-25,127981,128982,126779,128382,146624,0.006278364333247133
2015-02-26,127380,128382,125377,125378,174743,-0.02339891885155243
2015-02-27,124776,133789,124776,132388,266350,0.055910925361706276
2015-03-02,132588,133589,128382,129384,150448,-0.022690878327340847
2015-03-03,130785,131987,129383,130185,104024,0.006190873678352915
2015-03-04,129984,136593,127981,136193,268490,0.04614971002803703
2015-03-05,135992,140399,135191,137996,168193,0.013238565858744611
2015-03-06,138596,138997,134590,136193,92392,-0.013065596104234856
2015-03-09,133990,134991,130585,130786,128196,-0.039701012533683855
2015-03-10,130585,131987,128382,128382,111598,-0.018381172296728976
2015-03-11,127981,129383,125978,125979,174115,-0.018717577230452864
2015-03-12,126779,129183,125578,125578,184540,-0.0031830701942386908
2015-03-13,129183,130785,128181,130185,157276,0.03668636226090549
2015-03-16,130785,130785,127580,128783,125723,-0.010769289856742303
2015-03-17,129984,132788,128982,132188,121724,0.026439825132199113
2015-03-18,131786,133389,130184,130986,110917,-0.009093109813296252
2015-03-19,132387,132588,128382,128382,120392,-0.019879987174201807
2015-03-20,128782,130985,128782,130986,90524,0.020283217273449505
2015-03-23,132187,136393,131586,136193,166177,0.03975233994472682
2015-03-24,137194,137194,133589,135192,88051,-0.0073498637962303714
2015-03-25,136994,137194,133990,134190,74720,-0.00741168116456592
2015-03-26,134190,135191,132187,132388,95061,-0.013428720470973987
2015-03-27,134390,134791,132588,134591,101438,0.016640481010363528
2015-03-30,137194,138596,134791,136393,88928,0.013388710983646801
2015-03-31,138196,138396,133990,134391,90718,-0.014678172633492914
2015-04-01,134590,135191,132387,133589,75195,-0.005967661524953316
2015-04-02,132988,133990,124977,128582,481098,-0.037480630890267874
2015-04-03,127781,129984,126579,129584,138584,0.0077926926008307085
