Date,Open,High,Low,Close,Volume,Change
2015-01-02,10300,10450,10100,10300,798172,0.004878048780487809
2015-01-05,10250,10250,9820,10150,1360912,-0.014563106796116498
2015-01-06,9950,10350,9900,10300,997000,0.014778325123152802
2015-01-07,10300,10300,10000,10050,858866,-0.024271844660194164
2015-01-08,10150,10400,10100,10300,678631,0.02487562189054726
2015-01-09,10500,10900,10400,10800,1369623,0.04854368932038833
2015-01-12,10850,10850,10500,10700,1129325,-0.0092592592592593
2015-01-13,10700,10800,10550,10700,831276,0.0
2015-01-14,10650,11000,10650,10800,1087640,0.009345794392523255
2015-01-15,10800,10900,10650,10800,633144,0.0
2015-01-16,10750,10800,10250,10500,1098623,-0.02777777777777779
2015-01-19,10600,11000,10600,11000,1876899,0.04761904761904767
2015-01-20,10850,11050,10850,10900,680819,-0.009090909090909038
2015-01-21,10900,10900,10400,10600,1640326,-0.02752293577981646
2015-01-22,10600,10650,10400,10550,1009170,-0.004716981132075526
2015-01-23,10900,11050,10700,10800,1696919,0.023696682464454888
2015-01-26,10700,11100,10700,10900,980096,0.0092592592592593
2015-01-27,11050,11250,10950,11100,932906,0.0183486238532109
2015-01-28,11000,11150,10900,10950,1286769,-0.013513513513513487
2015-01-29,10850,11250,10750,11050,1523088,0.009132420091324311
2015-01-30,11350,11600,11050,11100,1892689,0.004524886877828038
2015-02-02,11100,11150,10900,11000,844412,-0.009009009009009028
2015-02-03,11100,11200,10900,11000,706764,0.0
2015-02-04,11200,11400,11050,11250,1176941,0.022727272727272707
2015-02-05,11250,11500,11150,11450,1004608,0.01777777777777767
2015-02-06,11550,11650,11400,11500,663665,0.004366812227074135
2015-02-09,11500,11650,11400,11550,563418,0.004347826086956497
2015-02-10,11500,11550,11250,11350,853099,-0.017316017316017285
2015-02-11,11300,11450,11200,11350,842322,0.0
2015-02-12,11350,11350,11150,11250,804342,-0.008810572687224627
2015-02-13,11300,11500,11300,11400,904372,0.01333333333333342
2015-02-16,11450,11550,11350,11450,517082,0.004385964912280604
2015-02-17,11500,11650,11400,11500,511615,0.004366812227074135
2015-02-23,11600,11750,11500,11550,503878,0.004347826086956497
2015-02-24,11500,11600,11300,11450,616488,-0.008658008658008698
2015-02-25,11500,12050,11450,11950,1809184,0.04366812227074246
2015-02-26,12000,12050,11700,12000,687161,0.004184100418409997
2015-02-27,12000,12300,11950,12300,1418269,0.02499999999999991
2015-03-02,12400,12550,12250,12300,1273765,0.0
2015-03-03,12400,12450,12150,12250,765408,-0.004065040650406471
2015-03-04,12100,12150,11850,11900,1100825,-0.02857142857142858
2015-03-05,11850,11950,11750,11800,729922,-0.008403361344537785
2015-03-06,11850,12400,11850,12350,1552878,0.04661016949152552
2015-03-09,12150,12250,11950,11950,883508,-0.03238866396761131
2015-03-10,12000,12100,11750,11900,1000135,-0.004184100418409997
2015-03-11,11600,11750,11550,11600,1200207,-0.025210084033613467
2015-03-12,11600,11900,11550,11650,2095855,0.004310344827586299
2015-03-13,11800,11850,11450,11550,1531386,-0.008583690987124415
2015-03-16,11550,11600,11250,11500,1386333,-0.0043290043290042934
2015-03-17,11650,12500,11600,12400,3471071,0.07826086956521738
2015-03-18,12550,13250,12500,12950,4474253,0.04435483870967749
2015-03-19,13400,13450,12900,13050,2827358,0.007722007722007707
2015-03-20,13050,13200,12850,13100,1529965,0.003831417624521105
2015-03-23,13400,14150,13100,13900,4592872,0.06106870229007644
2015-03-24,13800,14100,13600,13800,2203008,-0.007194244604316502
2015-03-25,13800,14250,13650,13900,2689026,0.007246376811594235
2015-03-26,13650,14000,13450,13550,1852596,-0.025179856115107868
2015-03-27,13600,13750,13350,13700,1286025,0.011070110701107083
2015-03-30,13750,14450,13650,14400,2586199,0.051094890510948954
2015-03-31,14500,14950,14200,14400,3104825,0.0
2015-04-01,14300,14550,14100,14350,1583684,-0.00347222222222221
2015-04-02,14500,14600,14100,14250,1280803,-0.006968641114982632
2015-04-03,14350,15200,14300,15200,3011359,0.06666666666666665
2015-04-06,15250,15700,14900,15100,2940018,-0.006578947368421018
2015-04-07,15300,15350,14900,15200,1854215,0.0066225165562914245
2015-04-08,15150,15900,14950,15500,2907660,0.019736842105263053
2015-04-09,15550,15750,15100,15500,2134142,0.0
2015-04-10,15700,16650,15600,16450,4596525,0.06129032258064515
2015-04-13,16700,17500,16600,16700,4127514,0.015197568389057725
2015-04-14,16750,17050,15800,16500,3733395,-0.0119760479041916
2015-04-15,16700,16950,16200,16900,2811894,0.024242424242424176
2015-04-16,17200,17200,16350,16750,2048921,-0.00887573964497046
2015-04-17,16600,16700,16250,16500,1690785,-0.014925373134328401
2015-04-20,16000,16400,15850,16350,2907420,-0.009090909090909038
2015-04-21,16750,16800,16050,16100,2021683,-0.015290519877675823
2015-04-22,16150,17250,16050,16650,4989934,0.03416149068322971
2015-04-23,16950,17250,16350,16800,2613410,0.009009009009008917
2015-04-24,16900,17300,16000,16150,2973211,-0.038690476190476164
2015-04-27,16300,16550,16050,16250,1310338,0.006191950464396356
2015-04-28,16250,16750,16100,16200,2217117,-0.003076923076923088
2015-04-29,16300,16400,15050,15150,4054257,-0.06481481481481477
2015-04-30,15100,15450,14650,14950,2502787,-0.01320132013201325
2015-05-04,15100,15150,14450,14500,2318481,-0.030100334448160515
2015-05-06,14250,14350,13350,13500,5342689,-0.06896551724137934
2015-05-07,13500,14000,13450,13950,3024802,0.03333333333333344
2015-05-08,13900,14050,13600,13650,1975060,-0.021505376344086002
2015-05-11,14100,14400,13900,13950,3418602,0.0219780219780219
2015-05-12,13750,13850,13300,13400,2494042,-0.03942652329749108
2015-05-13,13550,14100,13500,13750,2901074,0.026119402985074647
2015-05-14,13800,13950,13650,13900,1660410,0.01090909090909098
2015-05-15,14200,14300,13350,13350,2278758,-0.03956834532374098
2015-05-18,13500,13550,13050,13250,1412479,-0.0074906367041198685
2015-05-19,13350,13700,13000,13350,1816069,0.007547169811320753
2015-05-20,13500,14500,13400,14500,3775957,0.08614232209737827
2015-05-21,14450,14450,13950,13950,2171708,-0.037931034482758585
2015-05-22,14150,14500,14050,14400,2057241,0.032258064516129004
2015-05-26,14300,14300,13400,13550,2356928,-0.05902777777777779
2015-05-27,13300,13350,12800,12850,3795790,-0.05166051660516602
2015-05-28,13150,13200,12700,12750,2351887,-0.0077821011673151474
2015-05-29,12650,13100,12550,12750,1706342,0.0
2015-06-01,12700,12900,12350,12850,1563112,0.007843137254901933
2015-06-02,12850,13400,12750,12900,2259412,0.0038910505836575737
2015-06-03,13150,13400,12850,12950,1908301,0.003875968992248069
2015-06-04,13200,13250,12900,12950,1509030,0.0
2015-06-05,12700,12850,12500,12550,1534528,-0.030888030888030937
2015-06-08,12400,13400,12300,13300,2649877,0.05976095617529875
2015-06-09,13350,13550,13150,13350,1984764,0.003759398496240518
2015-06-10,13550,13600,12850,12900,1952091,-0.0337078651685393
2015-06-11,13150,13350,12350,12450,5009493,-0.03488372093023251
2015-06-12,12550,12800,12000,12150,3084368,-0.02409638554216864
2015-06-15,12050,12400,11850,11950,1677480,-0.016460905349794275
2015-06-16,11850,12100,11550,11900,2149636,-0.004184100418409997
2015-06-17,12000,12150,11750,12100,1163160,0.01680672268907557
2015-06-18,12200,12300,11800,11850,1724738,-0.02066115702479343
2015-06-19,12250,12700,12150,12450,2753044,0.05063291139240511
2015-06-22,12500,12650,12250,12400,1145671,-0.004016064257028162
2015-06-23,12900,13200,12750,12800,2833668,0.032258064516129004
2015-06-24,12900,12950,12650,12750,960747,-0.00390625
2015-06-25,12650,13200,12550,13100,1827146,0.027450980392156765
2015-06-26,13000,13200,12900,13000,1092084,-0.007633587786259555
2015-06-29,12450,12700,12050,12100,2049210,-0.0692307692307692
2015-06-30,12050,12350,12050,12200,1534105,0.008264462809917328
2015-07-01,12300,12600,12100,12550,1340581,0.028688524590164022
2015-07-02,12700,12800,12400,12500,1519574,-0.003984063745019917
2015-07-03,12600,12850,12500,12700,1528868,0.016000000000000014
2015-07-06,12250,12400,11900,11900,2411614,-0.06299212598425197
