Date,Open,High,Low,Close,Volume,Change
2015-01-02,278000,285000,277500,283500,156209,0.029038112522685955
2015-01-05,278000,282000,273000,279000,134514,-0.015873015873015928
2015-01-06,275500,280500,274500,275000,148079,-0.014336917562724039
2015-01-07,279500,281000,277000,279500,148694,0.016363636363636358
2015-01-08,280000,286000,279500,286000,118777,0.023255813953488413
2015-01-09,289000,292000,288000,290500,127436,0.01573426573426584
2015-01-12,288000,293000,288000,290500,89260,0.0
2015-01-13,287500,287500,282000,282500,122960,-0.027538726333907082
2015-01-14,283000,284000,281000,282000,174441,-0.001769911504424737
2015-01-15,281000,281000,271500,274500,293704,-0.02659574468085102
2015-01-16,272500,273500,265500,271500,287816,-0.010928961748633892
2015-01-19,272000,273000,268500,272500,128316,0.0036832412523020164
2015-01-20,272500,275500,270500,274000,106182,0.005504587155963359
2015-01-21,274000,275000,269500,273000,132336,-0.0036496350364964014
2015-01-22,277000,281500,276000,278000,162379,0.01831501831501825
2015-01-23,281000,282500,273000,275500,203098,-0.008992805755395739
2015-01-26,273000,273500,266500,268500,166782,-0.025408348457350294
2015-01-27,270500,270500,263000,266000,259977,-0.009310986964618295
2015-01-28,265500,272500,264500,272000,174626,0.022556390977443552
2015-01-29,273500,274500,269500,273500,157006,0.005514705882353033
2015-01-30,265500,267000,252000,252500,932021,-0.07678244972577697
2015-02-02,255500,256000,252000,254500,305048,0.007920792079207928
2015-02-03,255500,256000,252000,254000,219846,-0.0019646365422396617
2015-02-04,257500,261000,256000,260000,269265,0.023622047244094446
2015-02-05,261000,262000,259000,262000,161888,0.007692307692307665
2015-02-06,265500,266500,262000,264000,220457,0.007633587786259444
2015-02-09,262000,263500,259000,260500,130375,-0.013257575757575801
2015-02-10,262500,266000,261500,265000,208042,0.017274472168905985
2015-02-11,264500,265000,261000,263500,118588,-0.005660377358490565
2015-02-12,261000,263000,258000,261500,164741,-0.007590132827324458
2015-02-13,265000,265500,261500,264500,106827,0.011472275334607929
2015-02-16,268500,269500,267000,267500,109927,0.011342155009451904
2015-02-17,267500,268000,265500,268000,103589,0.0018691588785046953
2015-02-23,269500,271500,267500,271500,157939,0.013059701492537323
2015-02-24,271500,273000,269500,272000,118576,0.0018416206261511192
2015-02-25,275000,277000,273500,277000,192352,0.018382352941176405
2015-02-26,278000,278000,274000,275500,133519,-0.005415162454873612
2015-02-27,274500,275000,266500,267500,260315,-0.029038112522686066
2015-03-02,269000,272500,268000,269000,195790,0.005607476635514086
2015-03-03,271500,279500,270500,278000,295953,0.03345724907063197
2015-03-04,275500,280500,275500,276500,167168,-0.0053956834532373765
2015-03-05,277500,278000,272000,276500,127250,0.0
2015-03-06,276500,277000,272000,272500,157619,-0.01446654611211573
2015-03-09,274000,274000,267500,267500,172751,-0.01834862385321101
2015-03-10,270000,270000,267000,267000,176785,-0.0018691588785046953
2015-03-11,267000,272000,266000,269000,211531,0.0074906367041198685
2015-03-12,268000,269000,261000,261000,378670,-0.029739776951672847
2015-03-13,264500,268000,264500,265500,160752,0.01724137931034475
2015-03-16,258000,262500,253500,259000,314012,-0.024482109227871973
2015-03-17,261000,262000,255000,256500,534154,-0.009652509652509633
2015-03-18,257500,259000,256000,258000,228035,0.005847953216374213
2015-03-19,258000,261500,257000,259500,313971,0.005813953488372103
2015-03-20,258000,258500,252500,254500,362568,-0.019267822736030782
2015-03-23,255500,256500,253000,256000,249473,0.005893909626718985
2015-03-24,257500,259000,255500,258000,192335,0.0078125
2015-03-25,257500,258000,255000,257000,155027,-0.003875968992248069
2015-03-26,256500,257000,254000,254500,151981,-0.009727626459143934
2015-03-27,254000,256500,250000,251500,261330,-0.011787819253438081
2015-03-30,248500,250000,242000,242500,430008,-0.035785288270377746
2015-03-31,244000,245500,242000,244500,261172,0.008247422680412342
2015-04-01,242000,244000,237000,238000,324774,-0.026584867075664653
2015-04-02,236500,240000,234500,236000,310180,-0.008403361344537785
2015-04-03,236500,241500,236000,240000,149794,0.016949152542372836
2015-04-06,239500,239500,235500,236500,159229,-0.014583333333333282
2015-04-07,238500,250000,237500,246500,364228,0.04228329809725162
2015-04-08,247500,255000,247000,253000,292533,0.026369168356997985
2015-04-09,250500,254000,246500,250500,215244,-0.00988142292490124
2015-04-10,249000,255000,249000,253000,246356,0.009980039920159722
2015-04-13,253500,255000,252500,254000,218953,0.0039525691699604515
2015-04-14,255500,256500,253000,254500,228993,0.0019685039370078705
