Date,Open,High,Low,Close,Volume,Change
2015-01-02,211500,231000,211500,230500,173289,0.07962529274004693
2015-01-05,227500,235500,224500,232000,156380,0.006507592190889477
2015-01-06,229000,235500,223500,226000,121522,-0.025862068965517238
2015-01-07,226500,229500,223500,225500,65848,-0.0022123893805309214
2015-01-08,226000,232000,224000,231000,92993,0.024390243902439046
2015-01-09,233500,236000,228500,229000,101133,-0.008658008658008698
2015-01-12,227000,238000,226500,234500,93272,0.024017467248908186
2015-01-13,231500,232000,215500,218000,382677,-0.07036247334754797
2015-01-14,222500,224500,219000,220000,172950,0.00917431192660545
2015-01-15,220500,232000,220500,227000,152568,0.031818181818181746
2015-01-16,226000,231000,221500,226500,111576,-0.0022026431718061845
2015-01-19,229500,230000,223000,223000,60921,-0.015452538631346546
2015-01-20,226000,231500,222000,230000,79161,0.03139013452914807
2015-01-21,227500,229500,223000,224000,89347,-0.02608695652173909
2015-01-22,224500,228500,224000,226000,71713,0.008928571428571397
2015-01-23,228000,230000,223500,225000,78223,-0.004424778761061954
2015-01-26,228500,236000,225000,235500,168364,0.046666666666666634
2015-01-27,234000,238500,232000,236500,99558,0.00424628450106157
2015-01-28,236500,240500,233000,235000,130075,-0.006342494714587699
2015-01-29,235000,238000,233500,234000,86674,-0.004255319148936176
2015-01-30,236000,238000,233000,235000,122119,0.004273504273504258
2015-02-02,235000,240000,232500,238000,86421,0.012765957446808418
2015-02-03,240500,240500,233500,234000,81416,-0.01680672268907568
2015-02-04,235000,238000,230500,232000,110021,-0.008547008547008517
2015-02-05,232000,233500,227500,232000,88633,0.0
2015-02-06,231500,233000,227500,232000,92623,0.0
2015-02-09,230500,239500,230500,237000,163303,0.02155172413793105
2015-02-10,237500,243000,235500,235500,108849,-0.006329113924050667
2015-02-11,235000,237000,229500,229500,97070,-0.02547770700636942
2015-02-12,229500,232500,228000,232000,88932,0.01089324618736387
2015-02-13,231000,233000,227500,229000,53028,-0.012931034482758674
2015-02-16,227000,228500,213000,223500,263040,-0.024017467248908297
2015-02-17,222500,223500,215500,221000,100385,-0.01118568232662187
2015-02-23,222000,226000,221000,222500,52925,0.006787330316742057
2015-02-24,221500,227500,221500,226000,86124,0.01573033707865168
2015-02-25,227500,227500,218500,218500,136878,-0.0331858407079646
2015-02-26,218500,218500,208500,214000,250617,-0.020594965675057253
2015-02-27,213000,218000,212000,217000,134852,0.014018691588784993
2015-03-02,215500,217000,203500,206500,249510,-0.048387096774193505
2015-03-03,206500,208500,204500,205000,116655,-0.007263922518159771
2015-03-04,205000,207500,202000,202000,102439,-0.014634146341463428
2015-03-05,202500,210000,201500,208500,124587,0.03217821782178221
2015-03-06,210500,212000,206500,208500,87127,0.0
2015-03-09,210000,212000,208500,211000,112352,0.011990407673860837
2015-03-10,212500,215000,210000,212500,114315,0.007109004739336511
2015-03-11,213000,214500,211000,211500,141237,-0.004705882352941226
2015-03-12,210000,212500,204000,204000,171002,-0.03546099290780147
2015-03-13,204000,211500,203000,210000,128141,0.02941176470588225
2015-03-16,207500,219500,205000,218500,182012,0.040476190476190554
2015-03-17,220000,220000,214500,219000,139065,0.0022883295194509046
2015-03-18,218000,219500,213500,213500,110081,-0.02511415525114158
2015-03-19,215500,224500,215000,224000,185035,0.049180327868852514
2015-03-20,222500,230500,222500,229000,209600,0.022321428571428603
2015-03-23,231500,237000,227500,235500,234863,0.028384279475982543
2015-03-24,236500,239500,233000,234000,107208,-0.006369426751592355
2015-03-25,235000,246500,234000,244000,277778,0.042735042735042805
2015-03-26,244000,244000,234500,235000,180992,-0.03688524590163933
2015-03-27,236000,240000,232000,234000,175315,-0.004255319148936176
2015-03-30,237000,241000,232000,233500,120046,-0.002136752136752129
2015-03-31,236000,239000,227500,232500,201723,-0.004282655246252709
2015-04-01,232000,241000,230500,240000,156131,0.032258064516129004
2015-04-02,238500,244000,236000,238500,109352,-0.006249999999999978
2015-04-03,239500,246000,237000,245000,101437,0.027253668763102645
2015-04-06,247500,250000,241000,241500,93987,-0.014285714285714235
2015-04-07,242500,244000,233000,235500,120809,-0.024844720496894457
2015-04-08,235500,241000,233500,239000,80344,0.014861995753715496
2015-04-09,237000,241000,233000,235500,86159,-0.014644351464435101
2015-04-10,235500,236500,232500,235500,92515,0.0
2015-04-13,234000,235500,226500,227000,153355,-0.03609341825902335
2015-04-14,228500,233000,224000,226000,130766,-0.004405286343612369
2015-04-15,230000,233500,228500,229000,126645,0.01327433628318575
2015-04-16,229500,240500,229000,240500,178594,0.05021834061135366
2015-04-17,240500,242000,236000,237500,94678,-0.012474012474012475
2015-04-20,248000,254000,229500,231500,746024,-0.025263157894736876
2015-04-21,235000,247000,234000,245000,585398,0.05831533477321815
2015-04-22,245000,248000,238000,239000,209100,-0.024489795918367308
2015-04-23,241000,253000,239000,248500,241828,0.03974895397489542
2015-04-24,248500,252000,242000,244500,166687,-0.01609657947686116
2015-04-27,245500,248000,242500,245000,120778,0.002044989775051187
2015-04-28,252000,255000,248000,252500,230211,0.030612244897959107
2015-04-29,255000,256000,248500,253500,159907,0.003960396039603964
2015-04-30,250500,257000,250000,254500,159532,0.0039447731755424265
2015-05-04,255000,256500,253500,254000,67483,-0.0019646365422396617
2015-05-06,254500,256000,251000,254000,71415,0.0
2015-05-07,255000,257000,244500,246500,157195,-0.029527559055118058
2015-05-08,247500,249000,244000,244500,74427,-0.008113590263691739
2015-05-11,246000,246000,240500,243000,171004,-0.006134969325153339
2015-05-12,243000,250500,240500,249500,89332,0.026748971193415683
2015-05-13,247500,251000,244500,250000,84536,0.002004008016031955
2015-05-14,248000,250000,244500,246500,96435,-0.014000000000000012
2015-05-15,245500,246500,242500,243000,99449,-0.014198782961460488
2015-05-18,241500,246500,241000,246500,54937,0.014403292181069949
2015-05-19,244000,247500,243000,245000,56646,-0.006085192697768749
2015-05-20,244000,252000,242500,250500,100103,0.022448979591836782
2015-05-21,249000,252500,245500,252000,117028,0.0059880239520957446
2015-05-22,253000,253000,244500,245500,109698,-0.025793650793650813
2015-05-26,243500,248000,242000,247500,68942,0.008146639511201537
2015-05-27,244500,246500,237500,239500,133407,-0.03232323232323231
2015-05-28,240000,252000,240000,249000,205765,0.039665970772442494
2015-05-29,247000,256000,245500,249500,199377,0.002008032128514081
2015-06-01,256500,286500,255000,282000,484423,0.1302605210420842
2015-06-02,287000,287500,272000,273500,295739,-0.03014184397163122
2015-06-03,277500,281500,269500,272500,130953,-0.003656307129798919
2015-06-04,269500,280500,264000,275000,145825,0.00917431192660545
2015-06-05,272000,282500,271500,281000,104799,0.021818181818181737
2015-06-08,279500,283500,273500,278000,80910,-0.010676156583629859
2015-06-09,278500,278500,267000,269000,101035,-0.03237410071942448
2015-06-10,269000,272000,262000,262500,119885,-0.024163568773234223
2015-06-11,264000,266500,254500,254500,124539,-0.030476190476190435
2015-06-12,258500,270000,257000,266500,211248,0.047151277013752546
2015-06-15,269500,278000,266000,266000,148068,-0.0018761726078799779
2015-06-16,270000,270000,258500,265500,88285,-0.001879699248120259
2015-06-17,264000,274000,263000,272500,77954,0.026365348399246757
2015-06-18,272500,272500,266500,271500,91113,-0.003669724770642202
2015-06-19,272000,281500,270000,277500,166279,0.022099447513812098
2015-06-22,276500,285000,275000,281500,138381,0.01441441441441449
2015-06-23,283000,284500,273000,274500,111726,-0.0248667850799289
2015-06-24,274000,280000,255000,269000,255602,-0.02003642987249543
2015-06-25,269000,281000,267000,277500,151233,0.03159851301115246
2015-06-26,279500,281000,275000,279500,107330,0.007207207207207134
2015-06-29,272000,275500,266500,268500,87896,-0.03935599284436497
2015-06-30,267500,276500,266000,276500,89812,0.029795158286778367
2015-07-01,277000,282500,271000,282500,89342,0.02169981916817365
2015-07-02,284500,285500,279000,285000,83583,0.008849557522123908
2015-07-03,284000,284500,275500,280000,52666,-0.01754385964912286
2015-07-06,276000,278500,270000,270000,45353,-0.0357142857142857
2015-07-07,273000,279000,270500,276000,100224,0.022222222222222143
2015-07-08,277000,281000,270500,270500,76198,-0.019927536231884035
2015-07-09,270500,287000,265000,287000,135328,0.060998151571164616
2015-07-10,288000,297500,284000,290000,122289,0.010452961672473782
2015-07-13,287500,300500,284500,295000,121258,0.01724137931034475
2015-07-14,295500,305000,290000,296500,160048,0.005084745762711895
2015-07-15,295000,304000,293500,296000,129269,-0.001686340640809414
2015-07-16,297000,300500,292000,292000,455320,-0.013513513513513487
2015-07-17,295000,303500,292500,299000,110492,0.023972602739726012
2015-07-20,297500,311000,297500,309000,101056,0.03344481605351168
2015-07-21,311000,311000,303500,309000,84136,0.0
2015-07-22,305500,308000,300500,302500,72928,-0.021035598705501646
2015-07-23,303500,316000,302000,314500,113350,0.03966942148760322
2015-07-24,314500,324000,310000,320500,134922,0.019077901430842648
2015-07-27,319000,319500,304000,306500,98892,-0.043681747269890825
