Date,Open,High,Low,Close,Volume,Change
2015-01-02,8810,8930,8750,8820,341169,-0.01342281879194629
2015-01-05,8720,8860,8630,8820,484752,0.0
2015-01-06,8800,8850,8600,8600,360161,-0.024943310657596363
2015-01-07,8500,8710,8500,8650,300467,0.005813953488372103
2015-01-08,8650,8710,8520,8650,490843,0.0
2015-01-09,8700,8750,8570,8700,506497,0.005780346820809301
2015-01-12,8650,8990,8650,8970,528617,0.03103448275862064
2015-01-13,8770,9230,8770,9070,1113489,0.011148272017837302
2015-01-14,9140,9150,8780,8780,791802,-0.0319735391400221
2015-01-15,8780,8840,8660,8670,440961,-0.01252847380410027
2015-01-16,8650,8720,8370,8380,727181,-0.03344867358708192
2015-01-19,8420,8570,8420,8530,393391,0.017899761336515496
2015-01-20,8450,8480,7950,8060,1696837,-0.055099648300117265
2015-01-21,8070,8080,7530,7590,2650883,-0.058312655086848686
2015-01-22,7710,7930,7660,7770,1591000,0.02371541501976293
2015-01-23,7910,7930,7640,7700,1213217,-0.009009009009009028
2015-01-26,7730,7900,7660,7900,955187,0.025974025974025983
2015-01-27,7900,8230,7900,8230,1197547,0.04177215189873418
2015-01-28,8240,8320,8030,8170,771761,-0.007290400972053468
2015-01-29,8200,8680,8180,8560,1272988,0.047735618115055
2015-01-30,8700,9490,8570,9410,3603817,0.09929906542056077
2015-02-02,9300,9360,9020,9290,1907120,-0.012752391073326264
2015-02-03,9260,9270,9000,9090,1441610,-0.02152852529601723
2015-02-04,9120,9550,8990,9280,1711273,0.020902090209020896
2015-02-05,9280,9500,8970,9210,1262440,-0.007543103448275912
2015-02-06,9220,9250,8870,9050,1354004,-0.017372421281216077
2015-02-09,8950,9080,8910,8910,582902,-0.015469613259668558
2015-02-10,8840,8950,8630,8790,814339,-0.013468013468013518
2015-02-11,8790,8930,8710,8720,680536,-0.007963594994311762
2015-02-12,8690,8720,8330,8550,1734410,-0.019495412844036664
2015-02-13,8550,8690,8400,8500,819719,-0.005847953216374324
2015-02-16,8500,8710,8410,8670,870860,0.020000000000000018
2015-02-17,8640,8740,8450,8520,849919,-0.01730103806228378
2015-02-23,8590,8640,8520,8590,590595,0.008215962441314506
2015-02-24,8700,9280,8670,9160,2223956,0.06635622817229336
2015-02-25,9190,9280,9020,9110,946716,-0.00545851528384278
2015-02-26,9160,9470,9070,9350,1162324,0.026344676180021898
