Date,Open,High,Low,Close,Volume,Change
2015-01-02,268000,274500,267000,272500,119176,0.01679104477611948
2015-01-05,270000,280000,270000,276500,156844,0.014678899082568808
2015-01-06,274500,277000,273000,274500,144594,-0.007233273056057921
2015-01-07,274000,274500,268500,269500,151339,-0.01821493624772308
2015-01-08,267000,270000,264500,265000,140376,-0.016697588126159513
2015-01-09,268000,269500,265500,266000,168743,0.0037735849056603765
2015-01-12,266000,269000,264000,267000,113491,0.003759398496240518
2015-01-13,264000,268000,262000,268000,146462,0.0037453183520599342
2015-01-14,265000,265500,261500,264000,146507,-0.014925373134328401
2015-01-15,266000,268500,262500,268500,145289,0.017045454545454586
2015-01-16,264500,268500,264000,267500,130718,-0.003724394785847296
2015-01-19,268500,270500,266500,268000,77138,0.0018691588785046953
2015-01-20,270000,273500,268000,273500,115230,0.020522388059701413
2015-01-21,271500,275500,271000,275000,106196,0.005484460694698434
2015-01-22,273500,277000,273500,277000,96392,0.0072727272727273196
2015-01-23,280500,285000,279000,283500,193495,0.023465703971119023
2015-01-26,284000,292000,280500,290000,205547,0.022927689594356204
2015-01-27,289000,289000,285500,288000,275117,-0.006896551724137945
2015-01-28,284000,286500,283000,285500,220474,-0.00868055555555558
2015-01-29,285000,289500,280500,284000,192057,-0.005253940455341555
2015-01-30,284000,297500,282500,289000,295975,0.01760563380281699
2015-02-02,285000,292000,284000,288000,93772,-0.0034602076124568004
2015-02-03,287000,287000,279500,282500,187340,-0.01909722222222221
2015-02-04,281500,283500,280000,280000,116462,-0.008849557522123908
2015-02-05,279000,281500,277500,278000,115752,-0.0071428571428571175
2015-02-06,277000,279500,275500,278000,108234,0.0
2015-02-09,277000,278000,273000,277000,100144,-0.003597122302158251
2015-02-10,276500,276500,272500,274000,103784,-0.010830324909747335
2015-02-11,274000,286000,273500,280500,158267,0.02372262773722622
2015-02-12,282500,290000,282500,289500,174848,0.03208556149732611
2015-02-13,289500,296500,289500,295500,123373,0.020725388601036343
2015-02-16,291500,301000,291500,301000,172874,0.01861252115059231
2015-02-17,299000,301500,295000,295500,87843,-0.01827242524916939
2015-02-23,292000,297000,290500,291000,72997,-0.015228426395939132
2015-02-24,290500,293000,288000,291000,119745,0.0
2015-02-25,294000,294000,285500,288000,121071,-0.010309278350515427
2015-02-26,286000,290000,283500,287500,125510,-0.0017361111111111605
2015-02-27,287500,292500,286500,286500,171702,-0.003478260869565264
2015-03-02,288000,288500,281500,284000,96975,-0.008726003490401424
2015-03-03,282000,287000,281000,283500,109686,-0.0017605633802817433
2015-03-04,283000,288500,281000,288000,135798,0.015873015873015817
2015-03-05,284000,290500,284000,290000,135499,0.00694444444444442
2015-03-06,290500,290500,282000,283000,207854,-0.024137931034482807
2015-03-09,280500,282000,275500,279000,190007,-0.014134275618374548
2015-03-10,276500,277000,270500,270500,197630,-0.03046594982078854
2015-03-11,269000,272500,267000,269000,183298,-0.00554528650646946
2015-03-12,268000,275500,267500,270000,257139,0.0037174721189590088
2015-03-13,273500,284500,273000,283000,216449,0.04814814814814805
2015-03-16,280000,284000,275500,280000,123012,-0.010600706713780883
2015-03-17,280000,283000,278500,279500,106096,-0.0017857142857142794
2015-03-18,282500,285000,280000,281500,111038,0.007155635062611854
2015-03-19,284500,291500,283000,290500,218533,0.03197158081705154
2015-03-20,286000,287000,279500,284500,221316,-0.02065404475043031
2015-03-23,285500,291000,278500,279500,262512,-0.017574692442882234
2015-03-24,280000,284000,279500,283500,111224,0.014311270125223707
