Date,Open,High,Low,Close,Volume,Change
2015-01-02,150000,156000,150000,155000,16027,0.03333333333333344
2015-01-05,155000,159500,153000,157000,17765,0.012903225806451646
2015-01-06,155500,158500,155000,157000,11652,0.0
2015-01-07,160000,166000,158000,160000,35562,0.019108280254777066
2015-01-08,161000,162500,154500,162000,23534,0.012499999999999956
2015-01-09,162500,162500,158000,161000,11030,-0.006172839506172867
2015-01-12,160000,162500,154500,160000,22416,-0.006211180124223614
2015-01-13,159000,161000,155500,158500,14640,-0.009375000000000022
2015-01-14,157000,162000,157000,159500,15083,0.006309148264984188
2015-01-15,158500,162000,158500,159500,8600,0.0
2015-01-16,160000,161500,157000,158500,9330,-0.006269592476489061
2015-01-19,158500,160500,157000,158000,11267,-0.003154574132492094
2015-01-20,159500,164000,157500,162500,22070,0.028481012658227778
2015-01-21,162500,175000,162500,173500,48309,0.06769230769230772
2015-01-22,174000,175500,169000,169500,17802,-0.023054755043227626
2015-01-23,168500,174500,168500,172000,10568,0.014749262536873253
2015-01-26,172000,182000,171500,180500,31965,0.04941860465116288
2015-01-27,182000,185000,178000,184000,28616,0.01939058171745156
2015-01-28,185000,187000,180000,186000,18772,0.010869565217391353
2015-01-29,186000,188000,181500,188000,21622,0.010752688172043001
2015-01-30,189000,197000,188000,193000,34132,0.02659574468085113
2015-02-02,196500,199000,190000,191000,25300,-0.010362694300518172
2015-02-03,191000,193500,182500,192000,37061,0.005235602094240788
2015-02-04,194000,195000,190000,193000,18334,0.005208333333333259
2015-02-05,194000,194000,188000,191000,14344,-0.010362694300518172
2015-02-06,189000,191000,187500,188000,12259,-0.015706806282722474
2015-02-09,190000,190000,175000,180000,36388,-0.04255319148936165
2015-02-10,179000,187500,174500,187500,30855,0.04166666666666674
2015-02-11,189500,190000,181500,186500,18098,-0.005333333333333301
2015-02-12,188000,194500,184500,194000,20793,0.04021447721179627
2015-02-13,192500,195500,189000,194000,12706,0.0
2015-02-16,191500,194000,187000,188500,13345,-0.028350515463917536
2015-02-17,189500,189500,185000,186500,11308,-0.010610079575596787
2015-02-23,186500,197500,186500,197000,24080,0.05630026809651478
2015-02-24,198000,201000,195000,199000,18372,0.010152284263959421
2015-02-25,200500,206000,199500,204000,27553,0.025125628140703515
2015-02-26,207500,208000,200500,202000,17951,-0.009803921568627416
2015-02-27,205000,213000,202000,212500,26526,0.051980198019802026
2015-03-02,213000,219500,208000,214500,19742,0.009411764705882453
2015-03-03,214500,219000,212000,215500,18555,0.004662004662004726
2015-03-04,214500,220500,212000,219500,20044,0.018561484918793614
2015-03-05,217000,219000,210500,212000,34931,-0.034168564920273314
2015-03-06,209000,217500,204500,214000,20356,0.009433962264151052
2015-03-09,211500,217000,211000,213500,11715,-0.002336448598130869
2015-03-10,213500,217000,208500,212000,16577,-0.007025761124121788
2015-03-11,213000,216000,206500,215000,17060,0.014150943396226356
2015-03-12,217000,217000,213500,217000,14437,0.009302325581395321
2015-03-13,217000,233000,215000,230000,31181,0.05990783410138256
2015-03-16,229500,242500,226000,237000,37923,0.0304347826086957
2015-03-17,240000,243500,234000,241000,31184,0.016877637130801704
2015-03-18,241000,248500,237500,244000,21102,0.012448132780082943
2015-03-19,249000,266000,246000,261000,42522,0.069672131147541
2015-03-20,260000,275000,253500,274000,56867,0.04980842911877392
2015-03-23,270000,279500,257500,261000,47695,-0.04744525547445255
2015-03-24,256500,273000,256500,268500,37579,0.028735632183908066
2015-03-25,270500,278500,265000,270500,35321,0.007448789571694592
2015-03-26,270500,275000,268000,271000,19936,0.001848428835489857
2015-03-27,273500,273500,268500,273000,19799,0.007380073800737907
2015-03-30,273000,295000,273000,291500,31937,0.06776556776556775
2015-03-31,297500,300000,281500,285000,39787,-0.022298456260720356
2015-04-01,288500,293000,284000,289500,17118,0.015789473684210575
2015-04-02,287500,291500,286000,288500,16444,-0.003454231433506094
2015-04-03,290000,290500,282500,285000,15587,-0.012131715771230511
2015-04-06,285500,286000,273000,284000,20123,-0.0035087719298245723
2015-04-07,285000,285500,274000,277000,25698,-0.02464788732394363
2015-04-08,276000,276000,251500,253500,86239,-0.08483754512635377
2015-04-09,252500,264000,247500,258000,57614,0.01775147928994092
2015-04-10,258000,269000,253500,264000,28311,0.023255813953488413
2015-04-13,264500,268500,237500,248500,80142,-0.058712121212121215
2015-04-14,244500,247500,236000,240500,52324,-0.03219315895372232
2015-04-15,241500,250500,241000,248500,25400,0.033264033264033266
2015-04-16,248500,257000,247500,252000,21347,0.014084507042253502
2015-04-17,255500,265500,250000,261500,29218,0.037698412698412787
2015-04-20,256000,259000,251000,255000,21013,-0.0248565965583174
2015-04-21,257000,260000,251000,253500,15482,-0.00588235294117645
2015-04-22,253000,256000,245000,250500,22844,-0.011834319526627168
2015-04-23,254500,255000,239000,243000,32780,-0.029940119760479056
2015-04-24,240000,250000,240000,249500,16400,0.026748971193415683
2015-04-27,251500,252000,245500,248500,8564,-0.004008016032064132
2015-04-28,248500,272500,245500,272500,46804,0.09657947686116697
2015-04-29,269500,273500,261000,265500,20164,-0.025688073394495414
2015-04-30,265500,266000,253500,259000,19174,-0.024482109227871973
2015-05-04,259000,266500,250500,266500,16109,0.02895752895752901
2015-05-06,262500,270500,260000,268000,16298,0.0056285178236397115
2015-05-07,272000,275500,261500,269000,28015,0.003731343283582156
2015-05-08,267500,275500,266000,275500,27842,0.024163568773234223
2015-05-11,277000,292000,275000,287500,29460,0.04355716878402904
2015-05-12,290500,294500,281500,285500,19950,-0.006956521739130417
2015-05-13,287000,293500,284000,287500,11666,0.007005253940455258
2015-05-14,288000,291500,284000,289000,13740,0.00521739130434784
2015-05-15,289500,300000,286000,299500,23405,0.03633217993079585
2015-05-18,300500,301500,289500,294500,25216,-0.016694490818030094
2015-05-19,295000,298000,281500,283000,32901,-0.039049235993208864
2015-05-20,280000,290000,275000,287000,22006,0.014134275618374659
2015-05-21,287500,291500,283000,286500,18739,-0.0017421602787456303
2015-05-22,278000,284500,267000,278000,31447,-0.029668411867364797
2015-05-26,278000,281000,269500,272000,17523,-0.021582733812949617
2015-05-27,268000,269500,258500,266000,17031,-0.022058823529411797
2015-05-28,266000,285500,265000,285500,25312,0.07330827067669166
2015-05-29,285500,290500,278000,290500,20700,0.017513134851138368
2015-06-01,289500,289500,280500,288000,17998,-0.008605851979345935
2015-06-02,284000,285500,276500,276500,19776,-0.03993055555555558
2015-06-03,274000,280000,267000,271000,16682,-0.019891500904159143
2015-06-04,267000,278000,267000,271500,11650,0.0018450184501845879
2015-06-05,267500,276000,265500,275500,14696,0.014732965009208066
2015-06-08,272500,274500,260500,264500,29302,-0.03992740471869327
2015-06-09,260500,269500,260500,266500,15537,0.007561436672967936
2015-06-10,266500,266500,253000,254500,31994,-0.04502814258911825
2015-06-11,255500,263000,248500,263000,30642,0.03339882121807469
2015-06-12,260000,266000,257000,263000,15191,0.0
2015-06-15,263000,263500,254500,262000,13550,-0.0038022813688213253
2015-06-16,262000,272000,262000,268000,17676,0.022900763358778553
2015-06-17,268500,271000,258000,260000,12085,-0.02985074626865669
2015-06-18,264500,280000,263000,278000,26491,0.0692307692307692
2015-06-19,279000,282500,272500,280000,17996,0.007194244604316502
2015-06-22,283500,284500,265500,270000,25264,-0.0357142857142857
2015-06-23,271000,282000,267000,273500,10609,0.012962962962963065
2015-06-24,276500,278500,274000,276500,8043,0.010968921389396646
2015-06-25,276500,280500,275000,280000,14872,0.012658227848101333
2015-06-26,282500,282500,265000,275000,26292,-0.017857142857142905
2015-06-29,268000,271000,261000,266000,23568,-0.032727272727272716
2015-06-30,266000,269000,257000,269000,39051,0.011278195488721776
2015-07-01,269000,278500,269000,276000,19804,0.026022304832713727
2015-07-02,276000,293000,275500,290000,49673,0.050724637681159424
2015-07-03,292500,298000,285000,287500,33249,-0.008620689655172376
2015-07-06,287500,292500,281000,289000,19545,0.00521739130434784
2015-07-07,290500,291000,275000,282500,22290,-0.02249134948096887
2015-07-08,284500,292000,276500,289500,18480,0.024778761061946986
2015-07-09,286000,288000,274000,288000,19985,-0.005181347150259086
2015-07-10,290500,294000,278000,286500,33859,-0.00520833333333337
2015-07-13,284500,290000,280000,290000,9263,0.01221640488656206
2015-07-14,291000,294000,280500,283000,29110,-0.024137931034482807
2015-07-15,282000,284500,278000,282500,16678,-0.0017667844522968323
2015-07-16,282000,282500,276500,278000,10182,-0.015929203539822967
2015-07-17,279000,300000,277500,295500,45841,0.06294964028776984
2015-07-20,298000,325000,294000,322500,72245,0.09137055837563457
2015-07-21,330000,356500,330000,355500,95439,0.10232558139534875
2015-07-22,353000,378000,342000,367500,56910,0.03375527426160341
2015-07-23,376500,390000,360000,383500,47474,0.0435374149659864
2015-07-24,387500,389500,367500,370000,29184,-0.03520208604954367
2015-07-27,365000,374000,346500,349000,28875,-0.05675675675675673
2015-07-28,342000,354500,341500,354000,26443,0.014326647564469885
2015-07-29,351500,356500,343000,345000,19482,-0.025423728813559365
2015-07-30,351500,351500,334000,339500,17970,-0.01594202898550723
2015-07-31,337000,347500,331000,347500,13390,0.02356406480117812
2015-08-03,347500,358500,344500,351000,16280,0.010071942446043147
2015-08-04,350000,353000,340500,353000,15345,0.005698005698005604
2015-08-05,350000,375500,350000,364000,25644,0.031161473087818692
2015-08-06,368000,374500,364000,370500,20127,0.017857142857142794
2015-08-07,368500,383000,367500,372000,15728,0.004048582995951344
2015-08-10,375000,405000,373000,405000,44436,0.08870967741935476
2015-08-11,415000,415000,380000,390000,34315,-0.03703703703703709
2015-08-12,386500,392500,365500,391500,40170,0.0038461538461538325
2015-08-13,395500,412000,382500,411000,35157,0.04980842911877392
2015-08-17,411000,411500,391000,411500,25413,0.0012165450121655041
2015-08-18,408000,411500,398500,402500,29329,-0.021871202916160404
2015-08-19,394000,396000,330500,354500,83347,-0.11925465838509319
2015-08-20,350000,370000,336500,340500,47656,-0.03949224259520456
2015-08-21,329000,357500,311000,350000,35734,0.027900146842878115
2015-08-24,345500,367000,345000,354000,20522,0.011428571428571344
2015-08-25,355500,361000,341000,354500,22679,0.0014124293785311437
2015-08-26,349000,367500,347000,365000,26811,0.02961918194640334
2015-08-27,370000,374000,356000,363500,27780,-0.004109589041095929
2015-08-28,365500,370000,360500,367500,12443,0.011004126547455195
2015-08-31,365000,369500,355000,366000,18390,-0.004081632653061273
2015-09-01,361000,367000,345500,351500,15649,-0.0396174863387978
2015-09-02,341000,348000,336000,342500,21192,-0.02560455192034139
2015-09-03,343000,352500,343000,350000,12687,0.021897810218978186
2015-09-04,346000,350000,321000,325000,21010,-0.0714285714285714
2015-09-07,320000,339000,313500,327500,17836,0.007692307692307665
2015-09-08,331500,331500,288000,298000,52605,-0.09007633587786257
2015-09-09,304500,317500,302000,310500,25712,0.04194630872483218
2015-09-10,309000,325000,306500,325000,14039,0.04669887278582929
2015-09-11,320000,327500,315000,317500,15587,-0.023076923076923106
2015-09-14,318000,324500,305500,307000,12365,-0.03307086614173227
2015-09-15,307000,320000,307000,312000,13391,0.016286644951140072
2015-09-16,317500,319000,310500,313500,9082,0.004807692307692291
2015-09-17,320000,329000,312000,318000,32621,0.014354066985645897
2015-09-18,321500,338000,321000,338000,22097,0.06289308176100628
2015-09-21,334500,340000,318000,321500,21854,-0.04881656804733725
2015-09-22,325500,335000,316000,325000,31063,0.010886469673405896
2015-09-23,318000,325000,317000,321500,10158,-0.010769230769230753
2015-09-24,321500,324500,314000,323500,19555,0.0062208398133747345
2015-09-25,317500,322000,313000,320500,13685,-0.009273570324574987
2015-09-30,313000,319000,309500,316000,16367,-0.01404056162246492
2015-10-01,316000,338000,316000,335500,30903,0.06170886075949378
2015-10-02,335500,342500,330000,338500,14337,0.008941877794336861
2015-10-05,343500,343500,333000,336000,9889,-0.00738552437223039
2015-10-06,340500,354000,337500,349000,21960,0.038690476190476275
2015-10-07,346000,352500,333500,341000,17274,-0.022922636103151817
2015-10-08,346500,346500,319000,331500,19238,-0.027859237536656867
2015-10-12,331500,335000,321000,324000,16919,-0.022624434389140302
2015-10-13,324000,330000,304000,317500,20239,-0.020061728395061706
2015-10-14,313000,319500,308000,312000,18280,-0.017322834645669305
2015-10-15,310500,315500,306000,309500,16125,-0.008012820512820484
2015-10-16,309500,326500,309500,318000,16294,0.02746365105008075
2015-10-19,318000,323000,303000,307000,19720,-0.03459119496855345
2015-10-20,309000,309000,301000,305500,13133,-0.004885993485342022
2015-10-21,304000,309500,294500,294500,27884,-0.036006546644844484
2015-10-22,292000,298000,278000,281500,44843,-0.04414261460101865
2015-10-23,282500,285500,273000,277500,38778,-0.014209591474245165
2015-10-26,279500,290500,276500,289500,22089,0.043243243243243246
2015-10-27,289500,291000,283500,288500,10696,-0.003454231433506094
2015-10-28,287500,290500,283500,289500,10958,0.0034662045060658286
2015-10-29,290000,292000,284500,284500,10942,-0.01727115716753025
2015-10-30,284500,288000,279000,282000,14714,-0.008787346221441172
2015-11-02,287000,287000,277500,277500,13803,-0.015957446808510634
2015-11-03,278000,282000,266000,271500,22413,-0.021621621621621623
2015-11-04,273000,286000,272500,283000,20468,0.0423572744014733
2015-11-05,289500,294500,284500,288500,21145,0.019434628975264934
2015-11-06,289000,291000,283000,287000,11331,-0.005199306759098743
2015-11-09,288500,291000,286500,287000,16785,0.0
2015-11-10,287000,288500,278500,284000,18649,-0.010452961672473893
2015-11-11,282500,291500,282500,287000,12229,0.010563380281690238
2015-11-12,287500,289000,286000,287000,13276,0.0
2015-11-13,286000,294000,280500,283000,18968,-0.013937282229965153
2015-11-16,283000,283000,270000,272000,34823,-0.03886925795053009
2015-11-17,272000,280000,269000,272000,26185,0.0
2015-11-18,272000,272500,254000,259000,55062,-0.047794117647058876
2015-11-19,258000,268500,258000,267500,22005,0.032818532818532864
2015-11-20,270000,270000,261000,263000,17549,-0.016822429906542036
2015-11-23,263000,269000,261000,264500,16371,0.005703422053231932
2015-11-24,262500,265000,257000,258000,24334,-0.02457466918714557
2015-11-25,257000,263000,248000,253500,42209,-0.01744186046511631
2015-11-26,254000,280000,254000,280000,54191,0.10453648915187386
