Date,Open,High,Low,Close,Volume,Change
2015-01-02,4510,4665,4510,4645,145783,0.00650054171180936
2015-01-05,4640,4650,4485,4580,183819,-0.013993541442411161
2015-01-06,4445,4580,4395,4455,177950,-0.02729257641921401
2015-01-07,4455,4570,4420,4450,142752,-0.001122334455667784
2015-01-08,4480,4480,4375,4475,125707,0.00561797752808979
2015-01-09,4485,4630,4410,4575,110778,0.022346368715083775
2015-01-12,4550,4655,4535,4560,57777,-0.003278688524590123
2015-01-13,4665,4675,4520,4545,66776,-0.003289473684210509
2015-01-14,4550,4610,4475,4495,106322,-0.011001100110010986
2015-01-15,4500,4580,4475,4520,59892,0.005561735261401468
2015-01-16,4700,4700,4485,4510,108125,-0.0022123893805309214
2015-01-19,4480,4570,4450,4450,105123,-0.013303769401330379
2015-01-20,4495,4600,4435,4520,120748,0.01573033707865168
2015-01-21,4560,4560,4435,4450,123225,-0.015486725663716783
2015-01-22,4460,4500,4400,4405,113162,-0.010112359550561778
2015-01-23,4420,4440,4220,4380,156153,-0.005675368898978461
2015-01-26,4355,4415,4330,4370,89142,-0.0022831050228310223
2015-01-27,4370,4460,4330,4355,81226,-0.003432494279176246
2015-01-28,4355,4605,4340,4595,218999,0.05510907003444321
2015-01-29,4690,4690,4575,4635,160492,0.008705114254624613
2015-01-30,4690,5000,4660,4975,298115,0.07335490830636471
2015-02-02,4975,5200,4960,5050,206226,0.015075376884422065
2015-02-03,5160,5250,5010,5030,146929,-0.003960396039603964
2015-02-04,5110,5200,5000,5090,137470,0.011928429423459175
2015-02-05,5100,5220,5040,5100,232274,0.0019646365422396617
2015-02-06,5070,5150,4985,5080,112567,-0.0039215686274509665
2015-02-09,5120,5170,5000,5030,95036,-0.009842519685039353
2015-02-10,4990,5140,4990,5130,200150,0.01988071570576544
2015-02-11,5450,5730,5300,5300,748359,0.033138401559454245
2015-02-12,5500,6080,5390,5820,1162326,0.09811320754716979
2015-02-13,6000,6000,5690,5770,400185,-0.00859106529209619
2015-02-16,5910,6000,5820,5860,308171,0.015597920277296451
2015-02-17,5800,5900,5740,5800,161106,-0.010238907849829393
2015-02-23,5920,5920,5700,5780,207356,-0.0034482758620689724
2015-02-24,5710,5960,5680,5920,444823,0.02422145328719716
2015-02-25,6020,6390,5970,6230,593077,0.05236486486486491
2015-02-26,6210,6260,6030,6100,276091,-0.020866773675762396
2015-02-27,6040,6240,5990,6220,218849,0.01967213114754096
2015-03-02,6220,6290,6100,6180,164204,-0.006430868167202619
2015-03-03,6180,6740,6080,6500,659391,0.05177993527508096
2015-03-04,6510,6650,6420,6460,226197,-0.006153846153846176
2015-03-05,6480,7400,6400,7300,1339208,0.13003095975232193
2015-03-06,7290,7370,6950,7190,692593,-0.015068493150684925
2015-03-09,7200,7290,7030,7100,290443,-0.012517385257301838
2015-03-10,7100,7200,6040,6620,2329702,-0.06760563380281692
2015-03-11,6570,6980,6400,6720,600394,0.015105740181268867
2015-03-12,6790,6800,6670,6790,248566,0.01041666666666674
2015-03-13,6790,6800,6640,6650,145801,-0.020618556701030966
2015-03-16,6650,6750,6410,6570,244543,-0.012030075187969946
2015-03-17,6500,6740,6440,6550,233512,-0.0030441400304414
2015-03-18,6500,6830,6470,6700,252606,0.022900763358778553
2015-03-19,6650,7120,6650,6920,320808,0.032835820895522394
2015-03-20,7010,7040,6600,6680,334879,-0.034682080924855474
2015-03-23,6180,6290,5690,6180,892330,-0.07485029940119758
2015-03-24,6120,6350,6120,6300,246489,0.01941747572815533
2015-03-25,6300,6420,6280,6330,136448,0.004761904761904745
2015-03-26,6280,6350,6030,6110,261433,-0.034755134281200584
2015-03-27,6120,6200,5730,5830,399699,-0.04582651391162029
2015-03-30,6000,6050,5870,5920,155217,0.015437392795883298
2015-03-31,6090,6090,5870,5990,178823,0.011824324324324342
2015-04-01,5920,6000,5880,5880,148845,-0.018363939899833093
2015-04-02,5820,5980,5820,5880,127936,0.0
2015-04-03,5880,5970,5860,5920,93969,0.006802721088435382
