Date,Open,High,Low,Close,Volume,Change
2015-01-02,30050,30500,29900,30300,301199,-0.003289473684210509
2015-01-05,29950,30300,29800,30100,280161,-0.0066006600660065695
2015-01-06,29950,30700,29950,30250,366156,0.004983388704318914
2015-01-07,30250,30800,30150,30600,260998,0.011570247933884392
2015-01-08,30300,31150,30300,30750,310396,0.004901960784313708
2015-01-09,31200,31850,31100,31550,349056,0.026016260162601723
2015-01-12,31600,31750,30850,31150,184252,-0.01267828843106178
2015-01-13,31400,31400,30850,30850,210222,-0.009630818619582704
2015-01-14,30850,31200,30350,30600,253689,-0.008103727714748765
2015-01-15,30600,30900,30500,30850,232871,0.008169934640522847
2015-01-16,30550,30800,30250,30300,245569,-0.017828200972447306
2015-01-19,30700,31250,30100,30200,296913,-0.0033003300330033403
2015-01-20,30000,31950,30000,31900,435673,0.056291390728476776
2015-01-21,31400,32500,31400,32300,496157,0.012539184952978122
2015-01-22,32050,32500,31950,32250,275934,-0.001547987616099089
2015-01-23,32450,32700,32000,32500,300437,0.007751937984496138
2015-01-26,32200,32650,32150,32650,205031,0.004615384615384688
2015-01-27,32900,32900,32200,32900,200955,0.007656967840734996
2015-01-28,32450,33050,32050,33000,286038,0.003039513677811634
2015-01-29,32700,33150,32300,33000,387534,0.0
2015-01-30,33100,33200,32150,32400,403699,-0.018181818181818188
2015-02-02,32200,32600,32050,32600,147391,0.006172839506172867
2015-02-03,32800,32800,31900,32350,303019,-0.0076687116564416735
2015-02-04,32400,33400,32150,33200,495074,0.026275115919629055
2015-02-05,33200,34000,33050,33650,444104,0.013554216867469826
2015-02-06,33300,33900,33300,33600,291454,-0.0014858841010401136
2015-02-09,33300,33800,32800,32800,236917,-0.023809523809523836
2015-02-10,32800,33300,32400,32950,277231,0.004573170731707377
2015-02-11,33050,33200,32500,32950,140693,0.0
2015-02-12,32500,33200,32350,33200,188648,0.007587253414264028
2015-02-13,33200,33200,32700,32850,162520,-0.010542168674698815
2015-02-16,33400,33950,33200,33600,279679,0.022831050228310446
2015-02-17,33300,33950,33250,33950,190123,0.01041666666666674
2015-02-23,33350,33950,33050,33300,271152,-0.019145802650957333
2015-02-24,33250,33800,33250,33750,247234,0.013513513513513598
2015-02-25,33750,34200,33550,34200,337591,0.01333333333333342
2015-02-26,34300,34300,33450,33700,263658,-0.014619883040935644
2015-02-27,33400,34200,33400,34000,361510,0.008902077151335286
2015-03-02,33800,34650,32850,32950,395530,-0.030882352941176472
2015-03-03,32650,34150,32650,34150,449159,0.036418816388467334
2015-03-04,33800,34300,33750,34000,233279,-0.004392386530014614
2015-03-05,33600,34350,33600,34100,252988,0.002941176470588225
2015-03-06,33950,34300,33700,33800,178986,-0.008797653958944274
2015-03-09,33550,33850,33050,33100,217359,-0.020710059171597628
2015-03-10,33150,34150,33150,33550,299344,0.013595166163141936
2015-03-11,33200,33700,32550,33050,459135,-0.014903129657228065
2015-03-12,32750,33850,32700,32700,470912,-0.010590015128593033
2015-03-13,33100,33700,33100,33300,195913,0.0183486238532109
2015-03-16,33300,33900,33250,33500,210061,0.006006006006006093
