Date,Open,High,Low,Close,Volume,Change
2015-01-02,398000,408000,398000,405500,17077,0.004956629491945419
2015-01-05,400000,405000,395500,397500,29267,-0.019728729963008673
2015-01-06,398000,400500,395000,397500,31731,0.0
2015-01-07,397000,412500,397000,408000,55284,0.026415094339622636
2015-01-08,403500,415000,403500,415000,30156,0.017156862745097978
2015-01-09,420000,422500,416000,420000,30108,0.012048192771084265
2015-01-12,415500,427500,415500,426500,44269,0.015476190476190421
2015-01-13,426500,438500,423000,432000,72722,0.01289566236811246
2015-01-14,428000,434000,423500,424500,44964,-0.01736111111111116
2015-01-15,420500,428000,418000,423000,35053,-0.0035335689045936647
2015-01-16,431000,441000,420500,427000,100694,0.009456264775413725
2015-01-19,434000,439500,430000,436500,38957,0.022248243559718883
2015-01-20,434000,439000,429500,429500,24442,-0.016036655211912998
2015-01-21,438000,440000,432000,437500,52257,0.0186263096623982
2015-01-22,449000,449000,440000,446500,52474,0.020571428571428463
2015-01-23,449000,450000,436000,442500,44410,-0.00895856662933936
2015-01-26,438000,442500,434500,441000,29025,-0.003389830508474523
2015-01-27,438500,443500,434000,438000,46692,-0.006802721088435382
2015-01-28,438000,443500,434500,437000,38062,-0.0022831050228310223
2015-01-29,437000,438000,431500,432000,29017,-0.011441647597253968
2015-01-30,429500,433500,426000,429500,52784,-0.0057870370370370905
2015-02-02,427000,436000,427000,436000,54100,0.015133876600698537
2015-02-03,433000,435500,427000,431000,38154,-0.011467889908256867
2015-02-04,431000,433500,422500,425000,58158,-0.0139211136890951
2015-02-05,422500,425000,416000,422500,42339,-0.00588235294117645
2015-02-06,418500,424000,418000,419500,25264,-0.007100591715976323
2015-02-09,412000,418500,410000,414500,27605,-0.011918951132300348
2015-02-10,408500,416000,404000,405500,55737,-0.021712907117008462
2015-02-11,408000,412000,398000,410000,68790,0.011097410604192337
2015-02-12,404000,413500,401500,409000,43073,-0.0024390243902439046
2015-02-13,409000,413000,408500,412000,17265,0.007334963325183352
2015-02-16,410000,416500,407000,408000,19787,-0.009708737864077666
2015-02-17,410000,413000,407000,411500,18917,0.008578431372548989
2015-02-23,406500,415000,403500,415000,26178,0.008505467800729027
2015-02-24,410000,416000,407500,407500,32153,-0.01807228915662651
2015-02-25,408000,417500,408000,415500,26368,0.019631901840490906
2015-02-26,413000,416000,409000,415000,27340,-0.001203369434416346
2015-02-27,411500,416500,409500,409500,44003,-0.013253012048192736
2015-03-02,409500,415500,407500,411500,26140,0.004884004884004867
2015-03-03,407000,411500,398000,403500,62088,-0.019441069258809285
2015-03-04,404500,406500,399000,404000,33799,0.0012391573729864103
2015-03-05,400000,405000,400000,403000,21128,-0.0024752475247524774
2015-03-06,400500,405000,398500,400000,38859,-0.007444168734491274
2015-03-09,397500,399000,394000,395000,36650,-0.012499999999999956
2015-03-10,395500,402000,395500,397000,35455,0.005063291139240533
2015-03-11,393000,393000,386500,389000,74216,-0.02015113350125941
2015-03-12,389000,390000,380000,382000,60971,-0.01799485861182515
2015-03-13,384500,401000,384000,401000,55564,0.04973821989528804
2015-03-16,402000,404000,396500,400000,23306,-0.0024937655860348684
2015-03-17,404000,419500,401500,419000,71068,0.0475000000000001
2015-03-18,421000,421000,410500,417000,27193,-0.004773269689737458
2015-03-19,426500,431000,417500,419000,62870,0.004796163069544335
2015-03-20,420000,423500,415000,421000,39744,0.004773269689737569
2015-03-23,426500,429500,414500,420500,31603,-0.001187648456057011
2015-03-24,419000,430000,416500,426500,55142,0.014268727705113005
2015-03-25,427500,431000,426500,428000,27288,0.003516998827667095
2015-03-26,431500,432500,423500,430000,27578,0.004672897196261738
2015-03-27,429500,433500,424000,432000,29697,0.0046511627906977715
2015-03-30,435000,435000,425000,429500,18519,-0.0057870370370370905
2015-03-31,426500,429500,420000,424000,21009,-0.012805587892898762
2015-04-01,428500,430500,421000,426500,32341,0.005896226415094352
2015-04-02,426500,432500,424000,430500,26876,0.009378663540445586
2015-04-03,431000,435500,427500,435000,21090,0.010452961672473782
2015-04-06,431000,437500,430000,434000,24570,-0.0022988505747126853
2015-04-07,434500,439500,434000,434500,34510,0.0011520737327188613
2015-04-08,429000,443500,428500,442000,30984,0.017261219792865434
2015-04-09,439000,446000,439000,445500,37197,0.007918552036199067
2015-04-10,441500,446000,438500,439000,33012,-0.014590347923681302
2015-04-13,438000,444500,438000,443500,45221,0.010250569476081939
2015-04-14,440000,446500,438000,446000,27680,0.005636978579481422
2015-04-15,440000,453000,440000,445500,33174,-0.0011210762331838042
2015-04-16,445500,455000,439000,449500,35366,0.008978675645342271
2015-04-17,446000,456000,446000,454000,36036,0.010011123470522909
2015-04-20,455000,465000,450500,462500,40561,0.018722466960352513
2015-04-21,462500,464500,452500,459500,31022,-0.006486486486486531
2015-04-22,460000,463500,449000,461000,48188,0.0032644178454841466
2015-04-23,463000,494000,457000,487500,84088,0.057483731019522866
2015-04-24,488500,492000,480000,484500,43212,-0.006153846153846176
2015-04-27,481500,487000,476000,481000,37156,-0.007223942208462342
2015-04-28,485500,492500,482000,488000,57758,0.01455301455301461
2015-04-29,495000,495000,480000,486000,34238,-0.004098360655737654
2015-04-30,483000,484000,471000,477500,51703,-0.017489711934156382
2015-05-04,479500,492500,468000,490000,38573,0.02617801047120416
2015-05-06,492000,501000,482000,491500,57165,0.003061224489795844
2015-05-07,492000,492000,475000,485500,45646,-0.012207527975584997
2015-05-08,484000,489000,477000,486500,26496,0.002059732234809486
2015-05-11,488500,490000,480500,486500,22369,0.0
2015-05-12,482000,485000,478000,481500,21579,-0.010277492291880796
2015-05-13,481500,499000,481000,497000,31269,0.03219106957424711
2015-05-14,497000,510000,492000,500000,47337,0.006036217303822866
2015-05-15,502000,520000,496000,496500,25939,-0.007000000000000006
2015-05-18,493000,503000,490500,500000,25130,0.007049345417925457
2015-05-19,496000,503000,494000,499500,23465,-0.0010000000000000009
2015-05-20,494500,502000,492000,499500,26335,0.0
2015-05-21,497500,507000,497000,499500,19954,0.0
2015-05-22,500000,516000,500000,511000,26029,0.02302302302302306
2015-05-26,504000,515000,497000,508000,40209,-0.005870841487279899
2015-05-27,497000,508000,490000,493000,52608,-0.029527559055118058
2015-05-28,487500,498000,485000,493000,40921,0.0
2015-05-29,485500,508000,485500,502000,49022,0.018255578093306246
2015-06-01,506000,508000,490500,499500,29208,-0.004980079681274896
2015-06-02,496000,508000,496000,498000,31702,-0.0030030030030030463
2015-06-03,504000,513000,501000,507000,27854,0.01807228915662651
