Date,Open,High,Low,Close,Volume,Change
2015-01-02,37643,37778,36967,37238,21871,-0.021288898233809972
2015-01-05,37237,37372,35571,36292,27580,-0.025404157043879882
2015-01-06,36022,36472,35706,36202,14297,-0.0024798853741871962
2015-01-07,36202,36697,35841,36112,16326,-0.0024860504944478334
2015-01-08,36382,36472,35977,36022,9151,-0.002492246344705351
2015-01-09,36067,37102,36067,36923,9257,0.025012492365776406
2015-01-12,36562,37327,36472,36698,11165,-0.0060937626953389
2015-01-13,36697,36832,36247,36607,13306,-0.002479699166167082
2015-01-14,36382,36427,35977,36382,15129,-0.006146365449230973
2015-01-15,36157,36157,35932,36157,8387,-0.006184376889670662
2015-01-16,36157,36157,35301,35977,11078,-0.004978289127969715
2015-01-19,36067,36202,35841,35842,16632,-0.0037523973649832287
2015-01-20,35887,36742,35841,36743,10624,0.02513810613247025
2015-01-21,36697,36742,35841,36157,16665,-0.015948616062923526
2015-01-22,36292,36517,35841,36517,8485,0.00995657825593943
2015-01-23,36922,36967,36292,36652,14229,0.003696908289289924
2015-01-26,36652,37102,36202,36698,13056,0.001255047473534887
2015-01-27,36967,36967,36382,36788,12394,0.0024524497247806476
2015-01-28,36742,37147,36472,37148,10965,0.009785799717299204
2015-01-29,37147,37147,36112,36472,18423,-0.018197480348874806
2015-01-30,36607,36652,36067,36607,24328,0.0037014696205308617
2015-02-02,36607,36607,36247,36562,16673,-0.0012292730898462167
2015-02-03,36787,36787,36337,36562,9780,0.0
2015-02-04,36652,36922,36382,36923,21071,0.00987363929763152
2015-02-05,36922,38993,36922,38859,31400,0.05243344256967197
2015-02-06,38948,41245,38498,40390,43005,0.03939885226073758
2015-02-09,40479,40479,39579,39669,17714,-0.017850953206239195
2015-02-10,39759,40569,39624,40345,19884,0.01704101439411132
2015-02-11,40704,40795,40074,40615,29430,0.006692279092824327
2015-02-12,40750,40750,39624,40120,15423,-0.01218761541302471
2015-02-13,40389,40704,40074,40615,9293,0.012337986041874416
2015-02-16,40524,42551,40524,41786,54704,0.028831712421519162
2015-02-17,41785,42235,41650,41831,29354,0.0010769157133967422
