Date,Open,High,Low,Close,Volume,Change
2015-01-02,9600,9910,9410,9790,947152,0.012409513960703222
2015-01-05,9780,9780,9500,9540,744721,-0.025536261491317713
2015-01-06,9410,9550,8920,9070,2428424,-0.04926624737945495
2015-01-07,9080,9310,9020,9310,888337,0.026460859977949225
2015-01-08,9310,9340,9140,9200,574775,-0.011815252416756183
2015-01-09,9200,9350,9130,9310,576615,0.011956521739130421
2015-01-12,9220,9270,9070,9120,945495,-0.020408163265306145
2015-01-13,9220,9430,9160,9350,933338,0.025219298245614086
2015-01-14,9280,9300,9150,9200,701852,-0.016042780748663055
2015-01-15,9180,9280,9100,9210,422962,0.0010869565217390686
2015-01-16,9200,9230,8980,9030,1068301,-0.019543973941368087
2015-01-19,9010,9250,9010,9250,504609,0.02436323366555926
2015-01-20,9300,9330,9130,9190,555310,-0.006486486486486531
2015-01-21,9450,9550,9320,9330,1007783,0.015233949945593128
2015-01-22,9380,9660,9360,9410,1114669,0.008574490889603492
2015-01-23,9520,9540,9370,9400,667910,-0.0010626992561104665
2015-01-26,9400,9510,9360,9370,368317,-0.0031914893617021045
2015-01-27,9450,9620,9360,9590,811035,0.023479188900747072
2015-01-28,9530,9680,9490,9660,895428,0.007299270072992803
2015-01-29,9600,9940,9530,9780,1109607,0.012422360248447228
2015-01-30,9870,10100,9640,9710,1664861,-0.007157464212678932
2015-02-02,9640,9750,9570,9580,653183,-0.013388259526261548
2015-02-03,9610,9670,9420,9480,716340,-0.01043841336116913
2015-02-04,9510,9610,9480,9550,608004,0.007383966244725704
2015-02-05,9560,9860,9530,9830,834997,0.029319371727748678
2015-02-06,9820,9820,9430,9460,1763309,-0.03763987792472023
2015-02-09,9430,9430,9230,9290,747865,-0.017970401691331905
2015-02-10,9300,9530,9250,9490,764019,0.02152852529601712
2015-02-11,9520,9550,9430,9480,460908,-0.0010537407797681642
2015-02-12,9520,9530,9380,9420,356972,-0.006329113924050667
2015-02-13,9430,9470,9300,9310,743110,-0.011677282377919318
2015-02-16,9340,9400,9190,9270,695981,-0.004296455424274925
2015-02-17,9210,9380,9200,9320,409580,0.005393743257820827
2015-02-23,9370,9600,9270,9540,721706,0.023605150214592197
2015-02-24,9620,9640,9430,9510,590424,-0.0031446540880503138
2015-02-25,9420,9490,9320,9440,1018057,-0.007360672975814886
2015-02-26,9550,10100,9530,9680,2313777,0.025423728813559254
2015-02-27,9700,9700,9550,9570,639574,-0.011363636363636354
2015-03-02,9600,9670,9510,9600,475188,0.0031347962382444194
2015-03-03,9610,9880,9590,9820,1171708,0.022916666666666696
2015-03-04,9830,9850,9740,9810,603712,-0.0010183299389001643
2015-03-05,9800,10400,9800,10350,2804817,0.05504587155963292
2015-03-06,10250,10600,10200,10450,1745955,0.009661835748792313
2015-03-09,10350,10450,10250,10350,735725,-0.009569377990430672
2015-03-10,10350,10400,9820,10050,1259520,-0.02898550724637683
2015-03-11,9900,10150,9870,10050,773217,0.0
2015-03-12,10050,10100,9880,9880,710573,-0.01691542288557213
2015-03-13,9960,9970,9860,9890,668857,0.0010121457489877805
2015-03-16,9940,10150,9920,9960,601984,0.00707785642062686
2015-03-17,10000,10150,9900,9980,942050,0.002008032128514081
2015-03-18,10100,10150,9980,10000,824193,0.002004008016031955
2015-03-19,10150,10200,9940,10050,868500,0.004999999999999893
2015-03-20,10050,10050,9730,9860,1013944,-0.018905472636815968
2015-03-23,9900,9920,9760,9860,526424,0.0
2015-03-24,9900,9900,9790,9830,388580,-0.0030425963488843744
2015-03-25,9830,9830,9220,9290,3214002,-0.05493387589013221
2015-03-26,9290,9430,9230,9320,1150830,0.0032292787944026013
2015-03-27,9380,9380,9230,9360,723765,0.0042918454935623185
2015-03-30,9350,9370,9250,9260,977291,-0.010683760683760646
2015-03-31,9300,9300,9030,9110,1682918,-0.016198704103671746
2015-04-01,9090,9210,9070,9140,782588,0.003293084522502765
2015-04-02,9170,9350,9120,9320,881200,0.01969365426695835
2015-04-03,9400,9520,9320,9370,685783,0.005364806866952732
2015-04-06,9370,9450,9280,9430,675991,0.006403415154749181
2015-04-07,9450,9450,9350,9380,362500,-0.005302226935312793
2015-04-08,9380,9490,9350,9380,521421,0.0
2015-04-09,9400,9400,9290,9310,644946,-0.007462686567164201
2015-04-10,9320,9350,9250,9320,660835,0.0010741138560688146
2015-04-13,9340,9490,9310,9430,765589,0.011802575107296098
2015-04-14,9480,9900,9430,9800,1825561,0.03923647932131491
2015-04-15,9850,9860,9690,9830,950750,0.003061224489795844
2015-04-16,9800,9960,9670,9710,1366599,-0.012207527975584997
2015-04-17,9680,9850,9660,9750,647132,0.004119464469618972
2015-04-20,9670,9810,9660,9710,592855,-0.004102564102564155
2015-04-21,9720,9780,9630,9630,658290,-0.008238928939237944
2015-04-22,9640,9720,9350,9510,750270,-0.012461059190031154
2015-04-23,9530,9790,9430,9770,785910,0.02733964248159837
2015-04-24,9770,9870,9700,9810,848285,0.004094165813715467
2015-04-27,9870,10150,9820,10100,1273505,0.029561671763506547
2015-04-28,10100,10100,9950,10050,668069,-0.004950495049504955
2015-04-29,9990,10000,9610,9740,1194333,-0.030845771144278555
2015-04-30,9740,9820,9610,9770,557143,0.0030800821355236874
2015-05-04,9720,9760,9520,9540,684641,-0.023541453428863823
2015-05-06,9480,9560,9250,9300,817165,-0.02515723270440251
2015-05-07,9330,9420,9250,9310,441951,0.0010752688172042113
2015-05-08,9330,9650,9330,9540,593446,0.02470461868958118
2015-05-11,9590,9660,9450,9450,370627,-0.009433962264150941
2015-05-12,9430,9450,9340,9410,359941,-0.004232804232804255
2015-05-13,9370,9470,9370,9390,313217,-0.002125398512221044
2015-05-14,9390,9460,9350,9360,336951,-0.0031948881789137795
2015-05-15,9400,9420,9290,9320,457943,-0.004273504273504258
2015-05-18,9150,9250,9080,9180,1549163,-0.015021459227467782
2015-05-19,9190,9190,8690,8700,2386077,-0.05228758169934644
2015-05-20,8710,8730,8420,8450,1770485,-0.028735632183908066
2015-05-21,8390,8510,8260,8340,1395633,-0.013017751479289963
2015-05-22,8330,8550,8300,8500,1047109,0.01918465227817756
2015-05-26,8520,8520,8320,8360,711941,-0.016470588235294126
2015-05-27,8330,8460,8290,8300,716742,-0.0071770334928229484
2015-05-28,8340,8370,8080,8090,1242972,-0.025301204819277112
2015-05-29,8060,8210,8040,8170,1108552,0.009888751545117369
2015-06-01,8160,8160,7900,7940,1181814,-0.028151774785801664
2015-06-02,7940,7950,7530,7610,1810052,-0.041561712846347576
2015-06-03,7510,7690,7510,7520,895537,-0.01182654402102501
2015-06-04,7500,7580,7350,7360,1052109,-0.021276595744680882
2015-06-05,7350,7420,7270,7330,771983,-0.0040760869565217295
2015-06-08,7300,7660,7190,7660,1412295,0.045020463847203374
2015-06-09,7630,7740,7500,7730,1097336,0.009138381201044377
2015-06-10,7790,7940,7620,7680,908093,-0.0064683053040103244
2015-06-11,7700,7870,7680,7870,1143854,0.02473958333333326
2015-06-12,7880,7890,7410,7500,1364970,-0.04701397712833544
2015-06-15,7450,7680,7330,7500,680470,0.0
2015-06-16,7460,7500,7270,7350,905594,-0.020000000000000018
2015-06-17,7340,7340,7190,7220,842999,-0.017687074829931926
2015-06-18,7270,7320,7160,7190,744140,-0.0041551246537395725
2015-06-19,7210,7210,6990,7100,1358516,-0.012517385257301838
2015-06-22,7100,7170,7060,7140,622579,0.005633802816901401
2015-06-23,7190,7200,7020,7100,1184346,-0.0056022408963585235
2015-06-24,7100,7360,7050,7330,812849,0.032394366197183055
2015-06-25,7380,7420,7310,7350,828740,0.0027285129604366354
2015-06-26,7420,7500,7340,7370,701838,0.0027210884353741083
2015-06-29,7220,7240,7000,7040,911621,-0.04477611940298509
2015-06-30,7010,7330,6990,7270,749192,0.032670454545454586
2015-07-01,7280,7600,7220,7590,887128,0.044016506189821225
2015-07-02,7590,7640,7410,7420,628618,-0.022397891963109373
2015-07-03,7440,7470,7280,7420,680492,0.0
2015-07-06,7300,7400,7260,7330,500475,-0.0121293800539084
2015-07-07,7410,7460,7260,7330,542528,0.0
2015-07-08,7290,7560,7270,7310,732915,-0.0027285129604365244
2015-07-09,7300,7350,7140,7200,636334,-0.015047879616963078
2015-07-10,7210,7240,7080,7130,738464,-0.009722222222222188
2015-07-13,7150,7230,7080,7200,444732,0.009817671809256634
2015-07-14,7320,7340,7180,7280,711960,0.011111111111111072
2015-07-15,7280,7670,7280,7620,1551451,0.04670329670329676
2015-07-16,7630,7670,7370,7400,920816,-0.02887139107611547
