Date,Open,High,Low,Close,Volume,Change
2015-01-02,51600,52600,51600,52300,616867,0.0
2015-01-05,52200,52300,51600,52000,651421,-0.005736137667303964
2015-01-06,51500,51600,50900,51200,777311,-0.01538461538461533
2015-01-07,50500,52100,50500,51800,598333,0.01171875
2015-01-08,51800,52600,51800,52200,701430,0.007722007722007707
2015-01-09,52700,54400,52500,53400,927979,0.02298850574712641
2015-01-12,52900,53800,52700,53000,589295,-0.0074906367041198685
2015-01-13,54500,54800,53600,54200,1145916,0.02264150943396226
2015-01-14,54700,54900,53300,53600,857911,-0.011070110701106972
2015-01-15,53200,53400,52100,52500,1137595,-0.020522388059701524
2015-01-16,51900,52400,51100,52000,884515,-0.00952380952380949
2015-01-19,51500,51900,51100,51500,897406,-0.009615384615384581
2015-01-20,51300,52000,51300,51900,725531,0.007766990291262044
2015-01-21,51500,51900,49850,50300,2187421,-0.030828516377649273
2015-01-22,50300,50700,49800,50200,1757493,-0.001988071570576566
2015-01-23,50400,50800,48900,49250,2748392,-0.018924302788844605
2015-01-26,48000,48500,46400,46450,4520696,-0.056852791878172604
2015-01-27,46150,46400,44750,45400,4113849,-0.0226049515608181
2015-01-28,45000,46600,45000,46000,2895702,0.013215859030837107
2015-01-29,46050,47000,45950,46650,1337853,0.01413043478260878
2015-01-30,47300,47350,45950,46000,1912599,-0.01393354769560562
2015-02-02,45800,46600,45800,46550,981947,0.011956521739130421
2015-02-03,46250,46400,45050,45400,1936168,-0.02470461868958107
2015-02-04,46200,46200,45500,46000,1641512,0.013215859030837107
2015-02-05,45700,46000,45150,45350,1203424,-0.01413043478260867
2015-02-06,45350,45600,44000,44500,2714991,-0.018743109151047377
2015-02-09,44000,44150,43100,43200,2034092,-0.02921348314606742
2015-02-10,43000,44000,42950,43500,1533438,0.00694444444444442
2015-02-11,43500,44100,43500,44000,825954,0.011494252873563315
2015-02-12,44450,44500,43800,44200,1024650,0.00454545454545463
2015-02-13,44300,45800,44250,45000,1315263,0.018099547511312153
2015-02-16,45250,45450,44500,45050,728683,0.0011111111111110628
2015-02-17,45100,46000,45100,45750,902848,0.015538290788013276
2015-02-23,46350,46400,45850,46250,1348149,0.010928961748633892
2015-02-24,46600,46900,46100,46300,938755,0.00108108108108107
2015-02-25,46400,46600,46000,46550,891207,0.005399568034557323
2015-02-26,46150,46500,46000,46300,998414,-0.00537056928034374
2015-02-27,46050,46200,45100,45500,1865265,-0.017278617710583144
2015-03-02,45400,45750,45000,45500,758527,0.0
2015-03-03,45500,47350,45500,46700,1909279,0.02637362637362628
2015-03-04,47250,47800,46600,46750,1475861,0.0010706638115631772
2015-03-05,46300,47350,46300,46900,781005,0.0032085561497325887
2015-03-06,47100,48500,47100,48000,1791270,0.023454157782516027
2015-03-09,47950,48150,47350,47750,832777,-0.00520833333333337
2015-03-10,47950,48350,47350,47450,755746,-0.006282722513089034
2015-03-11,46700,48150,46500,47300,1454138,-0.0031612223393044925
2015-03-12,47350,47900,46850,46850,1677945,-0.009513742071881603
2015-03-13,47150,47300,46100,46350,1217606,-0.01067235859124871
2015-03-16,46400,46550,45750,46100,1239892,-0.005393743257820938
2015-03-17,46350,47750,46250,47350,1558351,0.027114967462039008
2015-03-18,47500,48150,47350,47550,1549610,0.004223864836325308
2015-03-19,48200,48300,47050,47350,1273389,-0.004206098843322792
2015-03-20,47100,47300,46450,47000,1055866,-0.007391763463569179
2015-03-23,47100,47150,46400,46600,676639,-0.008510638297872353
2015-03-24,46600,46600,45550,46000,1302665,-0.012875536480686733
2015-03-25,45600,45950,45050,45100,1209994,-0.019565217391304346
2015-03-26,44850,45850,44850,45250,1125494,0.003325942350332678
