Date,Open,High,Low,Close,Volume,Change
2015-01-02,631000,639000,630000,637000,658,-0.003129890453834161
2015-01-05,633000,656000,632000,654000,1538,0.02668759811616961
2015-01-06,647000,655000,639000,653000,1005,-0.001529051987767538
2015-01-07,640000,651000,640000,647000,627,-0.009188361408882129
2015-01-08,641000,649000,630000,632000,762,-0.023183925811437356
2015-01-09,633000,638000,625000,627000,822,-0.007911392405063333
2015-01-12,622000,646000,622000,646000,832,0.030303030303030276
2015-01-13,648000,654000,641000,651000,674,0.007739938080495445
2015-01-14,647000,667000,647000,664000,1439,0.019969278033794113
2015-01-15,664000,682000,661000,680000,1862,0.024096385542168752
2015-01-16,680000,689000,680000,688000,1109,0.0117647058823529
2015-01-19,697000,698000,682000,682000,536,-0.008720930232558155
2015-01-20,689000,697000,676000,691000,1130,0.01319648093841641
2015-01-21,691000,709000,687000,701000,1327,0.01447178002894356
2015-01-22,701000,712000,698000,707000,952,0.008559201141226769
2015-01-23,704000,719000,703000,705000,519,-0.0028288543140028155
2015-01-26,684000,714000,684000,694000,671,-0.015602836879432647
2015-01-27,705000,705000,688000,688000,626,-0.008645533141210415
2015-01-28,678000,713000,676000,710000,1466,0.03197674418604657
2015-01-29,714000,716000,700000,713000,631,0.004225352112676051
2015-01-30,705000,723000,705000,723000,976,0.014025245441795287
2015-02-02,721000,743000,721000,734000,1034,0.015214384508990264
2015-02-03,726000,740000,726000,733000,797,-0.0013623978201634523
2015-02-04,728000,739000,725000,728000,296,-0.006821282401091366
2015-02-05,719000,736000,719000,731000,435,0.004120879120879106
2015-02-06,721000,730000,712000,719000,391,-0.01641586867305067
2015-02-09,719000,758000,710000,739000,2387,0.02781641168289295
2015-02-10,739000,739000,731000,734000,357,-0.006765899864682012
2015-02-11,734000,752000,720000,728000,1627,-0.008174386920980936
2015-02-12,733000,745000,715000,729000,597,0.0013736263736263687
2015-02-13,735000,740000,718000,729000,619,0.0
2015-02-16,720000,737000,720000,724000,721,-0.006858710562414272
2015-02-17,638000,731000,638000,731000,851,0.00966850828729271
2015-02-23,738000,738000,725000,736000,452,0.0068399452804377425
2015-02-24,716000,738000,716000,737000,667,0.0013586956521738358
2015-02-25,730000,739000,725000,737000,495,0.0
2015-02-26,730000,742000,725000,730000,557,-0.009497964721845276
2015-02-27,725000,735000,717000,735000,1210,0.006849315068493178
2015-03-02,726000,735000,717000,717000,920,-0.024489795918367308
2015-03-03,710000,728000,706000,707000,1001,-0.013947001394700176
2015-03-04,701000,703000,688000,688000,1081,-0.026874115983026914
2015-03-05,685000,714000,684000,706000,1192,0.026162790697674465
