Date,Open,High,Low,Close,Volume,Change
2015-01-02,12700,12750,12600,12650,143698,-0.007843137254901933
2015-01-05,12600,13100,12500,13100,366041,0.035573122529644285
2015-01-06,12900,13100,12650,12750,228274,-0.026717557251908386
2015-01-07,12750,12800,12650,12700,144976,-0.0039215686274509665
2015-01-08,12700,12850,12700,12800,114142,0.007874015748031482
2015-01-09,12850,12900,12600,12750,303749,-0.00390625
2015-01-12,12900,13400,12900,13350,599626,0.04705882352941182
2015-01-13,13300,13500,13100,13500,355677,0.011235955056179803
2015-01-14,13600,13950,13550,13750,377082,0.0185185185185186
2015-01-15,13700,13950,13600,13900,168709,0.01090909090909098
2015-01-16,13700,13950,13650,13900,262430,0.0
2015-01-19,14000,14050,13850,14000,221813,0.007194244604316502
2015-01-20,14000,14000,13600,13800,161817,-0.014285714285714235
2015-01-21,13700,13800,13450,13450,203464,-0.025362318840579712
2015-01-22,13700,14750,13700,14400,1377601,0.07063197026022294
2015-01-23,14400,14600,14250,14350,520194,-0.00347222222222221
2015-01-26,14200,14350,13800,14000,340508,-0.024390243902439046
2015-01-27,14050,14150,13800,14100,257397,0.0071428571428571175
2015-01-28,14200,15350,14050,15200,1265110,0.07801418439716312
2015-01-29,15000,15600,14900,15550,1287306,0.023026315789473673
2015-01-30,15550,15700,15350,15600,550156,0.003215434083601254
2015-02-02,15550,15600,15300,15550,333565,-0.0032051282051281937
2015-02-03,15700,15800,14950,15600,726718,0.003215434083601254
2015-02-04,15700,15700,15350,15450,393460,-0.009615384615384581
2015-02-05,15400,15700,15400,15550,362143,0.006472491909385036
2015-02-06,15600,15700,15150,15300,230100,-0.01607717041800638
2015-02-09,15200,15350,15050,15200,211123,-0.006535947712418277
2015-02-10,15050,15400,14950,15250,171250,0.00328947368421062
2015-02-11,15200,15400,15150,15250,113391,0.0
2015-02-12,15350,15400,15050,15150,97951,-0.006557377049180357
2015-02-13,15150,15400,15100,15100,149791,-0.0033003300330033403
2015-02-16,15100,15200,14450,14600,352113,-0.0331125827814569
2015-02-17,15050,15500,14950,15250,794672,0.044520547945205546
2015-02-23,15250,15350,15050,15100,291820,-0.00983606557377048
2015-02-24,15100,15700,15100,15650,339041,0.036423841059602724
2015-02-25,15700,15700,15400,15400,193202,-0.015974440894568676
2015-02-26,15550,15550,15200,15200,149994,-0.012987012987012991
2015-02-27,15300,15500,15200,15350,121920,0.009868421052631637
2015-03-02,15350,15400,15100,15150,108509,-0.013029315960912058
2015-03-03,15150,15450,15000,15400,304406,0.01650165016501659
2015-03-04,15400,15550,15300,15450,267819,0.0032467532467532756
2015-03-05,15600,15600,15100,15350,199033,-0.006472491909385147
2015-03-06,15200,15400,14800,15000,317250,-0.0228013029315961
2015-03-09,14900,15100,14600,14750,134878,-0.01666666666666672
2015-03-10,14650,14950,14650,14900,119840,0.01016949152542379
2015-03-11,14800,14950,14500,14850,239225,-0.003355704697986628
2015-03-12,14700,14950,14550,14600,212155,-0.01683501683501687
2015-03-13,14750,14800,14500,14600,121571,0.0
2015-03-16,14650,14750,14550,14600,79895,0.0
2015-03-17,14600,14850,14400,14850,202609,0.017123287671232834
2015-03-18,14850,14850,14450,14450,172629,-0.026936026936026924
2015-03-19,14500,14700,14350,14600,149206,0.01038062283737018
2015-03-20,14600,14650,14150,14250,285751,-0.023972602739726012
2015-03-23,14350,14450,14200,14300,115461,0.0035087719298245723
2015-03-24,14450,14450,13900,14000,236235,-0.020979020979020935
2015-03-25,13750,13800,12700,13050,1760751,-0.06785714285714284
2015-03-26,13000,13250,12900,13200,615084,0.011494252873563315
2015-03-27,13150,13200,12850,12850,427139,-0.02651515151515149
2015-03-30,12900,13100,12900,13000,219794,0.011673151750972721
2015-03-31,13050,13100,12800,13000,410484,0.0
