Date,Open,High,Low,Close,Volume,Change
2017-05-12,165000,171500,157000,162000,6368916,
2017-05-15,159000,165500,158000,160000,1504154,-0.012345679012345734
2017-05-16,161500,162500,156000,156000,1146762,-0.025000000000000022
2017-05-17,153000,154500,142000,144000,2006418,-0.07692307692307687
2017-05-18,144000,149500,142000,148000,1587826,0.02777777777777768
2017-05-19,147500,149500,143500,143500,680357,-0.030405405405405372
2017-05-22,143000,143500,138000,140000,1133489,-0.024390243902439046
2017-05-23,141000,144000,139000,143500,634619,0.02499999999999991
2017-05-24,145000,146000,143500,145000,473540,0.010452961672473782
2017-05-25,145500,146000,141000,144000,492961,-0.006896551724137945
2017-05-26,143500,143500,139500,142000,791714,-0.01388888888888884
2017-05-29,142000,147000,140500,147000,675099,0.035211267605633756
2017-05-30,147000,149500,146500,149500,576607,0.017006802721088343
2017-05-31,150000,152000,148500,152000,1989706,0.01672240802675584
2017-06-01,152000,155000,150000,151500,405486,-0.003289473684210509
2017-06-02,152500,160000,152500,158500,1005171,0.0462046204620461
2017-06-05,159000,161000,158000,161000,578458,0.01577287066246047
2017-06-07,160000,161000,155000,160500,639485,-0.0031055900621117516
2017-06-08,161000,161000,152500,153500,1255870,-0.04361370716510904
2017-06-09,153000,153000,147000,149000,822530,-0.02931596091205213
2017-06-12,143000,146000,141000,141500,1361725,-0.05033557046979864
2017-06-13,142000,145500,141500,145500,518659,0.028268551236749095
2017-06-14,146000,146500,143000,143000,284894,-0.01718213058419249
2017-06-15,144000,149000,143500,147500,515357,0.03146853146853146
2017-06-16,149500,154000,149000,152000,665089,0.03050847457627115
2017-06-19,151500,152000,146500,150500,420046,-0.009868421052631526
2017-06-20,149500,153500,147000,153500,439121,0.019933554817275656
2017-06-21,154000,155000,150000,153000,320623,-0.0032573289902280145
2017-06-22,152000,154500,151000,151500,274429,-0.009803921568627416
2017-06-23,153000,155000,152500,153500,262224,0.013201320132013139
2017-06-26,154000,155500,151500,152500,256090,-0.006514657980456029
2017-06-27,152000,153500,148000,150000,246479,-0.016393442622950838
2017-06-28,150500,152500,149000,149000,177019,-0.00666666666666671
2017-06-29,149500,155000,149500,155000,305111,0.04026845637583887
2017-06-30,154000,156500,153500,155000,208103,0.0
2017-07-03,155000,156000,152000,152500,177684,-0.016129032258064502
2017-07-04,153000,154000,151500,152500,125481,0.0
2017-07-05,152500,152500,149000,149500,173393,-0.01967213114754096
2017-07-06,149500,151000,147500,148000,165756,-0.010033444816053505
2017-07-07,149500,156000,149000,155000,452333,0.04729729729729737
2017-07-10,154500,154500,150500,151000,151964,-0.02580645161290318
2017-07-11,151000,152000,148500,148500,190487,-0.01655629139072845
2017-07-12,149000,150500,144500,145000,340497,-0.023569023569023573
2017-07-13,146500,147000,144500,145000,209308,0.0
2017-07-14,146000,147000,144500,145500,148846,0.0034482758620688614
2017-07-17,145500,146500,144500,145500,102387,0.0
2017-07-18,146000,146500,144500,145000,115522,-0.0034364261168384758
2017-07-19,145000,145000,142500,145000,158087,0.0
2017-07-20,146000,149000,145000,148500,190152,0.024137931034482696
2017-07-21,149000,149500,146500,148000,120518,-0.0033670033670033517
2017-07-24,149500,149500,148000,149000,86607,0.006756756756756799
2017-07-25,149500,149500,146000,146500,133767,-0.016778523489932917
2017-07-26,147500,147500,144500,146000,121396,-0.0034129692832765013
2017-07-27,146500,146500,145000,146000,67004,0.0
2017-07-28,146000,146500,144500,144500,115409,-0.010273972602739767
2017-07-31,144000,145500,142500,143000,126376,-0.01038062283737029
2017-08-01,143500,144000,141500,141500,165735,-0.010489510489510523
2017-08-02,142500,143000,141500,141500,104535,0.0
2017-08-03,141500,141500,135500,136500,314969,-0.035335689045936425
2017-08-04,136000,137500,129500,130500,505939,-0.04395604395604391
2017-08-07,128500,135500,128500,134500,334626,0.03065134099616862
2017-08-08,135500,136000,133500,135500,108453,0.0074349442379182396
2017-08-09,134500,137000,134000,134500,136255,-0.0073800738007380184
2017-08-10,134000,134500,129500,130500,284470,-0.029739776951672847
2017-08-11,128500,131000,126500,127500,241741,-0.02298850574712641
2017-08-14,127000,131500,123500,131000,484611,0.027450980392156765
2017-08-16,131000,136500,129500,136500,335214,0.041984732824427384
2017-08-17,135500,137000,134000,135500,122988,-0.0073260073260073
2017-08-18,134000,138500,132000,138500,181977,0.022140221402213944
2017-08-21,139000,143000,137500,142500,299616,0.028880866425992746
2017-08-22,143000,145000,142000,144500,326501,0.01403508771929829
2017-08-23,145000,145500,141500,143500,220314,-0.00692041522491349
2017-08-24,154500,157000,151500,155500,1363312,0.08362369337979092
2017-08-25,153000,153500,147000,150000,922485,-0.03536977491961413
2017-08-28,151500,153500,148000,148500,254527,-0.010000000000000009
2017-08-29,148000,149000,143500,145500,248788,-0.02020202020202022
2017-08-30,148000,153000,148000,152500,389665,0.04810996563573888
2017-08-31,153000,154500,149000,154500,263067,0.013114754098360715
2017-09-01,153000,155000,151500,154500,206062,0.0
2017-09-04,149500,153500,149500,150000,194367,-0.029126213592232997
2017-09-05,152000,152500,149500,150500,125772,0.0033333333333334103
2017-09-06,152000,157000,150500,157000,408286,0.04318936877076407
2017-09-07,156000,159000,156000,158000,317444,0.006369426751592355
2017-09-08,156500,157000,149000,150500,369958,-0.04746835443037978
2017-09-11,151000,152500,149500,150000,146497,-0.0033222591362126463
2017-09-12,150500,151000,146000,147000,220881,-0.020000000000000018
2017-09-13,147000,149000,145500,149000,189246,0.013605442176870763
2017-09-14,149500,152000,147500,149500,195202,0.003355704697986628
2017-09-15,149000,150500,148000,150500,181765,0.006688963210702337
2017-09-18,150500,155000,150000,154500,287462,0.02657807308970095
2017-09-19,155000,156000,153000,154500,196158,0.0
2017-09-20,156000,157500,155000,156500,256313,0.012944983818770295
2017-09-21,156000,156500,154000,156000,163436,-0.0031948881789137795
2017-09-22,155000,155500,150500,151500,215851,-0.028846153846153855
2017-09-25,151500,152500,149000,150000,147017,-0.00990099009900991
2017-09-26,150500,151000,149500,150000,225070,0.0
2017-09-27,149500,152500,149000,149500,193536,-0.0033333333333332993
2017-09-28,149000,150000,147500,148000,128300,-0.010033444816053505
2017-09-29,150000,151500,148500,151500,113389,0.023648648648648685
2017-10-10,152500,152500,149500,151500,153927,0.0
2017-10-11,151500,153500,150500,152500,88344,0.0066006600660066805
2017-10-12,153500,153500,148500,149000,293874,-0.022950819672131195
2017-10-13,149000,163500,148500,162000,905002,0.08724832214765099
2017-10-16,162000,163500,159500,161000,277650,-0.006172839506172867
2017-10-17,162500,171500,160500,169500,775357,0.052795031055900665
2017-10-18,171000,177000,170000,176500,729789,0.041297935103244754
2017-10-19,176500,176500,170500,173000,415227,-0.019830028328611915
2017-10-20,171500,174500,167000,173500,381346,0.0028901734104045396
2017-10-23,173000,175500,169000,171000,210946,-0.014409221902017322
2017-10-24,172500,178000,171000,177000,534099,0.03508771929824572
2017-10-25,177000,179000,173500,175000,302473,-0.011299435028248594
2017-10-26,175000,177000,173500,175500,190939,0.0028571428571428914
2017-10-27,175500,178000,172500,177500,237931,0.01139601139601143
2017-10-30,177500,178000,170000,170500,319823,-0.03943661971830981
2017-10-31,170500,174500,167500,174000,266244,0.02052785923753664
2017-11-01,172000,173500,170000,172000,233214,-0.011494252873563204
2017-11-02,172500,179500,172500,177500,340360,0.03197674418604657
2017-11-03,173500,176000,172500,175000,189676,-0.014084507042253502
2017-11-06,176000,187500,176000,186500,759611,0.06571428571428561
2017-11-07,188500,189000,185000,185500,331002,-0.00536193029490617
2017-11-08,186000,187500,181500,184500,447132,-0.005390835579514808
2017-11-09,186500,187000,182500,186000,317563,0.008130081300812941
2017-11-10,186500,192500,186000,189500,435867,0.018817204301075252
2017-11-13,190500,197500,182000,185500,637935,-0.02110817941952503
