Date,Open,High,Low,Close,Volume,Change
2015-01-02,135500,138000,131500,132500,25380,-0.03284671532846717
2015-01-05,132500,132500,128000,131500,29031,-0.007547169811320753
2015-01-06,130500,132500,129000,129500,14192,-0.01520912547528519
2015-01-07,130000,131500,128000,131000,22007,0.01158301158301156
2015-01-08,130000,131000,126500,127500,30444,-0.026717557251908386
2015-01-09,128500,129000,126500,128500,14742,0.007843137254901933
2015-01-12,127500,131000,127500,129500,17807,0.0077821011673151474
2015-01-13,130500,130500,129000,130500,13048,0.007722007722007707
2015-01-14,129500,134500,129500,132000,32624,0.011494252873563315
2015-01-15,135000,137000,131500,134500,45448,0.018939393939394034
2015-01-16,133500,134500,131500,133000,16582,-0.01115241635687736
2015-01-19,134000,135500,132500,135500,11406,0.018796992481203034
2015-01-20,134500,137000,134500,136000,13327,0.0036900369003689537
2015-01-21,135500,137000,131500,136500,20885,0.003676470588235281
2015-01-22,137000,137000,131500,133500,32968,-0.02197802197802201
2015-01-23,133500,136500,133000,136500,20157,0.022471910112359605
2015-01-26,136500,139000,135500,137500,16035,0.0073260073260073
2015-01-27,137500,138500,134500,135500,21044,-0.014545454545454528
2015-01-28,135000,137500,134500,137000,17090,0.011070110701107083
2015-01-29,137000,138000,133500,135000,49662,-0.014598540145985384
2015-01-30,134000,139000,134000,139000,21440,0.029629629629629672
2015-02-02,137000,139500,135000,138500,28825,-0.003597122302158251
2015-02-03,140000,142000,139000,139500,29293,0.0072202166064982976
2015-02-04,141000,142500,137500,138500,33271,-0.007168458781361964
2015-02-05,139000,141500,138500,141000,16181,0.018050541516245522
2015-02-06,140000,143000,140000,143000,17018,0.014184397163120588
2015-02-09,143000,146000,141500,146000,32974,0.020979020979021046
2015-02-10,145000,146000,142500,143500,14491,-0.017123287671232834
2015-02-11,144500,145000,140000,140500,25625,-0.020905923344947785
2015-02-12,141500,143500,139500,141000,13184,0.003558718861210064
2015-02-13,140000,142500,140000,141500,13320,0.0035460992907800915
2015-02-16,142000,146000,141500,145500,33186,0.028268551236749095
2015-02-17,145000,146500,144000,146000,20634,0.0034364261168384758
2015-02-23,147000,147500,143500,146000,22997,0.0
2015-02-24,145000,145500,141500,142500,22945,-0.023972602739726012
2015-02-25,143000,143000,140000,140500,18937,-0.01403508771929829
2015-02-26,141500,142000,138500,139000,18751,-0.010676156583629859
2015-02-27,139000,140500,138000,139500,15073,0.003597122302158251
2015-03-02,139000,141500,138500,139500,16977,0.0
2015-03-03,141500,146500,140500,145500,40886,0.043010752688172005
2015-03-04,147000,147000,144500,145000,37542,-0.0034364261168384758
2015-03-05,143500,145500,142500,144500,18430,-0.0034482758620689724
2015-03-06,144000,144500,142000,143000,12992,-0.01038062283737029
2015-03-09,141500,145000,141500,143000,13450,0.0
2015-03-10,143500,147000,143000,147000,27504,0.027972027972027913
2015-03-11,147000,150000,145000,145500,28028,-0.010204081632653073
2015-03-12,146000,153000,144500,150000,59751,0.030927835051546282
2015-03-13,151000,159000,150000,157000,60849,0.046666666666666634
2015-03-16,159000,159500,153500,154000,32229,-0.019108280254777066
2015-03-17,156000,156500,152500,154000,26582,0.0
2015-03-18,155500,156500,153000,156000,28789,0.01298701298701288
2015-03-19,156000,165000,155000,164000,66907,0.05128205128205132
2015-03-20,167500,188500,167500,180000,213214,0.09756097560975618
2015-03-23,175500,177000,167000,167000,85518,-0.07222222222222219
2015-03-24,169000,176000,168500,170500,75794,0.020958083832335328
2015-03-25,173500,175500,171000,175000,43617,0.02639296187683282
2015-03-26,172000,174000,169000,171000,35884,-0.02285714285714291
2015-03-27,173000,178000,172000,176000,44910,0.029239766081871288
2015-03-30,173500,176000,170500,172500,20233,-0.019886363636363646
2015-03-31,174500,176500,169000,176000,31787,0.020289855072463725
2015-04-01,174000,177500,172000,173000,23440,-0.017045454545454586
2015-04-02,172000,183000,172000,180500,62951,0.043352601156069426
2015-04-03,180500,181000,176000,178500,24484,-0.011080332409972304
2015-04-06,178500,179000,170500,172000,40287,-0.036414565826330514
2015-04-07,172000,174000,170000,172000,29991,0.0
2015-04-08,175000,178500,174000,178500,35944,0.03779069767441867
2015-04-09,179500,184500,176500,180500,54312,0.011204481792717047
2015-04-10,182000,184500,177000,182500,34345,0.011080332409972193
2015-04-13,184500,197500,183000,189000,84331,0.03561643835616435
2015-04-14,186500,189500,175500,178000,78480,-0.05820105820105825
2015-04-15,178000,191500,176500,191000,79223,0.0730337078651686
2015-04-16,189000,201500,189000,194500,84479,0.018324607329842868
2015-04-17,195000,199000,192500,197000,49989,0.01285347043701801
2015-04-20,195000,202000,194000,197500,51066,0.002538071065989911
2015-04-21,198000,199000,191500,193000,38537,-0.02278481012658229
2015-04-22,191000,197500,178000,186000,93010,-0.03626943005181349
2015-04-23,184500,187000,180000,183000,52243,-0.016129032258064502
2015-04-24,181500,183000,174000,177500,90312,-0.030054644808743203
2015-04-27,177000,184000,177000,181500,54437,0.022535211267605604
2015-04-28,180000,181000,178000,179000,25960,-0.01377410468319562
2015-04-29,181500,184000,177500,179500,31890,0.0027932960893854997
2015-04-30,178000,179500,171000,177000,47002,-0.013927576601671321
2015-05-04,176000,178500,171500,172000,29886,-0.02824858757062143
2015-05-06,170000,173500,165500,167500,43018,-0.026162790697674465
2015-05-07,167500,176000,166000,174500,54278,0.04179104477611939
2015-05-08,175500,180500,172000,179000,33170,0.025787965616045794
2015-05-11,179000,184000,176000,179000,41901,0.0
2015-05-12,180000,181000,173000,178000,45950,-0.005586592178770999
2015-05-13,177000,181000,176500,180500,20934,0.014044943820224809
2015-05-14,180000,180000,174500,176000,41161,-0.024930747922437657
2015-05-15,176500,177000,174500,175500,16404,-0.0028409090909090606
2015-05-18,175500,185000,175500,184500,53488,0.05128205128205132
2015-05-19,186500,193000,181500,190000,66776,0.02981029810298108
2015-05-20,190000,209000,187500,208000,164606,0.09473684210526323
2015-05-21,208000,225000,207000,210000,89748,0.009615384615384581
2015-05-22,210000,213000,198500,201500,70016,-0.04047619047619044
2015-05-26,202500,206000,200000,200500,39837,-0.00496277915632759
2015-05-27,196500,198000,187500,193000,55293,-0.03740648379052369
