Date,Open,High,Low,Close,Volume,Change
2015-01-02,7000,7230,6990,7230,36480,0.026988636363636465
2015-01-05,7130,7210,6940,6970,111266,-0.03596127247579528
2015-01-06,6890,6930,6770,6910,62739,-0.008608321377331474
2015-01-07,6930,6940,6810,6900,43013,-0.0014471780028944004
2015-01-08,6870,6920,6810,6860,51712,-0.005797101449275366
2015-01-09,6890,6990,6820,6990,43209,0.01895043731778423
2015-01-12,6900,7030,6880,7030,41393,0.005722460658083017
2015-01-13,7060,7060,6820,6910,104960,-0.017069701280227556
2015-01-14,6860,6970,6830,6960,47870,0.00723589001447178
2015-01-15,6900,7020,6880,7020,36747,0.008620689655172376
2015-01-16,7020,7030,6910,7020,19284,0.0
2015-01-19,6980,7020,6910,6980,36480,-0.005698005698005715
2015-01-20,6970,7020,6900,6950,42318,-0.004297994269340966
2015-01-21,6920,6970,6890,6950,33729,0.0
2015-01-22,6950,6970,6850,6970,52133,0.0028776978417266452
2015-01-23,6930,6990,6880,6970,36289,0.0
2015-01-26,6910,6950,6850,6880,72888,-0.012912482065997155
2015-01-27,6920,6920,6820,6890,42350,0.0014534883720929148
2015-01-28,6870,6910,6850,6880,24800,-0.0014513788098693414
2015-01-29,6880,6890,6810,6870,26912,-0.0014534883720930258
2015-01-30,6850,6960,6850,6960,46293,0.013100436681222627
2015-02-02,6960,6960,6880,6940,32327,-0.002873563218390829
2015-02-03,6970,6970,6880,6890,39308,-0.007204610951008661
2015-02-04,6880,6960,6840,6950,44811,0.00870827285921627
2015-02-05,6900,6930,6810,6860,49404,-0.012949640287769792
2015-02-06,6830,6880,6820,6840,20523,-0.002915451895043719
2015-02-09,6840,6870,6760,6820,39898,-0.0029239766081871066
2015-02-10,6850,6870,6780,6840,14576,0.0029325513196480912
2015-02-11,6840,6920,6820,6890,13348,0.007309941520467822
2015-02-12,6940,6970,6860,6950,19057,0.00870827285921627
2015-02-13,6940,6990,6870,6910,18462,-0.0057553956834532904
2015-02-16,6870,6910,6850,6880,16036,-0.00434153400868309
2015-02-17,6880,6900,6830,6890,10549,0.0014534883720929148
2015-02-23,6920,6960,6870,6960,14033,0.010159651669085612
2015-02-24,6980,6990,6910,6920,20417,-0.005747126436781658
2015-02-25,6890,6930,6860,6880,29005,-0.005780346820809301
2015-02-26,6890,6940,6830,6930,47477,0.007267441860465018
2015-02-27,6910,6950,6850,6860,34488,-0.010101010101010055
2015-03-02,6850,6890,6830,6840,36921,-0.002915451895043719
