Date,Open,High,Low,Close,Volume,Change
2015-01-02,8910,9040,8700,8900,138973,-0.008908685968819552
2015-01-05,8830,8950,8720,8870,128136,-0.003370786516853963
2015-01-06,8870,8950,8780,8900,112023,0.0033821871476888976
2015-01-07,8820,8980,8730,8780,144936,-0.013483146067415741
2015-01-08,8760,8900,8760,8840,109292,0.006833712984054774
2015-01-09,8900,9020,8850,8960,114650,0.013574660633484115
2015-01-12,8890,8960,8860,8910,96010,-0.005580357142857095
2015-01-13,8970,9140,8880,9080,131631,0.019079685746352437
2015-01-14,9040,9080,8880,8910,97292,-0.018722466960352402
2015-01-15,8910,9000,8820,8930,188264,0.002244668911335568
2015-01-16,8850,8990,8700,8780,103795,-0.016797312430011146
2015-01-19,8870,8870,8690,8720,125878,-0.006833712984054663
2015-01-20,8710,8770,8550,8610,131787,-0.012614678899082521
2015-01-21,8630,8720,8590,8630,217828,0.0023228803716608404
2015-01-22,8640,8720,8610,8620,163171,-0.0011587485515642815
2015-01-23,8700,8850,8620,8790,116758,0.019721577726218076
2015-01-26,8850,8930,8750,8860,122403,0.007963594994311762
2015-01-27,8980,9250,8950,9200,362479,0.038374717832957206
2015-01-28,9200,9270,9140,9200,127777,0.0
2015-01-29,9190,9290,9140,9270,145024,0.007608695652173925
2015-01-30,9270,9360,9210,9300,144445,0.003236245954692629
2015-02-02,9300,9300,9030,9090,110207,-0.022580645161290325
2015-02-03,9150,9220,9050,9110,129841,0.002200220022002153
2015-02-04,9230,9400,9120,9370,212696,0.028540065861690556
2015-02-05,9370,9380,9260,9370,150040,0.0
2015-02-06,9370,9480,9250,9440,102178,0.007470651013874008
2015-02-09,9480,9480,9350,9450,87636,0.0010593220338983578
2015-02-10,9480,9490,9350,9460,124969,0.0010582010582009804
2015-02-11,9460,9480,9240,9260,128161,-0.02114164904862581
2015-02-12,9380,9490,9330,9420,138570,0.017278617710583255
2015-02-13,9470,9480,9400,9440,86308,0.002123142250530785
2015-02-16,9350,9470,9350,9400,68967,-0.004237288135593209
2015-02-17,9460,9460,9320,9390,83151,-0.0010638297872340718
2015-02-23,9390,9520,9310,9470,148055,0.008519701810436597
2015-02-24,9420,9540,9420,9500,171906,0.0031678986272438703
2015-02-25,9540,9540,9420,9420,116998,-0.008421052631578996
2015-02-26,9420,9520,9340,9400,104513,-0.002123142250530785
2015-02-27,9340,9480,9340,9400,98114,0.0
2015-03-02,9360,9430,9260,9350,136253,-0.005319148936170248
2015-03-03,9340,9410,9250,9250,123327,-0.010695187165775444
2015-03-04,9660,9790,9420,9420,686984,0.018378378378378413
2015-03-05,9420,9640,9400,9620,189981,0.02123142250530785
2015-03-06,9650,9660,9520,9550,113308,-0.007276507276507305
2015-03-09,9600,9600,9420,9460,91006,-0.009424083769633551
2015-03-10,9500,9550,9330,9450,199063,-0.0010570824524313016
2015-03-11,9380,9460,9310,9370,190051,-0.00846560846560851
2015-03-12,9380,9560,9340,9420,176836,0.005336179295624355
2015-03-13,9480,9650,9420,9630,143484,0.022292993630573354
2015-03-16,9650,9820,9630,9650,227185,0.0020768431983384517
2015-03-17,9700,9780,9660,9750,196885,0.010362694300518172
2015-03-18,9800,9830,9680,9740,145663,-0.0010256410256410664
2015-03-19,9790,9800,9590,9700,176708,-0.004106776180698102
2015-03-20,9700,9740,9600,9620,160244,-0.008247422680412342
2015-03-23,9650,9800,9570,9770,150027,0.015592515592515621
2015-03-24,9780,9800,9630,9750,74378,-0.0020470829068577334
2015-03-25,9700,9900,9670,9810,120999,0.006153846153846176
2015-03-26,9860,9870,9660,9740,153664,-0.007135575942915362
2015-03-27,9690,9780,9670,9730,77284,-0.0010266940451745254
2015-03-30,9690,9790,9660,9660,70014,-0.007194244604316502
2015-03-31,9650,9730,9600,9620,142768,-0.0041407867494823725
2015-04-01,9650,9650,9420,9440,140379,-0.018711018711018657
2015-04-02,9430,9600,9410,9600,90684,0.016949152542372836
2015-04-03,9640,9670,9510,9570,83994,-0.0031250000000000444
2015-04-06,9620,9790,9480,9770,124886,0.020898641588296796
2015-04-07,9740,9810,9630,9730,113243,-0.004094165813715467
2015-04-08,9700,9830,9590,9650,145437,-0.008221993833504637
