Date,Open,High,Low,Close,Volume,Change
2015-01-02,65500,65500,63600,64500,221293,-0.019756838905775065
2015-01-05,64200,64400,61400,62000,442867,-0.03875968992248058
2015-01-06,60900,61400,57300,58200,693187,-0.06129032258064515
2015-01-07,57600,59100,57500,58200,238313,0.0
2015-01-08,58600,59500,58600,58700,158172,0.00859106529209619
2015-01-09,59700,60300,59100,59600,206980,0.015332197614991383
2015-01-12,59600,60400,58900,59300,105090,-0.005033557046979831
2015-01-13,59600,59900,58900,59100,124900,-0.003372681281618939
2015-01-14,59500,59600,58200,59100,138641,0.0
2015-01-15,58700,59500,57900,58200,140738,-0.015228426395939132
2015-01-16,57700,58200,54800,55300,465290,-0.04982817869415812
2015-01-19,55700,57700,55700,57300,395643,0.03616636528028927
2015-01-20,56600,57300,55800,56500,288989,-0.013961605584642212
2015-01-21,56700,56700,54300,55000,435101,-0.026548672566371723
2015-01-22,54900,57200,54900,56700,509873,0.030909090909090997
2015-01-23,55300,55600,52300,53400,2052334,-0.05820105820105825
2015-01-26,52600,53700,50400,53600,590120,0.0037453183520599342
2015-01-27,53600,54900,53400,54500,451722,0.01679104477611948
2015-01-28,54100,57100,54000,57000,668104,0.04587155963302747
2015-01-29,56700,57000,55000,55300,444213,-0.029824561403508754
2015-01-30,55900,56300,54300,55000,264732,-0.005424954792043413
2015-02-02,55600,57500,55300,57100,435094,0.038181818181818095
2015-02-03,58200,58400,56600,57100,267188,0.0
2015-02-04,58000,59000,57500,58100,345703,0.017513134851138368
2015-02-05,57900,58000,56700,57700,233096,-0.0068846815834767705
2015-02-06,58000,58400,57100,57800,168762,0.0017331022530329143
2015-02-09,57400,58500,57000,57500,216594,-0.00519031141868509
2015-02-10,57000,57700,56300,56400,169295,-0.019130434782608674
2015-02-11,56700,58100,56000,57300,198211,0.015957446808510634
2015-02-12,57000,57300,55000,55100,342935,-0.03839441535776611
2015-02-13,55700,55800,54600,55700,207940,0.010889292196007316
2015-02-16,55700,56400,55000,56100,272999,0.007181328545780907
2015-02-17,56300,57700,56000,57000,239855,0.016042780748663166
2015-02-23,57800,58300,57100,57300,237158,0.0052631578947368585
2015-02-24,57200,57300,54800,55100,767024,-0.03839441535776611
2015-02-25,55400,58000,55100,57900,785407,0.05081669691470059
2015-02-26,58900,64900,58200,64700,1784270,0.11744386873920543
2015-02-27,65200,66000,63800,64800,782799,0.0015455950540959051
2015-03-02,65700,68900,65200,68600,965143,0.058641975308642014
2015-03-03,69100,69300,66200,67900,588859,-0.010204081632653073
2015-03-04,67900,68500,66300,67400,376851,-0.007363770250368162
2015-03-05,67400,69400,66700,67600,360884,0.0029673590504450953
2015-03-06,67300,68100,66100,67800,383837,0.002958579881656709
2015-03-09,67100,70400,67100,68100,389312,0.004424778761061843
2015-03-10,68800,69500,65600,67000,344296,-0.016152716593245242
2015-03-11,65400,68000,65400,67000,414820,0.0
2015-03-12,67100,69500,66800,68400,455921,0.020895522388059806
2015-03-13,69200,69900,68200,68500,357320,0.0014619883040936088
2015-03-16,69600,69600,64600,65800,481848,-0.039416058394160625
2015-03-17,65700,68500,64600,68000,714494,0.033434650455927084
2015-03-18,68300,68700,66100,66600,451968,-0.020588235294117685
2015-03-19,67500,68100,66100,66600,293096,0.0
2015-03-20,66700,67300,65200,65300,261180,-0.019519519519519468
2015-03-23,65900,66500,65500,66000,185597,0.010719754977029039
2015-03-24,66100,67500,65000,65400,328260,-0.009090909090909038
2015-03-25,65200,66600,63700,63700,418920,-0.025993883792048922
2015-03-26,63500,64400,62800,63200,270683,-0.00784929356357933
2015-03-27,64200,64200,60900,61400,424918,-0.02848101265822789
2015-03-30,62000,63300,61800,63200,281910,0.02931596091205213
2015-03-31,64000,64800,63000,64600,374653,0.02215189873417711
2015-04-01,64600,65500,63000,63700,267406,-0.01393188854489169
2015-04-02,63800,64700,62600,64100,292667,0.006279434850863463
2015-04-03,67900,69000,66000,66700,719051,0.040561622464898583
2015-04-06,67700,71300,67000,69500,920603,0.04197901049475261
2015-04-07,71100,71300,69100,69600,397929,0.0014388489208632116
2015-04-08,69300,70500,68800,70300,346348,0.010057471264367734
2015-04-09,69600,70200,68500,69500,319280,-0.011379800853485111
2015-04-10,69500,70700,68800,69300,313041,-0.0028776978417266452
2015-04-13,70000,75500,69700,75500,1236386,0.08946608946608947
2015-04-14,75700,76200,74000,76000,557874,0.0066225165562914245
2015-04-15,76800,79200,75600,77800,736000,0.023684210526315752
2015-04-16,78900,79100,76500,77600,361117,-0.0025706940874036244
2015-04-17,77500,78700,75100,77700,436043,0.0012886597938144284
2015-04-20,76200,82700,75900,82000,845150,0.05534105534105538
2015-04-21,85000,87900,83500,84500,1256418,0.030487804878048808
2015-04-22,85600,89400,84300,86900,750850,0.028402366863905293
2015-04-23,87200,88200,83800,85800,477655,-0.012658227848101222
2015-04-24,85800,87900,83200,85400,598104,-0.004662004662004615
2015-04-27,85800,86900,83100,85600,417476,0.0023419203747072626
2015-04-28,85600,86400,84700,84700,301839,-0.010514018691588745
2015-04-29,83700,84500,79500,81400,891233,-0.038961038961038974
2015-04-30,81000,83600,80100,83000,313377,0.019656019656019597
2015-05-04,82700,85500,82400,84000,228249,0.012048192771084265
2015-05-06,83500,84700,80700,82600,402801,-0.01666666666666672
2015-05-07,81500,83600,80900,83200,251545,0.007263922518159882
2015-05-08,82700,83300,81200,81200,192975,-0.024038461538461564
2015-05-11,82300,85000,82300,84100,228860,0.03571428571428581
2015-05-12,84700,85500,83500,84900,158939,0.009512485136742077
2015-05-13,85100,85800,83400,83800,232354,-0.012956419316843326
2015-05-14,83800,86500,83200,85600,222954,0.021479713603818507
2015-05-15,86500,86600,79800,80500,710998,-0.05957943925233644
2015-05-18,80900,80900,77400,79400,342005,-0.013664596273291973
2015-05-19,81000,81500,79500,79900,300551,0.006297229219143663
2015-05-20,81700,84100,81500,83600,511181,0.04630788485607007
2015-05-21,85500,85500,82800,83000,220592,-0.0071770334928229484
2015-05-22,83200,85300,82600,83600,254743,0.0072289156626506035
