Date,Open,High,Low,Close,Volume,Change
2015-01-02,5870,5880,5580,5590,1207298,-0.05093378607809851
2015-01-05,5550,5580,5430,5560,886935,-0.00536672629695889
2015-01-06,5480,5540,5400,5410,1000697,-0.026978417266187105
2015-01-07,5360,5470,5150,5160,1653421,-0.04621072088724587
2015-01-08,5170,5410,5170,5410,1364598,0.04844961240310086
2015-01-09,5400,5530,5400,5460,996410,0.009242144177449063
2015-01-12,5450,5560,5350,5360,1059170,-0.01831501831501836
2015-01-13,5370,5460,5340,5350,622382,-0.001865671641791078
2015-01-14,5310,5380,5170,5170,1159412,-0.03364485981308407
2015-01-15,5180,5310,5170,5210,940121,0.007736943907156624
2015-01-16,5210,5270,5110,5150,822570,-0.01151631477927062
2015-01-19,5210,5340,5210,5260,794945,0.021359223300970953
2015-01-20,5270,5320,5240,5260,647003,0.0
2015-01-21,5280,5280,5170,5170,711117,-0.017110266159695797
2015-01-22,5210,5390,5210,5350,977738,0.03481624758220514
2015-01-23,5420,5470,5280,5340,943698,-0.0018691588785046953
2015-01-26,5350,5420,5290,5380,601366,0.0074906367041198685
2015-01-27,5460,5650,5450,5630,1175336,0.04646840148698894
2015-01-28,5630,6270,5600,6250,3134903,0.11012433392539966
2015-01-29,6510,6870,6410,6670,6186054,0.06719999999999993
2015-01-30,6750,6970,6580,6780,3572217,0.016491754122938573
2015-02-02,6740,6930,6700,6790,2026378,0.001474926253687281
2015-02-03,6910,6920,6650,6720,2143882,-0.010309278350515427
2015-02-04,6830,7000,6770,6990,2384458,0.0401785714285714
2015-02-05,6990,7110,6780,7030,2296313,0.005722460658083017
2015-02-06,7050,7070,6870,6960,1051189,-0.009957325746799417
2015-02-09,7000,7200,6950,7140,1675420,0.02586206896551735
2015-02-10,7120,7190,7030,7060,1290801,-0.011204481792717047
2015-02-11,7060,7250,7060,7110,1469909,0.007082152974504208
2015-02-12,7110,7160,6760,6810,2047203,-0.04219409282700426
2015-02-13,6870,6930,6740,6910,1045296,0.014684287812041008
2015-02-16,6890,6930,6730,6900,1001689,-0.0014471780028944004
2015-02-17,6880,7120,6860,7030,1295154,0.018840579710144967
2015-02-23,7100,7150,7040,7100,749358,0.009957325746799528
2015-02-24,7080,7090,6920,6920,1047850,-0.025352112676056304
2015-02-25,7000,7700,6960,7450,4714112,0.07658959537572252
2015-02-26,7570,8130,7500,8030,4956263,0.07785234899328852
2015-02-27,8160,8180,7860,7910,2495037,-0.01494396014943955
2015-03-02,7990,8270,7990,8160,2976418,0.031605562579013924
2015-03-03,8220,8300,8000,8060,1435465,-0.01225490196078427
2015-03-04,8060,8150,7910,8080,1870206,0.002481389578163684
2015-03-05,8000,8160,7960,8010,1104361,-0.008663366336633671
2015-03-06,7970,8030,7800,7890,1283887,-0.014981273408239737
2015-03-09,7870,8040,7760,7760,1632747,-0.016476552598225558
2015-03-10,7840,7840,7360,7500,2284595,-0.03350515463917525
2015-03-11,7360,7540,7250,7410,1549454,-0.01200000000000001
2015-03-12,7410,7810,7340,7530,2367420,0.0161943319838056
2015-03-13,7700,7760,7430,7470,1264699,-0.007968127490039834
2015-03-16,7470,7480,7150,7170,1798841,-0.04016064257028118
2015-03-17,7170,7990,7150,7880,4002163,0.09902370990237097
2015-03-18,7910,8080,7830,7870,2084995,-0.0012690355329949554
2015-03-19,8150,8210,7950,7990,1913565,0.015247776365946653
2015-03-20,7990,8020,7790,7840,1061705,-0.018773466833541974
2015-03-23,7940,8210,7910,8080,1852578,0.030612244897959107
2015-03-24,8170,8180,7970,8100,1095022,0.0024752475247524774
2015-03-25,8140,8260,8030,8210,1495473,0.013580246913580174
2015-03-26,7800,7910,7200,7470,8705295,-0.09013398294762487
2015-03-27,7620,7750,7460,7550,2160192,0.010709504685408211
2015-03-30,7630,7810,7580,7780,1877971,0.030463576158940464
2015-03-31,7800,8000,7700,7930,1867069,0.019280205655527016
2015-04-01,7880,8080,7670,7740,1903539,-0.023959646910466592
2015-04-02,7790,7830,7620,7790,1086670,0.006459948320413522
2015-04-03,7920,8060,7900,8000,1251502,0.02695763799743256
2015-04-06,8210,8340,8060,8100,3228468,0.012499999999999956
2015-04-07,8150,8230,8060,8130,1217547,0.0037037037037037646
2015-04-08,8160,8200,8020,8070,1267795,-0.0073800738007380184
2015-04-09,8080,8160,8040,8110,1061711,0.004956629491945419
2015-04-10,8120,8220,8020,8090,1548704,-0.002466091245376112
2015-04-13,8240,9090,8180,8920,6598539,0.10259579728059331
2015-04-14,9030,9200,8740,9040,3534309,0.013452914798206317
2015-04-15,9110,9330,8900,9160,2611570,0.01327433628318575
2015-04-16,9210,9270,8950,9030,1653801,-0.014192139737991272
2015-04-17,9040,9040,8660,8830,2452475,-0.022148394241417457
2015-04-20,8610,8970,8600,8930,1613338,0.011325028312570762
2015-04-21,8990,9020,8720,8730,1391532,-0.022396416573348232
2015-04-22,8740,8980,8320,8590,1821832,-0.016036655211912998
2015-04-23,8660,8750,8370,8420,1906271,-0.019790454016297976
2015-04-24,8510,8660,8130,8240,2435698,-0.02137767220902609
2015-04-27,8210,8400,8100,8150,2047439,-0.01092233009708743
2015-04-28,8220,8220,7850,7980,2820421,-0.020858895705521463
2015-04-29,7980,7980,7310,7400,4749274,-0.07268170426065168
2015-04-30,7390,7410,7110,7130,3132990,-0.03648648648648645
2015-05-04,7170,7360,7140,7140,1657496,0.0014025245441795509
2015-05-06,7140,7140,6950,7110,2057613,-0.004201680672268893
2015-05-07,7140,7230,7050,7120,1565170,0.0014064697609001975
2015-05-08,7150,7170,7040,7040,871320,-0.011235955056179803
2015-05-11,7160,7270,7060,7070,1056146,0.0042613636363635354
2015-05-12,7100,7210,7070,7170,844332,0.014144271570014189
2015-05-13,7120,7250,7110,7210,731843,0.00557880055788007
2015-05-14,7170,7670,7150,7650,2721760,0.061026352288488184
2015-05-15,7720,7760,7380,7390,1912752,-0.033986928104575154
2015-05-18,7450,7600,7320,7330,1211260,-0.008119079837618393
2015-05-19,7340,7460,7120,7160,1882942,-0.023192360163710735
2015-05-20,7230,7530,7230,7380,2212287,0.030726256983240274
2015-05-21,7410,7460,7160,7190,1258430,-0.0257452574525745
2015-05-22,7200,7380,7200,7350,1137318,0.022253129346314404
2015-05-26,7350,7350,7050,7060,1562380,-0.039455782312925125
2015-05-27,7020,7440,6920,7430,2024583,0.05240793201133154
2015-05-28,7340,7380,7200,7210,1466521,-0.02960969044414541
2015-05-29,7260,7310,7060,7070,1519582,-0.01941747572815533
2015-06-01,7090,7250,7030,7110,1004418,0.005657708628005631
2015-06-02,7110,7200,6950,6960,1225396,-0.021097046413502074
2015-06-03,6920,7280,6920,7070,1828935,0.015804597701149392
2015-06-04,7010,7220,6990,7100,1478044,0.004243281471004279
2015-06-05,6980,7140,6970,6980,837064,-0.016901408450704203
2015-06-08,6980,7120,6960,7050,937858,0.01002865329512903
2015-06-09,7070,7300,7070,7130,1403226,0.01134751773049647
2015-06-10,7250,7250,6990,7030,1120426,-0.014025245441795287
2015-06-11,7080,7100,6800,6930,1935135,-0.014224751066856278
2015-06-12,6900,7020,6540,6640,2035357,-0.0418470418470418
2015-06-15,6570,6680,6420,6460,1178985,-0.027108433734939763
2015-06-16,6480,6500,6160,6190,1638095,-0.04179566563467496
2015-06-17,6210,6560,6210,6420,1374525,0.037156704361873905
2015-06-18,6440,6620,6380,6420,857332,0.0
2015-06-19,6400,6630,6380,6450,1000464,0.004672897196261738
2015-06-22,6600,6690,6520,6560,487609,0.01705426356589146
2015-06-23,6630,6660,6560,6570,811850,0.0015243902439023849
2015-06-24,6600,6750,6520,6740,1061432,0.025875190258751957
2015-06-25,6700,6880,6620,6640,968461,-0.014836795252225476
2015-06-26,6660,6690,6550,6590,610258,-0.0075301204819276935
2015-06-29,6530,6530,6140,6180,1439151,-0.06221547799696514
2015-06-30,6140,6300,6120,6180,1418165,0.0
2015-07-01,6200,6400,6150,6310,1008877,0.021035598705501535
2015-07-02,6370,6420,6200,6230,986960,-0.01267828843106178
2015-07-03,6260,6370,6250,6350,716444,0.019261637239165408
2015-07-06,6230,6290,6050,6120,1577252,-0.03622047244094484
2015-07-07,6170,6230,6120,6200,746706,0.013071895424836555
2015-07-08,6270,6280,6100,6180,684691,-0.003225806451612856
2015-07-09,6130,6140,5990,6060,1124423,-0.01941747572815533
2015-07-10,6060,6310,6060,6150,1122628,0.014851485148514865
2015-07-13,6150,6390,6150,6370,893189,0.03577235772357734
2015-07-14,6400,6410,6230,6400,1320800,0.0047095761381474865
2015-07-15,6800,6950,6430,6490,3525978,0.014062500000000089
2015-07-16,6500,6510,6320,6450,1299314,-0.006163328197226536
2015-07-17,6530,6530,6160,6280,1737858,-0.02635658914728678
