Date,Open,High,Low,Close,Volume,Change
2015-01-02,93000,94499,92750,93750,957285,0.00536193029490617
2015-01-05,93750,93750,91000,91000,1382777,-0.029333333333333322
2015-01-06,88500,89500,84250,84750,2889450,-0.06868131868131866
2015-01-07,83500,87000,83500,86500,1604279,0.020648967551622377
2015-01-08,87250,88000,85000,85000,1551873,-0.017341040462427793
2015-01-09,86750,88750,85250,87000,2734119,0.0235294117647058
2015-01-12,87000,87500,85750,86000,1078257,-0.011494252873563204
2015-01-13,85750,86500,84000,85000,1093175,-0.011627906976744207
2015-01-14,84500,86750,84500,85750,1143877,0.008823529411764675
2015-01-15,86250,86500,84000,84500,926347,-0.014577259475218707
2015-01-16,84000,84000,81500,82500,1542428,-0.023668639053254448
2015-01-19,83500,90500,83500,90000,3051972,0.09090909090909083
2015-01-20,89250,92000,88500,89500,1618670,-0.005555555555555536
2015-01-21,88500,89000,86000,86750,1519046,-0.030726256983240274
2015-01-22,88750,94000,88500,92500,3544498,0.06628242074927959
2015-01-23,96750,97000,91000,91750,3097283,-0.008108108108108136
2015-01-26,91000,96000,89250,94500,2140489,0.02997275204359684
2015-01-27,95249,100000,95249,99750,2957683,0.05555555555555558
2015-01-28,99000,101500,98500,100750,3036184,0.010025062656641603
2015-01-29,98500,99750,97500,97750,1549454,-0.02977667493796521
2015-01-30,99250,99750,95000,97500,1715460,-0.002557544757033292
2015-02-02,100000,104000,97749,100000,3281449,0.02564102564102555
2015-02-03,103250,103250,99250,99250,1944826,-0.007499999999999951
2015-02-04,102000,102750,98000,98000,3801839,-0.012594458438287104
2015-02-05,96500,99000,96249,98750,1176206,0.007653061224489832
2015-02-06,100000,100000,98000,98750,885478,0.0
2015-02-09,99250,101750,97500,101750,1408728,0.030379746835442978
2015-02-10,102250,104500,94249,95000,4971739,-0.06633906633906639
2015-02-11,95500,97500,92500,93250,3250463,-0.018421052631578894
2015-02-12,93750,95250,92250,95000,1991031,0.018766756032171594
2015-02-13,96250,96500,94250,94750,1560376,-0.0026315789473684292
2015-02-16,95750,95999,92750,93750,1307255,-0.01055408970976257
2015-02-17,93250,94750,92500,94000,1202289,0.002666666666666595
2015-02-23,94500,94750,93250,93250,1000691,-0.007978723404255317
2015-02-24,93000,93750,90500,92750,1864401,-0.00536193029490617
2015-02-25,93000,96500,93000,95500,1795564,0.029649595687331498
2015-02-26,96000,102750,95250,102250,4215464,0.07068062827225141
2015-02-27,102500,104250,101000,101250,2201379,-0.009779951100244544
2015-03-02,102500,108250,101750,108000,3636762,0.06666666666666665
2015-03-03,108750,108750,104000,104750,2576728,-0.03009259259259256
2015-03-04,105500,107750,103000,103750,2412681,-0.009546539379474916
2015-03-05,103250,104500,100999,101500,1716273,-0.02168674698795181
2015-03-06,102250,104750,101750,104000,1498994,0.024630541871921263
2015-03-09,103000,103000,99500,99500,2142383,-0.043269230769230727
2015-03-10,101500,102250,96750,98500,2594718,-0.01005025125628145
2015-03-11,96250,97250,94750,96250,1950308,-0.022842639593908642
2015-03-12,96499,97500,93750,94000,2453954,-0.023376623376623384
2015-03-13,94750,96000,93750,95250,1453460,0.013297872340425565
2015-03-16,94250,94500,89500,90000,3741198,-0.055118110236220486
2015-03-17,91000,92500,90500,92000,1867026,0.022222222222222143
2015-03-18,91750,92250,89500,90750,2299100,-0.013586956521739135
2015-03-19,93500,96500,93250,94750,3663608,0.0440771349862259
2015-03-20,94250,94750,92750,94750,1369024,0.0
2015-03-23,96250,97000,94750,95750,1721099,0.01055408970976246
2015-03-24,95000,95250,92500,93000,1863318,-0.02872062663185382
2015-03-25,93000,94000,90750,91000,1633208,-0.021505376344086002
2015-03-26,91250,92250,90500,91250,1447220,0.0027472527472527375
2015-03-27,93000,93500,90500,91500,1350484,0.00273972602739736
2015-03-30,91500,91500,88750,89250,2069277,-0.024590163934426257
2015-03-31,90250,92000,90000,90500,1716637,0.014005602240896309
2015-04-01,90500,91000,87500,89250,2114524,-0.013812154696132617
2015-04-02,89750,90000,88000,89500,1136193,0.0028011204481792618
2015-04-03,89250,91000,88750,90500,1171254,0.011173184357541999
2015-04-06,90500,92500,89500,91000,2710176,0.005524861878453136
2015-04-07,94000,95500,91500,92500,3920610,0.016483516483516425
2015-04-08,93249,95000,91749,93750,3621489,0.013513513513513598
2015-04-09,93000,93750,91000,92250,2875155,-0.016000000000000014
2015-04-10,92500,94750,91999,94250,2691041,0.021680216802167918
2015-04-13,95500,100500,94750,100000,5720399,0.0610079575596818
2015-04-14,100750,101000,98250,100000,3172470,0.0
2015-04-15,101500,102000,99250,100250,2567610,0.0024999999999999467
