Date,Open,High,Low,Close,Volume,Change
2015-01-02,42644,43536,40277,40323,965216,-0.0484696887462539
2015-01-05,40634,41617,39518,41261,828646,0.02326215807355614
2015-01-06,41662,42466,40769,40769,861173,-0.011924092969147648
2015-01-07,38401,39876,36571,38849,2957691,-0.047094606195884126
2015-01-08,38937,39563,37955,38671,498732,-0.004581842518468937
2015-01-09,39161,41037,38848,40457,709519,0.046184479325592775
2015-01-12,40098,41170,39205,40100,480402,-0.008824183701213628
2015-01-13,40679,41081,40188,40501,539751,0.010000000000000009
2015-01-14,40992,41349,40366,41082,394501,0.014345324806794846
2015-01-15,40947,40947,39608,40323,550593,-0.018475244632685794
2015-01-16,40188,40277,39340,39832,317507,-0.01217667336259698
2015-01-19,39920,39965,39072,39296,313571,-0.013456517372966492
2015-01-20,39205,39965,39116,39965,286380,0.017024633550488666
2015-01-21,40456,40724,39697,40189,322869,0.005604904291254931
2015-01-22,40366,40501,38491,38715,479753,-0.036676702580308085
2015-01-23,39295,39652,38848,39296,308761,0.01500710318997811
2015-01-26,39295,39830,38401,38715,453636,-0.014785219869706823
2015-01-27,38714,39697,38669,39697,362553,0.025364845667054103
2015-01-28,39205,39830,39116,39608,237003,-0.0022419830213870062
2015-01-29,39920,42867,39697,41707,1303447,0.05299434457685326
2015-01-30,42242,42867,41840,42422,552428,0.01714340518378199
2015-02-02,41305,42734,40858,41752,581713,-0.015793691952288857
2015-02-03,41573,42287,40634,41886,554111,0.0032094270933129554
2015-02-04,41885,43358,41215,42823,948474,0.022370243040634064
2015-02-05,44186,44280,43152,43623,407977,0.01868154963454227
2015-02-06,43622,45408,42964,44657,400939,0.023703092405382487
2015-02-09,44656,44938,43857,44657,240159,0.0
2015-02-10,44468,44468,42682,43482,355685,-0.02631166446469757
2015-02-11,43763,44609,42964,44234,290598,0.01729451267191018
2015-02-12,44327,44421,43387,44187,177090,-0.0010625310846860136
2015-02-13,44139,45173,43622,43811,258026,-0.00850929006268808
2015-02-16,43622,43716,42729,42823,277117,-0.022551414028440298
2015-02-17,43011,43622,42823,43246,189737,0.00987786936926427
2015-02-23,43293,44327,43105,43199,340225,-0.0010868057161356193
2015-02-24,43246,43246,42024,42353,581997,-0.01958378666172833
2015-02-25,42494,44045,42212,43529,551444,0.027766628101905333
2015-02-26,43246,45220,42400,45221,789060,0.03887063796549417
2015-02-27,45267,47195,44656,47195,893818,0.04365228544260402
2015-03-02,46819,47383,45878,46443,538319,-0.0159338913020447
2015-03-03,46066,46489,44515,44751,623724,-0.03643175505458307
2015-03-04,44750,45079,43716,43905,605404,-0.01890460548367634
2015-03-05,44139,44703,43669,43717,328394,-0.004281972440496551
2015-03-06,43763,44045,43105,43858,460948,0.0032252899329781037
2015-03-09,43763,43998,43105,43152,231694,-0.01609740526243786
2015-03-10,43246,43622,42353,42400,345670,-0.01742677048572483
2015-03-11,42212,42541,41319,41319,513069,-0.025495283018867942
2015-03-12,41084,42588,40614,42165,543509,0.020474842082335076
2015-03-13,42776,43105,40802,41225,673128,-0.022293371279497265
2015-03-16,41836,44421,41601,43717,905859,0.06044875682231665
2015-03-17,44421,45502,44045,44516,750349,0.018276642953542144
2015-03-18,45126,45314,44280,44563,449255,0.0010558001617395618
2015-03-19,44562,45361,43857,45174,440415,0.013710926104615995
2015-03-20,44374,45314,43951,45268,315098,0.0020808429627661162
2015-03-23,45549,45596,44327,44375,247904,-0.01972695944154812
2015-03-24,43951,45972,43951,45832,427848,0.032833802816901514
2015-03-25,45925,46489,45361,46349,412762,0.011280328155000907
2015-03-26,45972,46066,44844,44845,277537,-0.03244945953526501
2015-03-27,44280,45314,44139,44798,241533,-0.0010480544096331812
2015-03-30,45032,46960,45032,45832,658736,0.023081387561944666
2015-03-31,45878,46348,45455,45644,321400,-0.00410193751090937
2015-04-01,45831,47853,45549,47665,1351499,0.04427745158180696
2015-04-02,47195,49263,47101,48229,942805,0.011832581558795852
2015-04-03,49169,50485,48605,49733,804366,0.031184557009268365
2015-04-06,50391,50673,49169,49827,356041,0.001890093097138612
2015-04-07,49169,49545,47759,49451,596041,-0.007546109539004919
2015-04-08,48887,49733,48323,49545,395727,0.0019008715698367595
2015-04-09,50767,51331,48417,48981,421634,-0.011383590675143829
2015-04-10,48417,49733,48417,49169,341113,0.00383822298442249
2015-04-13,49451,50485,49075,49921,328528,0.0152941894282983
2015-04-14,49921,50955,48887,49357,360741,-0.011297850603954274
2015-04-15,48981,49639,47383,47947,559293,-0.02856737646129226
2015-04-16,47007,47289,46207,46866,627593,-0.022545727574196484
2015-04-17,46866,47477,45784,46067,844910,-0.017048606665813204
2015-04-20,45502,46630,45502,46631,497065,0.0122430373152147
2015-04-21,46536,46583,45361,45409,594078,-0.026205742960691336
2015-04-22,45784,46207,44656,45127,505805,-0.006210222643088348
2015-04-23,45455,46630,45173,46443,532783,0.02916214239812076
2015-04-24,45972,46348,44280,44422,755296,-0.043515707426307504
2015-04-27,44562,45690,44562,45315,342451,0.020102651839178698
2015-04-28,45643,45784,44656,45127,322668,-0.004148736621427784
2015-04-29,45314,45408,43763,44187,397012,-0.020830101712943416
2015-04-30,43857,44092,43011,43058,359125,-0.025550501278656657
2015-05-04,43528,43669,42259,42870,316207,-0.004366203725207907
2015-05-06,42212,42588,40191,40332,617634,-0.05920223932820157
2015-05-07,40238,41084,40238,41084,359701,0.018645244470891553
2015-05-08,41789,42541,41648,41742,360513,0.016015967286534982
2015-05-11,42212,42917,41836,42400,353814,0.015763499592736263
2015-05-12,42306,42400,40849,41225,392798,-0.02771226415094341
2015-05-13,40708,41836,40708,41413,157002,0.004560339599757324
2015-05-14,41178,41601,40849,41037,196938,-0.009079274623910338
2015-05-15,41930,42024,40614,40708,407457,-0.008017155250140129
2015-05-18,40426,40614,39015,39110,534271,-0.03925518325636235
2015-05-19,38921,39532,38404,38593,460325,-0.01321912554333926
2015-05-20,39109,41319,38827,41131,700645,0.0657632213095638
2015-05-21,41131,41225,40050,40990,514789,-0.0034280712844326766
2015-05-22,40802,41319,40144,41319,389410,0.008026347889729113
2015-05-26,41601,41601,39391,39580,504735,-0.04208717539146645
2015-05-27,39673,40332,38733,38781,611219,-0.0201869631126832
2015-05-28,39250,39250,38263,38593,456557,-0.004847734715453411
2015-05-29,38075,38827,38028,38029,424616,-0.014614049179903055
2015-06-01,37135,37135,36195,36524,801472,-0.039575061137552936
2015-06-02,36477,37135,36007,36289,568560,-0.006434125506516231
2015-06-03,35396,36806,35396,36383,488104,0.002590316624872635
2015-06-04,36477,36524,35960,36289,498187,-0.0025836242201028314
2015-06-05,36007,36853,36007,36665,342498,0.010361266499490096
2015-06-08,36195,37182,35866,36571,433151,-0.0025637528978590396
2015-06-09,37041,38028,36994,37371,608035,0.021875256350660344
2015-06-10,37558,37605,35537,35772,1023595,-0.042787187926467074
2015-06-11,35725,36430,35208,35819,612837,0.001313876775131284
2015-06-12,36289,36712,34973,35255,546033,-0.015745833217007732
2015-06-15,34738,34738,33045,33093,817184,-0.061324634803573974
2015-06-16,33092,33704,32716,33610,634799,0.015622639228839885
2015-06-17,33610,33657,32716,33469,535028,-0.0041951800059506494
2015-06-18,33657,34033,33233,33563,509098,0.002808569123666782
2015-06-19,33845,35866,33657,35584,1011687,0.06021511783809541
2015-06-22,36430,37323,36430,36995,835818,0.039652652877697925
2015-06-23,36994,37370,36336,37324,494949,0.00889309366130564
2015-06-24,37370,38028,36947,37559,418957,0.006296216911370722
2015-06-25,37276,37840,36947,37418,278766,-0.0037540935594664315
2015-06-26,37417,37417,36477,36760,296970,-0.017585119461221876
2015-06-29,36101,36430,35490,35631,380538,-0.03071273122959739
2015-06-30,35490,38169,35443,38076,632715,0.06862002189104999
2015-07-01,38169,39767,37276,39345,807066,0.033328080680743666
2015-07-02,39955,41225,39391,40332,1340797,0.025085779641631722
2015-07-03,40379,40849,38968,39016,583160,-0.032629177824060274
2015-07-06,38357,40050,38263,38734,587819,-0.007227803977855274
2015-07-07,40049,41836,39532,40943,1506544,0.057029999483657834
2015-07-08,40943,41272,39391,39486,601561,-0.03558605866692721
2015-07-09,38545,39015,36618,37324,1608675,-0.054753583548599494
2015-07-10,37699,37746,37135,37371,512702,0.0012592433822742333
2015-07-13,37652,38122,37370,38029,452255,0.017607235556982737
2015-07-14,38263,38357,37041,37089,657775,-0.02471797838491674
2015-07-15,38028,38075,37041,37089,886940,0.0
2015-07-16,36665,37887,36383,37089,9033490,0.0
2015-07-17,37182,37605,35960,36665,1149571,-0.011431960958774856
2015-07-20,36712,37041,35819,36148,828962,-0.014100640938224496
2015-07-21,36195,36571,35255,35443,1122812,-0.019503153701449616
2015-07-22,35631,35913,35020,35255,651850,-0.00530429139745503
