Date,Open,High,Low,Close,Volume,Change
2015-01-02,120500,121500,119500,120000,4806,-0.012345679012345734
2015-01-05,119000,120500,117000,118500,10255,-0.012499999999999956
2015-01-06,117500,119500,115500,117500,10724,-0.008438818565400852
2015-01-07,117000,117000,112500,113000,16243,-0.03829787234042559
2015-01-08,113000,114000,111000,111000,12292,-0.017699115044247815
2015-01-09,112000,114500,111000,112500,12418,0.013513513513513598
2015-01-12,111500,114500,111500,113500,6172,0.008888888888888946
2015-01-13,114000,117500,113000,117000,15920,0.03083700440528636
2015-01-14,116500,118000,114000,117000,10088,0.0
2015-01-15,115500,119500,114500,119000,9052,0.017094017094017033
2015-01-16,117000,120500,114500,119000,19987,0.0
2015-01-19,119000,120000,115500,115500,15775,-0.02941176470588236
2015-01-20,116000,117000,113000,115000,18648,-0.0043290043290042934
2015-01-21,114000,115000,111500,111500,21912,-0.0304347826086957
2015-01-22,111500,112500,109000,110500,24957,-0.008968609865470878
2015-01-23,111500,112000,108500,108500,18439,-0.018099547511312264
2015-01-26,109000,109000,105500,105500,20452,-0.027649769585253448
2015-01-27,107500,113500,107000,112000,35407,0.06161137440758302
2015-01-28,110500,118000,110500,116500,41924,0.0401785714285714
2015-01-29,116500,121500,115000,118500,48167,0.01716738197424883
2015-01-30,117500,126000,117500,125500,41936,0.05907172995780585
2015-02-02,125500,126500,119000,120000,24852,-0.043824701195219085
2015-02-03,119500,123000,118500,121000,29703,0.008333333333333304
2015-02-04,121500,122500,118000,119500,20335,-0.012396694214875992
2015-02-05,119500,120500,118000,119500,16565,0.0
2015-02-06,119500,121000,117000,119500,20690,0.0
2015-02-09,118500,120000,116500,117500,26507,-0.01673640167364021
2015-02-10,117000,117500,113500,115500,22407,-0.017021276595744705
2015-02-11,115500,119000,115500,117500,13810,0.017316017316017396
2015-02-12,117500,118500,114000,114000,18117,-0.029787234042553234
2015-02-13,114000,117500,113500,116500,12008,0.021929824561403466
2015-02-16,115500,121500,115500,118500,16390,0.01716738197424883
2015-02-17,120000,122000,119000,121500,9557,0.025316455696202445
2015-02-23,120000,121000,117500,118500,8952,-0.024691358024691357
2015-02-24,117000,121000,117000,120000,10607,0.012658227848101333
2015-02-25,119500,120500,118000,118500,8768,-0.012499999999999956
2015-02-26,119500,124000,118500,123000,16467,0.03797468354430378
2015-02-27,122000,123000,119500,120000,9707,-0.024390243902439046
2015-03-02,119500,122000,119000,121000,8726,0.008333333333333304
2015-03-03,121000,123500,119500,122500,13830,0.012396694214876103
2015-03-04,122500,125500,122000,124000,13807,0.012244897959183598
2015-03-05,124000,131500,124000,125500,46481,0.012096774193548487
2015-03-06,128000,135000,127000,134000,42109,0.06772908366533859
2015-03-09,135500,140000,133500,137500,43858,0.026119402985074647
2015-03-10,138000,140000,136000,136000,24232,-0.010909090909090868
2015-03-11,135500,144000,133500,140000,59723,0.02941176470588225
2015-03-12,140000,151500,140000,145000,91106,0.03571428571428581
2015-03-13,146000,148500,142000,145500,50065,0.0034482758620688614
