Date,Open,High,Low,Close,Volume,Change
2015-01-02,90400,91300,87900,88400,15224,-0.03598691384950925
2015-01-05,88000,90600,87700,90100,15690,0.019230769230769162
2015-01-06,89600,89800,87500,88000,9154,-0.023307436182020025
2015-01-07,87800,87900,85200,85200,13191,-0.03181818181818186
2015-01-08,85000,85900,84200,84500,12146,-0.008215962441314506
2015-01-09,85600,86000,82800,84600,25389,0.0011834319526626835
2015-01-12,83900,85100,83900,84600,12966,0.0
2015-01-13,85100,85700,84200,85100,15696,0.005910165484633634
2015-01-14,85600,85600,84000,84500,9423,-0.007050528789659172
2015-01-15,84000,85300,83400,85000,16361,0.00591715976331364
2015-01-16,84400,85100,83200,83500,14021,-0.01764705882352946
2015-01-19,83700,84000,82600,82900,17871,-0.007185628742514938
2015-01-20,83400,83800,81700,83000,30626,0.0012062726176116367
2015-01-21,82800,82800,81500,82200,27685,-0.009638554216867434
2015-01-22,82000,83300,82000,82700,16931,0.006082725060827299
2015-01-23,83000,83400,82200,83200,12376,0.006045949214026569
2015-01-26,83400,83900,82800,83500,12656,0.0036057692307691624
2015-01-27,83900,86000,83600,85000,24723,0.017964071856287456
2015-01-28,85100,89800,85000,87000,30544,0.0235294117647058
2015-01-29,86700,87000,85100,87000,21680,0.0
2015-01-30,87000,88900,86200,88600,17125,0.01839080459770126
2015-02-02,88000,88700,87500,88400,9824,-0.0022573363431150906
2015-02-03,88500,88500,86200,87400,11321,-0.011312217194570096
2015-02-04,86800,87600,85800,86800,14815,-0.006864988558352381
2015-02-05,86900,87800,86000,87700,12568,0.010368663594469973
2015-02-06,87700,88300,87000,88100,8305,0.004561003420752607
2015-02-09,88000,91700,88000,90700,30119,0.02951191827468791
2015-02-10,91500,91900,89700,90800,21087,0.0011025358324145973
2015-02-11,90800,92900,90000,92700,21369,0.020925110132158586
2015-02-12,92700,93100,92100,92800,24108,0.0010787486515642097
2015-02-13,91600,93500,91600,93500,30678,0.007543103448275801
2015-02-16,93500,94700,93200,93700,25378,0.002139037433155133
2015-02-17,93900,94700,93300,94700,17629,0.01067235859124871
2015-02-23,95700,96000,94100,94800,13558,0.001055966209081216
2015-02-24,94800,95500,93600,95400,12431,0.006329113924050667
2015-02-25,95500,95500,93300,95100,20982,-0.0031446540880503138
2015-02-26,95100,96100,94400,95000,16263,-0.001051524710830698
2015-02-27,94200,95200,94200,94300,13448,-0.00736842105263158
2015-03-02,95000,95800,94100,94800,13336,0.005302226935312904
2015-03-03,94000,97300,94000,96600,27362,0.018987341772152
2015-03-04,96300,97600,95400,96500,17298,-0.0010351966873706209
2015-03-05,95700,97200,95600,97000,13382,0.005181347150259086
2015-03-06,96300,97500,96100,96800,9208,-0.0020618556701030855
