Date,Open,High,Low,Close,Volume,Change
2015-01-02,903,944,887,926,994806,0.034636871508379796
2015-01-05,930,950,909,921,871925,-0.005399568034557212
2015-01-06,911,929,907,916,695791,-0.005428881650380024
2015-01-07,915,919,901,914,745759,-0.0021834061135370675
2015-01-08,919,919,901,914,582407,0.0
2015-01-09,914,950,911,940,2154824,0.02844638949671774
2015-01-12,931,989,930,971,1999071,0.03297872340425534
2015-01-13,978,989,943,950,1670676,-0.02162718846549949
2015-01-14,958,978,933,971,1553646,0.022105263157894628
2015-01-15,1020,1070,971,1005,9108729,0.03501544799176104
2015-01-16,991,996,950,950,2078656,-0.05472636815920395
2015-01-19,951,963,930,938,1342449,-0.012631578947368438
2015-01-20,1000,1030,949,966,3653019,0.029850746268656803
2015-01-21,966,966,938,944,1055470,-0.022774327122153215
2015-01-22,932,971,922,934,1197486,-0.010593220338983023
2015-01-23,936,950,910,910,1206623,-0.025695931477516032
2015-01-26,910,932,900,930,1261264,0.0219780219780219
2015-01-27,940,942,911,924,687984,-0.006451612903225823
2015-01-28,912,925,910,924,579370,0.0
2015-01-29,930,958,922,952,1294752,0.030303030303030276
2015-01-30,960,974,953,974,1714751,0.02310924369747891
2015-02-02,962,984,956,977,1335013,0.0030800821355236874
2015-02-03,974,1000,973,997,2189771,0.020470829068577334
2015-02-04,998,1000,982,994,1561462,-0.0030090270812437314
2015-02-05,998,1025,987,1010,2044731,0.016096579476861272
2015-02-06,1010,1030,994,1030,2666451,0.01980198019801982
2015-02-09,1050,1050,1005,1015,1961627,-0.014563106796116498
2015-02-10,1015,1030,1005,1020,1362908,0.0049261083743843415
2015-02-11,1020,1090,1010,1075,2909617,0.05392156862745101
2015-02-12,1070,1100,1065,1085,1997322,0.009302325581395321
2015-02-13,1085,1145,1075,1140,2501145,0.05069124423963123
2015-02-16,1160,1165,1115,1165,1919213,0.021929824561403466
2015-02-17,1160,1180,1130,1160,1807809,-0.0042918454935622075
2015-02-23,1160,1240,1145,1220,2181089,0.051724137931034475
2015-02-24,1240,1240,1195,1220,2730801,0.0
2015-02-25,1215,1340,1200,1320,5428842,0.08196721311475419
2015-02-26,1340,1385,1305,1365,4484333,0.03409090909090917
2015-02-27,1380,1425,1360,1390,3740152,0.01831501831501825
2015-03-02,1385,1430,1355,1415,2589277,0.017985611510791477
2015-03-03,1420,1450,1390,1430,1635416,0.010600706713780994
2015-03-04,1415,1595,1370,1420,9612514,-0.006993006993006978
2015-03-05,1410,1475,1405,1455,2604754,0.02464788732394374
2015-03-06,1455,1490,1440,1490,1798484,0.02405498281786933
2015-03-09,1490,1500,1440,1480,1671294,-0.006711409395973145
2015-03-10,1470,1500,1355,1420,3202793,-0.04054054054054057
2015-03-11,1350,1380,1210,1210,7577493,-0.147887323943662
2015-03-12,1145,1245,1140,1225,9223483,0.012396694214876103
2015-03-13,1250,1325,1225,1320,4438850,0.07755102040816331
2015-03-16,1325,1345,1280,1315,1507990,-0.0037878787878787845
2015-03-17,1290,1310,1200,1245,3645510,-0.05323193916349811
2015-03-18,1220,1260,1220,1255,1374050,0.008032128514056325
2015-03-19,1270,1270,1235,1250,1154482,-0.003984063745019917
2015-03-20,1245,1275,1225,1245,1401445,-0.0040000000000000036
2015-03-23,1230,1290,1145,1250,3732561,0.004016064257028162
2015-03-24,1235,1275,1220,1270,1414311,0.016000000000000014
2015-03-25,1280,1345,1275,1295,1941865,0.019685039370078705
2015-03-26,1285,1345,1285,1345,2125973,0.03861003861003853
2015-03-27,1350,1365,1315,1340,1394685,-0.0037174721189591198
2015-03-30,1320,1345,1305,1335,1104787,-0.003731343283582045
2015-03-31,1325,1345,1320,1340,928256,0.0037453183520599342
2015-04-01,1340,1350,1315,1330,1024333,-0.007462686567164201
2015-04-02,1330,1330,1260,1285,2363120,-0.03383458646616544
2015-04-03,1280,1305,1250,1270,1603336,-0.011673151750972721
2015-04-06,1270,1325,1265,1320,1736732,0.03937007874015741
2015-04-07,1325,1370,1325,1345,1939151,0.018939393939394034
2015-04-08,1360,1390,1340,1365,1572177,0.014869888475836479
2015-04-09,1370,1390,1345,1355,1615260,-0.0073260073260073
2015-04-10,1375,1445,1355,1445,2912646,0.06642066420664205
2015-04-13,1445,1500,1445,1500,3325678,0.03806228373702414
2015-04-14,1435,1490,1400,1445,3360756,-0.036666666666666625
2015-04-15,1455,1500,1430,1490,1780699,0.03114186851211076
2015-04-16,1485,1550,1430,1440,3533319,-0.03355704697986572
2015-04-17,1425,1450,1390,1445,1970170,0.003472222222222321
2015-04-20,1415,1460,1415,1455,1108024,0.006920415224913601
2015-04-21,1455,1460,1405,1450,1567521,-0.0034364261168384758
2015-04-22,1445,1465,1340,1425,1812106,-0.017241379310344862
2015-04-23,1425,1435,1355,1380,1795827,-0.03157894736842104
2015-04-24,1380,1380,1330,1370,991159,-0.007246376811594235
2015-04-27,1370,1415,1360,1415,882408,0.03284671532846706
2015-04-28,1425,1480,1425,1445,2127093,0.021201413427561766
2015-04-29,1450,1450,1415,1430,875686,-0.01038062283737029
2015-04-30,1430,1430,1390,1425,780957,-0.0034965034965035446
2015-05-04,1410,1430,1365,1390,623034,-0.024561403508771895
2015-05-06,1380,1395,1280,1340,2122727,-0.03597122302158273
2015-05-07,1330,1385,1280,1385,1687668,0.033582089552238736
2015-05-08,1390,1410,1365,1410,904243,0.018050541516245522
2015-05-11,1425,1425,1405,1415,681811,0.0035460992907800915
2015-05-12,1410,1430,1375,1415,1101395,0.0
2015-05-13,1400,1455,1400,1445,1794309,0.021201413427561766
2015-05-14,1445,1460,1415,1445,1260244,0.0
2015-05-15,1440,1450,1415,1430,1169212,-0.01038062283737029
2015-05-18,1445,1460,1410,1435,1070285,0.0034965034965035446
2015-05-19,1430,1440,1415,1430,773019,-0.0034843205574912606
2015-05-20,1420,1430,1405,1415,960278,-0.010489510489510523
2015-05-21,1410,1425,1380,1405,1187165,-0.007067137809187329
2015-05-22,1395,1425,1380,1420,1217701,0.01067615658362997
2015-05-26,1420,1500,1405,1490,3277003,0.04929577464788726
2015-05-27,1485,1560,1470,1500,4274382,0.006711409395973256
2015-05-28,1500,1520,1470,1480,1033663,-0.013333333333333308
2015-05-29,1480,1500,1450,1480,1289250,0.0
2015-06-01,1475,1480,1430,1450,1075111,-0.020270270270270285
2015-06-02,1430,1455,1425,1445,878282,-0.0034482758620689724
2015-06-03,1440,1590,1405,1550,4916381,0.0726643598615917
2015-06-04,1540,1565,1505,1550,2351751,0.0
2015-06-05,1530,1550,1515,1540,946054,-0.006451612903225823
2015-06-08,1540,1575,1520,1540,1256939,0.0
2015-06-09,1530,1580,1515,1570,1684931,0.01948051948051943
2015-06-10,1565,1650,1550,1600,2746810,0.019108280254777066
2015-06-11,1630,1690,1600,1645,1874566,0.028124999999999956
2015-06-12,1640,1720,1625,1670,2965343,0.015197568389057725
2015-06-15,1670,1685,1590,1635,1582231,-0.020958083832335328
2015-06-16,1605,1645,1550,1590,1319288,-0.02752293577981646
2015-06-17,1580,1600,1555,1595,704147,0.003144654088050425
2015-06-18,1590,1635,1450,1525,1430584,-0.043887147335423204
2015-06-19,1505,1580,1480,1545,1007359,0.013114754098360715
2015-06-22,1550,1620,1525,1620,1582382,0.04854368932038833
2015-06-23,1640,1695,1625,1670,1607063,0.030864197530864113
2015-06-24,1670,1710,1655,1660,795018,-0.005988023952095856
2015-06-25,1680,1695,1660,1670,1182125,0.006024096385542244
2015-06-26,1670,1675,1580,1595,1357155,-0.04491017964071853
2015-06-29,1595,1645,1565,1580,1343061,-0.009404388714733591
2015-06-30,1585,1610,1545,1610,1146148,0.018987341772152
