Date,Open,High,Low,Close,Volume,Change
2015-01-02,103500,104000,100500,101500,56857,-0.019323671497584516
2015-01-05,101000,103000,100500,102000,69258,0.0049261083743843415
2015-01-06,102500,104000,99300,100000,142272,-0.019607843137254943
2015-01-07,100500,102500,100000,101500,59541,0.014999999999999902
2015-01-08,101500,102500,100500,101500,31795,0.0
2015-01-09,102000,105000,102000,104000,45718,0.024630541871921263
2015-01-12,103000,104500,102000,102000,22144,-0.019230769230769273
2015-01-13,102500,103500,101000,102000,40392,0.0
2015-01-14,102000,103000,101500,102500,15156,0.004901960784313708
2015-01-15,102000,103500,101000,102500,28292,0.0
2015-01-16,102000,102500,99900,100500,40550,-0.019512195121951237
2015-01-19,100500,101500,100000,101000,25355,0.004975124378109541
2015-01-20,101500,103500,101000,102500,23373,0.014851485148514865
2015-01-21,102000,103500,101000,102000,47485,-0.004878048780487809
2015-01-22,103000,105500,103000,105500,44168,0.03431372549019618
2015-01-23,105500,107500,103500,104500,37065,-0.009478672985781977
2015-01-26,104500,105000,103500,104500,27492,0.0
2015-01-27,104500,106500,104500,106500,22669,0.019138755980861344
2015-01-28,105500,108000,105000,107500,32234,0.009389671361502261
2015-01-29,107500,107500,104500,105500,44932,-0.018604651162790753
2015-01-30,106000,106500,103500,104000,55512,-0.014218009478673022
2015-02-02,103000,105000,103000,104000,42197,0.0
2015-02-03,104500,109500,104000,107500,114024,0.033653846153846256
2015-02-04,109500,112000,108500,110500,85858,0.027906976744185963
2015-02-05,111000,118500,109500,116000,160690,0.04977375565610864
2015-02-06,115500,119000,115500,118000,67513,0.01724137931034475
2015-02-09,116500,119000,116000,118500,32487,0.004237288135593209
2015-02-10,117500,119000,115000,117000,51798,-0.012658227848101222
2015-02-11,117500,118000,115500,117000,44318,0.0
2015-02-12,116500,118500,114500,118500,57631,0.012820512820512775
2015-02-13,116500,118000,114000,117000,70728,-0.012658227848101222
2015-02-16,116500,121500,116500,121500,73574,0.03846153846153855
2015-02-17,123000,125000,120500,125000,60737,0.028806584362139898
2015-02-23,125500,125500,119500,120500,78463,-0.03600000000000003
2015-02-24,120000,126000,120000,124000,83016,0.029045643153526868
