Date,Open,High,Low,Close,Volume,Change
2015-01-02,9700,9950,9670,9910,698265,0.019547325102880597
2015-01-05,9850,9920,9730,9870,665215,-0.004036326942482349
2015-01-06,9800,9810,9530,9590,870123,-0.028368794326241176
2015-01-07,9520,9630,9490,9500,536441,-0.009384775808133461
2015-01-08,9560,9640,9500,9500,552848,0.0
2015-01-09,9640,9650,9530,9590,769432,0.0094736842105263
2015-01-12,9600,9840,9520,9820,907836,0.023983315954118956
2015-01-13,9830,9930,9730,9750,680554,-0.007128309572301372
2015-01-14,9770,9820,9540,9550,943150,-0.02051282051282055
2015-01-15,9550,9670,9550,9630,533140,0.008376963350785305
2015-01-16,9620,9620,9220,9350,1376051,-0.029075804776739322
2015-01-19,9390,9510,9390,9440,539198,0.009625668449197766
2015-01-20,9500,9570,9350,9430,804034,-0.0010593220338983578
2015-01-21,9510,9550,9410,9500,849660,0.007423117709437932
2015-01-22,9600,10150,9570,10050,3084062,0.05789473684210522
2015-01-23,10250,10400,10000,10150,1843458,0.00995024875621886
2015-01-26,10150,10250,10000,10100,602379,-0.0049261083743842304
2015-01-27,10250,10600,10200,10600,1829235,0.04950495049504955
2015-01-28,10450,10850,10350,10800,1390732,0.018867924528301883
2015-01-29,10650,10750,10200,10250,1721446,-0.05092592592592593
2015-01-30,10350,10400,10150,10200,964340,-0.004878048780487809
2015-02-02,10250,10600,10250,10600,1115732,0.03921568627450989
2015-02-03,10850,10950,10700,10850,1395995,0.02358490566037741
2015-02-04,11000,11200,10700,10850,2189529,0.0
2015-02-05,11000,11600,10900,11600,4405255,0.06912442396313367
2015-02-06,11600,11850,11350,11850,2239832,0.02155172413793105
2015-02-09,11750,12000,11650,11900,1560997,0.00421940928270037
2015-02-10,11900,11950,11550,11550,1655775,-0.02941176470588236
2015-02-11,11650,11750,11500,11550,1346884,0.0
2015-02-12,11600,11900,11450,11600,2025767,0.0043290043290042934
2015-02-13,11050,11650,10750,11500,3783539,-0.008620689655172376
2015-02-16,11650,12200,11600,12150,2229486,0.05652173913043468
2015-02-17,12100,12300,11850,12150,922030,0.0
2015-02-23,12300,12300,12050,12200,867295,0.004115226337448652
2015-02-24,12250,12600,12100,12600,1764893,0.032786885245901676
2015-02-25,12700,13000,12550,12800,2418926,0.015873015873015817
2015-02-26,12750,13000,12700,13000,1145355,0.015625
2015-02-27,13000,13050,12700,12900,1084029,-0.007692307692307665
2015-03-02,13000,13350,12900,13350,1481804,0.03488372093023262
2015-03-03,13450,13500,12700,12700,2871450,-0.048689138576779034
2015-03-04,12550,12850,12450,12550,2108575,-0.011811023622047223
2015-03-05,12650,12800,12450,12600,975609,0.003984063745019917
2015-03-06,12650,12800,12500,12650,930616,0.003968253968253954
2015-03-09,12550,12700,12450,12450,981228,-0.015810276679841917
2015-03-10,12600,12650,11950,12050,1650827,-0.032128514056224855
2015-03-11,11900,12150,11900,12000,1083314,-0.004149377593360981
2015-03-12,12200,12250,11950,12000,949618,0.0
2015-03-13,12050,12150,11600,11700,1483945,-0.025000000000000022
2015-03-16,11650,11700,11300,11700,1371070,0.0
2015-03-17,11750,12000,11650,11950,1075803,0.02136752136752129
2015-03-18,11950,12050,11850,11850,567868,-0.008368200836820106
2015-03-19,12300,12700,12250,12500,2692133,0.05485232067510548
2015-03-20,12550,12600,12350,12600,834231,0.008000000000000007
2015-03-23,12450,12500,11950,11950,2579418,-0.051587301587301626
2015-03-24,11900,12000,11600,12000,988252,0.004184100418409997
2015-03-25,12100,12250,11700,11750,1347471,-0.02083333333333337
2015-03-26,11600,12000,11600,11800,700933,0.004255319148936065
2015-03-27,12100,12200,11750,11950,689547,0.012711864406779627
2015-03-30,12000,12100,11800,11800,601250,-0.012552301255230103
2015-03-31,12000,12150,11800,11900,690095,0.008474576271186418
2015-04-01,11800,11850,10800,10950,3606761,-0.0798319327731093
2015-04-02,10950,11250,10800,11000,1542376,0.004566210045662045
2015-04-03,11150,11350,11000,11300,904373,0.027272727272727337
2015-04-06,11300,11450,11200,11300,1034363,0.0
2015-04-07,11350,11450,11250,11350,712376,0.004424778761061843
2015-04-08,11350,11650,11350,11450,968245,0.008810572687224738
2015-04-09,11450,11650,11250,11500,713866,0.004366812227074135
2015-04-10,11500,11600,11100,11150,1437460,-0.0304347826086957
2015-04-13,11200,11600,11150,11600,1324618,0.04035874439461873
2015-04-14,11750,12500,11700,12150,3016925,0.047413793103448176
2015-04-15,12400,12500,12150,12400,1418638,0.020576131687242816
2015-04-16,12550,12800,12300,12450,1357215,0.0040322580645162365
2015-04-17,12500,12550,12200,12250,931703,-0.016064257028112428
2015-04-20,12050,12500,12000,12450,1031995,0.01632653061224487
2015-04-21,12550,12600,12150,12350,857181,-0.008032128514056214
2015-04-22,12300,12350,11900,12100,1380892,-0.020242914979757054
2015-04-23,12250,12650,12000,12500,1548969,0.03305785123966931
2015-04-24,12750,12800,12250,12350,1193338,-0.01200000000000001
2015-04-27,12400,12500,12200,12250,697100,-0.0080971659919028
2015-04-28,12050,12400,12000,12350,1089541,0.008163265306122547
2015-04-29,12450,12550,12200,12400,968018,0.004048582995951344
2015-04-30,12350,12400,11900,11900,898830,-0.040322580645161255
2015-05-04,11750,11850,11450,11450,789563,-0.037815126050420145
2015-05-06,11250,11400,11100,11350,889636,-0.008733624454148492
2015-05-07,11250,11500,11200,11400,501743,0.004405286343612369
2015-05-08,11350,11850,11350,11700,804695,0.026315789473684292
2015-05-11,11850,12000,11750,11800,652014,0.008547008547008517
2015-05-12,11750,11800,11350,11500,673744,-0.025423728813559365
2015-05-13,11400,11700,11400,11400,536768,-0.008695652173912993
2015-05-14,11350,11400,11250,11350,694390,-0.004385964912280715
2015-05-15,11450,11550,11150,11150,704827,-0.017621145374449365
2015-05-18,11150,11200,10750,10850,1077658,-0.026905829596412523
2015-05-19,10850,11100,10750,11050,550384,0.018433179723502224
2015-05-20,11000,11250,10600,10650,1599936,-0.03619909502262442
2015-05-21,10650,10750,10400,10450,804882,-0.018779342723004744
2015-05-22,10450,11200,10450,11200,2093104,0.0717703349282297
2015-05-26,11150,11250,10900,11100,821133,-0.008928571428571397
2015-05-27,10800,10950,10650,10700,1525222,-0.036036036036036
2015-05-28,10900,10950,10450,10550,1489471,-0.014018691588784993
2015-05-29,10550,10650,10450,10450,1559325,-0.009478672985781977
2015-06-01,10500,10550,10300,10350,872577,-0.009569377990430672
2015-06-02,10350,10600,10300,10300,798070,-0.004830917874396157
2015-06-03,10300,10550,10300,10300,888104,0.0
2015-06-04,10350,10450,10200,10300,1297128,0.0
2015-06-05,10200,10400,10050,10100,1140159,-0.01941747572815533
2015-06-08,10000,10150,9860,9860,1887518,-0.023762376237623783
2015-06-09,10000,10500,9970,10350,2196198,0.049695740365111485
2015-06-10,10450,10500,10200,10300,776279,-0.004830917874396157
2015-06-11,10300,10400,10000,10150,1162704,-0.014563106796116498
2015-06-12,10150,10250,9860,9880,1507489,-0.026600985221674867
2015-06-15,9900,10050,9720,9830,794794,-0.005060728744939236
2015-06-16,9760,9860,9520,9540,1215939,-0.029501525940996975
2015-06-17,9600,9970,9530,9930,832029,0.04088050314465419
2015-06-18,9950,9950,9730,9790,749613,-0.014098690835850913
2015-06-19,9850,9930,9770,9900,653850,0.011235955056179803
2015-06-22,9850,10200,9840,10050,740809,0.015151515151515138
2015-06-23,10250,10600,10150,10550,1955001,0.04975124378109452
2015-06-24,10550,10600,10350,10500,521778,-0.004739336492891044
2015-06-25,10400,10400,10100,10200,1004459,-0.02857142857142858
2015-06-26,10100,10250,9970,10150,997939,-0.004901960784313708
2015-06-29,9920,9960,9600,9670,1435822,-0.0472906403940887
2015-06-30,9590,9840,9570,9800,743408,0.013443640124095158
2015-07-01,9840,10050,9780,9960,1042568,0.01632653061224487
2015-07-02,9960,10050,9760,9830,1202498,-0.013052208835341417
2015-07-03,9850,9870,9630,9740,1160378,-0.00915564598168872
2015-07-06,9590,9690,9500,9530,1029593,-0.021560574948665256
2015-07-07,9580,9700,9520,9690,895951,0.016789087093389332
2015-07-08,9730,9740,9540,9600,714323,-0.009287925696594423
2015-07-09,9590,9820,9590,9810,1427802,0.02187500000000009
2015-07-10,9810,9820,9590,9700,749669,-0.011213047910295648
2015-07-13,9710,9730,9530,9620,935638,-0.008247422680412342
2015-07-14,9680,9690,9550,9580,787038,-0.004158004158004158
2015-07-15,9620,9690,9510,9540,819390,-0.0041753653444676075
2015-07-16,9500,9600,9500,9550,589349,0.0010482180293500676
2015-07-17,9560,9590,9000,9040,3658751,-0.05340314136125657
2015-07-20,9060,9070,8480,8490,3550785,-0.060840707964601726
2015-07-21,8540,8830,8490,8540,2392363,0.005889281507656108
2015-07-22,8550,8580,8140,8190,2406889,-0.040983606557377095
2015-07-23,8210,8230,7900,7930,2599854,-0.031746031746031744
2015-07-24,7850,7920,7590,7620,2333343,-0.0390920554854981
2015-07-27,7850,9180,7790,8440,10277501,0.1076115485564304
2015-07-28,8340,8530,8080,8110,2335246,-0.0390995260663507
2015-07-29,8180,8180,7670,7670,3280366,-0.054254007398273685
2015-07-30,7650,7770,7350,7450,3168059,-0.028683181225554133
2015-07-31,7420,7620,7410,7610,1533879,0.021476510067114152
2015-08-03,7630,7650,7390,7400,1854340,-0.02759526938239154
2015-08-04,7390,7500,7380,7430,1152308,0.004054054054054124
2015-08-05,7470,7710,7450,7530,1290568,0.013458950201884257
2015-08-06,7590,7690,7510,7540,1364238,0.0013280212483399723
2015-08-07,7540,7560,7450,7470,1159537,-0.009283819628647216
2015-08-10,7460,7480,7120,7140,1974488,-0.04417670682730923
2015-08-11,7220,7280,7110,7130,2066753,-0.0014005602240896309
2015-08-12,7180,7400,7060,7160,2454240,0.004207573632538653
2015-08-13,7390,7770,7360,7420,3997561,0.036312849162011274
2015-08-17,7480,7480,7170,7190,1639925,-0.030997304582210283
2015-08-18,7250,7330,7210,7230,1219604,0.0055632823365785455
2015-08-19,7210,7220,6690,6830,2909990,-0.05532503457814664
2015-08-20,6700,6850,6410,6410,2718686,-0.061493411420204924
2015-08-21,6000,6270,6000,6140,2797706,-0.04212168486739465
2015-08-24,6090,6320,6010,6170,2253416,0.004885993485342022
2015-08-25,6200,6550,6090,6410,2172837,0.03889789303079416
2015-08-26,6480,6750,6370,6670,1920785,0.040561622464898583
2015-08-27,6720,6750,6490,6500,1804373,-0.025487256371814038
2015-08-28,6570,6660,6520,6600,1640402,0.01538461538461533
2015-08-31,6640,6710,6540,6680,1374029,0.0121212121212122
2015-09-01,6710,6780,6490,6510,1527226,-0.025449101796407136
2015-09-02,6370,6480,6360,6450,1210837,-0.009216589861751112
2015-09-03,6530,6530,6350,6350,916579,-0.015503875968992276
2015-09-04,6380,6400,6200,6210,1047579,-0.022047244094488216
