Date,Open,High,Low,Close,Volume,Change
2015-01-02,23300,23650,22700,22750,417443,-0.038054968287526414
2015-01-05,23000,23150,22300,23000,414039,0.01098901098901095
2015-01-06,22600,22750,22100,22200,382409,-0.034782608695652195
2015-01-07,22000,22500,21900,22000,285584,-0.009009009009009028
2015-01-08,22150,22550,22100,22200,241177,0.009090909090909038
2015-01-09,22550,23100,22550,22950,276402,0.03378378378378377
2015-01-12,22750,22950,22550,22700,211989,-0.01089324618736387
2015-01-13,22550,22700,22200,22250,275821,-0.01982378854625555
2015-01-14,22250,22550,22000,22050,264105,-0.008988764044943864
2015-01-15,22050,22200,21850,22000,236349,-0.0022675736961451642
2015-01-16,21950,22100,21300,21450,357873,-0.025000000000000022
2015-01-19,21700,22150,21650,22050,328988,0.027972027972027913
2015-01-20,22000,22350,21800,21900,155924,-0.006802721088435382
2015-01-21,21900,21950,21500,21800,196686,-0.004566210045662156
2015-01-22,22050,22600,21900,22550,312117,0.034403669724770714
2015-01-23,22950,23000,22350,22450,238536,-0.0044345898004434225
2015-01-26,22450,22700,22300,22650,166847,0.008908685968819663
2015-01-27,22850,23500,22750,23400,426248,0.0331125827814569
2015-01-28,23350,24300,23250,24200,514176,0.03418803418803429
2015-01-29,23600,24050,23550,23750,318968,-0.018595041322314043
2015-01-30,24100,24250,23100,23300,373034,-0.0189473684210526
2015-02-02,23400,24300,23350,24050,369901,0.032188841201716833
2015-02-03,24100,24500,23750,24500,435041,0.018711018711018657
2015-02-04,24600,25150,24500,25050,501356,0.022448979591836782
2015-02-05,25000,25300,24700,25100,469134,0.001996007984031989
2015-02-06,24900,26700,24400,26550,1223077,0.05776892430278879
2015-02-09,26750,26900,26300,26500,484581,-0.0018832391713747842
2015-02-10,26400,26800,26050,26500,528497,0.0
2015-02-11,26650,26700,25700,26100,394619,-0.015094339622641506
2015-02-12,25900,26450,25650,26400,659508,0.011494252873563315
2015-02-13,26200,27000,25850,26950,455859,0.02083333333333326
2015-02-16,27000,27700,26950,27400,440569,0.016697588126159513
2015-02-17,27400,27800,27100,27600,301927,0.007299270072992803
2015-02-23,27600,27950,27350,27750,284324,0.005434782608695565
2015-02-24,27800,28100,27700,28050,411726,0.0108108108108107
2015-02-25,28050,28100,27650,27900,384237,-0.005347593582887722
2015-02-26,27950,29000,27650,29000,633204,0.03942652329749108
2015-02-27,28900,29300,28650,29050,674017,0.0017241379310344307
2015-03-02,29100,29950,29050,29600,518843,0.018932874354561147
2015-03-03,29750,30100,29100,29900,552920,0.010135135135135087
2015-03-04,30700,31250,28850,28950,1320665,-0.0317725752508361
2015-03-05,29000,29750,28700,29000,392380,0.0017271157167531026
2015-03-06,29050,29200,28400,28650,361832,-0.012068965517241348
2015-03-09,28450,29000,28400,28550,192181,-0.003490401396160525
2015-03-10,28700,28750,27700,27950,395583,-0.021015761821365997
2015-03-11,27500,28350,27350,27750,411936,-0.007155635062611854
2015-03-12,27800,27950,27250,27250,315061,-0.018018018018018056
2015-03-13,27600,27650,26950,27150,344380,-0.003669724770642202
2015-03-16,27150,27400,26450,27050,334457,-0.0036832412523020164
2015-03-17,27050,28500,27050,28450,528977,0.05175600739371533
2015-03-18,28200,28800,28050,28700,259544,0.008787346221441172
2015-03-19,29000,29400,28800,29050,414485,0.012195121951219523
2015-03-20,29200,29600,28900,29600,402437,0.018932874354561147
2015-03-23,29850,29900,28900,29250,370176,-0.011824324324324342
2015-03-24,28650,29200,28050,28800,621778,-0.01538461538461533
2015-03-25,28750,28900,27650,28150,504391,-0.02256944444444442
2015-03-26,28000,28750,27700,28050,384069,-0.003552397868561319
2015-03-27,28400,28600,27750,28150,393505,0.0035650623885918886
2015-03-30,28150,28600,27800,28550,341065,0.014209591474245054
2015-03-31,28700,28800,27800,28300,533993,-0.008756567425569184
2015-04-01,27900,28050,27000,27050,508725,-0.044169611307420475
2015-04-02,27350,27600,26900,27550,372267,0.01848428835489835
2015-04-03,27350,27900,27150,27900,317602,0.012704174228675091
2015-04-06,27800,28200,27300,27450,300962,-0.016129032258064502
2015-04-07,27400,27800,27350,27550,207308,0.0036429872495447047
2015-04-08,27550,28100,27000,28050,355582,0.01814882032667886
2015-04-09,28250,29600,28000,29500,752635,0.051693404634581164
2015-04-10,29600,30200,29150,29200,478760,-0.01016949152542368
2015-04-13,29550,30500,29250,30400,914461,0.041095890410958846
2015-04-14,31200,32300,31050,31800,1304307,0.046052631578947345
2015-04-15,32300,32600,31750,31950,693986,0.004716981132075526
