Date,Open,High,Low,Close,Volume,Change
2015-01-02,11350,11500,11100,11200,234779,-0.01754385964912286
2015-01-05,11200,11350,11050,11200,341149,0.0
2015-01-06,11050,11250,10650,10750,505599,-0.0401785714285714
2015-01-07,10750,10850,10600,10650,253006,-0.009302325581395321
2015-01-08,10700,10900,10550,10600,324060,-0.0046948356807511304
2015-01-09,10600,10850,10550,10750,413508,0.014150943396226356
2015-01-12,10800,11200,10800,10950,361413,0.018604651162790642
2015-01-13,11050,11050,10800,10800,172436,-0.013698630136986356
2015-01-14,10750,10850,10500,10600,306833,-0.01851851851851849
2015-01-15,10500,10700,10450,10600,145321,0.0
2015-01-16,10650,10700,10100,10200,466570,-0.037735849056603765
2015-01-19,10350,10450,10250,10400,201395,0.019607843137254832
2015-01-20,10450,10500,10350,10450,138852,0.004807692307692291
2015-01-21,10500,10550,10250,10300,171509,-0.014354066985645897
2015-01-22,10300,10650,10300,10550,291945,0.024271844660194164
2015-01-23,10600,10650,10350,10450,189274,-0.009478672985781977
2015-01-26,10400,10400,10200,10350,245866,-0.009569377990430672
2015-01-27,10300,10600,10300,10400,392951,0.004830917874396157
2015-01-28,10350,10650,10300,10650,296450,0.024038461538461453
2015-01-29,10600,10650,10400,10450,183459,-0.018779342723004744
2015-01-30,10600,10600,10250,10400,337764,-0.004784688995215336
2015-02-02,10350,10700,10350,10650,242882,0.024038461538461453
2015-02-03,10700,10750,10500,10650,221214,0.0
2015-02-04,10700,10700,10550,10600,258816,-0.0046948356807511304
2015-02-05,10650,10650,10400,10400,285795,-0.018867924528301883
2015-02-06,10500,10800,10400,10650,511910,0.024038461538461453
2015-02-09,10700,10750,10500,10600,248084,-0.0046948356807511304
2015-02-10,10600,10650,10150,10250,529480,-0.03301886792452835
2015-02-11,10300,10500,10200,10350,251360,0.009756097560975618
2015-02-12,10400,10550,10200,10300,322779,-0.004830917874396157
2015-02-13,10350,10400,10200,10250,273687,-0.004854368932038833
2015-02-16,10250,10400,10200,10300,268175,0.004878048780487809
2015-02-17,10300,10300,10100,10200,396590,-0.009708737864077666
2015-02-23,10200,10250,9990,10000,409274,-0.019607843137254943
2015-02-24,10050,10400,10000,10400,328637,0.040000000000000036
2015-02-25,10450,10600,10350,10600,374184,0.019230769230769162
2015-02-26,10600,10650,10450,10500,251527,-0.009433962264150941
2015-02-27,10550,10600,10400,10450,208247,-0.004761904761904745
2015-03-02,10550,11050,10500,10950,1084022,0.04784688995215314
2015-03-03,10950,11150,10850,10950,384010,0.0
2015-03-04,10950,11250,10950,11100,350689,0.013698630136986356
2015-03-05,11000,11600,11000,11500,888758,0.03603603603603611
2015-03-06,11700,13000,11700,12700,3818720,0.10434782608695659
2015-03-09,12850,13000,12300,12700,1348378,0.0
2015-03-10,12700,12750,12000,12150,988222,-0.04330708661417326
2015-03-11,11900,12250,11850,12200,575694,0.004115226337448652
2015-03-12,12250,12400,12000,12000,408560,-0.016393442622950838
2015-03-13,12000,12900,12000,12500,1057648,0.04166666666666674
2015-03-16,12350,12450,12150,12250,425119,-0.020000000000000018
2015-03-17,12250,12500,12100,12250,442760,0.0
2015-03-18,12150,12600,12100,12150,456274,-0.008163265306122436
2015-03-19,12200,12800,12150,12700,861305,0.04526748971193406
2015-03-20,12700,12900,12500,12750,614242,0.003937007874015741
2015-03-23,13000,13050,12700,12800,447240,0.0039215686274509665
2015-03-24,12800,12850,12400,12500,421729,-0.0234375
2015-03-25,12500,12650,12200,12250,494397,-0.020000000000000018
2015-03-26,12200,12600,12150,12400,453316,0.012244897959183598
2015-03-27,12550,12600,12250,12450,335810,0.0040322580645162365
2015-03-30,12450,12450,12000,12050,484167,-0.032128514056224855
2015-03-31,12100,12900,11750,12850,1074439,0.06639004149377592
2015-04-01,12850,13000,12600,12800,441618,-0.0038910505836575737
2015-04-02,12850,13750,12750,13300,2107491,0.0390625
2015-04-03,13450,13550,13150,13350,602696,0.003759398496240518
2015-04-06,13200,13300,12800,12900,696361,-0.0337078651685393
2015-04-07,12900,13150,12750,13150,626324,0.019379844961240345
2015-04-08,13050,13300,13000,13150,400600,0.0
2015-04-09,13100,13200,12850,12900,378645,-0.019011406844106515
2015-04-10,13000,13700,12950,13500,1209922,0.04651162790697683
2015-04-13,13800,14050,13450,13650,1095828,0.011111111111111072
2015-04-14,13700,14200,13450,13900,1189877,0.01831501831501825
2015-04-15,13900,13900,13450,13550,528417,-0.025179856115107868
2015-04-16,13550,13650,13100,13300,710226,-0.01845018450184499
2015-04-17,13250,13550,13200,13350,496536,0.003759398496240518
2015-04-20,13200,13500,12950,13150,532751,-0.014981273408239737
2015-04-21,13300,13300,12700,12850,632579,-0.02281368821292773
2015-04-22,12950,13450,12850,13400,1174448,0.04280155642023353
2015-04-23,13750,13850,13200,13300,744442,-0.007462686567164201
2015-04-24,13350,13400,12850,13300,749826,0.0
2015-04-27,13450,13500,13100,13400,359585,0.007518796992481258
2015-04-28,13600,13600,13250,13450,424588,0.003731343283582156
2015-04-29,13400,13700,13200,13600,616236,0.011152416356877248
2015-04-30,13550,14000,12850,12950,822595,-0.047794117647058876
2015-05-04,13000,13100,12650,12900,277600,-0.0038610038610038533
2015-05-06,12750,12900,12450,12500,376776,-0.03100775193798455
2015-05-07,12400,13050,12400,12950,369079,0.03600000000000003
2015-05-08,13050,13250,12300,12450,568219,-0.038610038610038644
2015-05-11,12650,13100,12600,12700,458449,0.02008032128514059
2015-05-12,12700,12750,12350,12450,368664,-0.019685039370078705
2015-05-13,12450,12650,12350,12450,191839,0.0
2015-05-14,12400,12550,12100,12250,436997,-0.016064257028112428
2015-05-15,12250,12350,11900,11900,393253,-0.02857142857142858
2015-05-18,11950,11950,11350,11550,511189,-0.02941176470588236
2015-05-19,11550,11800,11450,11650,273647,0.008658008658008587
2015-05-20,11550,11700,11450,11450,229165,-0.01716738197424894
2015-05-21,11400,11500,11050,11150,322000,-0.026200873362445365
2015-05-22,11200,12050,11200,11750,599072,0.053811659192825045
2015-05-26,11850,11850,11350,11600,256994,-0.012765957446808529
2015-05-27,11500,11650,11250,11450,257174,-0.012931034482758674
2015-05-28,11500,11600,11150,11250,275267,-0.017467248908296984
2015-05-29,11300,11650,11200,11450,190500,0.01777777777777767
2015-06-01,11450,11500,11050,11200,260108,-0.02183406113537123
2015-06-02,11250,11650,10900,11550,584950,0.03125
2015-06-03,11900,12400,11500,12400,1121951,0.07359307359307365
2015-06-04,12300,12500,11900,12450,666762,0.0040322580645162365
2015-06-05,12450,12850,12300,12400,509981,-0.004016064257028162
2015-06-08,12450,12950,12400,12600,608808,0.016129032258064502
2015-06-09,12750,13050,12500,12700,453024,0.007936507936507908
2015-06-10,12700,12750,12300,12450,282868,-0.019685039370078705
2015-06-11,12600,12950,12400,12950,290550,0.04016064257028118
2015-06-12,12850,12950,12250,12450,382317,-0.038610038610038644
2015-06-15,12300,12800,12250,12450,231027,0.0
2015-06-16,12350,12500,12050,12200,241541,-0.02008032128514059
2015-06-17,12200,13350,12100,13350,1159750,0.09426229508196715
2015-06-18,13350,13450,13000,13150,567886,-0.014981273408239737
2015-06-19,13200,13250,12850,13200,376825,0.0038022813688212143
2015-06-22,13250,13550,13100,13150,417626,-0.0037878787878787845
2015-06-23,13300,13600,12750,13100,666966,-0.0038022813688213253
2015-06-24,13200,13400,13000,13050,404752,-0.003816793893129722
2015-06-25,13150,13650,13100,13500,966100,0.034482758620689724
2015-06-26,13600,13850,13150,13250,830695,-0.01851851851851849
2015-06-29,13250,15300,13150,14900,5367682,0.12452830188679243
2015-06-30,15050,15600,14500,14750,2914861,-0.010067114093959773
2015-07-01,15000,15300,14800,15200,1504812,0.03050847457627115
2015-07-02,15200,15300,14800,15300,1161770,0.006578947368421018
2015-07-03,15200,15250,14850,15050,794949,-0.016339869281045805
2015-07-06,14800,15450,14650,15150,914459,0.006644518272425293
2015-07-07,15850,16500,14950,15000,3030371,-0.00990099009900991
2015-07-08,15050,15850,15050,15350,1390078,0.023333333333333428
2015-07-09,15400,15400,14200,14700,1164545,-0.04234527687296419
2015-07-10,14750,15700,14750,15650,1438363,0.06462585034013602
2015-07-13,15650,16200,15450,16000,1257179,0.022364217252396124
2015-07-14,16000,16250,15650,16000,781162,0.0
2015-07-15,16100,16450,15750,16000,576304,0.0
2015-07-16,16150,16150,15100,15300,1158335,-0.043749999999999956
2015-07-17,15350,15450,14900,15300,747833,0.0
2015-07-20,15200,15250,14850,15050,522315,-0.016339869281045805
