Date,Open,High,Low,Close,Volume,Change
2015-01-02,32300,33500,32300,33400,57485,0.021406727828746197
2015-01-05,33400,33700,32550,32800,37521,-0.017964071856287456
2015-01-06,32300,33000,31950,32150,61220,-0.01981707317073167
2015-01-07,32250,32350,31650,31850,51441,-0.009331259720062213
2015-01-08,31900,32200,30900,30900,68794,-0.02982731554160123
2015-01-09,31150,32450,31150,32050,63091,0.03721682847896446
2015-01-12,31650,32600,31650,32250,54686,0.006240249609984483
2015-01-13,32300,32300,31100,31300,61061,-0.029457364341085257
2015-01-14,31200,31550,31150,31200,41603,-0.0031948881789137795
2015-01-15,30950,31400,30300,30550,85770,-0.02083333333333337
2015-01-16,30350,30550,29500,29800,72180,-0.02454991816693941
2015-01-19,30000,30850,30000,30700,39016,0.030201342281879207
2015-01-20,31000,31500,30650,30800,43589,0.0032573289902280145
2015-01-21,30850,31150,30200,30850,52532,0.0016233766233766378
2015-01-22,31000,31400,30550,30800,60771,-0.0016207455429497752
2015-01-23,31350,31400,30750,30850,66675,0.0016233766233766378
2015-01-26,30850,30900,30200,30250,66097,-0.01944894651539708
2015-01-27,30400,31800,30350,31500,149621,0.04132231404958686
2015-01-28,31500,32300,31000,32200,93537,0.022222222222222143
2015-01-29,32000,33350,31900,32900,193426,0.021739130434782705
2015-01-30,33150,34300,33000,34150,141906,0.03799392097264431
2015-02-02,34200,34700,33800,34400,83286,0.007320644216691097
2015-02-03,34400,36450,34050,36100,238536,0.04941860465116288
2015-02-04,36500,36600,35550,36100,105164,0.0
2015-02-05,35800,36000,35150,35350,127004,-0.020775623268698085
2015-02-06,35350,36300,35350,36000,54020,0.018387553041018467
2015-02-09,36000,36450,35450,35500,42276,-0.01388888888888884
2015-02-10,35400,35950,35150,35450,36325,-0.0014084507042253502
2015-02-11,35450,35900,34900,35150,57460,-0.008462623413258097
2015-02-12,35050,35800,34900,35150,47396,0.0
2015-02-13,35200,35850,34900,35050,60249,-0.002844950213371278
2015-02-16,34750,36500,34750,36150,75315,0.031383737517831634
2015-02-17,36150,36400,35400,35600,53535,-0.015214384508990264
2015-02-23,35450,36900,35450,36600,82730,0.028089887640449396
2015-02-24,36500,36900,36150,36750,34879,0.004098360655737654
2015-02-25,36900,37200,36600,36650,71598,-0.0027210884353741083
