Date,Open,High,Low,Close,Volume,Change
2015-01-02,159000,162000,158000,161000,101444,0.006250000000000089
2015-01-05,160500,160500,154500,155500,187535,-0.03416149068322982
2015-01-06,150000,151000,141500,146000,483546,-0.06109324758842438
2015-01-07,144000,149500,143500,147500,278830,0.010273972602739656
2015-01-08,150000,151000,143500,145000,298017,-0.016949152542372836
2015-01-09,147500,150000,145000,148500,304688,0.024137931034482696
2015-01-12,148000,151000,145500,148000,206972,-0.0033670033670033517
2015-01-13,146500,147000,143000,144000,193373,-0.027027027027026973
2015-01-14,143000,146500,141000,144000,242214,0.0
2015-01-15,146000,149000,144500,148000,191296,0.02777777777777768
2015-01-16,146000,146500,140500,142000,251821,-0.04054054054054057
2015-01-19,145500,151000,145000,150500,312069,0.059859154929577496
2015-01-20,151500,152500,148500,149500,149567,-0.006644518272425293
2015-01-21,147500,151500,147500,151500,121196,0.013377926421404673
2015-01-22,153000,158000,152000,157500,294999,0.03960396039603964
2015-01-23,161000,167000,157000,160000,427129,0.015873015873015817
2015-01-26,158000,161500,155500,159000,161860,-0.006249999999999978
2015-01-27,161000,174000,159000,172000,497167,0.08176100628930816
2015-01-28,172000,174000,170500,174000,223264,0.011627906976744207
2015-01-29,170000,171500,167000,171000,167243,-0.017241379310344862
2015-01-30,174000,175500,171000,174500,172222,0.020467836257309857
2015-02-02,179500,180500,174000,174000,199615,-0.002865329512893977
2015-02-03,177000,179000,174500,178000,215065,0.02298850574712641
2015-02-04,183000,183000,176000,179500,296754,0.008426966292134797
2015-02-05,176500,177000,172500,173500,150233,-0.03342618384401119
2015-02-06,175500,178500,172500,178000,143474,0.025936599423631135
2015-02-09,178500,184000,178500,182000,278863,0.022471910112359605
2015-02-10,181500,186500,180000,182000,190017,0.0
2015-02-11,183000,183500,176500,177000,127712,-0.027472527472527486
2015-02-12,174500,175500,171000,175000,150226,-0.011299435028248594
2015-02-13,178000,179500,175000,177000,70332,0.011428571428571344
2015-02-16,178000,180500,169500,172500,183637,-0.025423728813559365
2015-02-17,172000,178000,170500,175500,97431,0.017391304347825987
2015-02-23,176500,178500,174000,174500,89407,-0.005698005698005715
2015-02-24,175500,179500,174000,175500,95897,0.005730659025787954
2015-02-25,177000,185500,177000,184000,318935,0.04843304843304841
2015-02-26,187500,194500,185500,193500,462075,0.05163043478260865
2015-02-27,191500,197000,190500,190500,242330,-0.015503875968992276
2015-03-02,196500,199000,194000,194500,208287,0.0209973753280841
2015-03-03,193500,194500,189000,193500,139333,-0.005141388174807249
2015-03-04,194500,194500,187000,187500,108444,-0.03100775193798455
2015-03-05,187000,192500,186000,187500,135471,0.0
2015-03-06,188500,193500,188500,192000,150587,0.02400000000000002
2015-03-09,189000,197500,189000,192500,111996,0.0026041666666667407
2015-03-10,195500,200000,195000,197500,243999,0.025974025974025983
2015-03-11,195000,199500,193500,197500,138751,0.0
2015-03-12,198000,204500,197000,204500,325386,0.03544303797468351
2015-03-13,206000,207500,200500,202500,234478,-0.009779951100244544
2015-03-16,199000,200500,189000,192000,303230,-0.051851851851851816
2015-03-17,192000,198000,191000,196500,238447,0.0234375
2015-03-18,195500,196500,186500,190500,280773,-0.03053435114503822
2015-03-19,195500,199000,192500,196000,267384,0.028871391076115582
2015-03-20,193000,198500,192000,197500,111617,0.007653061224489832
2015-03-23,201500,206000,196000,196000,172130,-0.0075949367088608
2015-03-24,197500,200500,196000,197000,93150,0.005102040816326481
2015-03-25,200000,201000,195500,195500,132257,-0.0076142131979695105
2015-03-26,196500,207500,196500,205000,286517,0.04859335038363177
2015-03-27,209000,213000,202500,202500,160699,-0.012195121951219523
2015-03-30,204000,209000,200000,207500,100401,0.024691358024691468
2015-03-31,209500,213000,203500,203500,126387,-0.01927710843373498
2015-04-01,205000,208500,201000,207500,121282,0.019656019656019597
2015-04-02,215000,219000,212500,216000,333285,0.04096385542168668
2015-04-03,216500,220000,216000,219500,144174,0.01620370370370372
2015-04-06,220000,222000,214500,218500,148901,-0.004555808656036442
2015-04-07,222000,225000,216000,218000,137650,-0.0022883295194507935
2015-04-08,222000,230000,221500,230000,320251,0.05504587155963292
2015-04-09,229500,238500,227500,233500,284098,0.01521739130434785
2015-04-10,235000,238500,231500,235000,127611,0.0064239828693790635
2015-04-13,236500,244000,236000,242000,170954,0.029787234042553123
2015-04-14,242000,242500,234500,241000,161736,-0.004132231404958664
2015-04-15,244000,248500,241000,247500,162327,0.026970954356846377
2015-04-16,250000,252500,232500,236000,291600,-0.04646464646464643
2015-04-17,236000,241000,227500,237000,248140,0.004237288135593209
2015-04-20,235500,260000,235000,259500,348965,0.09493670886075956
2015-04-21,261000,261500,253000,254500,156615,-0.019267822736030782
2015-04-22,267000,274000,263500,268000,339992,0.05304518664047153
2015-04-23,268000,277000,266000,271000,154215,0.011194029850746245
2015-04-24,273500,280500,265000,271000,193513,0.0
2015-04-27,276000,277000,256000,256500,266149,-0.053505535055350606
2015-04-28,259000,266500,255500,265000,268160,0.033138401559454245
2015-04-29,268000,273000,252000,256500,288102,-0.0320754716981132
2015-04-30,259500,260000,250000,251000,205018,-0.021442495126705707
