Date,Open,High,Low,Close,Volume,Change
2015-01-02,563684,570534,555855,565641,5719,-0.0034496184806527275
2015-01-05,560748,574449,550962,571513,6271,0.01038114280966207
2015-01-06,562705,572491,545090,547048,9625,-0.04280742520292624
2015-01-07,546069,577384,543133,572492,6084,0.04651145786110167
2015-01-08,570534,570534,531389,552919,5889,-0.03418912404016128
2015-01-09,551940,560748,546069,554877,4190,0.0035412058547454883
2015-01-12,549004,568577,549004,567599,2392,0.02292760377525105
2015-01-13,567598,578363,562705,567599,3245,0.0
2015-01-14,567598,599893,567598,593043,5826,0.044827422176571874
2015-01-15,588149,613593,587171,611637,5242,0.0313535443466999
2015-01-16,611636,615551,599893,613594,4219,0.0031996102263269766
2015-01-19,606743,613593,602829,606743,3846,-0.011165363416200336
2015-01-20,610657,624358,606743,618487,3727,0.01935580632986289
2015-01-21,624358,625337,600871,608701,3545,-0.01582248293011812
2015-01-22,609679,625337,600871,621423,4012,0.020900244947847924
2015-01-23,611636,630230,611636,622401,2456,0.0015738072134439118
2015-01-26,622401,629251,612615,623380,1349,0.0015729409175113673
2015-01-27,621422,630230,617508,625337,2661,0.0031393371619237165
2015-01-28,629251,639037,618486,636102,3453,0.017214717824149295
2015-01-29,623379,623379,578363,597936,27668,-0.059999811351009735
2015-01-30,595000,609679,587171,607722,7346,0.016366300072248485
2015-02-02,601850,610657,598914,606743,3283,-0.0016109339467716977
2015-02-03,596957,617508,596957,616530,3886,0.016130387989643058
2015-02-04,607722,619465,605764,614572,5857,-0.003175838969717626
2015-02-05,611636,619465,606743,610658,2108,-0.006368659815286115
2015-02-06,605764,626315,605764,621423,3781,0.01762852529566472
2015-02-09,621422,626315,592064,616530,6799,-0.00787386369670906
2015-02-10,608700,616529,599893,605765,4516,-0.01746062640909607
2015-02-11,610657,625337,610657,624359,2604,0.030695071521134487
2015-02-12,630230,633166,613593,627294,4271,0.004700821162183955
2015-02-13,622401,631208,621422,629252,3578,0.003121343421107259
2015-02-16,634144,651759,629251,646867,3161,0.02799355425171468
2015-02-17,655674,655674,636101,646867,2253,0.0
2015-02-23,661546,661546,632187,640016,2861,-0.010591048855483454
2015-02-24,633166,648824,628273,631209,3214,-0.013760593485162897
2015-02-25,635123,655674,631208,650781,4557,0.03100716244540247
2015-02-26,650781,655674,626315,626316,6537,-0.037593291752525015
2015-02-27,622401,631208,605764,622401,5556,-0.006250838235012379
2015-03-02,615551,623379,601850,605765,4419,-0.02672874882913101
2015-03-03,603807,623379,600871,611637,4774,0.00969352801829082
2015-03-04,611636,625337,607722,622401,3408,0.017598673723139724
2015-03-05,614572,638059,614572,636102,3283,0.02201313943904326
2015-03-06,636101,641973,626315,629252,2541,-0.010768713193795909
2015-03-09,625337,629251,613593,613594,7654,-0.024883512487842707
2015-03-10,613593,633166,613593,630230,3956,0.027112390277610254
2015-03-11,621422,644909,611636,637081,6372,0.010870634530250944
2015-03-12,645888,647845,637080,640995,6327,0.00614364578444504
2015-03-13,645888,655674,630230,651760,4129,0.016794202762892008
2015-03-16,654695,665460,645888,660567,5545,0.013512642690560961
2015-03-17,656653,683075,656653,682097,4969,0.03259321158943762
2015-03-18,682097,682097,661546,662525,5111,-0.028693866121680678
2015-03-19,660567,674268,653717,670354,3784,0.011816912569337035
2015-03-20,671332,707541,671332,694819,9727,0.0364956426007752
2015-03-23,703626,714391,689926,697755,4764,0.004225560901472081
2015-03-24,697754,702648,683075,685033,2108,-0.01823276078279623
2015-03-25,685032,697754,669374,675247,4624,-0.014285443183029156
2015-03-26,675246,678182,645888,657632,9210,-0.026086750477973264
2015-03-27,660567,673289,651759,670354,4198,0.019345165685368038
2015-03-30,670353,694819,659588,689926,6930,0.029196514080620073
2015-03-31,685032,695797,674268,689926,7501,0.0
2015-04-01,683075,691883,676225,688947,6413,-0.001418992761542559
2015-04-02,682097,699712,680139,695798,5096,0.00994416116188912
2015-04-03,708519,708519,683075,708520,6230,0.01828404220765223
2015-04-06,707541,716348,696776,714391,5907,0.00828628690792077
2015-04-07,708519,714391,695797,706563,4199,-0.01095758485199283
2015-04-08,700690,712434,691883,711456,4924,0.006925072498842999
2015-04-09,701669,737878,701669,728092,6302,0.023383034228399158
2015-04-10,716348,738856,716348,733964,6919,0.008064914873395113
2015-04-13,742771,742771,719284,728092,4973,-0.008000392389817534
2015-04-14,723199,734942,714391,729071,6053,0.0013446102965009032
2015-04-15,721241,741792,720263,731028,5520,0.002684237886296348
2015-04-16,725156,750600,725156,736900,7854,0.00803252406200583
2015-04-17,737878,761365,730049,758429,10590,0.029215633057402712
2015-04-20,753536,760386,745707,752558,6126,-0.007741001464870112
2015-04-21,747664,756472,743750,753536,3889,0.0012995676080780338
2015-04-22,744728,760386,729070,731028,5870,-0.02986984032614237
2015-04-23,732006,758429,726134,755493,5483,0.03346657036392586
2015-04-24,749621,762343,734942,744729,4426,-0.014247650209862961
2015-04-27,746685,757450,741792,743750,2934,-0.0013145721463780902
2015-04-28,743750,767236,738856,749622,4768,0.007895126050420087
2015-04-29,762343,762343,735921,741793,4190,-0.010443930407592061
2015-04-30,751578,751578,734942,743750,3893,0.0026382023017201828
2015-05-04,743750,748643,733963,737878,2331,-0.007895126050420198
2015-05-06,736899,745707,732006,736900,1888,-0.0013254223597939374
2015-05-07,730049,748643,718305,733964,4768,-0.003984258379698735
2015-05-08,741792,743749,722220,739836,3024,0.008000392389817534
2015-05-11,752557,784852,734942,776044,10187,0.048940576019550264
2015-05-12,776044,851398,775065,834762,25338,0.07566323558973465
2015-05-13,841611,851398,822039,836719,8999,0.0023443807935674688
2015-05-14,827911,870970,827911,863141,10205,0.031578104477130386
2015-05-15,855312,869013,825954,829868,7036,-0.038548742325993035
2015-05-18,827911,936537,821060,910115,21363,0.09669851108851035
2015-05-19,910115,926751,882713,916965,8247,0.007526521373672601
2015-05-20,905222,919901,878799,885650,5917,-0.034150703680075
2015-05-21,890542,919901,883692,915987,8502,0.0342539377858071
2015-05-22,915986,916965,871949,891521,4987,-0.026709986058754076
2015-05-26,880756,942409,880756,903265,7351,0.01317299312074538
2015-05-27,914029,928708,867055,875864,8225,-0.030335505084332914
2015-05-28,880756,912072,872927,898372,6528,0.025698053579094493
2015-05-29,888585,895435,875863,877821,6109,-0.022875824268788425
2015-06-01,877820,877820,844547,864120,8529,-0.015607965633084642
2015-06-02,856291,904243,856291,867056,5498,0.003397676248669157
2015-06-03,884671,885649,836718,843569,5516,-0.027088215755383782
2015-06-04,838675,854333,816167,823997,6398,-0.023201421579029047
2015-06-05,820082,845526,810296,835740,4378,0.014251265477908337
2015-06-08,824975,855312,819103,850419,3461,0.01756407495154
2015-06-09,853355,869013,840633,869013,4018,0.02186451619730989
2015-06-10,871949,875863,840633,843569,2429,-0.029279193751992172
2015-06-11,849440,865098,845526,859227,3965,0.0185616114390168
2015-06-12,864120,895435,856291,878799,6826,0.022778613800543912
