Date,Open,High,Low,Close,Volume,Change
2015-01-02,66600,67200,64600,64600,70921,-0.04296296296296298
2015-01-05,64800,64800,62700,62800,107089,-0.02786377708978327
2015-01-06,62700,64200,62500,63100,56040,0.004777070063694211
2015-01-07,62700,63200,59900,60400,112505,-0.0427892234548336
2015-01-08,60900,60900,57300,57300,203659,-0.05132450331125826
2015-01-09,57700,58200,56500,57100,112296,-0.003490401396160525
2015-01-12,56800,58200,56800,57600,74523,0.008756567425569184
2015-01-13,57600,57600,56300,56900,83071,-0.01215277777777779
2015-01-14,56800,57300,53700,54300,196266,-0.04569420035149385
2015-01-15,53900,55300,53300,54700,147218,0.007366482504604033
2015-01-16,54900,54900,53200,53300,92990,-0.025594149908592323
2015-01-19,53600,53700,52400,53200,75690,-0.0018761726078799779
2015-01-20,53600,55200,52700,54100,210193,0.016917293233082775
2015-01-21,53700,53800,51800,52100,113491,-0.0369685767097967
2015-01-22,52200,52600,51600,51600,83268,-0.009596928982725572
2015-01-23,52000,52300,51500,51800,66161,0.003875968992248069
2015-01-26,51800,56800,51800,53400,95050,0.030888030888030826
2015-01-27,53200,53500,51600,51800,90282,-0.029962546816479363
2015-01-28,51900,52500,51600,52300,74963,0.009652509652509744
2015-01-29,52100,53100,52100,52600,51557,0.005736137667303964
2015-01-30,52800,54100,52500,53900,110068,0.024714828897338448
2015-02-02,54000,54000,51500,51700,181180,-0.04081632653061229
2015-02-03,52100,52600,51500,52200,83167,0.009671179883945946
2015-02-04,52500,55400,52500,54300,355890,0.04022988505747116
2015-02-05,54500,56600,53500,56300,168604,0.036832412523020164
2015-02-06,56100,56200,54200,54500,142230,-0.03197158081705154
2015-02-09,54500,54600,52100,52400,149574,-0.038532110091743066
2015-02-10,52500,53500,52300,53300,81868,0.01717557251908386
2015-02-11,53100,54100,52500,53300,85050,0.0
2015-02-12,53400,54200,53400,53900,52350,0.011257035647279645
2015-02-13,54600,54600,53500,53800,42123,-0.0018552875695733162
2015-02-16,53800,54000,52800,53400,67994,-0.0074349442379182396
2015-02-17,52800,54100,52800,53500,40104,0.001872659176029856
2015-02-23,54000,54600,53800,54100,53156,0.01121495327102795
2015-02-24,54100,54400,53300,53900,64337,-0.003696857670979714
2015-02-25,54000,54800,53500,54500,60158,0.011131725417439675
2015-02-26,55300,56800,55200,56800,181283,0.04220183486238538
