Date,Open,High,Low,Close,Volume,Change
2015-01-02,36300,36500,36000,36500,27121,-0.00544959128065392
2015-01-05,36100,36400,35800,36400,32363,-0.002739726027397249
2015-01-06,36000,36200,35500,35800,32766,-0.016483516483516536
2015-01-07,35900,35900,35000,35500,40208,-0.008379888268156388
2015-01-08,35500,36300,35500,36200,42543,0.019718309859154903
2015-01-09,36400,36700,35200,35200,86460,-0.027624309392265234
2015-01-12,34800,35300,34600,34900,58692,-0.008522727272727293
2015-01-13,34900,34900,33800,34000,98436,-0.025787965616045794
2015-01-14,33300,34500,33300,34200,62174,0.00588235294117645
2015-01-15,34200,34400,33500,33700,53257,-0.014619883040935644
2015-01-16,33600,33700,32500,32800,91991,-0.02670623145400597
2015-01-19,33100,33200,32599,32900,53848,0.0030487804878047697
2015-01-20,33000,33600,32900,33000,33378,0.003039513677811634
2015-01-21,33200,33200,31800,32300,96833,-0.021212121212121238
2015-01-22,32300,32600,31700,32100,67926,-0.006191950464396245
2015-01-23,32400,32400,31400,31700,83024,-0.012461059190031154
2015-01-26,31200,32399,31200,31900,53481,0.006309148264984188
2015-01-27,31899,33300,31700,32700,69408,0.02507836990595602
2015-01-28,32900,33300,32599,33000,40241,0.00917431192660545
2015-01-29,33200,34100,33000,33200,69339,0.0060606060606061
2015-01-30,33400,33700,32600,33100,44817,-0.003012048192771122
2015-02-02,33300,33300,32600,33100,28104,0.0
2015-02-03,33100,33200,31599,32100,101247,-0.030211480362537735
2015-02-04,32199,32500,32100,32100,41296,0.0
2015-02-05,32199,32400,30099,30200,172783,-0.05919003115264798
2015-02-06,30399,30500,29100,29500,188099,-0.023178807947019875
2015-02-09,29499,29800,28900,29200,79439,-0.01016949152542368
2015-02-10,29200,30300,28300,29700,135360,0.017123287671232834
2015-02-11,30000,30000,29100,29400,117510,-0.010101010101010055
2015-02-12,29500,29500,28600,28900,73093,-0.017006802721088454
2015-02-13,29000,29600,28600,29200,70811,0.01038062283737018
2015-02-16,29400,29799,28700,29400,51134,0.006849315068493178
2015-02-17,29400,30800,29100,30100,64370,0.023809523809523725
2015-02-23,30599,30599,29900,30200,46011,0.0033222591362125353
2015-02-24,30300,30900,30199,30600,45835,0.013245033112582849
2015-02-25,31000,32800,30499,32200,136891,0.05228758169934644
2015-02-26,32000,32200,31200,31900,79855,-0.009316770186335366
2015-02-27,32000,32000,30400,31200,74619,-0.021943573667711602
2015-03-02,31199,31399,30000,31000,87692,-0.0064102564102563875
2015-03-03,30899,32800,30899,32300,87404,0.041935483870967794
2015-03-04,32300,33200,32200,32900,87563,0.018575851393188847
2015-03-05,32900,33400,32599,33000,56330,0.003039513677811634
2015-03-06,32700,33100,32500,32700,43789,-0.009090909090909038
2015-03-09,32300,33500,32300,32900,39263,0.006116207951070374
2015-03-10,33000,33400,32599,33000,42668,0.003039513677811634
2015-03-11,32800,33900,32700,33600,63897,0.018181818181818077
2015-03-12,33700,34300,33600,33800,80253,0.005952380952380931
2015-03-13,33800,34000,33100,33500,33462,-0.00887573964497046
2015-03-16,33500,33700,33000,33400,21802,-0.0029850746268657025
2015-03-17,33500,33600,32500,32900,59935,-0.014970059880239472
2015-03-18,32700,33100,32500,33000,44821,0.003039513677811634
2015-03-19,32900,33100,32300,32800,47150,-0.0060606060606061
2015-03-20,32800,32900,31900,32200,64727,-0.018292682926829285
2015-03-23,32200,32399,31900,31900,40481,-0.009316770186335366
2015-03-24,32000,32500,31800,32300,50916,0.012539184952978122
2015-03-25,32600,33000,32000,32300,60636,0.0
2015-03-26,32300,32500,31400,32000,45664,-0.009287925696594423
2015-03-27,32200,32200,31400,31700,42950,-0.009375000000000022
2015-03-30,31600,32100,31400,31800,24089,0.003154574132492094
2015-03-31,32000,32200,31800,32000,15418,0.0062893081761006275
2015-04-01,31800,32000,31200,31700,27862,-0.009375000000000022
2015-04-02,31700,31800,30700,31100,56325,-0.018927444794952675
2015-04-03,31200,31399,30900,31100,31583,0.0
2015-04-06,31300,31300,30900,31000,25940,-0.003215434083601254
2015-04-07,31000,31399,30699,31000,31131,0.0
2015-04-08,31000,31100,30400,30900,53745,-0.003225806451612856
2015-04-09,30699,30900,30400,30800,39631,-0.003236245954692518
2015-04-10,30900,31700,30599,31300,35470,0.016233766233766156
