Date,Open,High,Low,Close,Volume,Change
2015-01-02,3595,3632,3563,3591,317945,-0.0024999999999999467
2015-01-05,3604,3609,3554,3600,643298,0.0025062656641603454
2015-01-06,3572,3595,3549,3577,465548,-0.006388888888888888
2015-01-07,3581,3586,3504,3513,680296,-0.01789208834218614
2015-01-08,3554,3554,3444,3513,491479,0.0
2015-01-09,3527,3568,3472,3532,679656,0.005408482778252122
2015-01-12,3495,3545,3472,3477,333343,-0.015571913929784853
2015-01-13,3476,3499,3430,3472,450652,-0.001438021282714974
2015-01-14,3472,3472,3380,3408,1120934,-0.018433179723502335
2015-01-15,3376,3476,3357,3472,511333,0.018779342723004744
2015-01-16,3472,3472,3385,3422,820981,-0.01440092165898621
2015-01-19,3421,3453,3403,3426,767402,0.0011689070718878813
2015-01-20,3449,3449,3357,3385,632487,-0.011967308814944566
2015-01-21,3362,3458,3293,3417,1362098,0.009453471196454899
2015-01-22,3421,3467,3380,3436,450477,0.005560433128475317
2015-01-23,3435,3577,3435,3568,1379329,0.038416763678696064
2015-01-26,3563,3604,3472,3522,645287,-0.01289237668161436
2015-01-27,3522,3559,3453,3490,514627,-0.009085746734809774
2015-01-28,3513,3540,3453,3504,464591,0.0040114613180515235
2015-01-29,3504,3504,3426,3440,883622,-0.0182648401826484
2015-01-30,3476,3618,3467,3518,2109062,0.022674418604651247
2015-02-02,3559,3728,3517,3728,2401323,0.059693007390562824
2015-02-03,3751,3792,3636,3683,1351660,-0.012070815450643813
2015-02-04,3691,3792,3673,3737,1304559,0.014661960358403503
2015-02-05,3732,3755,3678,3705,1034597,-0.008563018464008532
2015-02-06,3737,3865,3737,3843,1795349,0.03724696356275303
2015-02-09,3842,3883,3678,3719,1537647,-0.032266458495966654
2015-02-10,3742,3742,3554,3605,1576307,-0.030653401452003237
2015-02-11,3659,3888,3586,3888,1840305,0.07850208044382812
2015-02-12,3888,4034,3774,4030,2493402,0.03652263374485587
2015-02-13,3993,4043,3952,4017,1008907,-0.003225806451612856
2015-02-16,3961,4162,3906,4053,1470486,0.008961911874533213
2015-02-17,4089,4204,4062,4117,1173992,0.015790772267456177
2015-02-23,4153,4190,4094,4154,906454,0.008987126548457569
2015-02-24,4199,4199,4098,4177,843920,0.005536831969186418
2015-02-25,4194,4208,4025,4026,1262629,-0.03615034713909504
2015-02-26,4062,4181,4025,4135,806562,0.027074018877297545
2015-02-27,4222,4231,4085,4190,1004253,0.01330108827085863
2015-03-02,4140,4254,4117,4163,1131037,-0.00644391408114553
2015-03-03,4162,4199,4117,4117,715962,-0.011049723756906049
2015-03-04,4117,4190,4071,4145,583437,0.0068010687393733615
2015-03-05,4181,4181,4098,4113,659164,-0.007720144752714098
2015-03-06,4112,4213,4075,4200,1040124,0.02115244347191836
