Date,Open,High,Low,Close,Volume,Change
2015-01-02,37031,37474,36784,37228,35167,0.005319867138343648
2015-01-05,36833,38115,36833,37771,50412,0.014585795637692023
2015-01-06,37326,37918,37326,37820,31347,0.001297291572899928
2015-01-07,37869,37918,36488,36538,47087,-0.033897408778424065
2015-01-08,36192,37425,36192,36834,37780,0.008101154961957402
2015-01-09,37376,37376,36143,36144,27849,-0.01873269262094801
2015-01-12,35798,36685,35551,35749,35851,-0.010928508189464337
2015-01-13,35749,35995,34861,35503,56223,-0.00688131136535286
2015-01-14,35354,36488,35305,35601,31958,0.002760330112948184
2015-01-15,35601,35699,35058,35503,24069,-0.002752731664840913
2015-01-16,35502,35699,35009,35355,25631,-0.0041686618032279465
2015-01-19,35354,36192,35354,36144,19807,0.0223165040305473
2015-01-20,36094,36932,36094,36735,30553,0.016351261620185964
2015-01-21,36735,36981,35896,35996,16652,-0.020117054580100713
2015-01-22,35995,37869,35453,37031,61078,0.028753194799422177
2015-01-23,37080,37425,36291,36735,20490,-0.007993302908374078
2015-01-26,36735,36883,35551,35650,31407,-0.029535864978902926
2015-01-27,35995,36044,35650,35946,13315,0.008302945301542852
2015-01-28,35502,36291,35255,35453,31132,-0.013715016969899296
2015-01-29,35502,36094,35157,35798,18089,0.009731193410994932
2015-01-30,35798,36538,35502,36538,24338,0.02067154589641884
2015-02-02,35946,37080,35896,36785,33510,0.006760085390552284
2015-02-03,36784,37425,36488,37327,24909,0.014734266684790054
2015-02-04,37967,41074,37228,38806,95531,0.039622793152409796
2015-02-05,38904,39250,37869,38313,34280,-0.012704220996753057
2015-02-06,37622,38756,37622,38215,24716,-0.002557878526870727
2015-02-09,37967,39052,37770,38165,42761,-0.0013083867591260345
2015-02-10,38214,38855,37869,38510,25872,0.00903969605659638
2015-02-11,38510,39151,38214,38510,22567,0.0
2015-02-12,39003,39200,38510,38954,27633,0.011529472864191037
2015-02-13,38954,40186,38954,39792,38783,0.02151255326795698
2015-02-16,39792,40679,39003,40631,86960,0.021084640128669063
2015-02-17,41123,42898,40532,42455,111701,0.04489183136029151
2015-02-23,42898,44279,42603,43589,44697,0.02671063478977742
2015-02-24,43589,44378,42849,43885,41837,0.006790704076716558
2015-02-25,44082,44821,42455,43392,67211,-0.011233906801868532
2015-02-26,43145,44476,43145,43343,44645,-0.0011292404129793487
2015-02-27,43046,43589,42504,43589,40163,0.005675656968830101
2015-03-02,43293,43885,42504,43047,34526,-0.012434329762095908
2015-03-03,42553,43490,41616,42209,39016,-0.019467094106441762
2015-03-04,41666,43293,41666,42603,31713,0.009334502120400767
2015-03-05,42257,43638,42257,43293,37705,0.01619604253221607
2015-03-06,43391,43983,43046,43047,23822,-0.005682211904926904
2015-03-09,42356,43194,42307,42948,17064,-0.0022998118335773032
2015-03-10,42553,43490,42553,42850,21944,-0.0022818291887863884
2015-03-11,42504,43638,41912,42455,44976,-0.009218203033839023
2015-03-12,42011,42849,41370,41370,46344,-0.025556471558120353
2015-03-13,41715,43391,41468,43047,50522,0.04053662073966646
2015-03-16,43786,44082,42898,43441,54133,0.009152786489186271
2015-03-17,43737,44871,43391,44477,71150,0.023848438111461423
2015-03-18,44476,46449,43885,44970,154096,0.011084380691143814
2015-03-19,45364,45561,44624,45315,60667,0.00767178118745826
2015-03-20,45364,46744,44624,45660,56844,0.007613373055279649
2015-03-23,46301,46301,44378,45266,31458,-0.00862899693385899
2015-03-24,45265,45956,44871,45364,29566,0.0021649803384438115
2015-03-25,45364,45808,44969,45512,40446,0.0032624988978045
2015-03-26,45660,45857,44821,45463,38014,-0.0010766391281420429
2015-03-27,45413,45857,45167,45660,25424,0.004333194025911258
2015-03-30,45660,45758,44723,44871,26250,-0.017279894875164237
2015-03-31,44526,45068,44082,44526,39086,-0.00768870762853513
2015-04-01,43737,45660,43737,45315,34023,0.01771998382967266
2015-04-02,44969,45857,44378,45315,19116,0.0
2015-04-03,45315,45315,44772,45118,23376,-0.004347346353304693
2015-04-06,45117,45117,44131,44477,28818,-0.014207190035019246
2015-04-07,44230,44476,43589,44280,34846,-0.004429255570294721
2015-04-08,44476,44476,43786,44378,25592,0.0022131887985545884
2015-04-09,44230,44427,43589,44181,27356,-0.004439136509081121
2015-04-10,43835,45610,43835,45364,40534,0.026776216020461208
2015-04-13,45660,45660,44526,44723,30074,-0.014130147253328618
2015-04-14,44427,45660,44427,45463,31114,0.016546296089260615
2015-04-15,44821,46301,44673,46252,40482,0.01735477201240565
2015-04-16,46153,46843,44920,45167,37233,-0.023458445040214437
2015-04-17,44969,46251,44575,44970,59666,-0.004361591427369582
2015-04-20,44969,45216,42208,42800,119596,-0.04825439181676672
2015-04-21,42898,42948,41912,42702,56950,-0.0022897196261681962
2015-04-22,42701,43293,40926,41617,63228,-0.025408645965060206
2015-04-23,41616,42011,39545,39595,97299,-0.04858591440997673
2015-04-24,39447,40433,39447,40335,120743,0.01868922843793408
2015-04-27,40433,40433,36538,37524,510903,-0.06969133506879877
2015-04-28,37277,38017,36390,37080,287204,-0.011832427246562194
2015-04-29,37376,37672,36488,37327,148927,0.00666127292340879
2015-04-30,36981,37474,35551,35700,193970,-0.04358775149355698
2015-05-04,36636,37622,36192,37031,124680,0.03728291316526611
2015-05-06,37031,38115,37031,38116,170326,0.02929977586346566
2015-05-07,38608,38904,37770,38806,130537,0.018102634064434797
2015-05-08,39003,40778,39003,39694,203600,0.022883059320723653
2015-05-11,41074,41320,38066,39891,213375,0.0049629666952184515
2015-05-12,40433,40679,39200,39694,111714,-0.0049384572961319595
2015-05-13,39693,40581,39102,40187,97258,0.012420013100216565
2015-05-14,40186,41074,39644,40828,64887,0.015950431731654557
2015-05-15,41271,41616,40482,40779,64404,-0.001200156755168047
2015-05-18,40827,42800,40729,42554,179033,0.04352730572108188
2015-05-19,43046,45709,43046,44822,203654,0.0532969873572402
2015-05-20,44821,45660,43293,43293,144229,-0.0341127125072509
2015-05-21,43737,44624,43391,43688,65857,0.009123876839211897
2015-05-22,45019,45019,42800,43984,99078,0.0067753158762131616
2015-05-26,44082,45216,44082,44280,79308,0.006729719898144859
2015-05-27,44378,44723,42455,42702,84308,-0.03563685636856373
2015-05-28,42307,43885,40729,43688,76519,0.023090253383916348
2015-05-29,43342,46744,43194,45956,164573,0.05191356894341692
2015-06-01,46744,51873,46646,50788,258807,0.1051440508312298
2015-06-02,51873,55226,51774,52958,328178,0.042726628337402595
2015-06-03,54141,56902,50886,52859,137209,-0.001869405944333269
2015-06-04,52859,54733,51380,52859,114784,0.0
2015-06-05,52662,53155,50788,51380,112490,-0.027980097996556874
2015-06-08,51281,52760,49407,52366,121775,0.019190346438302752
2015-06-09,53549,54831,52662,54733,128510,0.04520108467326134
2015-06-10,57198,57198,55226,56410,166588,0.030639650667787288
2015-06-11,56310,57099,52760,56212,132044,-0.0035100159546179732
2015-06-12,56212,57494,54831,56804,108721,0.010531559097701537
2015-06-15,57494,59170,56508,58875,128681,0.03645870009154284
2015-06-16,59170,59565,56508,57692,120510,-0.020093418259023332
2015-06-17,58579,58677,56508,57396,108402,-0.005130694030368144
2015-06-18,58480,58973,57099,58974,79658,0.02749320510140074
2015-06-19,58973,59072,56902,57001,71349,-0.03345542103299759
2015-06-22,57001,60650,55719,59467,148273,0.04326239890528227
2015-06-23,59170,61833,58283,60354,122031,0.014915835673566802
2015-06-24,60847,61340,59269,60157,68434,-0.0032640752891275326
2015-06-25,61143,61143,58283,59763,62844,-0.006549528733148291
2015-06-26,59565,63016,58875,62228,117553,0.041246256044709995
2015-06-29,61340,62030,59269,59269,93754,-0.0475509416982709
2015-06-30,58381,65087,58381,62228,207708,0.049924918591506495
2015-07-01,62918,64003,62228,62918,99890,0.011088256090505899
2015-07-02,63016,65087,62326,64792,92956,0.02978479926253219
2015-07-03,63608,64594,63115,63707,61191,-0.01674589455488329
2015-07-06,63016,64693,61636,62721,61773,-0.01547710612648534
2015-07-07,64003,64003,60945,61439,58806,-0.020439725131933484
2015-07-08,63016,63411,60945,61932,68021,0.008024219144191713
2015-07-09,61636,63115,59072,63017,70715,0.017519214622489176
2015-07-10,63115,64003,62129,62721,85173,-0.00469714521478326
2015-07-13,62523,63707,61636,62918,79617,0.0031408937995249797
2015-07-14,62918,63805,61439,63214,75938,0.004704536062811959
2015-07-15,63805,65186,63115,63806,130748,0.009365014079159684
2015-07-16,63411,64101,62622,62820,71263,-0.015453092185687911
2015-07-17,62523,63510,61241,61439,52668,-0.02198344476281444
2015-07-20,61044,62228,60058,61439,83406,0.0
2015-07-21,61537,61932,58677,60946,87033,-0.008024219144191824
2015-07-22,60551,60650,59565,59960,37835,-0.01617825616119184
2015-07-23,59170,60847,58677,60847,77666,0.014793195463642439
2015-07-24,60157,60551,59072,59565,39151,-0.021069239239403736
2015-07-27,58776,59072,55028,55916,103716,-0.06126080752119534
2015-07-28,55226,55226,51084,54930,133793,-0.017633593247013413
2015-07-29,54634,55324,53056,53451,66478,-0.026925177498634656
2015-07-30,54042,54239,50886,51577,79889,-0.03506014854726758
2015-07-31,50689,53155,50689,52859,41896,0.024856040483161035
2015-08-03,52859,55620,52563,54240,49214,0.026126109082653892
2015-08-04,53549,56113,53549,55719,53220,0.02726769911504423
2015-08-05,54930,57198,54930,55621,38158,-0.001758825535275177
2015-08-06,56606,56705,55324,56015,39344,0.007083655453875348
2015-08-07,55916,55916,53845,54536,34289,-0.026403641881638795
2015-08-10,54535,55719,53549,54141,28478,-0.007242922106498462
2015-08-11,53648,54930,51675,51774,53693,-0.04371917770266531
2015-08-12,50591,52662,47731,52563,184978,0.015239309305829174
2015-08-13,52563,52563,50196,50591,92463,-0.037516884500504166
2015-08-17,51281,51577,50196,51281,46845,0.013638789508015225
2015-08-18,51084,51084,48618,49506,124362,-0.034613209570796166
2015-08-19,49309,50097,48322,49309,111945,-0.003979315638508507
2015-08-20,49309,49900,48322,48471,60921,-0.016994869090835363
2015-08-21,48322,49506,46991,49013,149318,0.011181943842710096
2015-08-24,49111,49210,45315,47534,113644,-0.030175667680003238
2015-08-25,48224,48569,46794,48323,48364,0.01659864518029197
2015-08-26,47829,49309,46794,49309,61290,0.020404362311942537
2015-08-27,49111,52366,48717,50690,105181,0.02800705753513566
2015-08-28,50295,51577,49900,50197,44217,-0.009725784178338914
2015-08-31,49604,50492,48618,50098,50108,-0.001972229416100535
2015-09-01,49407,50295,47139,47139,69952,-0.05906423410116168
2015-09-02,47336,47336,45315,46992,117502,-0.0031184369630242736
2015-09-03,48914,48914,45906,45907,35000,-0.0230890364317331
2015-09-04,45462,46744,43983,45068,64442,-0.018276079900668707
2015-09-07,45857,48865,45857,48274,69243,0.07113694861098785
2015-09-08,49309,49309,46054,47090,68379,-0.024526660314040716
2015-09-09,47287,50097,47287,49506,58636,0.05130600976852828
2015-09-10,49604,51774,48421,51774,73498,0.04581262877226999
2015-09-11,50689,51281,49407,49408,36415,-0.04569861320353841
2015-09-14,49407,50393,49210,49408,15176,0.0
2015-09-15,49013,49802,48569,49408,11777,0.0
2015-09-16,49999,49999,48569,49408,22828,0.0
2015-09-17,49802,50492,48963,49309,26404,-0.002003724093264214
2015-09-18,49210,50196,49013,49309,28581,0.0
2015-09-21,49900,49900,48372,49309,31906,0.0
2015-09-22,49506,49506,47928,47928,93844,-0.02800705753513555
2015-09-23,48027,48717,47928,47978,51892,0.0010432315139374815
2015-09-24,48076,48470,47385,48076,53627,0.0020426028596440826
2015-09-25,48322,48421,47435,48372,37128,0.0061569182128295985
2015-09-30,47139,47731,46399,46400,151214,-0.04076738609112707
2015-10-01,46449,48963,46449,48224,34219,0.03931034482758622
2015-10-02,48766,48815,47090,47337,43368,-0.018393331121433265
2015-10-05,47435,48569,46991,47287,26701,-0.0010562562055052016
2015-10-06,47829,47829,46794,46992,25014,-0.006238501067946767
2015-10-07,46449,47139,45561,45808,45047,-0.0251957780047668
2015-10-08,45857,46251,44476,45759,45883,-0.0010696821515892019
2015-10-12,45462,46054,44624,45364,23922,-0.008632181647326154
2015-10-13,44723,47681,44723,47238,48261,0.04131029009787501
2015-10-14,47238,47829,46202,46992,49731,-0.0052076717896608615
2015-10-15,46251,47977,46251,47879,21858,0.018875553285665703
2015-10-16,47336,49999,47336,48569,49567,0.014411328557405234
2015-10-19,49309,49309,47780,48323,24774,-0.005064959130309465
2015-10-20,48815,48815,47385,48175,16571,-0.0030627237547338204
2015-10-21,47829,48520,47090,47090,22696,-0.022522055007784147
2015-10-22,47435,50097,47435,49605,70959,0.053408366956890996
2015-10-23,50097,50788,49062,50591,41056,0.019877028525350227
2015-10-26,50788,50886,49506,49999,31344,-0.011701686070644923
2015-10-27,50591,50591,49062,49063,14653,-0.018720374407488194
2015-10-28,48569,49900,47977,48274,23099,-0.016081364775900386
2015-10-29,47533,49111,47090,48323,31177,0.0010150391515100221
2015-10-30,48372,48717,47188,47337,45299,-0.020404362311942537
2015-11-02,47336,47632,46301,47386,36481,0.0010351310813951908
2015-11-03,47336,47879,45906,46449,45948,-0.01977377284430004
2015-11-04,46498,46892,45561,46696,38324,0.005317660229499088
2015-11-05,46399,48322,46399,48274,36922,0.03379304437210906
2015-11-06,47731,48569,47435,48274,24197,0.0
2015-11-09,47583,48273,47139,47435,16498,-0.01737995608402043
2015-11-10,46843,46843,45167,45364,32970,-0.04365974491409297
2015-11-11,44624,46350,44131,44378,45801,-0.021735296711048457
2015-11-12,44378,45660,44328,44921,19523,0.012235792509802224
2015-11-13,43983,44772,43539,43934,16811,-0.021971906235391025
2015-11-16,42701,44328,42405,44082,19028,0.003368689397732938
2015-11-17,43786,43786,42701,42850,41543,-0.027947915248854427
2015-11-18,42652,43786,42504,43343,27002,0.011505250875145867
2015-11-19,43342,43737,42455,42997,31896,-0.00798283459843574
