Date,Open,High,Low,Close,Volume,Change
2015-01-02,9624,9733,9490,9572,94878,-0.00281279299927073
2015-01-05,9543,9624,9275,9626,148166,0.0056414542415377245
2015-01-06,9543,9706,9490,9599,116346,-0.0028049033866611728
2015-01-07,9652,9706,9462,9707,101541,0.01125117199708292
2015-01-08,9652,9975,9598,9842,122958,0.013907489440609933
2015-01-09,9894,10137,9787,9923,105340,0.008230034545823939
2015-01-12,9894,10165,9813,10138,78478,0.02166683462662511
2015-01-13,10110,10165,9894,9950,99213,-0.018544091536792262
2015-01-14,9975,10246,9948,10246,139811,0.02974874371859304
2015-01-15,10191,10326,10029,10301,93653,0.0053679484676947276
2015-01-16,10165,10514,10165,10489,147131,0.018250655276186745
2015-01-19,10460,10757,10433,10623,151142,0.012775288397368634
2015-01-20,10649,10730,10460,10597,70943,-0.002447519533088527
2015-01-21,10568,10649,10407,10516,66131,-0.007643672737567275
2015-01-22,10568,10568,10407,10462,88456,-0.005135032331684997
2015-01-23,10623,10649,10460,10543,85284,0.00774230548652266
2015-01-26,10514,10757,10487,10732,84851,0.01792658636061839
2015-01-27,10704,10811,10704,10732,65346,0.0
2015-01-28,10704,10892,10704,10867,102917,0.012579202385389454
2015-01-29,10785,11000,10730,10840,98603,-0.002484586362381469
2015-01-30,10811,11134,10785,11109,129759,0.02481549815498152
2015-02-02,11081,11081,10811,10921,58613,-0.016923215410928116
2015-02-03,10838,11000,10623,10894,136433,-0.0024723010713304516
2015-02-04,10892,10972,10757,10813,32072,-0.007435285478244902
2015-02-05,10865,10972,10730,10785,54246,-0.0025894756311847233
2015-02-06,10785,10892,10730,10840,33341,0.005099675475197074
2015-02-09,10838,10838,10568,10651,76674,-0.0174354243542435
2015-02-10,10623,10865,10433,10623,107123,-0.002628861139799099
2015-02-11,10676,11000,10649,10948,114899,0.030593994163607308
2015-02-12,10972,11485,10972,11487,194103,0.04923273657288996
2015-02-13,11512,11648,11297,11433,103412,-0.004700966309741483
2015-02-16,11431,12915,11324,12215,360891,0.06839849558296152
2015-02-17,12267,12348,11917,12106,156282,-0.008923454768727024
2015-02-23,12106,12780,12051,12512,149764,0.033537089046753676
2015-02-24,12402,13481,12376,13293,268842,0.062420076726342755
2015-02-25,13481,13481,12834,12889,149411,-0.0303919356052057
2015-02-26,12887,13211,12780,12781,96149,-0.008379238110016285
2015-02-27,12834,13049,12672,12808,90972,0.0021125107581565494
2015-03-02,12698,13049,12510,12512,127633,-0.023110555902560947
2015-03-03,12510,12672,12321,12431,143733,-0.00647378516624042
2015-03-04,12456,12536,12214,12242,109471,-0.01520392566969675
2015-03-05,12267,13022,12133,12916,155694,0.05505636333932373
2015-03-06,12780,13049,12321,12431,120562,-0.03755032517807366
2015-03-09,12429,12564,12402,12538,39659,0.008607513474378603
2015-03-10,12456,13049,12402,13051,170742,0.04091561652576159
2015-03-11,12941,12941,12456,12458,139408,-0.04543713125431004
2015-03-12,12429,12887,12429,12512,79039,0.004334564135495267
2015-03-13,12672,14182,12645,13778,527284,0.10118286445012781
2015-03-16,13966,14074,13642,13833,176468,0.00399187109885335
