Date,Open,High,Low,Close,Volume,Change
2015-01-02,74300,75200,73500,74400,14089,-0.01326259946949604
2015-01-05,73600,75100,73400,73900,13108,-0.006720430107526876
2015-01-06,73400,73900,70500,71300,21181,-0.03518267929634644
2015-01-07,71100,71100,68300,69500,24666,-0.02524544179523147
2015-01-08,68900,69100,66400,67200,49548,-0.03309352517985609
2015-01-09,67500,67800,66700,67400,19614,0.0029761904761904656
2015-01-12,66900,67900,66800,67300,16710,-0.0014836795252225476
2015-01-13,67700,67700,66500,66900,23451,-0.005943536404160454
2015-01-14,66700,67400,66500,67400,14414,0.007473841554558991
2015-01-15,67100,67300,66500,67300,13503,-0.0014836795252225476
2015-01-16,66700,67300,66600,66900,13124,-0.005943536404160454
2015-01-19,67000,69000,67000,69000,13871,0.03139013452914807
2015-01-20,69500,70800,68900,70800,20018,0.026086956521739202
2015-01-21,70800,71500,69700,71100,26120,0.004237288135593209
2015-01-22,71100,72100,70500,71400,17487,0.00421940928270037
2015-01-23,72000,72300,71300,71500,14078,0.0014005602240896309
2015-01-26,71600,71600,69500,70600,11905,-0.012587412587412583
2015-01-27,71400,71400,69500,70400,11155,-0.0028328611898017497
2015-01-28,70400,73700,70000,73600,22999,0.045454545454545414
2015-01-29,73500,74200,72500,73600,17553,0.0
2015-01-30,73100,74700,72900,74400,14923,0.010869565217391353
2015-02-02,74400,74900,74000,74500,16939,0.0013440860215054862
2015-02-03,75500,75500,73800,74400,14964,-0.0013422818791946067
2015-02-04,75000,75000,73200,73200,18824,-0.016129032258064502
2015-02-05,73100,74000,71500,71700,25767,-0.020491803278688492
2015-02-06,71800,73000,71800,72600,21206,0.012552301255230214
2015-02-09,73500,73700,72000,72400,18526,-0.0027548209366391463
2015-02-10,73500,73500,69500,70400,41316,-0.027624309392265234
2015-02-11,70800,72100,70700,72100,12608,0.024147727272727293
2015-02-12,72800,73200,72300,73000,12155,0.012482662968099856
2015-02-13,72700,74900,72700,74400,15502,0.019178082191780854
2015-02-16,73800,75500,73800,74300,8873,-0.0013440860215053752
2015-02-17,74700,74700,73400,74100,10147,-0.0026917900403768957
2015-02-23,74900,74900,73700,74100,8882,0.0
2015-02-24,73800,74400,73400,73900,5548,-0.0026990553306343035
2015-02-25,73900,74400,73300,73600,8476,-0.004059539918809252
2015-02-26,74000,74000,72000,72800,20115,-0.010869565217391353
2015-02-27,73000,73600,72500,73300,14892,0.006868131868131844
2015-03-02,73300,73400,72000,72000,18987,-0.017735334242837686
2015-03-03,71200,72700,71200,72200,19206,0.002777777777777768
2015-03-04,72500,74000,72500,72800,21061,0.008310249307479145
2015-03-05,73700,74000,72700,74000,14652,0.016483516483516425
2015-03-06,74000,74000,73400,73600,15603,-0.00540540540540535
2015-03-09,73200,74300,73200,73300,13704,-0.0040760869565217295
2015-03-10,74300,74500,72800,73200,29046,-0.0013642564802183177
2015-03-11,72900,73100,71700,71800,26996,-0.01912568306010931
