Date,Open,High,Low,Close,Volume,Change
2015-01-02,160500,174000,158500,171000,3083018,0.08227848101265822
2015-01-05,177000,179500,145500,145500,6436987,-0.14912280701754388
2015-01-06,143000,147500,133500,138500,4596735,-0.04810996563573888
2015-01-07,139000,140500,135000,135500,1719259,-0.02166064981949456
2015-01-08,138000,140500,133000,135000,1699199,-0.0036900369003689537
2015-01-09,137500,153500,134000,150000,2971066,0.11111111111111116
2015-01-12,149000,151500,142500,147500,1625748,-0.01666666666666672
2015-01-13,147000,149500,137000,138000,2009453,-0.06440677966101693
2015-01-14,138000,141000,135500,137000,889108,-0.007246376811594235
2015-01-15,138000,144000,136500,140500,1167317,0.025547445255474477
2015-01-16,139500,142000,135500,136000,743075,-0.03202846975088969
2015-01-19,137000,138000,129500,131000,1115099,-0.03676470588235292
2015-01-20,132500,134500,131000,131500,620532,0.003816793893129722
2015-01-21,132500,133000,122000,124000,1413084,-0.057034220532319435
2015-01-22,123000,130000,122500,124000,876352,0.0
2015-01-23,128500,132500,126500,131000,1028487,0.056451612903225756
2015-01-26,130500,134000,129000,129500,492693,-0.011450381679389277
2015-01-27,131000,135000,130500,135000,743513,0.042471042471042386
2015-01-28,137000,143000,137000,140000,1457183,0.03703703703703698
2015-01-29,140500,142000,136500,137500,538392,-0.017857142857142905
2015-01-30,144000,146000,135500,136000,919086,-0.010909090909090868
2015-02-02,135500,137000,134000,135000,339084,-0.007352941176470562
2015-02-03,136500,139000,132500,138500,437428,0.025925925925925908
2015-02-04,139500,140500,137500,137500,321206,-0.0072202166064981865
2015-02-05,137500,138500,134000,136000,270183,-0.010909090909090868
2015-02-06,138500,141500,136500,138500,500370,0.018382352941176405
2015-02-09,139000,141000,138500,138500,346906,0.0
2015-02-10,138500,139000,136500,136500,205298,-0.014440433212996373
2015-02-11,137000,140000,136500,140000,299268,0.02564102564102555
2015-02-12,141000,142500,139000,139000,262841,-0.0071428571428571175
2015-02-13,140500,150000,139500,147500,1408559,0.06115107913669071
2015-02-16,150000,153500,148000,151500,878719,0.027118644067796627
2015-02-17,150500,151000,147000,147000,437959,-0.02970297029702973
2015-02-23,149000,150000,146500,149000,285637,0.013605442176870763
2015-02-24,149500,156000,149000,155000,801969,0.04026845637583887
2015-02-25,156500,160000,156000,156000,700578,0.006451612903225712
2015-02-26,157000,159000,154000,158000,372015,0.012820512820512775
2015-02-27,157500,162000,156000,162000,456798,0.025316455696202445
2015-03-02,162500,163500,155000,159000,561515,-0.01851851851851849
2015-03-03,159000,160000,152000,155000,593735,-0.02515723270440251
2015-03-04,154000,157000,153500,155500,326457,0.003225806451612856
2015-03-05,155500,156500,153000,155000,252821,-0.003215434083601254
2015-03-06,155000,159000,154000,159000,373985,0.02580645161290329
2015-03-09,158000,166000,157000,164500,739332,0.03459119496855356
2015-03-10,165000,166500,160000,165000,708860,0.003039513677811634
2015-03-11,160000,164500,155500,161000,1249028,-0.024242424242424288
2015-03-12,162000,163500,155500,156500,1789750,-0.02795031055900621
2015-03-13,156500,159000,153000,157500,588949,0.006389776357827559
2015-03-16,157000,158500,152000,153000,441937,-0.02857142857142858
2015-03-17,154500,162000,154000,162000,711222,0.05882352941176472
2015-03-18,157000,159500,150000,152000,3006255,-0.06172839506172845
2015-03-19,153500,154500,149000,154500,1291600,0.016447368421052655
2015-03-20,153500,156500,152000,155000,670771,0.003236245954692629
2015-03-23,155000,156000,151000,151000,501435,-0.02580645161290318
2015-03-24,151500,153000,149000,150000,400021,-0.0066225165562914245
2015-03-25,150000,155000,149000,154500,498859,0.030000000000000027
2015-03-26,150000,151500,148500,149500,589634,-0.032362459546925515
2015-03-27,150000,151500,147500,147500,382629,-0.013377926421404673
2015-03-30,148000,153500,147500,151500,508776,0.027118644067796627
2015-03-31,152500,153000,148500,149500,326288,-0.01320132013201325
2015-04-01,150000,150000,146000,146500,385327,-0.02006688963210701
2015-04-02,146500,147000,139500,140500,993693,-0.04095563139931746
2015-04-03,140000,143000,139500,141500,437182,0.007117437722419906
2015-04-06,142500,143000,140000,140000,291331,-0.010600706713780883
2015-04-07,140500,146000,140000,141500,393145,0.010714285714285676
2015-04-08,141500,143000,139500,140000,279962,-0.010600706713780883
2015-04-09,140000,140500,137500,138500,328887,-0.010714285714285676
2015-04-10,139000,143000,136000,137500,690639,-0.0072202166064981865
2015-04-13,138500,141000,137500,138500,355330,0.0072727272727273196
2015-04-14,139000,143000,139000,140500,441593,0.014440433212996373
2015-04-15,143000,161500,141000,154500,2672941,0.0996441281138789
2015-04-16,155000,167000,154500,158000,2105401,0.02265372168284796
2015-04-17,159000,161500,153500,154500,518742,-0.022151898734177222
2015-04-20,154000,163500,153500,159500,765971,0.032362459546925626
2015-04-21,165000,167500,162000,162500,755252,0.018808777429467183
2015-04-22,164000,164500,157000,158500,557711,-0.024615384615384595
2015-04-23,159500,181500,157500,179000,2391819,0.12933753943217674
2015-04-24,175500,178500,168500,169500,1298866,-0.05307262569832405
2015-04-27,171000,173000,166000,166000,543152,-0.020648967551622377
2015-04-28,164000,172500,162000,167000,667920,0.006024096385542244
2015-04-29,166500,172500,165000,166500,472742,-0.0029940119760478723
2015-04-30,161000,162500,158000,158500,767466,-0.048048048048048075
2015-05-04,159000,166500,156500,161000,370150,0.01577287066246047
2015-05-06,160000,161000,156500,159500,387018,-0.009316770186335366
2015-05-07,146000,150000,138000,142500,2038527,-0.10658307210031348
2015-05-08,143000,146500,142500,143500,541510,0.007017543859649145
2015-05-11,144500,146000,141000,141500,418548,-0.013937282229965153
2015-05-12,139500,144500,139500,143000,340942,0.010600706713780994
2015-05-13,142500,151000,142500,150000,656457,0.04895104895104896
2015-05-14,149000,152500,148500,149000,312033,-0.00666666666666671
2015-05-15,151500,158000,151000,156500,650992,0.05033557046979875
2015-05-18,157000,159000,154000,157000,268107,0.0031948881789136685
2015-05-19,157500,161000,155500,157500,333714,0.0031847133757962887
2015-05-20,161500,163500,158000,161000,319122,0.022222222222222143
2015-05-21,161000,162500,159500,161500,234730,0.0031055900621117516
2015-05-22,161500,164500,161500,163500,271203,0.01238390092879249
2015-05-26,185000,188000,174500,188000,2490541,0.14984709480122316
2015-05-27,198000,215500,188500,190500,3584837,0.013297872340425565
2015-05-28,194000,198000,185000,186000,1334641,-0.023622047244094446
2015-05-29,185000,192000,178500,192000,1764251,0.032258064516129004
2015-06-01,188000,191500,184000,188500,597661,-0.01822916666666663
2015-06-02,188500,191000,183000,186000,439417,-0.01326259946949604
2015-06-03,185000,187000,182000,182000,322631,-0.021505376344086002
2015-06-04,196000,198000,186000,191000,1939598,0.0494505494505495
2015-06-05,194000,198500,192000,197000,1108781,0.03141361256544495
2015-06-08,204500,206000,182000,183500,1125361,-0.06852791878172593
2015-06-09,184000,189500,180500,182500,698735,-0.00544959128065392
2015-06-10,185000,189000,178000,178500,880180,-0.021917808219178103
2015-06-11,184000,184000,178000,180000,456173,0.008403361344537785
2015-06-12,179500,185000,178500,182000,331569,0.011111111111111072
2015-06-15,180000,180000,166000,169000,561124,-0.0714285714285714
2015-06-16,171000,174000,168000,169000,359490,0.0
2015-06-17,171000,176500,169500,174500,272612,0.03254437869822491
2015-06-18,176500,176500,171500,171500,179886,-0.017191977077363862
2015-06-19,175500,179500,173500,174500,262177,0.017492711370262315
2015-06-22,174000,176000,171000,172000,150079,-0.014326647564469885
2015-06-23,173500,182500,172500,181500,364398,0.05523255813953498
2015-06-24,182500,183000,165500,174500,632732,-0.038567493112947604
2015-06-25,172500,177000,172000,173500,261845,-0.005730659025787954
2015-06-26,171500,175500,171500,173500,181848,0.0
2015-06-29,172000,178000,172000,174500,280483,0.0057636887608070175
2015-06-30,179000,182000,175000,177500,415062,0.017191977077363862
2015-07-01,179500,186000,177000,181000,550900,0.019718309859154903
2015-07-02,186000,186000,180000,180000,418967,-0.0055248618784530246
2015-07-03,180000,185000,177000,183000,430388,0.016666666666666607
2015-07-06,178000,182000,176500,177000,259899,-0.032786885245901676
2015-07-07,180500,181500,176000,177000,302120,0.0
2015-07-08,177500,178500,173000,173000,263266,-0.02259887005649719
2015-07-09,172500,177000,170500,174500,308498,0.00867052023121384
2015-07-10,174500,178500,174000,178000,220584,0.02005730659025784
2015-07-13,184500,188000,180500,182500,382605,0.02528089887640439
2015-07-14,183500,184000,177000,180000,464552,-0.013698630136986356
2015-07-15,181500,185000,180000,183500,414305,0.019444444444444375
2015-07-16,185000,196000,184500,194000,1207687,0.05722070844686655
2015-07-17,198500,203000,177500,179000,3797973,-0.07731958762886593
2015-07-20,178000,181000,173500,175000,806319,-0.022346368715083775
2015-07-21,176000,177500,171500,171500,497441,-0.020000000000000018
2015-07-22,170500,176500,170500,176000,568232,0.026239067055393583
2015-07-23,176000,176000,172000,172500,423449,-0.019886363636363646
2015-07-24,177000,177500,169500,169500,586021,-0.017391304347826098
2015-07-27,169000,171500,166000,169500,334636,0.0
2015-07-28,167500,168500,165000,167000,428496,-0.014749262536873142
2015-07-29,170500,173000,168000,169500,421442,0.014970059880239583
2015-07-30,169000,170000,163000,165000,422952,-0.026548672566371723
2015-07-31,166500,168500,165000,167500,355897,0.015151515151515138
2015-08-03,167500,169000,167000,168000,288504,0.0029850746268655914
2015-08-04,168000,171000,168000,171000,347338,0.017857142857142794
2015-08-05,171500,174500,168000,168000,427911,-0.01754385964912286
2015-08-06,168000,168000,160500,161000,640325,-0.04166666666666663
2015-08-07,162000,163000,153500,153500,519492,-0.04658385093167705
2015-08-10,153000,153000,148500,150500,301218,-0.019543973941368087
2015-08-11,151500,153500,149000,150500,184901,0.0
2015-08-12,151500,153000,144000,145500,345572,-0.03322259136212624
2015-08-13,145000,148000,145000,146000,302818,0.0034364261168384758
2015-08-17,146000,146500,144000,145500,251244,-0.003424657534246589
2015-08-18,145500,147000,141500,141500,204307,-0.027491408934707917
2015-08-19,140500,141000,130500,134000,649277,-0.05300353356890464
2015-08-20,131500,139000,131500,138000,431434,0.029850746268656803
2015-08-21,132500,138000,132500,136500,331334,-0.010869565217391353
2015-08-24,135500,137000,128000,131000,462650,-0.04029304029304026
2015-08-25,132000,137000,128500,134000,462593,0.022900763358778553
2015-08-26,132500,147000,131500,147000,1058195,0.09701492537313428
2015-08-27,149500,169000,146000,157000,1464059,0.06802721088435382
2015-08-28,159500,166500,159500,165500,759352,0.05414012738853513
2015-08-31,169000,178000,167000,178000,1119627,0.07552870090634434
2015-09-01,176500,177000,169000,170000,649051,-0.0449438202247191
2015-09-02,166500,176500,165500,173500,648037,0.020588235294117574
2015-09-03,175500,176000,165500,165500,485819,-0.04610951008645536
2015-09-04,167000,169500,161000,162000,278853,-0.02114803625377648
2015-09-07,161000,164000,157000,161000,298039,-0.006172839506172867
2015-09-08,164500,171000,162500,164500,406158,0.021739130434782705
2015-09-09,168000,168500,164000,165000,248300,0.003039513677811634
2015-09-10,166000,170000,164000,170000,330482,0.030303030303030276
2015-09-11,167500,169000,163000,163500,388276,-0.038235294117647034
2015-09-14,164500,165000,157500,158500,480798,-0.030581039755351647
2015-09-15,154000,165500,153000,163000,1570946,0.028391167192429068
2015-09-16,166000,168500,164000,164500,722443,0.009202453987730008
2015-09-17,165000,165000,160000,160000,647668,-0.027355623100303927
2015-09-18,161000,162500,159000,159500,626028,-0.0031250000000000444
2015-09-21,157500,160500,156000,157500,556452,-0.01253918495297801
2015-09-22,157500,158500,153500,154500,661313,-0.01904761904761909
2015-09-23,153000,153500,146000,146500,1231958,-0.05177993527508096
2015-09-24,147500,150000,146500,147000,552672,0.0034129692832765013
2015-09-25,147000,148500,143000,147000,639607,0.0
2015-09-30,145000,147500,144500,146500,346373,-0.003401360544217691
2015-10-01,148000,154000,147000,153500,510523,0.04778156996587035
2015-10-02,153000,154500,151000,151000,347397,-0.016286644951140072
2015-10-05,152500,156000,152000,152000,367466,0.0066225165562914245
2015-10-06,154500,155500,151000,151000,269731,-0.006578947368421018
2015-10-07,151500,159000,151500,158000,677524,0.04635761589403975
2015-10-08,159500,160000,155000,158500,403214,0.0031645569620253333
2015-10-12,159000,161500,158000,159000,300959,0.003154574132492094
2015-10-13,160500,162000,159000,160000,281381,0.0062893081761006275
2015-10-14,159500,160000,157000,158000,264488,-0.012499999999999956
2015-10-15,158000,160000,157500,159500,244405,0.009493670886076
2015-10-16,160500,160500,158000,159500,194917,0.0
