Date,Open,High,Low,Close,Volume,Change
2015-01-02,115000,116500,113000,115000,308565,-0.012875536480686733
2015-01-05,114000,117500,113500,117000,208155,0.017391304347825987
2015-01-06,116500,116500,114500,115500,299519,-0.012820512820512775
2015-01-07,115000,117500,115000,117500,202500,0.017316017316017396
2015-01-08,117000,120000,117000,120000,335885,0.02127659574468077
2015-01-09,120500,120500,119000,120500,164466,0.004166666666666652
2015-01-12,119500,120000,116000,116000,212538,-0.03734439834024894
2015-01-13,116000,116500,114500,115000,159181,-0.008620689655172376
2015-01-14,115000,118000,115000,118000,188864,0.026086956521739202
2015-01-15,117500,117500,113000,114000,295259,-0.03389830508474578
2015-01-16,113000,113500,109500,110000,320562,-0.03508771929824561
2015-01-19,110000,112500,109500,110000,208573,0.0
2015-01-20,110500,112500,110000,111000,173313,0.009090909090909038
2015-01-21,111000,115000,111000,115000,236374,0.03603603603603611
2015-01-22,114000,115500,111500,112000,218778,-0.02608695652173909
2015-01-23,113500,116000,113000,116000,216817,0.03571428571428581
2015-01-26,115500,117000,114500,116000,124710,0.0
2015-01-27,116500,118000,115000,118000,222395,0.01724137931034475
2015-01-28,116000,117000,114000,116500,235870,-0.012711864406779627
2015-01-29,116000,116000,113500,114500,219068,-0.01716738197424894
2015-01-30,114500,114500,111000,112500,344345,-0.017467248908296984
2015-02-02,111500,112500,111000,112000,144878,-0.004444444444444473
2015-02-03,112000,112500,110000,110500,220460,-0.013392857142857095
2015-02-04,111000,113000,109000,109500,374957,-0.009049773755656076
2015-02-05,110000,111000,109000,111000,163445,0.013698630136986356
2015-02-06,110500,113000,110000,113000,178887,0.018018018018018056
2015-02-09,112500,113000,110500,111000,129854,-0.017699115044247815
2015-02-10,111000,112000,109000,109000,123703,-0.018018018018018056
2015-02-11,109500,110000,108000,109000,159247,0.0
2015-02-12,109000,112000,108000,112000,198148,0.02752293577981657
2015-02-13,111000,111500,102000,103500,1008028,-0.0758928571428571
2015-02-16,102500,103500,100500,101000,545720,-0.024154589371980673
2015-02-17,101500,102000,100000,100500,347981,-0.004950495049504955
2015-02-23,101000,101500,99100,99900,385223,-0.005970149253731294
2015-02-24,100000,101000,100000,100000,281127,0.0010010010010010895
2015-02-25,101000,102000,99800,100500,358607,0.004999999999999893
2015-02-26,100500,101000,98500,98600,474641,-0.018905472636815968
2015-02-27,98600,100500,98200,99600,350893,0.010141987829614507
2015-03-02,100000,100500,98100,98100,301416,-0.015060240963855387
2015-03-03,98300,99500,98300,98600,264592,0.0050968399592252744
2015-03-04,98400,99100,98300,98700,162459,0.0010141987829614951
2015-03-05,98500,98800,98100,98700,182837,0.0
2015-03-06,98700,99000,98100,98100,240777,-0.006079027355623046
2015-03-09,97600,98400,97500,98100,255892,0.0
2015-03-10,98000,98700,97600,97600,173649,-0.0050968399592252744
2015-03-11,97100,97700,95000,95500,451444,-0.021516393442622905
2015-03-12,95100,98300,95000,96100,416659,0.006282722513089034
2015-03-13,97200,97900,96200,96900,177431,0.008324661810613865
2015-03-16,96900,97100,95200,96100,213225,-0.008255933952528327
2015-03-17,96700,98100,96500,97300,327850,0.01248699271592102
2015-03-18,98100,98700,97400,97800,398488,0.005138746145940454
2015-03-19,98300,98700,97800,98000,270541,0.002044989775051187
2015-03-20,97700,97900,97200,97400,209901,-0.006122448979591799
2015-03-23,97600,98000,95400,97400,298860,0.0
2015-03-24,97100,97900,96100,96600,291298,-0.008213552361396315
2015-03-25,96000,96300,95200,95200,325503,-0.01449275362318836
2015-03-26,95600,96500,95400,96200,331357,0.010504201680672232
2015-03-27,96400,96500,95500,95900,206081,-0.0031185031185031464
2015-03-30,97000,97200,95900,95900,283085,0.0
2015-03-31,96500,97000,96300,96700,192476,0.008342022940563076
2015-04-01,96700,97100,96100,96300,151076,-0.004136504653567741
2015-04-02,96000,97000,96000,96900,126703,0.006230529595015577
2015-04-03,96800,98700,96800,98400,219458,0.015479876160990669
2015-04-06,98600,98700,96500,97000,158454,-0.014227642276422814
2015-04-07,97100,98300,96800,97700,189826,0.007216494845360799
2015-04-08,97700,97700,95300,95400,318019,-0.023541453428863823
2015-04-09,95500,96200,94800,96200,275018,0.008385744234800763
2015-04-10,95500,96300,94500,94800,382043,-0.014553014553014498
2015-04-13,94900,95800,94300,95600,281891,0.00843881856540074
2015-04-14,95100,97800,95000,96700,441619,0.011506276150627714
