Date,Open,High,Low,Close,Volume,Change
2015-01-02,15241,15356,15012,15051,1087163,-0.014986910994764346
2015-01-05,14935,15050,14590,14591,1584809,-0.030562753305428236
2015-01-06,14131,14246,13939,13940,2417888,-0.04461654444520591
2015-01-07,13825,14207,13671,14017,1250549,0.005523672883787745
2015-01-08,14169,14246,13977,14017,1091091,0.0
2015-01-09,14322,14743,14169,14591,1617680,0.040950274666476494
2015-01-12,14514,14552,14284,14400,848135,-0.01309026111986844
2015-01-13,14360,14360,14016,14055,1089363,-0.023958333333333304
2015-01-14,14054,14360,14016,14208,913401,0.01088580576307363
2015-01-15,14208,14284,13709,13787,1543660,-0.029631193693693714
2015-01-16,13709,13786,13173,13213,2137409,-0.04163342278958437
2015-01-19,13403,14092,13365,13940,2398949,0.055021569666237724
2015-01-20,13901,14360,13863,14055,1028488,0.008249641319942658
2015-01-21,13977,14054,13594,13710,945065,-0.0245464247598719
2015-01-22,14054,14398,14016,14170,1507213,0.03355215171407733
2015-01-23,14667,14705,13825,13979,1936867,-0.013479181369089654
2015-01-26,13939,14131,13556,13787,1503060,-0.013734888046355254
2015-01-27,13939,14246,13939,14208,1112362,0.030536012185391925
2015-01-28,14131,14820,14016,14629,2706304,0.029631193693693714
2015-01-29,14398,14743,14208,14400,1353740,-0.015653838266457054
2015-01-30,14360,14475,13556,13710,4355445,-0.04791666666666672
2015-02-02,13977,14246,13825,14017,2719245,0.022392414296134255
2015-02-03,14322,14705,14169,14246,4177804,0.016337304701433908
2015-02-04,14667,14743,14322,14400,2500215,0.01081005194440543
2015-02-05,14284,14398,14054,14093,1878690,-0.021319444444444446
2015-02-06,14246,14398,14169,14246,1004876,0.010856453558504287
2015-02-09,14246,14629,14169,14476,1523074,0.016144882774111968
2015-02-10,14475,14858,14016,14055,2108165,-0.029082619508151386
2015-02-11,14131,14360,14054,14170,1253013,0.008182141586623892
2015-02-12,14169,14246,13863,14055,1180799,-0.008115737473535667
2015-02-13,14169,14322,14016,14323,1245038,0.019067947349697523
2015-02-16,14360,14475,14208,14208,906033,-0.008029044194652002
2015-02-17,14169,14360,14092,14285,697824,0.005419481981981944
2015-02-23,14398,14437,14169,14170,800745,-0.00805040252012601
2015-02-24,14208,14322,14092,14093,1077658,-0.005434015525758618
2015-02-25,14169,14897,14169,14821,3366250,0.051656850918895936
2015-02-26,14935,15586,14858,15510,3568604,0.046488091221914773
2015-02-27,15471,15624,15088,15089,2146058,-0.02714377820760805
2015-03-02,15241,15624,15088,15625,2561162,0.03552256610776072
2015-03-03,15969,16199,15471,15549,3326300,-0.0048639999999999795
2015-03-04,15586,15930,15395,15434,1801995,-0.007395974017621709
2015-03-05,15318,15624,15203,15318,1030517,-0.00751587404431775
2015-03-06,15433,15892,15433,15817,1406668,0.03257605431518473
2015-03-09,15663,15701,15318,15357,1649902,-0.029082632610482384
2015-03-10,15509,15586,15164,15242,1414339,-0.007488441752946495
2015-03-11,14973,15318,14935,15051,1388094,-0.01253116388925335
2015-03-12,15088,15203,14705,14706,2086832,-0.02292206497907112
2015-03-13,14820,14973,14667,14783,1680277,0.005235958112335126
2015-03-16,14820,14820,14169,14170,2037385,-0.04146654941486838
2015-03-17,14284,14514,14208,14438,2169659,0.01891319689484816
2015-03-18,14246,14590,14169,14246,1633773,-0.013298240753567003
2015-03-19,14552,14820,14475,14476,2093067,0.016144882774111968
2015-03-20,14398,14590,14246,14438,1634291,-0.0026250345399281283
2015-03-23,14590,14629,14360,14514,1154355,0.005263886964953501
2015-03-24,14398,14552,14169,14246,1514315,-0.018464930412016023
2015-03-25,14322,14360,13939,13979,1475633,-0.018742103046469172
2015-03-26,14054,14246,13977,14093,1152144,0.008155089777523328
2015-03-27,14322,14360,14016,14055,961530,-0.002696374086425868
2015-03-30,14054,14054,13786,13863,1240536,-0.013660618996798268
2015-03-31,13939,14169,13786,13825,1510403,-0.002741109427973787
2015-04-01,13863,14284,13594,14170,2742093,0.024954792043399676
2015-04-02,14208,14208,13825,13940,1607465,-0.016231474947071223
2015-04-03,13939,14284,13901,14131,1624185,0.013701578192252484
2015-04-06,14284,14820,14131,14668,3154541,0.03800155686080253
2015-04-07,14973,15126,14820,14974,2512015,0.020861739841832483
2015-04-08,15088,15433,14858,15128,2889419,0.010284493121410554
2015-04-09,15050,15203,14667,14706,2593061,-0.027895293495505014
2015-04-10,14743,14973,14629,14668,1675486,-0.0025839793281653423
2015-04-13,14820,15318,14743,15280,2811403,0.04172347968366519
2015-04-14,15395,15471,15012,15204,2276880,-0.004973821989528782
2015-04-15,15395,15547,15126,15318,2076155,0.007498026835043303
2015-04-16,15701,15854,15280,15357,2995803,0.0025460242851547132
2015-04-17,15433,15509,14973,14974,2488368,-0.024939766881552416
2015-04-20,14667,15050,14629,14859,1832476,-0.007679978629624662
2015-04-21,15012,15164,14820,14859,1520439,0.0
2015-04-22,14820,15203,14552,14821,1899158,-0.0025573726361127758
2015-04-23,14973,14973,14705,14897,1908784,0.005127859118817968
2015-04-24,14973,15088,14590,14745,1632546,-0.01020339665704506
2015-04-27,14743,15012,14743,14897,1244402,0.010308579179382882
2015-04-28,15012,15433,14935,15051,2771416,0.010337651876216603
2015-04-29,14629,14743,14054,14170,6572292,-0.0585343166567005
2015-04-30,14054,14092,13825,13902,2238406,-0.018913196894848272
2015-05-04,14016,14322,13977,14131,2232836,0.016472450007193107
2015-05-06,14092,14437,14054,14246,2185860,0.008138136013021047
2015-05-07,14398,14475,14054,14170,1407958,-0.005334830829706538
2015-05-08,14169,14360,13901,13940,1435991,-0.016231474947071223
2015-05-11,14131,14208,13939,13979,985460,0.0027977044476326096
2015-05-12,13939,13977,13786,13863,1078835,-0.008298161528006331
2015-05-13,13748,14092,13748,13979,1004393,0.008367597201182964
2015-05-14,14054,14131,13901,14131,1104689,0.010873453036697844
2015-05-15,14169,14208,13901,13902,1015594,-0.016205505625928818
2015-05-18,13825,13901,13518,13557,1876659,-0.02481657315494179
2015-05-19,13633,13939,13594,13748,1482301,0.014088662683484632
2015-05-20,13863,13901,13748,13748,961709,0.0
2015-05-21,13786,13825,13480,13634,1011667,-0.008292115216758766
2015-05-22,13671,14322,13671,14323,2535202,0.05053542614053108
2015-05-26,14398,14552,14169,14323,1914977,0.0
2015-05-27,14246,14284,13939,14055,1133610,-0.018711163862319302
2015-05-28,14131,14207,13671,13710,1502133,-0.0245464247598719
2015-05-29,13748,13863,13671,13710,1748816,0.0
2015-06-01,13748,13901,13594,13710,875159,0.0
2015-06-02,13633,13825,13556,13557,1019889,-0.011159737417943072
2015-06-03,13556,14016,13518,13672,1537170,0.00848270266283091
2015-06-04,13671,13863,13518,13710,1244057,0.002779403159742566
2015-06-05,13748,13825,13594,13596,932079,-0.008315098468271387
2015-06-08,13671,14054,13594,13979,1300787,0.02817005001471018
2015-06-09,13939,14208,13825,13825,1075458,-0.011016524787180737
2015-06-10,13825,14054,13709,13710,1041845,-0.008318264014466559
2015-06-11,13863,13939,13211,13672,2640449,-0.0027716994894237956
2015-06-12,13709,13748,13403,13404,1752765,-0.01960210649502636
2015-06-15,13326,13709,13250,13365,1146557,-0.0029095792300806167
2015-06-16,13365,13480,12751,12791,1973847,-0.04294799850355402
2015-06-17,12790,12943,12637,12868,1541649,0.0060198577124541686
2015-06-18,12905,13211,12676,12676,1442783,-0.014920733602735492
2015-06-19,12828,12905,12714,12753,1125614,0.006074471442095275
2015-06-22,12751,12982,12751,12906,978046,0.011997177134791759
2015-06-23,13173,13403,13097,13404,1804236,0.03858670385867047
2015-06-24,13442,13518,13250,13404,899536,0.0
2015-06-25,13365,13365,13134,13136,1045842,-0.019994031632348586
2015-06-26,13211,13403,13134,13174,925900,0.0028928136419001937
2015-06-29,12790,13020,12714,12753,2123111,-0.03195688477303782
2015-06-30,12905,13211,12828,13059,1410157,0.023994354269583518
2015-07-01,13365,15471,13250,14783,10990693,0.13201623401485563
2015-07-02,15050,15433,14398,14821,8047317,0.0025705201921124576
2015-07-03,14935,15050,14284,14438,3535078,-0.02584171108562172
2015-07-06,14016,14131,13633,13710,3480744,-0.050422496190608124
2015-07-07,13901,14169,13556,14131,2772562,0.030707512764405642
2015-07-08,14016,14131,13633,13863,2604041,-0.018965395230344684
2015-07-09,13748,13863,13594,13748,1509946,-0.008295462742552107
2015-07-10,13939,14054,13594,13748,2448012,0.0
2015-07-13,13633,13709,13173,13519,2259325,-0.016656968286296148
2015-07-14,13556,13594,13173,13327,1693850,-0.014202233893039429
2015-07-15,13326,13442,12560,12638,5298939,-0.05169955728971265
2015-07-16,12637,12943,12560,12676,3268288,0.0030068048741889175
2015-07-17,12101,12101,10569,11106,9691779,-0.12385610602713792
2015-07-20,10722,10952,10607,10723,3317260,-0.034485863497208724
2015-07-21,10837,11910,10799,11106,6500325,0.03571761633871118
2015-07-22,11182,11412,10990,11068,1929998,-0.0034215739240049947
2015-07-23,11182,11220,10761,10761,1471975,-0.027737621973256243
2015-07-24,10722,10761,10339,10340,2016377,-0.03912275810798249
2015-07-27,10033,10722,9995,10646,2272313,0.029593810444874302
2015-07-28,10454,10837,10416,10761,1614102,0.010802179222243025
2015-07-29,10799,10990,10646,10877,1521462,0.010779667317163844
2015-07-30,9995,10875,9765,10378,4169926,-0.04587662039165208
2015-07-31,10378,10646,10339,10570,1892311,0.01850067450375792
2015-08-03,10492,10492,10109,10149,1874894,-0.039829706717123936
2015-08-04,10033,10301,10033,10111,1470308,-0.003744211252340146
2015-08-05,10109,10224,9957,9995,2301187,-0.011472653545643308
2015-08-06,10033,10109,9612,9651,2171857,-0.034417208604302196
2015-08-07,9650,9841,9574,9651,1197686,0.0
2015-08-10,9688,9726,9267,9268,1418289,-0.039685006735053374
2015-08-11,9382,9574,9267,9268,1451771,0.0
2015-08-12,9191,9688,9191,9345,2052503,0.0083081570996979
2015-08-13,9497,9612,9267,9421,1251995,0.008132691278758708
2015-08-17,9535,9612,9420,9459,931880,0.00403354208682738
2015-08-18,9497,9574,9229,9345,1089116,-0.01205201395496358
2015-08-19,9305,9305,8692,8808,1863162,-0.05746388443017658
2015-08-20,8616,8808,8348,8387,2271001,-0.04779745685740233
2015-08-21,7965,8156,7888,8042,2364979,-0.041135090020269494
2015-08-24,7811,8156,7643,7698,3110821,-0.042775428997761766
2015-08-25,7735,8233,7659,8042,3110334,0.04468693167056381
2015-08-26,8003,8616,7927,8464,3112503,0.05247450882864957
2015-08-27,8539,8654,8194,8272,2049056,-0.022684310018903586
2015-08-28,8577,8769,8501,8579,1772173,0.037113152804642224
2015-08-31,8577,8884,8501,8617,2553989,0.004429420678400797
2015-09-01,8731,8884,8463,8502,1536214,-0.013345711964720897
2015-09-02,8309,8577,8233,8464,1602162,-0.0044695365796283415
2015-09-03,8539,8616,8194,8196,1386325,-0.031663516068052955
2015-09-04,8233,8501,8156,8234,1328008,0.004636408003904302
2015-09-07,8309,8616,8233,8387,1170679,0.01858149137721643
2015-09-08,8386,8539,8386,8464,1036155,0.009180875163944169
2015-09-09,8654,8884,8577,8808,2222593,0.04064272211720232
2015-09-10,8692,9726,8654,9651,5403516,0.09570844686648505
2015-09-11,9612,9803,9497,9536,2313725,-0.011915863641073443
2015-09-14,9688,9726,9152,9191,2254297,-0.03617869127516782
2015-09-15,9229,9343,9075,9191,1591597,0.0
2015-09-16,9343,10454,9343,10225,6727320,0.11250136002611244
