Date,Open,High,Low,Close,Volume,Change
2015-01-02,43260,43842,43066,43261,208846,0.001133944274738452
2015-01-05,43066,43600,42242,42436,275404,-0.019070294260419285
2015-01-06,41999,42775,41708,42485,238744,0.0011546799886887893
2015-01-07,42678,42969,42339,42485,194815,0.0
2015-01-08,42969,43842,42533,43261,193172,0.018265270095327857
2015-01-09,43794,44279,43794,43891,239728,0.014562770162501959
2015-01-12,43697,43842,42969,43261,185604,-0.014353739946686095
2015-01-13,43454,43648,42048,42097,357981,-0.02690645153833704
2015-01-14,42484,42775,42193,42582,209856,0.01152101099840852
2015-01-15,42533,42969,41902,41951,212388,-0.014818467897233623
2015-01-16,42145,42145,40981,41078,250207,-0.020809992610426487
2015-01-19,41708,42678,41708,42145,184548,0.025974974438872422
2015-01-20,42387,42678,42048,42097,127799,-0.0011389251393997268
2015-01-21,42096,42387,41369,42145,185209,0.00114022376891465
2015-01-22,42096,44327,42096,44037,512278,0.044892632578004577
2015-01-23,44958,45540,44764,45492,397498,0.03304039784726487
2015-01-26,45055,45685,44618,45104,197559,-0.008528972126967349
2015-01-27,45540,45782,44909,45443,164888,0.007515963107484813
2015-01-28,45297,46364,44909,46268,259704,0.018154611271262944
2015-01-29,45831,46267,45249,45589,165722,-0.014675369585890885
2015-01-30,45976,46946,45879,46171,299218,0.012766237469564956
2015-02-02,45831,46849,45831,46753,213101,0.01260531502458262
2015-02-03,46752,46752,45976,46559,174183,-0.004149466344405717
2015-02-04,46752,47528,46704,47141,277837,0.01250026847655672
2015-02-05,47140,47334,46219,46607,156767,-0.011327718970747358
2015-02-06,46607,46849,46413,46753,95812,0.003132576651575958
2015-02-09,46558,46607,45879,45977,136766,-0.016597865377622867
2015-02-10,46073,46413,45443,45637,112294,-0.0073950018487504154
2015-02-11,45637,45976,45103,45443,144461,-0.004250936739925937
2015-02-12,45249,45443,44618,45443,185666,0.0
2015-02-13,45685,46170,45443,45589,111361,0.0032128160552780116
2015-02-16,45588,45734,45297,45298,99794,-0.006383118734782478
2015-02-17,45491,45637,43842,44037,313921,-0.02783787363680512
2015-02-23,44230,44909,44230,44716,163130,0.015418852328723531
2015-02-24,44424,44715,44279,44716,190638,0.0
2015-02-25,44812,45782,44715,45783,279470,0.023861704982556686
2015-02-26,45782,45782,45006,45346,288783,-0.00954502763034315
2015-02-27,45491,46704,45443,46268,355729,0.020332554139284698
2015-03-02,46461,46801,46073,46462,278880,0.004192962738825967
2015-03-03,46704,46752,45928,45928,274966,-0.011493263311953883
2015-03-04,45976,46461,45637,45637,228387,-0.006336004180456323
2015-03-05,45637,45685,45006,45201,160872,-0.009553651642307814
2015-03-06,45491,47043,45249,46704,424181,0.03325147673724027
2015-03-09,46219,46413,45103,45104,316678,-0.03425830763960258
2015-03-10,45588,45588,44812,44958,192382,-0.0032369634622206878
2015-03-11,44521,44521,43115,43164,524521,-0.039903910316295255
2015-03-12,43406,44230,43115,43115,479559,-0.0011352052636456333
2015-03-13,43842,44182,43406,43406,233508,0.006749391163168195
2015-03-16,43163,43309,42387,42533,377297,-0.0201124268534304
2015-03-17,42921,45006,42921,44473,604570,0.04561164272447282
2015-03-18,44521,45685,44473,45249,482929,0.017448789152969324
2015-03-19,46413,46558,45637,45831,448655,0.012862162699728064
2015-03-20,45734,46316,45394,45977,230199,0.003185616722305884
2015-03-23,46267,48207,46267,47480,722032,0.032690258172564546
2015-03-24,47334,47965,47334,47771,373711,0.006128896377421977
2015-03-25,47722,48498,47286,48256,473164,0.010152603043687591
2015-03-26,47771,48692,47528,48111,362693,-0.0030048076923077094
2015-03-27,48595,49274,48256,48692,420125,0.012076240360832324
2015-03-30,49080,50729,48983,50729,760978,0.04183438757906832
2015-03-31,51311,52572,49662,50438,833360,-0.005736363815568968
2015-04-01,49856,51311,49662,51020,488461,0.011538919068955877
2015-04-02,51311,51796,50438,50438,278873,-0.011407291258330066
2015-04-03,51020,53833,50923,53736,777862,0.06538720805741693
2015-04-06,53833,54997,53736,54221,729459,0.009025606669644137
2015-04-07,54997,55094,53833,54415,529107,0.003577949502960198
2015-04-08,54318,56452,53833,55967,648369,0.028521547367453826
2015-04-09,55870,56452,54706,55579,468179,-0.0069326567441527764
2015-04-10,56161,59653,55967,59653,1246596,0.07330106694974714
2015-04-13,61108,64987,60429,63436,1554156,0.06341676026352405
2015-04-14,64212,65181,61108,63048,1263788,-0.006116400781890463
2015-04-15,64018,64406,62078,63727,791312,0.01076957238929066
2015-04-16,64697,65181,62854,64406,657140,0.010654824485696768
2015-04-17,63533,64696,62757,63921,729238,-0.007530354314815413
2015-04-20,62272,63630,61690,63048,718084,-0.01365748345614115
2015-04-21,64406,64406,60817,60817,875827,-0.035385737850526566
2015-04-22,60623,65666,59750,64018,1713164,0.052633309765361735
2015-04-23,65278,65472,62951,64212,838117,0.0030303977006467253
2015-04-24,64212,64599,61108,61690,881646,-0.03927614776054322
2015-04-27,61787,63436,61690,62951,510163,0.020440914248662567
2015-04-28,62951,65763,62078,64018,837651,0.01694969102953081
