Date,Open,High,Low,Close,Volume,Change
2015-01-02,43650,44150,43500,43750,56764,-0.010180995475113086
2015-01-05,43050,44000,41250,41300,233274,-0.05600000000000005
2015-01-06,41000,41050,40050,40150,266237,-0.02784503631961255
2015-01-07,40250,40600,39700,39950,150131,-0.00498132004981322
2015-01-08,40050,40950,40050,40750,111397,0.020025031289111483
2015-01-09,40950,41300,40650,40650,128073,-0.0024539877300613355
2015-01-12,40350,40600,39200,39350,202885,-0.03198031980319804
2015-01-13,39700,40050,39200,39350,130491,0.0
2015-01-14,39300,40000,39100,39500,133472,0.003811944091486552
2015-01-15,39250,39600,37250,37550,443331,-0.04936708860759498
2015-01-16,37500,37550,36800,37450,210632,-0.0026631158455392434
2015-01-19,37800,38200,37450,37600,98450,0.004005340453938633
2015-01-20,37950,38050,36700,36750,133181,-0.022606382978723416
2015-01-21,36800,37400,36600,37400,136816,0.017687074829932037
2015-01-22,37400,37450,37000,37100,97991,-0.008021390374331583
2015-01-23,37600,39100,37400,38800,204053,0.04582210242587603
2015-01-26,39050,39150,37400,37700,133943,-0.028350515463917536
2015-01-27,38200,38600,37500,38050,116756,0.009283819628647105
2015-01-28,37650,37950,37250,37400,121621,-0.01708278580814715
2015-01-29,37400,38350,37250,38300,163693,0.02406417112299475
2015-01-30,39250,39250,37500,38200,208219,-0.0026109660574412663
2015-02-02,38650,38650,37550,37650,160433,-0.014397905759162333
2015-02-03,37900,38950,37650,38950,241321,0.03452855245683928
2015-02-04,39450,39450,38500,38650,184335,-0.007702182284980763
2015-02-05,38650,39050,38200,38750,146553,0.002587322121604174
2015-02-06,38750,38800,37050,37200,218453,-0.040000000000000036
2015-02-09,37200,37400,36550,36750,180282,-0.012096774193548376
2015-02-10,37050,37050,36600,36700,126150,-0.0013605442176870541
2015-02-11,36950,37200,36750,37150,155645,0.012261580381471404
2015-02-12,36900,37150,36700,37000,109832,-0.004037685060565233
2015-02-13,36800,37100,36550,36700,126668,-0.008108108108108136
2015-02-16,36700,36850,36200,36250,120313,-0.012261580381471404
2015-02-17,36300,37000,36250,36950,111158,0.0193103448275862
2015-02-23,37000,37250,36900,37000,125301,0.0013531799729364913
2015-02-24,37000,38100,37000,37850,210335,0.02297297297297307
2015-02-25,38050,38450,37850,38000,122264,0.003963011889035695
2015-02-26,38050,38100,37300,37300,114471,-0.018421052631578894
2015-02-27,37250,37650,37100,37500,135607,0.00536193029490617
2015-03-02,37600,38050,37350,37900,141166,0.010666666666666602
2015-03-03,37850,38150,37500,37550,189213,-0.00923482849604218
2015-03-04,37600,37850,37150,37150,102930,-0.010652463382157085
2015-03-05,37200,37550,36950,37300,100558,0.004037685060565233
2015-03-06,37400,38100,37350,38050,122254,0.020107238605898026
2015-03-09,38050,38200,37600,37850,87565,-0.005256241787122251
2015-03-10,37850,38100,36800,37000,148171,-0.022457067371202122
2015-03-11,36700,36750,35100,35150,371506,-0.050000000000000044
2015-03-12,35600,37200,35200,37200,280070,0.05832147937411092
2015-03-13,37700,37750,37250,37350,138821,0.0040322580645162365
2015-03-16,37300,37300,36050,36050,119817,-0.03480589022757696
2015-03-17,36250,37650,36250,37500,153109,0.04022191400832176
2015-03-18,37700,37900,37000,37300,144575,-0.005333333333333301
2015-03-19,37750,37900,37000,37800,161938,0.013404825737265424
2015-03-20,37850,37850,37150,37550,136735,-0.006613756613756627
2015-03-23,37150,38300,37150,38000,127467,0.011984021304926706
2015-03-24,38150,39000,37850,39000,179258,0.026315789473684292
2015-03-25,39100,40000,38500,38750,252297,-0.0064102564102563875
2015-03-26,38650,39400,38350,39050,120628,0.007741935483871032
